,UNAT NA Equity,UNAT NA Equity,UNAT NA Equity,UNAT NA Equity,UNAT NA Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,15.4994,15.6958,15.4994,15.6958,330.0
2010-01-02,15.4994,15.6958,15.4994,15.6958,330.0
2010-01-03,15.4994,15.6958,15.4994,15.6958,330.0
2010-01-04,15.6958,15.7647,15.6062,15.7233,4719.0
2010-01-05,15.5442,15.558,15.3341,15.4443,20954.0
2010-01-06,15.2686,15.3375,15.1928,15.2548,11229.0
2010-01-07,15.3272,15.3272,14.9964,15.0963,6617.0
2010-01-08,15.2031,15.2962,15.0516,15.2962,5517.0
2010-01-09,15.2031,15.2962,15.0516,15.2962,5517.0
2010-01-10,15.2031,15.2962,15.0516,15.2962,5517.0
2010-01-11,15.2962,15.3892,15.1584,15.1584,20010.0
2010-01-12,15.1859,15.1859,14.9861,15.0929,7939.0
2010-01-13,15.2617,15.3995,15.2376,15.2376,5500.0
2010-01-14,15.2617,15.5063,15.2617,15.3341,16488.0
2010-01-15,15.3168,15.4787,15.2755,15.4064,4451.0
2010-01-16,15.3168,15.4787,15.2755,15.4064,4451.0
2010-01-17,15.3168,15.4787,15.2755,15.4064,4451.0
2010-01-18,15.3099,15.5442,15.3099,15.496,7290.0
2010-01-19,15.4684,15.8267,15.4684,15.7612,18261.0
2010-01-20,15.806,15.806,15.2066,15.6062,10679.0
2010-01-21,15.496,15.8474,15.496,15.6338,22543.0
2010-01-22,15.4822,15.6544,15.2652,15.3099,10786.0
2010-01-23,15.4822,15.6544,15.2652,15.3099,10786.0
2010-01-24,15.4822,15.6544,15.2652,15.3099,10786.0
2010-01-25,15.2927,15.3306,15.1687,15.2135,21280.0
2010-01-26,15.1584,15.2066,14.9689,15.2066,13312.0
2010-01-27,15.0033,15.1687,14.9723,15.1687,3046.0
2010-01-28,15.1032,15.5683,15.1032,15.3616,24121.0
2010-01-29,15.2135,15.4787,15.2135,15.4787,7891.0
2010-01-30,15.2135,15.4787,15.2135,15.4787,7891.0
2010-01-31,15.2135,15.4787,15.2135,15.4787,7891.0
2010-02-01,15.2617,15.3444,14.9895,15.0274,12764.0
2010-02-02,15.148,15.5442,15.148,15.5442,7849.0
2010-02-03,15.0343,15.651,15.0343,15.651,18078.0
2010-02-04,15.1101,15.2514,14.7622,14.8862,29477.0
2010-02-05,14.807,15.0688,14.4004,14.4762,19462.0
2010-02-06,14.807,15.0688,14.4004,14.4762,19462.0
2010-02-07,14.807,15.0688,14.4004,14.4762,19462.0
2010-02-08,14.5865,14.6657,14.335,14.6071,23183.0
2010-02-09,14.8759,14.8759,14.3315,14.4487,17189.0
2010-02-10,14.6921,14.8486,14.6086,14.786,4464.0
2010-02-11,14.8555,15.165,14.7964,14.7964,6500.0
2010-02-12,14.779,15.2311,14.779,15.1685,3531.0
2010-02-13,14.779,15.2311,14.779,15.1685,3531.0
2010-02-14,14.779,15.2311,14.779,15.1685,3531.0
2010-02-15,15.4536,15.4536,14.9772,14.9877,3559.0
2010-02-16,15.0294,15.1963,14.9877,15.1963,3140.0
2010-02-17,15.3006,15.3528,15.1268,15.2276,12078.0
2010-02-18,15.2067,15.4397,15.2067,15.4397,9947.0
2010-02-19,15.4919,15.6971,15.4571,15.6971,5659.0
2010-02-20,15.4919,15.6971,15.4571,15.6971,5659.0
2010-02-21,15.4919,15.6971,15.4571,15.6971,5659.0
2010-02-22,15.6345,15.6936,15.558,15.6206,4477.0
2010-02-23,15.6206,15.6588,15.4745,15.4745,5384.0
2010-02-24,15.5858,15.704,15.5754,15.704,3514.0
2010-02-25,15.5162,15.551,15.1824,15.1824,6198.0
2010-02-26,15.4084,15.5023,15.2346,15.2554,3390.0
2010-02-27,15.4084,15.5023,15.2346,15.2554,3390.0
2010-02-28,15.4084,15.5023,15.2346,15.2554,3390.0
2010-03-01,15.6066,15.704,15.405,15.478,11724.0
2010-03-02,15.6136,15.7597,15.5441,15.6588,2266.0
2010-03-03,15.5754,15.7249,15.5754,15.6797,15673.0
2010-03-04,15.6832,15.7666,15.6206,15.6588,4658.0
2010-03-05,15.7527,15.9127,15.5754,15.9127,2972.0
2010-03-06,15.7527,15.9127,15.5754,15.9127,2972.0
2010-03-07,15.7527,15.9127,15.5754,15.9127,2972.0
2010-03-08,15.6936,15.8675,15.3702,15.8675,5616.0
2010-03-09,15.8049,15.937,15.7979,15.7979,1833.0
2010-03-10,15.8709,15.9161,15.7075,15.8222,8046.0
2010-03-11,15.8118,15.9579,15.624,15.7457,22750.0
2010-03-12,15.7875,15.8814,15.6345,15.6345,8882.0
2010-03-13,15.7875,15.8814,15.6345,15.6345,8882.0
2010-03-14,15.7875,15.8814,15.6345,15.6345,8882.0
2010-03-15,15.6553,15.6553,15.3702,15.3702,5187.0
2010-03-16,15.4606,15.7875,15.4606,15.7805,4619.0
2010-03-17,15.6866,15.9405,15.4363,15.6623,21076.0
2010-03-18,15.8153,15.8153,15.5336,15.8153,5335.0
2010-03-19,15.631,15.8153,15.4015,15.8153,3812.0
2010-03-20,15.631,15.8153,15.4015,15.8153,3812.0
2010-03-21,15.631,15.8153,15.4015,15.8153,3812.0
2010-03-22,15.4084,15.551,15.2311,15.3737,13568.0
2010-03-23,15.3354,15.4676,15.3354,15.3632,3344.0
2010-03-24,15.5997,15.5997,15.2902,15.4502,7587.0
2010-03-25,15.165,15.5128,15.165,15.5023,5210.0
2010-03-26,15.4745,15.4745,15.1928,15.4606,6205.0
2010-03-27,15.4745,15.4745,15.1928,15.4606,6205.0
2010-03-28,15.4745,15.4745,15.1928,15.4606,6205.0
2010-03-29,15.2033,15.2554,15.0259,15.1442,8870.0
2010-03-30,15.3006,15.5232,15.3006,15.3876,1895.0
2010-03-31,15.6032,15.8014,15.5093,15.5649,24048.0
2010-04-01,15.6623,16.0935,15.6588,15.9961,14957.0
2010-04-02,15.6623,16.0935,15.6588,15.9961,14957.0
2010-04-03,15.6623,16.0935,15.6588,15.9961,14957.0
2010-04-04,15.6623,16.0935,15.6588,15.9961,14957.0
2010-04-05,15.6623,16.0935,15.6588,15.9961,14957.0
2010-04-06,15.9231,16.1526,15.8188,16.0309,16891.0
2010-04-07,16.1109,16.1109,15.8605,16.0865,13943.0
2010-04-08,15.8257,16.0135,15.7457,16.0135,14936.0
2010-04-09,15.9961,16.1004,15.937,16.0518,7417.0
2010-04-10,15.9961,16.1004,15.937,16.0518,7417.0
2010-04-11,15.9961,16.1004,15.937,16.0518,7417.0
2010-04-12,16.1004,16.1317,15.8709,16.0309,9277.0
2010-04-13,15.864,15.9683,15.8605,15.9509,20018.0
2010-04-14,16.1004,16.1004,15.8362,15.9196,6180.0
2010-04-15,15.9266,16.2639,15.7179,15.8431,10901.0
2010-04-16,15.7214,15.9022,15.4745,15.4745,6112.0
2010-04-17,15.7214,15.9022,15.4745,15.4745,6112.0
2010-04-18,15.7214,15.9022,15.4745,15.4745,6112.0
2010-04-19,15.405,15.624,15.405,15.4745,8483.0
2010-04-20,15.4745,15.7457,15.4745,15.7179,6496.0
2010-04-21,15.7527,15.9892,15.624,15.8883,5905.0
2010-04-22,15.7875,16.1839,15.7875,15.9613,10876.0
2010-04-23,16.0378,16.1352,15.9753,15.9753,9202.0
2010-04-24,16.0378,16.1352,15.9753,15.9753,9202.0
2010-04-25,16.0378,16.1352,15.9753,15.9753,9202.0
2010-04-26,16.1352,16.3195,16.0831,16.2082,9198.0
2010-04-27,16.1074,16.323,15.9613,15.9613,11623.0
2010-04-28,15.9022,15.9022,15.5093,15.5093,15892.0
2010-04-29,15.777,16.2743,15.7736,16.1874,17389.0
2010-04-30,16.0935,16.1943,15.9127,15.9579,6910.0
2010-05-01,16.0935,16.1943,15.9127,15.9579,6910.0
2010-05-02,16.0935,16.1943,15.9127,15.9579,6910.0
2010-05-03,15.8953,16.0552,15.6762,15.9022,19018.0
2010-05-04,15.8883,16.1735,15.7005,15.8396,6214.0
2010-05-05,15.8709,15.8709,15.6136,15.7075,3383.0
2010-05-06,15.6484,15.784,15.5128,15.7457,6566.0
2010-05-07,15.3354,15.5719,14.7547,15.0503,33626.0
2010-05-08,15.3354,15.5719,14.7547,15.0503,33626.0
2010-05-09,15.3354,15.5719,14.7547,15.0503,33626.0
2010-05-10,15.7666,15.7875,15.2172,15.7875,36397.0
2010-05-11,15.631,15.857,15.5093,15.8396,14045.0
2010-05-12,15.6979,16.0032,15.6979,15.9576,5376.0
2010-05-13,15.9646,16.0593,15.933,15.9891,1269.0
2010-05-14,15.933,16.105,15.8277,15.8277,8105.0
2010-05-15,15.933,16.105,15.8277,15.8277,8105.0
2010-05-16,15.933,16.105,15.8277,15.8277,8105.0
2010-05-17,15.4873,15.7224,15.4768,15.6768,14312.0
2010-05-18,15.7926,16.1085,15.6803,15.7856,9625.0
2010-05-19,15.582,15.7645,15.582,15.761,1858.0
2010-05-20,15.6908,15.74,15.3083,15.4417,11357.0
2010-05-21,15.2522,15.3013,14.9188,15.2311,16563.0
2010-05-22,15.2522,15.3013,14.9188,15.2311,16563.0
2010-05-23,15.2522,15.3013,14.9188,15.2311,16563.0
2010-05-24,15.2486,15.4276,15.2206,15.4206,3388.0
2010-05-25,14.9714,15.1644,14.9152,14.9293,8061.0
2010-05-26,15.4417,15.4417,14.8942,15.0837,2879.0
2010-05-27,15.3118,15.7926,15.3118,15.7926,2007.0
2010-05-28,15.5961,15.9295,15.5961,15.7891,4970.0
2010-05-29,15.5961,15.9295,15.5961,15.7891,4970.0
2010-05-30,15.5961,15.9295,15.5961,15.7891,4970.0
2010-05-31,15.7224,15.8558,15.6417,15.6417,4185.0
2010-06-01,15.7259,15.8102,15.5154,15.7224,13212.0
2010-06-02,15.6557,15.9681,15.6557,15.9681,1284.0
2010-06-03,16.1436,16.3682,16.0734,16.0734,11930.0
2010-06-04,16.0313,16.3717,15.9365,16.0664,9977.0
2010-06-05,16.0313,16.3717,15.9365,16.0664,9977.0
2010-06-06,16.0313,16.3717,15.9365,16.0664,9977.0
2010-06-07,15.7645,15.933,15.7294,15.8382,9735.0
2010-06-08,16.0523,16.0593,15.8803,16.0102,5503.0
2010-06-09,15.9681,16.312,15.9681,16.312,4599.0
2010-06-10,16.1787,16.5858,16.1787,16.5858,8192.0
2010-06-11,16.4664,16.4699,16.1541,16.291,13109.0
2010-06-12,16.4664,16.4699,16.1541,16.291,13109.0
2010-06-13,16.4664,16.4699,16.1541,16.291,13109.0
2010-06-14,16.4945,16.6349,16.4243,16.6349,3976.0
2010-06-15,16.3331,16.7893,16.3331,16.6524,20154.0
2010-06-16,16.9156,16.9156,16.3506,16.4454,3808.0
2010-06-17,16.3541,16.6138,16.1857,16.6138,6233.0
2010-06-18,16.5015,16.5121,16.0628,16.0628,9720.0
2010-06-19,16.5015,16.5121,16.0628,16.0628,9720.0
2010-06-20,16.5015,16.5121,16.0628,16.0628,9720.0
2010-06-21,16.0628,16.6454,16.0628,16.5963,13481.0
2010-06-22,16.498,16.5963,16.484,16.5963,7874.0
2010-06-23,16.3576,16.6665,16.298,16.3717,7894.0
