,AKZA NA Equity,AKZA NA Equity,AKZA NA Equity,AKZA NA Equity,AKZA NA Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,28.6561,28.8294,28.585,28.7056,75800.0
2010-01-02,28.6561,28.8294,28.585,28.7056,75800.0
2010-01-03,28.6561,28.8294,28.585,28.7056,75800.0
2010-01-04,28.8294,29.0335,28.5819,28.9129,705045.0
2010-01-05,28.7984,28.8386,28.5757,28.6933,667136.0
2010-01-06,28.6902,28.9778,28.5262,28.7675,526542.0
2010-01-07,28.6407,28.7489,28.1767,28.3004,781328.0
2010-01-08,28.4149,28.4891,27.9107,28.0993,803340.0
2010-01-09,28.4149,28.4891,27.9107,28.0993,803340.0
2010-01-10,28.4149,28.4891,27.9107,28.0993,803340.0
2010-01-11,27.9323,27.9818,27.3972,27.4436,1075673.0
2010-01-12,27.4003,27.4683,26.9177,27.0383,1076271.0
2010-01-13,26.8187,27.4343,26.6362,27.4126,1158145.0
2010-01-14,27.5178,27.6199,27.0383,27.3786,742824.0
2010-01-15,27.4683,27.6972,26.9734,27.1683,1076799.0
2010-01-16,27.4683,27.6972,26.9734,27.1683,1076799.0
2010-01-17,27.4683,27.6972,26.9734,27.1683,1076799.0
2010-01-18,27.2301,27.3539,27.0167,27.2209,472710.0
2010-01-19,27.2147,27.5178,26.8651,27.3972,616916.0
2010-01-20,27.06,27.3446,26.463,26.6331,1109037.0
2010-01-21,26.7569,26.8435,25.8382,25.9248,1386357.0
2010-01-22,25.9186,26.0578,25.5598,25.8072,935037.0
2010-01-23,25.9186,26.0578,25.5598,25.8072,935037.0
2010-01-24,25.9186,26.0578,25.5598,25.8072,935037.0
2010-01-25,25.5598,26.3021,25.5443,26.1042,1049794.0
2010-01-26,25.8629,26.5032,25.6742,26.4877,1044823.0
2010-01-27,26.3269,26.7878,26.0949,26.6208,1236252.0
2010-01-28,26.9889,27.0909,26.2155,26.2434,833580.0
2010-01-29,26.3578,26.8682,26.0207,26.7414,980477.0
2010-01-30,26.3578,26.8682,26.0207,26.7414,980477.0
2010-01-31,26.3578,26.8682,26.0207,26.7414,980477.0
2010-02-01,26.562,26.8868,26.4661,26.8311,871319.0
2010-02-02,26.9548,27.0476,26.6641,26.9425,592687.0
2010-02-03,27.0971,27.2703,26.8249,27.06,721971.0
2010-02-04,27.1126,27.2394,26.2743,26.4197,1118895.0
2010-02-05,26.2743,26.2929,25.7113,25.8134,1024765.0
2010-02-06,26.2743,26.2929,25.7113,25.8134,1024765.0
2010-02-07,26.2743,26.2929,25.7113,25.8134,1024765.0
2010-02-08,26.1289,26.3547,25.7979,26.1196,935335.0
2010-02-09,26.1073,26.2712,25.7268,26.0732,885609.0
2010-02-10,26.3331,26.5589,26.1506,26.2712,1027536.0
2010-02-11,26.4073,26.7321,26.2001,26.3547,1196465.0
2010-02-12,26.4042,26.5991,25.8103,25.9897,1325852.0
2010-02-13,26.4042,26.5991,25.8103,25.9897,1325852.0
2010-02-14,26.4042,26.5991,25.8103,25.9897,1325852.0
2010-02-15,26.2867,26.4475,26.0702,26.0702,654869.0
2010-02-16,26.2929,26.4259,25.7608,25.9835,1476907.0
2010-02-17,26.1908,26.6115,26.0887,26.3949,1594830.0
2010-02-18,24.87,24.87,23.942,24.4307,7946584.0
2010-02-19,24.2513,24.8019,24.1956,24.6287,2806030.0
2010-02-20,24.2513,24.8019,24.1956,24.6287,2806030.0
2010-02-21,24.2513,24.8019,24.1956,24.6287,2806030.0
2010-02-22,24.7462,24.8452,24.2668,24.3534,1454651.0
