,BBAS3 BZ Equity,BBAS3 BZ Equity,BBAS3 BZ Equity,BBAS3 BZ Equity,BBAS3 BZ Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,10.967,11.287,10.964,11.287,2143800.0
2010-01-02,10.967,11.287,10.964,11.287,2143800.0
2010-01-03,10.967,11.287,10.964,11.287,2143800.0
2010-01-04,11.325,11.401,11.287,11.363,3660200.0
2010-01-05,11.439,11.439,11.093,11.249,3110300.0
2010-01-06,11.207,11.401,11.18,11.264,2749300.0
2010-01-07,11.188,11.29,11.176,11.268,1556900.0
2010-01-08,11.287,11.332,11.199,11.332,2069300.0
2010-01-09,11.287,11.332,11.199,11.332,2069300.0
2010-01-10,11.287,11.332,11.199,11.332,2069300.0
2010-01-11,11.393,11.427,11.256,11.42,2419800.0
2010-01-12,11.344,11.572,11.294,11.325,2696100.0
2010-01-13,11.401,11.507,11.211,11.469,2496200.0
2010-01-14,11.378,11.435,11.23,11.306,1707500.0
2010-01-15,11.268,11.382,11.055,11.116,2213700.0
2010-01-16,11.268,11.382,11.055,11.116,2213700.0
2010-01-17,11.268,11.382,11.055,11.116,2213700.0
2010-01-18,11.211,11.226,11.119,11.119,898900.0
2010-01-19,11.07,11.347,11.032,11.306,1647800.0
2010-01-20,11.214,11.256,10.58,10.967,3585200.0
2010-01-21,11.021,11.032,10.587,10.789,3282700.0
2010-01-22,10.618,10.907,10.618,10.846,2520300.0
2010-01-23,10.618,10.907,10.618,10.846,2520300.0
2010-01-24,10.618,10.907,10.618,10.846,2520300.0
2010-01-25,10.618,10.907,10.618,10.846,2520300.0
2010-01-26,10.641,10.717,10.454,10.553,3808600.0
2010-01-27,10.53,10.641,10.337,10.47,3054000.0
2010-01-28,10.603,10.637,10.31,10.489,4961500.0
2010-01-29,10.53,10.815,10.515,10.679,3537000.0
2010-01-30,10.53,10.815,10.515,10.679,3537000.0
2010-01-31,10.53,10.815,10.515,10.679,3537000.0
2010-02-01,10.777,11.408,10.774,11.401,7900900.0
2010-02-02,11.465,11.686,11.336,11.629,5296800.0
2010-02-03,11.484,11.591,11.271,11.344,2663600.0
2010-02-04,11.249,11.264,10.869,11.135,2942100.0
2010-02-05,10.967,11.097,10.375,10.603,6525300.0
2010-02-06,10.967,11.097,10.375,10.603,6525300.0
2010-02-07,10.967,11.097,10.375,10.603,6525300.0
2010-02-08,10.53,10.8,10.53,10.736,3453600.0
2010-02-09,10.869,11.629,10.853,11.271,5187000.0
2010-02-10,11.42,11.557,11.211,11.553,3358000.0
2010-02-11,11.462,11.842,11.401,11.788,3846000.0
2010-02-12,11.663,11.693,11.382,11.591,2953800.0
2010-02-13,11.663,11.693,11.382,11.591,2953800.0
2010-02-14,11.663,11.693,11.382,11.591,2953800.0
2010-02-15,11.663,11.693,11.382,11.591,2953800.0
2010-02-16,11.663,11.693,11.382,11.591,2953800.0
2010-02-17,11.743,11.83,11.545,11.545,2463900.0
2010-02-18,11.564,11.674,11.503,11.648,2896000.0
2010-02-19,11.549,11.773,11.458,11.671,5057500.0
2010-02-20,11.549,11.773,11.458,11.671,5057500.0
2010-02-21,11.549,11.773,11.458,11.671,5057500.0
2010-02-22,11.724,11.758,11.591,11.629,3436600.0
2010-02-23,11.519,11.61,11.408,11.469,4052800.0
2010-02-24,11.442,11.572,11.382,11.572,4061200.0
2010-02-25,11.344,11.462,11.256,11.401,5105400.0
2010-02-26,11.5,11.578,11.296,11.493,3047400.0
2010-02-27,11.5,11.578,11.296,11.493,3047400.0
2010-02-28,11.5,11.578,11.296,11.493,3047400.0
2010-03-01,11.539,11.608,11.427,11.581,3073500.0
2010-03-02,11.597,11.655,11.439,11.439,3926600.0
2010-03-03,11.469,11.562,11.292,11.358,3650800.0
2010-03-04,11.415,11.427,11.234,11.35,2135300.0
2010-03-05,11.466,11.543,11.4,11.504,1862400.0
2010-03-06,11.466,11.543,11.4,11.504,1862400.0
2010-03-07,11.466,11.543,11.4,11.504,1862400.0
2010-03-08,11.558,11.57,11.342,11.342,3178600.0
2010-03-09,11.307,11.608,11.3,11.543,3514600.0
2010-03-10,11.581,11.686,11.562,11.659,3615400.0
2010-03-11,11.581,11.717,11.527,11.643,1841200.0
2010-03-12,11.747,11.767,11.543,11.543,2021400.0
2010-03-13,11.747,11.767,11.543,11.543,2021400.0
2010-03-14,11.747,11.767,11.543,11.543,2021400.0
2010-03-15,11.524,11.643,11.489,11.585,1397500.0
2010-03-16,11.585,11.724,11.578,11.678,1564000.0
2010-03-17,11.736,11.801,11.531,11.616,2252400.0
2010-03-18,11.574,11.62,11.427,11.52,2671900.0
2010-03-19,11.508,11.558,11.346,11.388,2721200.0
2010-03-20,11.508,11.558,11.346,11.388,2721200.0
2010-03-21,11.508,11.558,11.346,11.388,2721200.0
2010-03-22,11.342,11.574,11.28,11.439,2325500.0
2010-03-23,11.466,11.485,11.342,11.388,1073100.0
2010-03-24,11.276,11.473,11.276,11.388,1979700.0
2010-03-25,11.494,11.556,11.393,11.428,2082300.0
2010-03-26,11.42,11.572,11.409,11.486,2020300.0
2010-03-27,11.42,11.572,11.409,11.486,2020300.0
2010-03-28,11.42,11.572,11.409,11.486,2020300.0
2010-03-29,11.529,11.622,11.506,11.564,2357900.0
2010-03-30,11.603,11.63,11.533,11.548,1546900.0
2010-03-31,11.451,11.603,11.451,11.603,2787900.0
2010-04-01,11.607,11.692,11.467,11.583,3617400.0
2010-04-02,11.607,11.692,11.467,11.583,3617400.0
2010-04-03,11.607,11.692,11.467,11.583,3617400.0
2010-04-04,11.607,11.692,11.467,11.583,3617400.0
2010-04-05,11.622,11.696,11.58,11.661,2285700.0
2010-04-06,11.568,11.7,11.568,11.677,2938600.0
2010-04-07,11.607,11.735,11.56,11.657,3325300.0
2010-04-08,11.56,11.995,11.548,11.96,3906000.0
2010-04-09,11.976,12.089,11.863,12.05,3522400.0
2010-04-10,11.976,12.089,11.863,12.05,3522400.0
2010-04-11,11.976,12.089,11.863,12.05,3522400.0
2010-04-12,12.011,12.167,12.003,12.089,5401600.0
2010-04-13,12.089,12.124,11.898,11.992,1936200.0
2010-04-14,11.817,11.926,11.642,11.875,7281800.0
2010-04-15,11.762,12.042,11.762,12.011,5031400.0
2010-04-16,11.898,12.011,11.797,11.856,4231300.0
2010-04-17,11.898,12.011,11.797,11.856,4231300.0
2010-04-18,11.898,12.011,11.797,11.856,4231300.0
2010-04-19,11.848,11.933,11.657,11.719,2204300.0
2010-04-20,11.762,11.817,11.587,11.638,2744900.0
2010-04-21,11.762,11.817,11.587,11.638,2744900.0
2010-04-22,11.564,11.576,11.389,11.533,3067500.0
2010-04-23,11.475,11.634,11.424,11.603,2873400.0
2010-04-24,11.475,11.634,11.424,11.603,2873400.0
2010-04-25,11.475,11.634,11.424,11.603,2873400.0
2010-04-26,11.657,11.716,11.521,11.591,2246200.0
2010-04-27,11.525,11.587,11.195,11.214,3008300.0
2010-04-28,11.362,11.463,11.23,11.444,3095600.0
2010-04-29,11.436,11.716,11.405,11.661,2760700.0
2010-04-30,11.611,11.817,11.51,11.657,3149000.0
2010-05-01,11.611,11.817,11.51,11.657,3149000.0
2010-05-02,11.611,11.817,11.51,11.657,3149000.0
2010-05-03,11.564,11.669,11.471,11.471,2184500.0
2010-05-04,11.409,11.432,10.888,10.907,6182600.0
2010-05-05,10.884,11.187,10.806,10.973,2941800.0
2010-05-06,10.958,11.039,10.452,10.806,4583300.0
2010-05-07,10.849,10.884,10.254,10.736,3182900.0
2010-05-08,10.849,10.884,10.254,10.736,3182900.0
