,TRPL4 BZ Equity,TRPL4 BZ Equity,TRPL4 BZ Equity,TRPL4 BZ Equity,TRPL4 BZ Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,4.247,4.352,4.21,4.352,421334.0
2010-01-02,4.247,4.352,4.21,4.352,421334.0
2010-01-03,4.247,4.352,4.21,4.352,421334.0
2010-01-04,4.371,4.371,4.306,4.341,487924.0
2010-01-05,4.356,4.426,4.302,4.344,604558.0
2010-01-06,4.341,4.415,4.317,4.323,761549.0
2010-01-07,4.323,4.373,4.295,4.302,614244.0
2010-01-08,4.295,4.324,4.214,4.214,973427.0
2010-01-09,4.295,4.324,4.214,4.214,973427.0
2010-01-10,4.295,4.324,4.214,4.214,973427.0
2010-01-11,4.272,4.295,4.214,4.247,933473.0
2010-01-12,4.254,4.311,4.243,4.298,493574.0
2010-01-13,4.309,4.382,4.262,4.31,433038.0
2010-01-14,4.298,4.325,4.267,4.289,628773.0
2010-01-15,4.264,4.313,4.236,4.297,1010960.0
2010-01-16,4.264,4.313,4.236,4.297,1010960.0
2010-01-17,4.264,4.313,4.236,4.297,1010960.0
2010-01-18,4.264,4.306,4.244,4.244,321247.0
2010-01-19,4.236,4.247,4.206,4.228,519403.0
2010-01-20,4.206,4.226,4.133,4.155,879394.0
2010-01-21,4.158,4.158,4.103,4.124,742985.0
2010-01-22,4.097,4.151,4.067,4.139,983113.0
2010-01-23,4.097,4.151,4.067,4.139,983113.0
2010-01-24,4.097,4.151,4.067,4.139,983113.0
2010-01-25,4.097,4.151,4.067,4.139,983113.0
2010-01-26,4.107,4.151,4.107,4.145,1304764.0
2010-01-27,4.139,4.219,4.127,4.127,654601.0
2010-01-28,4.151,4.162,4.052,4.055,872129.0
2010-01-29,4.09,4.145,3.995,4.077,964548.0
2010-01-30,4.09,4.145,3.995,4.077,964548.0
2010-01-31,4.09,4.145,3.995,4.077,964548.0
2010-02-01,4.062,4.141,4.044,4.09,389048.0
2010-02-02,4.068,4.141,4.068,4.099,369273.0
2010-02-03,4.099,4.12,4.072,4.081,473396.0
2010-02-04,4.081,4.084,3.956,4.01,1537224.0
2010-02-05,3.959,4.057,3.928,4.024,950423.0
2010-02-06,3.959,4.057,3.928,4.024,950423.0
2010-02-07,3.959,4.057,3.928,4.024,950423.0
