,TAEE11 BZ Equity,TAEE11 BZ Equity,TAEE11 BZ Equity,TAEE11 BZ Equity,TAEE11 BZ Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,3.217,3.227,3.217,3.218,199500.0
2010-01-02,3.217,3.227,3.217,3.218,199500.0
2010-01-03,3.217,3.227,3.217,3.218,199500.0
2010-01-04,3.227,3.228,3.221,3.228,133500.0
2010-01-05,3.221,3.228,3.221,3.228,343800.0
2010-01-06,3.228,3.228,3.221,3.228,489900.0
2010-01-07,3.228,3.228,3.224,3.228,130500.0
2010-01-08,3.228,3.228,3.217,3.221,1853400.0
2010-01-09,3.228,3.228,3.217,3.221,1853400.0
2010-01-10,3.228,3.228,3.217,3.221,1853400.0
2010-01-11,3.23,3.23,3.217,3.221,648300.0
2010-01-12,3.221,3.229,3.221,3.225,778200.0
2010-01-13,3.23,3.234,3.221,3.233,3567600.0
2010-01-14,3.23,3.234,3.221,3.233,3567600.0
2010-01-15,3.235,3.235,3.225,3.233,3075000.0
2010-01-16,3.235,3.235,3.225,3.233,3075000.0
2010-01-17,3.235,3.235,3.225,3.233,3075000.0
2010-01-18,3.226,3.233,3.226,3.233,96300.0
2010-01-19,3.233,3.238,3.228,3.228,168300.0
2010-01-20,3.231,3.238,3.231,3.237,129600.0
2010-01-21,3.227,3.237,3.227,3.237,65700.0
2010-01-22,3.231,3.235,3.231,3.235,17700.0
2010-01-23,3.231,3.235,3.231,3.235,17700.0
2010-01-24,3.231,3.235,3.231,3.235,17700.0
2010-01-25,3.231,3.235,3.231,3.235,17700.0
2010-01-26,3.238,3.238,3.223,3.234,79800.0
2010-01-27,3.229,3.238,3.229,3.234,64800.0
2010-01-28,3.231,3.237,3.23,3.236,152700.0
2010-01-29,3.232,3.244,3.232,3.239,158400.0
2010-01-30,3.232,3.244,3.232,3.239,158400.0
2010-01-31,3.232,3.244,3.232,3.239,158400.0
2010-02-01,3.239,3.246,3.239,3.246,64200.0
2010-02-02,3.24,3.245,3.238,3.245,2570700.0
2010-02-03,3.23,3.249,3.23,3.249,18600.0
2010-02-04,3.24,3.246,3.24,3.246,27900.0
2010-02-05,3.247,3.247,3.24,3.247,426600.0
2010-02-06,3.247,3.247,3.24,3.247,426600.0
2010-02-07,3.247,3.247,3.24,3.247,426600.0
2010-02-08,3.247,3.247,3.242,3.242,139200.0
2010-02-09,3.243,3.251,3.24,3.251,3618900.0
2010-02-10,3.251,3.256,3.243,3.256,33000.0
2010-02-11,3.256,3.261,3.256,3.261,17700.0
2010-02-12,3.261,3.261,3.261,3.261,3000.0
2010-02-13,3.261,3.261,3.261,3.261,3000.0
2010-02-14,3.261,3.261,3.261,3.261,3000.0
2010-02-15,3.261,3.261,3.261,3.261,3000.0
2010-02-16,3.261,3.261,3.261,3.261,3000.0
2010-02-17,3.196,3.264,3.196,3.263,15600.0
2010-02-18,3.264,3.264,3.247,3.263,15434700.0
2010-02-19,3.244,3.264,3.244,3.252,47700.0
2010-02-20,3.244,3.264,3.244,3.252,47700.0
2010-02-21,3.244,3.264,3.244,3.252,47700.0
2010-02-22,3.264,3.264,3.264,3.264,4500.0
2010-02-23,3.248,3.264,3.247,3.26,678600.0
2010-02-24,3.263,3.263,3.243,3.263,303600.0
2010-02-25,3.264,3.264,3.243,3.263,292800.0
2010-02-26,3.263,3.263,3.25,3.252,108900.0
2010-02-27,3.263,3.263,3.25,3.252,108900.0
2010-02-28,3.263,3.263,3.25,3.252,108900.0
2010-03-01,3.252,3.265,3.252,3.265,157500.0
2010-03-02,3.252,3.265,3.252,3.265,198000.0
2010-03-03,3.264,3.264,3.264,3.264,4800.0
2010-03-04,3.264,3.264,3.264,3.264,4800.0
2010-03-05,3.265,3.265,3.257,3.26,35100.0
2010-03-06,3.265,3.265,3.257,3.26,35100.0
2010-03-07,3.265,3.265,3.257,3.26,35100.0
2010-03-08,3.257,3.267,3.256,3.267,10500.0
2010-03-09,3.265,3.272,3.265,3.272,111300.0
2010-03-10,3.273,3.273,3.273,3.273,16800.0
2010-03-11,3.273,3.273,3.273,3.273,16800.0
2010-03-12,3.273,3.28,3.273,3.28,353100.0
2010-03-13,3.273,3.28,3.273,3.28,353100.0
2010-03-14,3.273,3.28,3.273,3.28,353100.0
2010-03-15,3.286,3.286,3.282,3.282,623100.0
2010-03-16,3.283,3.288,3.283,3.288,114300.0
2010-03-17,3.288,3.29,3.288,3.29,383100.0
2010-03-18,3.291,3.291,3.29,3.29,21900.0
2010-03-19,3.287,3.298,3.287,3.298,199200.0
2010-03-20,3.287,3.298,3.287,3.298,199200.0
2010-03-21,3.287,3.298,3.287,3.298,199200.0
2010-03-22,3.291,3.291,3.291,3.291,8700.0
2010-03-23,3.295,3.296,3.294,3.296,309000.0
2010-03-24,3.296,3.298,3.296,3.298,3600.0
2010-03-25,3.299,3.301,3.299,3.3,131400.0
2010-03-26,3.302,3.302,3.296,3.296,304500.0
2010-03-27,3.302,3.302,3.296,3.296,304500.0
2010-03-28,3.302,3.302,3.296,3.296,304500.0
2010-03-29,3.297,3.304,3.297,3.304,162900.0
2010-03-30,3.299,3.303,3.299,3.302,3471600.0
2010-03-31,3.3,3.305,3.3,3.304,936600.0
2010-04-01,3.302,3.304,3.302,3.304,25200.0
2010-04-02,3.302,3.304,3.302,3.304,25200.0
2010-04-03,3.302,3.304,3.302,3.304,25200.0
2010-04-04,3.302,3.304,3.302,3.304,25200.0
2010-04-05,3.299,3.307,3.299,3.307,900.0
2010-04-06,3.303,3.308,3.303,3.308,162600.0
2010-04-07,3.274,3.312,3.274,3.308,324000.0
2010-04-08,3.308,3.314,3.308,3.313,20700.0
2010-04-09,3.308,3.316,3.308,3.313,59700.0
2010-04-10,3.308,3.316,3.308,3.313,59700.0
2010-04-11,3.308,3.316,3.308,3.313,59700.0
2010-04-12,3.315,3.315,3.309,3.309,74400.0
2010-04-13,3.31,3.316,3.31,3.316,7500.0
2010-04-14,3.316,3.316,3.31,3.315,30600.0
2010-04-15,3.318,3.318,3.312,3.318,18000.0
2010-04-16,3.316,3.318,3.316,3.318,27600.0
2010-04-17,3.316,3.318,3.316,3.318,27600.0
2010-04-18,3.316,3.318,3.316,3.318,27600.0
2010-04-19,3.321,3.321,3.315,3.321,5700.0
2010-04-20,3.321,3.321,3.318,3.318,23100.0
2010-04-21,3.321,3.321,3.318,3.318,23100.0
2010-04-22,3.322,3.327,3.316,3.326,23400.0
2010-04-23,3.325,3.326,3.325,3.326,16200.0
2010-04-24,3.325,3.326,3.325,3.326,16200.0
2010-04-25,3.325,3.326,3.325,3.326,16200.0
2010-04-26,3.318,3.327,3.318,3.327,36900.0
2010-04-27,3.328,3.328,3.323,3.328,21600.0
2010-04-28,3.325,3.331,3.316,3.323,81300.0
2010-04-29,3.329,3.33,3.329,3.33,6000.0
2010-04-30,3.325,3.333,3.325,3.325,241200.0
2010-05-01,3.325,3.333,3.325,3.325,241200.0
2010-05-02,3.325,3.333,3.325,3.325,241200.0
2010-05-03,3.334,3.34,3.299,3.327,58800.0
2010-05-04,3.305,3.336,3.305,3.311,42300.0
2010-05-05,3.311,3.359,3.273,3.282,39300.0
2010-05-06,3.336,3.336,3.332,3.335,9000.0
2010-05-07,3.336,3.336,3.186,3.186,195900.0
2010-05-08,3.336,3.336,3.186,3.186,195900.0
2010-05-09,3.336,3.336,3.186,3.186,195900.0
2010-05-10,3.186,3.187,3.016,3.153,28800.0
2010-05-11,2.584,2.584,2.584,2.584,28200.0
2010-05-12,2.627,2.834,2.511,2.61,256200.0
2010-05-13,2.67,2.755,2.67,2.755,2400.0
2010-05-14,2.756,2.756,2.596,2.67,43500.0
2010-05-15,2.756,2.756,2.596,2.67,43500.0
2010-05-16,2.756,2.756,2.596,2.67,43500.0
2010-05-17,2.756,2.756,2.596,2.67,43500.0
2010-05-18,2.713,2.713,2.627,2.627,11700.0
2010-05-19,2.601,2.657,2.594,2.653,8400.0
