,BRSR6 BZ Equity,BRSR6 BZ Equity,BRSR6 BZ Equity,BRSR6 BZ Equity,BRSR6 BZ Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,5.456,5.728,5.456,5.728,439500.0
2010-01-02,5.456,5.728,5.456,5.728,439500.0
2010-01-03,5.456,5.728,5.456,5.728,439500.0
2010-01-04,5.728,5.728,5.6,5.689,398500.0
2010-01-05,5.689,5.736,5.487,5.573,828100.0
2010-01-06,5.6,5.658,5.569,5.592,252700.0
2010-01-07,5.569,5.635,5.424,5.495,568400.0
2010-01-08,5.514,5.588,5.424,5.456,215600.0
2010-01-09,5.514,5.588,5.424,5.456,215600.0
2010-01-10,5.514,5.588,5.424,5.456,215600.0
2010-01-11,5.537,5.721,5.459,5.553,339700.0
2010-01-12,5.553,5.619,5.397,5.53,637600.0
2010-01-13,5.545,5.736,5.405,5.736,670700.0
2010-01-14,5.717,5.717,5.491,5.58,401600.0
2010-01-15,5.573,5.643,5.483,5.534,1400100.0
2010-01-16,5.573,5.643,5.483,5.534,1400100.0
2010-01-17,5.573,5.643,5.483,5.534,1400100.0
2010-01-18,5.53,5.728,5.498,5.67,186500.0
2010-01-19,5.67,5.9,5.565,5.837,522200.0
2010-01-20,5.841,5.919,5.495,5.705,580700.0
2010-01-21,5.736,5.845,5.522,5.573,420700.0
2010-01-22,5.463,5.65,5.459,5.553,352100.0
2010-01-23,5.463,5.65,5.459,5.553,352100.0
2010-01-24,5.463,5.65,5.459,5.553,352100.0
2010-01-25,5.463,5.65,5.459,5.553,352100.0
2010-01-26,5.553,5.553,5.343,5.456,474400.0
2010-01-27,5.409,5.436,5.187,5.222,439600.0
2010-01-28,5.28,5.448,5.035,5.136,845700.0
2010-01-29,5.183,5.195,4.937,5.105,778300.0
2010-01-30,5.183,5.195,4.937,5.105,778300.0
2010-01-31,5.183,5.195,4.937,5.105,778300.0
2010-02-01,5.085,5.195,5.046,5.148,666400.0
2010-02-02,5.206,5.28,5.183,5.261,680400.0
2010-02-03,5.296,5.366,5.167,5.257,661800.0
2010-02-04,5.202,5.245,4.98,5.046,314200.0
2010-02-05,5.093,5.093,4.727,4.976,665100.0
2010-02-06,5.093,5.093,4.727,4.976,665100.0
2010-02-07,5.093,5.093,4.727,4.976,665100.0
2010-02-08,5.039,5.066,4.891,5.066,675600.0
2010-02-09,5.074,5.417,5.074,5.374,743300.0
2010-02-10,5.448,5.643,5.272,5.452,458800.0
2010-02-11,5.417,5.518,5.269,5.518,390000.0
2010-02-12,5.518,5.537,5.409,5.471,310200.0
2010-02-13,5.518,5.537,5.409,5.471,310200.0
2010-02-14,5.518,5.537,5.409,5.471,310200.0
2010-02-15,5.518,5.537,5.409,5.471,310200.0
2010-02-16,5.518,5.537,5.409,5.471,310200.0
2010-02-17,5.51,5.717,5.491,5.576,729800.0
2010-02-18,5.584,5.627,5.479,5.611,475900.0
2010-02-19,5.584,5.724,5.569,5.682,713800.0
2010-02-20,5.584,5.724,5.569,5.682,713800.0
2010-02-21,5.584,5.724,5.569,5.682,713800.0
2010-02-22,5.701,5.802,5.635,5.767,2705100.0
2010-02-23,5.748,5.802,5.549,5.611,849300.0
2010-02-24,5.627,5.627,5.506,5.592,104700.0
2010-02-25,5.549,5.686,5.436,5.67,334600.0
2010-02-26,5.705,5.74,5.522,5.647,560400.0
2010-02-27,5.705,5.74,5.522,5.647,560400.0
2010-02-28,5.705,5.74,5.522,5.647,560400.0
2010-03-01,5.713,6.017,5.689,5.806,284900.0
2010-03-02,5.791,5.892,5.709,5.728,258900.0
2010-03-03,5.767,5.822,5.65,5.767,504800.0
2010-03-04,5.81,5.81,5.565,5.65,343600.0
2010-03-05,5.728,5.744,5.573,5.608,315700.0
2010-03-06,5.728,5.744,5.573,5.608,315700.0
2010-03-07,5.728,5.744,5.573,5.608,315700.0
2010-03-08,5.699,5.809,5.581,5.782,867700.0
2010-03-09,5.817,5.915,5.809,5.915,754900.0
2010-03-10,5.88,5.915,5.841,5.903,1422500.0
2010-03-11,5.852,5.876,5.754,5.876,602400.0
2010-03-12,5.805,5.896,5.758,5.801,144100.0
2010-03-13,5.805,5.896,5.758,5.801,144100.0
2010-03-14,5.805,5.896,5.758,5.801,144100.0
2010-03-15,5.825,5.837,5.695,5.837,837700.0
2010-03-16,5.837,5.911,5.837,5.892,585400.0
2010-03-17,5.911,6.002,5.793,5.86,1085000.0
2010-03-18,5.856,5.896,5.683,5.774,390000.0
2010-03-19,5.821,5.821,5.636,5.715,1014800.0
2010-03-20,5.821,5.821,5.636,5.715,1014800.0
2010-03-21,5.821,5.821,5.636,5.715,1014800.0
2010-03-22,5.699,5.774,5.656,5.738,716000.0
2010-03-23,5.738,5.892,5.695,5.892,621300.0
2010-03-24,5.947,5.947,5.679,5.746,737900.0
2010-03-25,5.825,5.848,5.675,5.742,881400.0
2010-03-26,5.703,5.789,5.624,5.699,612400.0
2010-03-27,5.703,5.789,5.624,5.699,612400.0
2010-03-28,5.703,5.789,5.624,5.699,612400.0
2010-03-29,5.754,5.837,5.715,5.738,1299300.0
2010-03-30,5.746,5.837,5.691,5.73,270700.0
2010-03-31,5.782,5.856,5.707,5.856,665400.0
2010-04-01,5.888,5.888,5.561,5.601,1115800.0
2010-04-02,5.888,5.888,5.561,5.601,1115800.0
2010-04-03,5.888,5.888,5.561,5.601,1115800.0
2010-04-04,5.888,5.888,5.561,5.601,1115800.0
2010-04-05,5.64,5.64,5.467,5.581,435500.0
2010-04-06,5.573,5.636,5.381,5.4,726800.0
2010-04-07,5.408,5.601,5.31,5.601,712600.0
2010-04-08,5.601,5.837,5.503,5.837,281100.0
2010-04-09,5.817,6.104,5.789,6.092,1385500.0
2010-04-10,5.817,6.104,5.789,6.092,1385500.0
2010-04-11,5.817,6.104,5.789,6.092,1385500.0
2010-04-12,6.088,6.088,5.896,5.899,475000.0
2010-04-13,5.896,5.896,5.64,5.66,408100.0
2010-04-14,5.679,5.77,5.624,5.734,107900.0
2010-04-15,5.77,5.868,5.687,5.868,93600.0
2010-04-16,5.848,5.848,5.601,5.62,191500.0
2010-04-17,5.848,5.848,5.601,5.62,191500.0
2010-04-18,5.848,5.848,5.601,5.62,191500.0
2010-04-19,5.624,5.664,5.467,5.561,343100.0
2010-04-20,5.503,5.738,5.503,5.644,436300.0
2010-04-21,5.503,5.738,5.503,5.644,436300.0
2010-04-22,5.644,5.77,5.589,5.727,729800.0
2010-04-23,5.758,5.77,5.491,5.503,281500.0
