,CSAN3 BZ Equity,CSAN3 BZ Equity,CSAN3 BZ Equity,CSAN3 BZ Equity,CSAN3 BZ Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,3.832,3.948,3.823,3.948,3824800.0
2010-01-02,3.832,3.948,3.823,3.948,3824800.0
2010-01-03,3.832,3.948,3.823,3.948,3824800.0
2010-01-04,3.925,3.947,3.817,3.933,3984000.0
2010-01-05,3.951,3.991,3.836,3.934,8177600.0
2010-01-06,3.905,3.948,3.789,3.822,7622400.0
2010-01-07,3.771,3.786,3.524,3.618,30348000.0
2010-01-08,3.623,3.743,3.516,3.65,26796000.0
2010-01-09,3.623,3.743,3.516,3.65,26796000.0
2010-01-10,3.623,3.743,3.516,3.65,26796000.0
2010-01-11,3.732,3.74,3.618,3.663,7146400.0
2010-01-12,3.647,3.732,3.524,3.586,7426400.0
2010-01-13,3.644,3.65,3.521,3.555,8333200.0
2010-01-14,3.563,3.658,3.552,3.64,5675200.0
2010-01-15,3.62,3.655,3.556,3.613,5149200.0
2010-01-16,3.62,3.655,3.556,3.613,5149200.0
2010-01-17,3.62,3.655,3.556,3.613,5149200.0
2010-01-18,3.613,3.652,3.593,3.595,1891200.0
2010-01-19,3.57,3.627,3.558,3.627,3212400.0
2010-01-20,3.6,3.609,3.47,3.498,3645600.0
2010-01-21,3.498,3.518,3.32,3.37,3184000.0
2010-01-22,3.347,3.547,3.265,3.532,6081600.0
2010-01-23,3.347,3.547,3.265,3.532,6081600.0
2010-01-24,3.347,3.547,3.265,3.532,6081600.0
2010-01-25,3.347,3.547,3.265,3.532,6081600.0
2010-01-26,3.504,3.529,3.354,3.49,5925600.0
2010-01-27,3.472,3.492,3.356,3.451,4209600.0
2010-01-28,3.472,3.519,3.322,3.362,4226400.0
2010-01-29,3.391,3.433,3.285,3.285,4384400.0
2010-01-30,3.391,3.433,3.285,3.285,4384400.0
2010-01-31,3.391,3.433,3.285,3.285,4384400.0
2010-02-01,3.47,3.709,3.47,3.637,16539600.0
2010-02-02,3.701,3.758,3.583,3.609,10282000.0
2010-02-03,3.629,3.715,3.624,3.677,12135600.0
2010-02-04,3.672,3.704,3.564,3.589,8368800.0
2010-02-05,3.493,3.615,3.433,3.609,9828000.0
2010-02-06,3.493,3.615,3.433,3.609,9828000.0
2010-02-07,3.493,3.615,3.433,3.609,9828000.0
2010-02-08,3.661,3.778,3.644,3.778,8160000.0
2010-02-09,3.795,3.894,3.795,3.871,8962000.0
2010-02-10,3.894,3.894,3.732,3.825,8641600.0
2010-02-11,3.809,3.809,3.691,3.737,9524000.0
2010-02-12,3.694,3.763,3.641,3.757,4123200.0
2010-02-13,3.694,3.763,3.641,3.757,4123200.0
2010-02-14,3.694,3.763,3.641,3.757,4123200.0
2010-02-15,3.694,3.763,3.641,3.757,4123200.0
2010-02-16,3.694,3.763,3.641,3.757,4123200.0
2010-02-17,3.792,3.906,3.745,3.771,4394000.0
2010-02-18,3.771,3.794,3.708,3.794,2552400.0
2010-02-19,3.752,3.825,3.732,3.761,2455200.0
2010-02-20,3.752,3.825,3.732,3.761,2455200.0
2010-02-21,3.752,3.825,3.732,3.761,2455200.0
2010-02-22,3.761,3.798,3.709,3.749,3651200.0
2010-02-23,3.749,3.761,3.618,3.663,5772800.0
2010-02-24,3.664,3.721,3.546,3.586,5690800.0
2010-02-25,3.559,3.623,3.487,3.623,6876800.0
2010-02-26,3.601,3.643,3.558,3.63,5136800.0
2010-02-27,3.601,3.643,3.558,3.63,5136800.0
2010-02-28,3.601,3.643,3.558,3.63,5136800.0
2010-03-01,3.632,3.652,3.613,3.624,2671200.0
2010-03-02,3.65,3.686,3.587,3.646,4244800.0
2010-03-03,3.67,3.677,3.556,3.604,4871600.0
2010-03-04,3.603,3.603,3.456,3.501,9089600.0
2010-03-05,3.532,3.539,3.39,3.45,11227600.0
2010-03-06,3.532,3.539,3.39,3.45,11227600.0
2010-03-07,3.532,3.539,3.39,3.45,11227600.0
2010-03-08,3.462,3.509,3.427,3.467,4570000.0
2010-03-09,3.436,3.504,3.424,3.468,4535600.0
2010-03-10,3.484,3.556,3.475,3.516,6498000.0
2010-03-11,3.53,3.544,3.447,3.478,2516000.0
2010-03-12,3.51,3.539,3.473,3.522,4204400.0
2010-03-13,3.51,3.539,3.473,3.522,4204400.0
2010-03-14,3.51,3.539,3.473,3.522,4204400.0
2010-03-15,3.502,3.538,3.484,3.493,1606800.0
2010-03-16,3.489,3.516,3.462,3.493,2398400.0
2010-03-17,3.495,3.576,3.462,3.576,5348400.0
2010-03-18,3.586,3.663,3.533,3.609,7775600.0
2010-03-19,3.624,3.646,3.555,3.62,2912800.0
