,EGIE3 BZ Equity,EGIE3 BZ Equity,EGIE3 BZ Equity,EGIE3 BZ Equity,EGIE3 BZ Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,7.544,7.597,7.424,7.597,853875.0
2010-01-02,7.544,7.597,7.424,7.597,853875.0
2010-01-03,7.544,7.597,7.424,7.597,853875.0
2010-01-04,7.586,7.629,7.548,7.615,924625.0
2010-01-05,7.569,7.675,7.565,7.675,1208000.0
2010-01-06,7.653,7.713,7.53,7.597,1187875.0
2010-01-07,7.622,7.682,7.586,7.646,545375.0
2010-01-08,7.622,7.661,7.558,7.583,1082625.0
2010-01-09,7.622,7.661,7.558,7.583,1082625.0
2010-01-10,7.622,7.661,7.558,7.583,1082625.0
2010-01-11,7.622,7.643,7.452,7.452,946000.0
2010-01-12,7.498,7.498,7.364,7.445,1737375.0
2010-01-13,7.477,7.481,7.294,7.375,1154125.0
2010-01-14,7.375,7.459,7.315,7.339,745250.0
2010-01-15,7.375,7.375,7.174,7.216,726375.0
2010-01-16,7.375,7.375,7.174,7.216,726375.0
2010-01-17,7.375,7.375,7.174,7.216,726375.0
2010-01-18,7.234,7.234,7.17,7.234,643250.0
2010-01-19,7.216,7.283,7.11,7.283,814375.0
2010-01-20,7.265,7.276,7.114,7.276,626000.0
2010-01-21,7.311,7.322,7.131,7.276,827250.0
2010-01-22,7.237,7.332,7.142,7.332,1507000.0
2010-01-23,7.237,7.332,7.142,7.332,1507000.0
2010-01-24,7.237,7.332,7.142,7.332,1507000.0
2010-01-25,7.237,7.332,7.142,7.332,1507000.0
2010-01-26,7.17,7.269,7.159,7.269,893500.0
2010-01-27,7.174,7.301,7.167,7.216,868000.0
2010-01-28,7.279,7.279,7.156,7.198,763750.0
2010-01-29,7.23,7.269,7.075,7.138,921375.0
2010-01-30,7.23,7.269,7.075,7.138,921375.0
2010-01-31,7.23,7.269,7.075,7.138,921375.0
2010-02-01,7.174,7.177,7.057,7.145,835875.0
2010-02-02,7.167,7.216,7.022,7.022,937375.0
2010-02-03,7.057,7.075,7.011,7.036,1044500.0
2010-02-04,7.04,7.05,6.821,6.898,1771625.0
2010-02-05,6.821,7.001,6.764,6.969,2001125.0
2010-02-06,6.821,7.001,6.764,6.969,2001125.0
2010-02-07,6.821,7.001,6.764,6.969,2001125.0
2010-02-08,6.916,7.04,6.877,6.987,1188125.0
2010-02-09,6.997,7.036,6.895,6.948,1400750.0
2010-02-10,6.958,7.015,6.793,6.916,1565000.0
2010-02-11,6.916,7.163,6.856,7.156,992000.0
2010-02-12,7.121,7.209,7.068,7.198,1215375.0
2010-02-13,7.121,7.209,7.068,7.198,1215375.0
2010-02-14,7.121,7.209,7.068,7.198,1215375.0
2010-02-15,7.121,7.209,7.068,7.198,1215375.0
2010-02-16,7.121,7.209,7.068,7.198,1215375.0
2010-02-17,7.205,7.325,7.128,7.315,737625.0
2010-02-18,7.294,7.406,7.234,7.406,1228875.0
2010-02-19,7.332,7.406,7.219,7.364,862375.0
2010-02-20,7.332,7.406,7.219,7.364,862375.0
2010-02-21,7.332,7.406,7.219,7.364,862375.0
2010-02-22,7.41,7.428,7.248,7.322,918875.0
2010-02-23,7.357,7.357,7.107,7.297,1342000.0
2010-02-24,7.357,7.357,7.142,7.287,672000.0
2010-02-25,7.336,7.375,7.149,7.322,1112500.0
2010-02-26,7.375,7.403,7.205,7.308,681625.0
2010-02-27,7.375,7.403,7.205,7.308,681625.0
2010-02-28,7.375,7.403,7.205,7.308,681625.0
2010-03-01,7.255,7.308,7.205,7.216,860375.0
2010-03-02,7.219,7.258,7.114,7.159,1323625.0
2010-03-03,7.124,7.272,7.121,7.234,1272250.0
2010-03-04,7.294,7.294,7.145,7.265,570000.0
2010-03-05,7.265,7.336,7.159,7.248,1090625.0
2010-03-06,7.265,7.336,7.159,7.248,1090625.0
2010-03-07,7.265,7.336,7.159,7.248,1090625.0
2010-03-08,7.195,7.276,7.131,7.135,640250.0
2010-03-09,7.138,7.234,7.092,7.223,2014125.0
2010-03-10,7.23,7.287,7.181,7.287,1119875.0
2010-03-11,7.283,7.318,7.234,7.318,556250.0
2010-03-12,7.329,7.332,7.216,7.241,599250.0
2010-03-13,7.329,7.332,7.216,7.241,599250.0
2010-03-14,7.329,7.332,7.216,7.241,599250.0
2010-03-15,7.255,7.258,7.163,7.223,495500.0
2010-03-16,7.255,7.262,7.195,7.219,1051375.0
2010-03-17,7.234,7.262,7.198,7.255,948500.0
2010-03-18,7.262,7.272,7.205,7.248,1163000.0
2010-03-19,7.223,7.272,7.149,7.198,546875.0
2010-03-20,7.223,7.272,7.149,7.198,546875.0
2010-03-21,7.223,7.272,7.149,7.198,546875.0
2010-03-22,7.198,7.198,7.099,7.181,361750.0
2010-03-23,7.191,7.195,7.103,7.128,567125.0
2010-03-24,7.057,7.142,7.057,7.057,642375.0
2010-03-25,7.075,7.156,7.057,7.145,804125.0
2010-03-26,7.145,7.145,7.057,7.138,269875.0
2010-03-27,7.145,7.145,7.057,7.138,269875.0
2010-03-28,7.145,7.145,7.057,7.138,269875.0
2010-03-29,7.138,7.138,7.071,7.096,348500.0
2010-03-30,7.11,7.11,7.057,7.11,441000.0
2010-03-31,7.096,7.103,6.944,7.054,1235125.0
2010-04-01,7.085,7.085,6.99,7.082,1353500.0
2010-04-02,7.085,7.085,6.99,7.082,1353500.0
2010-04-03,7.085,7.085,6.99,7.082,1353500.0
2010-04-04,7.085,7.085,6.99,7.082,1353500.0
2010-04-05,7.096,7.099,7.043,7.075,1963750.0
2010-04-06,7.075,7.163,7.057,7.163,451250.0
2010-04-07,7.163,7.216,7.089,7.216,634875.0
2010-04-08,7.17,7.283,7.163,7.283,501125.0
2010-04-09,7.209,7.294,7.177,7.234,751375.0
2010-04-10,7.209,7.294,7.177,7.234,751375.0
2010-04-11,7.209,7.294,7.177,7.234,751375.0
2010-04-12,7.198,7.318,7.181,7.198,421375.0
2010-04-13,7.301,7.318,7.163,7.318,758125.0
2010-04-14,7.279,7.406,7.219,7.357,705000.0
2010-04-15,7.389,7.389,7.304,7.368,569625.0
2010-04-16,7.361,7.361,7.255,7.294,331500.0
2010-04-17,7.361,7.361,7.255,7.294,331500.0
2010-04-18,7.361,7.361,7.255,7.294,331500.0
2010-04-19,7.227,7.47,7.223,7.424,794250.0
2010-04-20,7.41,7.509,7.371,7.498,665500.0
2010-04-21,7.41,7.509,7.371,7.498,665500.0
2010-04-22,7.516,7.841,7.41,7.837,2536375.0
2010-04-23,7.812,7.975,7.685,7.9,1420625.0
2010-04-24,7.812,7.975,7.685,7.9,1420625.0
2010-04-25,7.812,7.975,7.685,7.9,1420625.0
2010-04-26,7.89,7.929,7.728,7.763,1124125.0
2010-04-27,7.724,7.795,7.618,7.71,476250.0
2010-04-28,7.703,7.784,7.639,7.763,598875.0
2010-04-29,7.713,7.953,7.713,7.869,512375.0
2010-04-30,7.833,7.9,7.766,7.816,414375.0
2010-05-01,7.833,7.9,7.766,7.816,414375.0
2010-05-02,7.833,7.9,7.766,7.816,414375.0
2010-05-03,7.932,7.932,7.692,7.692,366375.0
2010-05-04,7.696,7.816,7.481,7.728,818125.0
2010-05-05,7.59,7.816,7.519,7.791,814250.0
2010-05-06,7.735,7.777,7.534,7.604,597125.0
2010-05-07,7.599,7.663,7.453,7.542,565500.0
2010-05-08,7.599,7.663,7.453,7.542,565500.0
2010-05-09,7.599,7.663,7.453,7.542,565500.0
2010-05-10,7.642,7.787,7.482,7.595,403625.0
2010-05-11,7.588,7.624,7.496,7.624,219250.0
2010-05-12,7.595,7.702,7.56,7.702,481000.0
2010-05-13,7.606,7.702,7.571,7.695,318000.0
2010-05-14,7.666,7.709,7.503,7.606,822250.0
2010-05-15,7.666,7.709,7.503,7.606,822250.0
2010-05-16,7.666,7.709,7.503,7.606,822250.0
2010-05-17,7.606,7.634,7.475,7.613,447750.0
2010-05-18,7.659,7.659,7.514,7.571,342750.0
2010-05-19,7.56,7.592,7.354,7.556,664750.0
2010-05-20,7.453,7.453,7.173,7.173,1807500.0
2010-05-21,7.237,7.372,7.141,7.191,714500.0
2010-05-22,7.237,7.372,7.141,7.191,714500.0
2010-05-23,7.237,7.372,7.141,7.191,714500.0
2010-05-24,7.24,7.333,7.187,7.269,146875.0
2010-05-25,7.098,7.226,7.003,7.205,597125.0
2010-05-26,7.159,7.287,7.159,7.287,621000.0
2010-05-27,7.276,7.301,7.198,7.297,600500.0
2010-05-28,7.29,7.29,7.159,7.219,555875.0
2010-05-29,7.29,7.29,7.159,7.219,555875.0
2010-05-30,7.29,7.29,7.159,7.219,555875.0
2010-05-31,7.255,7.326,7.162,7.326,408375.0
2010-06-01,7.205,7.262,7.077,7.077,400750.0
2010-06-02,7.088,7.18,6.953,7.045,588250.0
2010-06-03,7.088,7.18,6.953,7.045,588250.0
2010-06-04,7.187,7.187,6.981,7.098,613000.0
2010-06-05,7.187,7.187,6.981,7.098,613000.0
2010-06-06,7.187,7.187,6.981,7.098,613000.0
2010-06-07,7.12,7.255,7.109,7.24,794500.0
2010-06-08,7.311,7.354,7.219,7.329,756375.0
2010-06-09,7.372,7.457,7.258,7.382,888625.0
2010-06-10,7.443,7.443,7.315,7.436,237375.0
2010-06-11,7.429,7.429,7.294,7.382,250500.0
2010-06-12,7.429,7.429,7.294,7.382,250500.0
2010-06-13,7.429,7.429,7.294,7.382,250500.0
2010-06-14,7.35,7.521,7.304,7.397,285750.0
2010-06-15,7.45,7.546,7.372,7.521,496625.0
2010-06-16,7.468,7.482,7.347,7.436,484500.0
2010-06-17,7.489,7.556,7.319,7.347,856750.0
2010-06-18,7.347,7.457,7.319,7.457,598875.0
2010-06-19,7.347,7.457,7.319,7.457,598875.0
2010-06-20,7.347,7.457,7.319,7.457,598875.0
2010-06-21,7.471,7.489,7.375,7.411,258875.0
2010-06-22,7.35,7.471,7.326,7.326,545125.0
