,ADVANC TB Equity
,RETURN_COM_EQY
2010-01-01,23.6004
2010-01-02,23.6004
2010-01-03,23.6004
2010-01-04,23.6004
2010-01-05,23.6004
2010-01-06,23.6004
2010-01-07,23.6004
2010-01-08,23.6004
2010-01-09,23.6004
2010-01-10,23.6004
2010-01-11,23.6004
2010-01-12,23.6004
2010-01-13,23.6004
2010-01-14,23.6004
2010-01-15,23.6004
2010-01-16,23.6004
2010-01-17,23.6004
2010-01-18,23.6004
2010-01-19,23.6004
2010-01-20,23.6004
2010-01-21,23.6004
2010-01-22,23.6004
2010-01-23,23.6004
2010-01-24,23.6004
2010-01-25,23.6004
2010-01-26,23.6004
2010-01-27,23.6004
2010-01-28,23.6004
2010-01-29,23.6004
2010-01-30,23.6004
2010-01-31,23.6004
2010-02-01,23.6004
2010-02-02,23.6004
2010-02-03,23.6004
2010-02-04,23.6004
2010-02-05,23.6004
2010-02-06,23.6004
2010-02-07,23.6004
2010-02-08,23.6004
2010-02-09,23.6004
2010-02-10,23.6004
2010-02-11,23.6004
2010-02-12,23.6004
2010-02-13,23.6004
2010-02-14,23.6004
2010-02-15,23.6004
2010-02-16,23.6004
2010-02-17,23.6004
2010-02-18,23.6004
2010-02-19,23.6004
2010-02-20,23.6004
2010-02-21,23.6004
2010-02-22,23.6004
2010-02-23,23.6004
2010-02-24,23.6004
2010-02-25,23.6004
2010-02-26,23.6004
2010-02-27,23.6004
2010-02-28,23.6004
2010-03-01,23.6004
2010-03-02,23.6004
2010-03-03,23.6004
2010-03-04,23.6004
2010-03-05,23.6004
2010-03-06,23.6004
2010-03-07,23.6004
2010-03-08,23.6004
2010-03-09,23.6004
2010-03-10,23.6004
2010-03-11,23.6004
2010-03-12,23.6004
2010-03-13,23.6004
2010-03-14,23.6004
2010-03-15,23.6004
2010-03-16,23.6004
2010-03-17,23.6004
2010-03-18,23.6004
2010-03-19,23.6004
2010-03-20,23.6004
2010-03-21,23.6004
2010-03-22,23.6004
2010-03-23,23.6004
2010-03-24,23.6004
2010-03-25,23.6004
2010-03-26,23.6004
2010-03-27,23.6004
2010-03-28,23.6004
2010-03-29,23.6004
2010-03-30,23.6004
2010-03-31,22.6361
2010-04-01,22.6361
2010-04-02,22.6361
2010-04-03,22.6361
2010-04-04,22.6361
2010-04-05,22.6361
2010-04-06,22.6361
2010-04-07,22.6361
2010-04-08,22.6361
2010-04-09,22.6361
2010-04-10,22.6361
2010-04-11,22.6361
2010-04-12,22.6361
2010-04-13,22.6361
2010-04-14,22.6361
2010-04-15,22.6361
2010-04-16,22.6361
2010-04-17,22.6361
2010-04-18,22.6361
2010-04-19,22.6361
2010-04-20,22.6361
2010-04-21,22.6361
2010-04-22,22.6361
2010-04-23,22.6361
2010-04-24,22.6361
2010-04-25,22.6361
2010-04-26,22.6361
2010-04-27,22.6361
2010-04-28,22.6361
2010-04-29,22.6361
2010-04-30,22.6361
2010-05-01,22.6361
2010-05-02,22.6361
2010-05-03,22.6361
2010-05-04,22.6361
2010-05-05,22.6361
2010-05-06,22.6361
2010-05-07,22.6361
2010-05-08,22.6361
2010-05-09,22.6361
2010-05-10,22.6361
2010-05-11,22.6361
2010-05-12,22.6361
2010-05-13,22.6361
2010-05-14,22.6361
2010-05-15,22.6361
2010-05-16,22.6361
2010-05-17,22.6361
2010-05-18,22.6361
2010-05-19,22.6361
2010-05-20,22.6361
2010-05-21,22.6361
2010-05-22,22.6361
2010-05-23,22.6361
2010-05-24,22.6361
2010-05-25,22.6361
2010-05-26,22.6361
2010-05-27,22.6361
2010-05-28,22.6361
2010-05-29,22.6361
2010-05-30,22.6361
2010-05-31,22.6361
2010-06-01,22.6361
2010-06-02,22.6361
2010-06-03,22.6361
2010-06-04,22.6361
2010-06-05,22.6361
2010-06-06,22.6361
2010-06-07,22.6361
2010-06-08,22.6361
2010-06-09,22.6361
