,SYF US Equity
,RETURN_COM_EQY
2020-01-01,25.8271
2020-01-02,25.8271
2020-01-03,25.8271
2020-01-04,25.8271
2020-01-05,25.8271
2020-01-06,25.8271
2020-01-07,25.8271
2020-01-08,25.8271
2020-01-09,25.8271
2020-01-10,25.8271
2020-01-11,25.8271
2020-01-12,25.8271
2020-01-13,25.8271
2020-01-14,25.8271
2020-01-15,25.8271
2020-01-16,25.8271
2020-01-17,25.8271
2020-01-18,25.8271
2020-01-19,25.8271
2020-01-20,25.8271
2020-01-21,25.8271
2020-01-22,25.8271
2020-01-23,25.8271
2020-01-24,25.8271
2020-01-25,25.8271
2020-01-26,25.8271
2020-01-27,25.8271
2020-01-28,25.8271
2020-01-29,25.8271
2020-01-30,25.8271
2020-01-31,25.8271
2020-02-01,25.8271
2020-02-02,25.8271
2020-02-03,25.8271
2020-02-04,25.8271
2020-02-05,25.8271
2020-02-06,25.8271
2020-02-07,25.8271
2020-02-08,25.8271
2020-02-09,25.8271
2020-02-10,25.8271
2020-02-11,25.8271
2020-02-12,25.8271
2020-02-13,25.8271
2020-02-14,25.8271
2020-02-15,25.8271
2020-02-16,25.8271
2020-02-17,25.8271
2020-02-18,25.8271
2020-02-19,25.8271
2020-02-20,25.8271
2020-02-21,25.8271
2020-02-22,25.8271
2020-02-23,25.8271
2020-02-24,25.8271
2020-02-25,25.8271
2020-02-26,25.8271
2020-02-27,25.8271
2020-02-28,25.8271
2020-02-29,25.8271
2020-03-01,25.8271
2020-03-02,25.8271
2020-03-03,25.8271
2020-03-04,25.8271
2020-03-05,25.8271
2020-03-06,25.8271
2020-03-07,25.8271
2020-03-08,25.8271
2020-03-09,25.8271
2020-03-10,25.8271
2020-03-11,25.8271
2020-03-12,25.8271
2020-03-13,25.8271
2020-03-14,25.8271
2020-03-15,25.8271
2020-03-16,25.8271
2020-03-17,25.8271
2020-03-18,25.8271
2020-03-19,25.8271
2020-03-20,25.8271
2020-03-21,25.8271
2020-03-22,25.8271
2020-03-23,25.8271
2020-03-24,25.8271
2020-03-25,25.8271
2020-03-26,25.8271
2020-03-27,25.8271
2020-03-28,25.8271
2020-03-29,25.8271
2020-03-30,25.8271
2020-03-31,22.4845
2020-04-01,22.4845
2020-04-02,22.4845
2020-04-03,22.4845
2020-04-04,22.4845
2020-04-05,22.4845
2020-04-06,22.4845
2020-04-07,22.4845
2020-04-08,22.4845
2020-04-09,22.4845
2020-04-10,22.4845
2020-04-11,22.4845
2020-04-12,22.4845
2020-04-13,22.4845
2020-04-14,22.4845
2020-04-15,22.4845
2020-04-16,22.4845
2020-04-17,22.4845
2020-04-18,22.4845
2020-04-19,22.4845
2020-04-20,22.4845
2020-04-21,22.4845
2020-04-22,22.4845
2020-04-23,22.4845
2020-04-24,22.4845
2020-04-25,22.4845
2020-04-26,22.4845
2020-04-27,22.4845
2020-04-28,22.4845
2020-04-29,22.4845
2020-04-30,22.4845
2020-05-01,22.4845
2020-05-02,22.4845
2020-05-03,22.4845
2020-05-04,22.4845
2020-05-05,22.4845
2020-05-06,22.4845
2020-05-07,22.4845
2020-05-08,22.4845
2020-05-09,22.4845
2020-05-10,22.4845
2020-05-11,22.4845
2020-05-12,22.4845
2020-05-13,22.4845
2020-05-14,22.4845
2020-05-15,22.4845
2020-05-16,22.4845
2020-05-17,22.4845
2020-05-18,22.4845
2020-05-19,22.4845
2020-05-20,22.4845
2020-05-21,22.4845
2020-05-22,22.4845
2020-05-23,22.4845
2020-05-24,22.4845
2020-05-25,22.4845
2020-05-26,22.4845
2020-05-27,22.4845
2020-05-28,22.4845
2020-05-29,22.4845
2020-05-30,22.4845
2020-05-31,22.4845
2020-06-01,22.4845
2020-06-02,22.4845
2020-06-03,22.4845
2020-06-04,22.4845
2020-06-05,22.4845
2020-06-06,22.4845
2020-06-07,22.4845
2020-06-08,22.4845
2020-06-09,22.4845
2020-06-10,22.4845
2020-06-11,22.4845
2020-06-12,22.4845
2020-06-13,22.4845
2020-06-14,22.4845
2020-06-15,22.4845
2020-06-16,22.4845
2020-06-17,22.4845
2020-06-18,22.4845
2020-06-19,22.4845
2020-06-20,22.4845
2020-06-21,22.4845
2020-06-22,22.4845
2020-06-23,22.4845
2020-06-24,22.4845
2020-06-25,22.4845
2020-06-26,22.4845
2020-06-27,22.4845
2020-06-28,22.4845
2020-06-29,22.4845
2020-06-30,16.2191
2020-07-01,16.2191
2020-07-02,16.2191
2020-07-03,16.2191
2020-07-04,16.2191
2020-07-05,16.2191
2020-07-06,16.2191
2020-07-07,16.2191
2020-07-08,16.2191
2020-07-09,16.2191
2020-07-10,16.2191
2020-07-11,16.2191
2020-07-12,16.2191
2020-07-13,16.2191
2020-07-14,16.2191
2020-07-15,16.2191
2020-07-16,16.2191
2020-07-17,16.2191
2020-07-18,16.2191
2020-07-19,16.2191
2020-07-20,16.2191
2020-07-21,16.2191
2020-07-22,16.2191
2020-07-23,16.2191
2020-07-24,16.2191
2020-07-25,16.2191
2020-07-26,16.2191
2020-07-27,16.2191
2020-07-28,16.2191
2020-07-29,16.2191
2020-07-30,16.2191
2020-07-31,16.2191
2020-08-01,16.2191
2020-08-02,16.2191
2020-08-03,16.2191
2020-08-04,16.2191
2020-08-05,16.2191
2020-08-06,16.2191
2020-08-07,16.2191
2020-08-08,16.2191
2020-08-09,16.2191
2020-08-10,16.2191
2020-08-11,16.2191
2020-08-12,16.2191
2020-08-13,16.2191
2020-08-14,16.2191
2020-08-15,16.2191
2020-08-16,16.2191
2020-08-17,16.2191
2020-08-18,16.2191
2020-08-19,16.2191
2020-08-20,16.2191
2020-08-21,16.2191
2020-08-22,16.2191
2020-08-23,16.2191
2020-08-24,16.2191
2020-08-25,16.2191
2020-08-26,16.2191
2020-08-27,16.2191
2020-08-28,16.2191
2020-08-29,16.2191
2020-08-30,16.2191
2020-08-31,16.2191
2020-09-01,16.2191
2020-09-02,16.2191
2020-09-03,16.2191
2020-09-04,16.2191
2020-09-05,16.2191
2020-09-06,16.2191
2020-09-07,16.2191
2020-09-08,16.2191
2020-09-09,16.2191
2020-09-10,16.2191
2020-09-11,16.2191
2020-09-12,16.2191
2020-09-13,16.2191
2020-09-14,16.2191
2020-09-15,16.2191
2020-09-16,16.2191
2020-09-17,16.2191
2020-09-18,16.2191
2020-09-19,16.2191
2020-09-20,16.2191
2020-09-21,16.2191
2020-09-22,16.2191
2020-09-23,16.2191
2020-09-24,16.2191
2020-09-25,16.2191
2020-09-26,16.2191
2020-09-27,16.2191
2020-09-28,16.2191
2020-09-29,16.2191
2020-09-30,10.1704
2020-10-01,10.1704
2020-10-02,10.1704
2020-10-03,10.1704
2020-10-04,10.1704
2020-10-05,10.1704
2020-10-06,10.1704
2020-10-07,10.1704
2020-10-08,10.1704
2020-10-09,10.1704
2020-10-10,10.1704
2020-10-11,10.1704
2020-10-12,10.1704
2020-10-13,10.1704
2020-10-14,10.1704
2020-10-15,10.1704
2020-10-16,10.1704
2020-10-17,10.1704
2020-10-18,10.1704
2020-10-19,10.1704
2020-10-20,10.1704
2020-10-21,10.1704
2020-10-22,10.1704
2020-10-23,10.1704
2020-10-24,10.1704
2020-10-25,10.1704
2020-10-26,10.1704
2020-10-27,10.1704
2020-10-28,10.1704
2020-10-29,10.1704
2020-10-30,10.1704
2020-10-31,10.1704
2020-11-01,10.1704
2020-11-02,10.1704
2020-11-03,10.1704
2020-11-04,10.1704
2020-11-05,10.1704
2020-11-06,10.1704
2020-11-07,10.1704
2020-11-08,10.1704
2020-11-09,10.1704
2020-11-10,10.1704
2020-11-11,10.1704
2020-11-12,10.1704
2020-11-13,10.1704
2020-11-14,10.1704
2020-11-15,10.1704
2020-11-16,10.1704
2020-11-17,10.1704
2020-11-18,10.1704
2020-11-19,10.1704
2020-11-20,10.1704
2020-11-21,10.1704
2020-11-22,10.1704
2020-11-23,10.1704
2020-11-24,10.1704
2020-11-25,10.1704
2020-11-26,10.1704
2020-11-27,10.1704
2020-11-28,10.1704
2020-11-29,10.1704
2020-11-30,10.1704
2020-12-01,10.1704
2020-12-02,10.1704
2020-12-03,10.1704
2020-12-04,10.1704
2020-12-05,10.1704
2020-12-06,10.1704
2020-12-07,10.1704
2020-12-08,10.1704
2020-12-09,10.1704
2020-12-10,10.1704
2020-12-11,10.1704
2020-12-12,10.1704
2020-12-13,10.1704
2020-12-14,10.1704
2020-12-15,10.1704
2020-12-16,10.1704
2020-12-17,10.1704
2020-12-18,10.1704
2020-12-19,10.1704
2020-12-20,10.1704
2020-12-21,10.1704
2020-12-22,10.1704
2020-12-23,10.1704
2020-12-24,10.1704
2020-12-25,10.1704
2020-12-26,10.1704
2020-12-27,10.1704
2020-12-28,10.1704
2020-12-29,10.1704
2020-12-30,10.1704
2020-12-31,10.2172
2021-01-01,10.2172
2021-01-02,10.2172
2021-01-03,10.2172
