,BWXT US Equity
,RETURN_COM_EQY
2020-01-01,76.3136
2020-01-02,76.3136
2020-01-03,76.3136
2020-01-04,76.3136
2020-01-05,76.3136
2020-01-06,76.3136
2020-01-07,76.3136
2020-01-08,76.3136
2020-01-09,76.3136
2020-01-10,76.3136
2020-01-11,76.3136
2020-01-12,76.3136
2020-01-13,76.3136
2020-01-14,76.3136
2020-01-15,76.3136
2020-01-16,76.3136
2020-01-17,76.3136
2020-01-18,76.3136
2020-01-19,76.3136
2020-01-20,76.3136
2020-01-21,76.3136
2020-01-22,76.3136
2020-01-23,76.3136
2020-01-24,76.3136
2020-01-25,76.3136
2020-01-26,76.3136
2020-01-27,76.3136
2020-01-28,76.3136
2020-01-29,76.3136
2020-01-30,76.3136
2020-01-31,76.3136
2020-02-01,76.3136
2020-02-02,76.3136
2020-02-03,76.3136
2020-02-04,76.3136
2020-02-05,76.3136
2020-02-06,76.3136
2020-02-07,76.3136
2020-02-08,76.3136
2020-02-09,76.3136
2020-02-10,76.3136
2020-02-11,76.3136
2020-02-12,76.3136
2020-02-13,76.3136
2020-02-14,76.3136
2020-02-15,76.3136
2020-02-16,76.3136
2020-02-17,76.3136
2020-02-18,76.3136
2020-02-19,76.3136
2020-02-20,76.3136
2020-02-21,76.3136
2020-02-22,76.3136
2020-02-23,76.3136
2020-02-24,76.3136
2020-02-25,76.3136
2020-02-26,76.3136
2020-02-27,76.3136
2020-02-28,76.3136
2020-02-29,76.3136
2020-03-01,76.3136
2020-03-02,76.3136
2020-03-03,76.3136
2020-03-04,76.3136
2020-03-05,76.3136
2020-03-06,76.3136
2020-03-07,76.3136
2020-03-08,76.3136
2020-03-09,76.3136
2020-03-10,76.3136
2020-03-11,76.3136
2020-03-12,76.3136
2020-03-13,76.3136
2020-03-14,76.3136
2020-03-15,76.3136
2020-03-16,76.3136
2020-03-17,76.3136
2020-03-18,76.3136
2020-03-19,76.3136
2020-03-20,76.3136
2020-03-21,76.3136
2020-03-22,76.3136
2020-03-23,76.3136
2020-03-24,76.3136
2020-03-25,76.3136
2020-03-26,76.3136
2020-03-27,76.3136
2020-03-28,76.3136
2020-03-29,76.3136
2020-03-30,76.3136
2020-03-31,80.5032
2020-04-01,80.5032
2020-04-02,80.5032
2020-04-03,80.5032
2020-04-04,80.5032
2020-04-05,80.5032
2020-04-06,80.5032
2020-04-07,80.5032
2020-04-08,80.5032
2020-04-09,80.5032
2020-04-10,80.5032
2020-04-11,80.5032
2020-04-12,80.5032
2020-04-13,80.5032
2020-04-14,80.5032
2020-04-15,80.5032
2020-04-16,80.5032
2020-04-17,80.5032
2020-04-18,80.5032
2020-04-19,80.5032
2020-04-20,80.5032
2020-04-21,80.5032
2020-04-22,80.5032
2020-04-23,80.5032
2020-04-24,80.5032
2020-04-25,80.5032
2020-04-26,80.5032
2020-04-27,80.5032
2020-04-28,80.5032
2020-04-29,80.5032
2020-04-30,80.5032
2020-05-01,80.5032
2020-05-02,80.5032
2020-05-03,80.5032
2020-05-04,80.5032
2020-05-05,80.5032
2020-05-06,80.5032
2020-05-07,80.5032
2020-05-08,80.5032
2020-05-09,80.5032
2020-05-10,80.5032
2020-05-11,80.5032
2020-05-12,80.5032
2020-05-13,80.5032
2020-05-14,80.5032
2020-05-15,80.5032
2020-05-16,80.5032
2020-05-17,80.5032
2020-05-18,80.5032
2020-05-19,80.5032
2020-05-20,80.5032
2020-05-21,80.5032
2020-05-22,80.5032
2020-05-23,80.5032
2020-05-24,80.5032
2020-05-25,80.5032
2020-05-26,80.5032
2020-05-27,80.5032
2020-05-28,80.5032
2020-05-29,80.5032
2020-05-30,80.5032
2020-05-31,80.5032
2020-06-01,80.5032
2020-06-02,80.5032
2020-06-03,80.5032
2020-06-04,80.5032
2020-06-05,80.5032
2020-06-06,80.5032
2020-06-07,80.5032
2020-06-08,80.5032
2020-06-09,80.5032
2020-06-10,80.5032
2020-06-11,80.5032
2020-06-12,80.5032
2020-06-13,80.5032
2020-06-14,80.5032
2020-06-15,80.5032
2020-06-16,80.5032
2020-06-17,80.5032
2020-06-18,80.5032
2020-06-19,80.5032
2020-06-20,80.5032
2020-06-21,80.5032
2020-06-22,80.5032
