,FFIV US Equity
,RETURN_COM_EQY
2020-01-01,23.6836
2020-01-02,23.6836
2020-01-03,23.6836
2020-01-04,23.6836
2020-01-05,23.6836
2020-01-06,23.6836
2020-01-07,23.6836
2020-01-08,23.6836
2020-01-09,23.6836
2020-01-10,23.6836
2020-01-11,23.6836
2020-01-12,23.6836
2020-01-13,23.6836
2020-01-14,23.6836
2020-01-15,23.6836
2020-01-16,23.6836
2020-01-17,23.6836
2020-01-18,23.6836
2020-01-19,23.6836
2020-01-20,23.6836
2020-01-21,23.6836
2020-01-22,23.6836
2020-01-23,23.6836
2020-01-24,23.6836
2020-01-25,23.6836
2020-01-26,23.6836
2020-01-27,23.6836
2020-01-28,23.6836
2020-01-29,23.6836
2020-01-30,23.6836
2020-01-31,23.6836
2020-02-01,23.6836
2020-02-02,23.6836
2020-02-03,23.6836
2020-02-04,23.6836
2020-02-05,23.6836
2020-02-06,23.6836
2020-02-07,23.6836
2020-02-08,23.6836
2020-02-09,23.6836
2020-02-10,23.6836
2020-02-11,23.6836
2020-02-12,23.6836
2020-02-13,23.6836
2020-02-14,23.6836
2020-02-15,23.6836
2020-02-16,23.6836
2020-02-17,23.6836
2020-02-18,23.6836
2020-02-19,23.6836
2020-02-20,23.6836
2020-02-21,23.6836
2020-02-22,23.6836
2020-02-23,23.6836
2020-02-24,23.6836
2020-02-25,23.6836
2020-02-26,23.6836
2020-02-27,23.6836
2020-02-28,23.6836
2020-02-29,23.6836
2020-03-01,23.6836
2020-03-02,23.6836
2020-03-03,23.6836
2020-03-04,23.6836
2020-03-05,23.6836
2020-03-06,23.6836
2020-03-07,23.6836
2020-03-08,23.6836
2020-03-09,23.6836
2020-03-10,23.6836
2020-03-11,23.6836
2020-03-12,23.6836
2020-03-13,23.6836
2020-03-14,23.6836
2020-03-15,23.6836
2020-03-16,23.6836
2020-03-17,23.6836
2020-03-18,23.6836
2020-03-19,23.6836
2020-03-20,23.6836
2020-03-21,23.6836
2020-03-22,23.6836
2020-03-23,23.6836
2020-03-24,23.6836
2020-03-25,23.6836
2020-03-26,23.6836
2020-03-27,23.6836
2020-03-28,23.6836
2020-03-29,23.6836
2020-03-30,23.6836
2020-03-31,19.6588
2020-04-01,19.6588
2020-04-02,19.6588
2020-04-03,19.6588
2020-04-04,19.6588
2020-04-05,19.6588
2020-04-06,19.6588
2020-04-07,19.6588
2020-04-08,19.6588
2020-04-09,19.6588
2020-04-10,19.6588
2020-04-11,19.6588
2020-04-12,19.6588
2020-04-13,19.6588
2020-04-14,19.6588
2020-04-15,19.6588
2020-04-16,19.6588
2020-04-17,19.6588
2020-04-18,19.6588
2020-04-19,19.6588
2020-04-20,19.6588
2020-04-21,19.6588
2020-04-22,19.6588
2020-04-23,19.6588
2020-04-24,19.6588
2020-04-25,19.6588
2020-04-26,19.6588
2020-04-27,19.6588
2020-04-28,19.6588
2020-04-29,19.6588
2020-04-30,19.6588
2020-05-01,19.6588
2020-05-02,19.6588
2020-05-03,19.6588
2020-05-04,19.6588
2020-05-05,19.6588
2020-05-06,19.6588
2020-05-07,19.6588
2020-05-08,19.6588
2020-05-09,19.6588
2020-05-10,19.6588
2020-05-11,19.6588
2020-05-12,19.6588
