,MOV US Equity
,RETURN_COM_EQY
2020-01-01,11.3092
2020-01-02,11.3092
2020-01-03,11.3092
2020-01-04,11.3092
2020-01-05,11.3092
2020-01-06,11.3092
2020-01-07,11.3092
2020-01-08,11.3092
2020-01-09,11.3092
2020-01-10,11.3092
2020-01-11,11.3092
2020-01-12,11.3092
2020-01-13,11.3092
2020-01-14,11.3092
2020-01-15,11.3092
2020-01-16,11.3092
2020-01-17,11.3092
2020-01-18,11.3092
2020-01-19,11.3092
2020-01-20,11.3092
2020-01-21,11.3092
2020-01-22,11.3092
2020-01-23,11.3092
2020-01-24,11.3092
2020-01-25,11.3092
2020-01-26,11.3092
2020-01-27,11.3092
2020-01-28,11.3092
2020-01-29,11.3092
2020-01-30,11.3092
2020-01-31,8.3462
2020-02-01,8.3462
2020-02-02,8.3462
2020-02-03,8.3462
2020-02-04,8.3462
2020-02-05,8.3462
2020-02-06,8.3462
2020-02-07,8.3462
2020-02-08,8.3462
2020-02-09,8.3462
2020-02-10,8.3462
2020-02-11,8.3462
2020-02-12,8.3462
2020-02-13,8.3462
2020-02-14,8.3462
2020-02-15,8.3462
2020-02-16,8.3462
2020-02-17,8.3462
2020-02-18,8.3462
2020-02-19,8.3462
2020-02-20,8.3462
2020-02-21,8.3462
2020-02-22,8.3462
2020-02-23,8.3462
2020-02-24,8.3462
2020-02-25,8.3462
2020-02-26,8.3462
2020-02-27,8.3462
2020-02-28,8.3462
2020-02-29,8.3462
2020-03-01,8.3462
2020-03-02,8.3462
2020-03-03,8.3462
2020-03-04,8.3462
2020-03-05,8.3462
2020-03-06,8.3462
2020-03-07,8.3462
2020-03-08,8.3462
2020-03-09,8.3462
2020-03-10,8.3462
2020-03-11,8.3462
2020-03-12,8.3462
2020-03-13,8.3462
2020-03-14,8.3462
2020-03-15,8.3462
2020-03-16,8.3462
2020-03-17,8.3462
2020-03-18,8.3462
2020-03-19,8.3462
2020-03-20,8.3462
2020-03-21,8.3462
2020-03-22,8.3462
2020-03-23,8.3462
2020-03-24,8.3462
2020-03-25,8.3462
2020-03-26,8.3462
2020-03-27,8.3462
2020-03-28,8.3462
2020-03-29,8.3462
2020-03-30,8.3462
2020-03-31,8.3462
2020-04-01,8.3462
2020-04-02,8.3462
2020-04-03,8.3462
2020-04-04,8.3462
2020-04-05,8.3462
2020-04-06,8.3462
2020-04-07,8.3462
2020-04-08,8.3462
2020-04-09,8.3462
2020-04-10,8.3462
2020-04-11,8.3462
2020-04-12,8.3462
2020-04-13,8.3462
2020-04-14,8.3462
2020-04-15,8.3462
2020-04-16,8.3462
2020-04-17,8.3462
2020-04-18,8.3462
2020-04-19,8.3462
2020-04-20,8.3462
2020-04-21,8.3462
2020-04-22,8.3462
2020-04-23,8.3462
2020-04-24,8.3462
2020-04-25,8.3462
2020-04-26,8.3462
2020-04-27,8.3462
2020-04-28,8.3462
2020-04-29,8.3462
2020-04-30,-25.8817
2020-05-01,-25.8817
2020-05-02,-25.8817
2020-05-03,-25.8817
2020-05-04,-25.8817
2020-05-05,-25.8817
2020-05-06,-25.8817
2020-05-07,-25.8817
2020-05-08,-25.8817
2020-05-09,-25.8817
2020-05-10,-25.8817
2020-05-11,-25.8817
2020-05-12,-25.8817
2020-05-13,-25.8817
2020-05-14,-25.8817
2020-05-15,-25.8817
2020-05-16,-25.8817
2020-05-17,-25.8817
2020-05-18,-25.8817
2020-05-19,-25.8817
2020-05-20,-25.8817
2020-05-21,-25.8817
2020-05-22,-25.8817
2020-05-23,-25.8817
2020-05-24,-25.8817
2020-05-25,-25.8817
2020-05-26,-25.8817
2020-05-27,-25.8817
2020-05-28,-25.8817
2020-05-29,-25.8817
2020-05-30,-25.8817
2020-05-31,-25.8817
2020-06-01,-25.8817
2020-06-02,-25.8817
2020-06-03,-25.8817
2020-06-04,-25.8817
2020-06-05,-25.8817
2020-06-06,-25.8817
2020-06-07,-25.8817
2020-06-08,-25.8817
2020-06-09,-25.8817
2020-06-10,-25.8817
2020-06-11,-25.8817
2020-06-12,-25.8817
2020-06-13,-25.8817
2020-06-14,-25.8817
2020-06-15,-25.8817
2020-06-16,-25.8817
2020-06-17,-25.8817
2020-06-18,-25.8817
2020-06-19,-25.8817
2020-06-20,-25.8817
2020-06-21,-25.8817
2020-06-22,-25.8817
2020-06-23,-25.8817
2020-06-24,-25.8817
2020-06-25,-25.8817
2020-06-26,-25.8817
2020-06-27,-25.8817
2020-06-28,-25.8817
2020-06-29,-25.8817
2020-06-30,-25.8817
2020-07-01,-25.8817
2020-07-02,-25.8817
2020-07-03,-25.8817
2020-07-04,-25.8817
2020-07-05,-25.8817
2020-07-06,-25.8817
2020-07-07,-25.8817
2020-07-08,-25.8817
2020-07-09,-25.8817
2020-07-10,-25.8817
2020-07-11,-25.8817
2020-07-12,-25.8817
2020-07-13,-25.8817
2020-07-14,-25.8817
2020-07-15,-25.8817
2020-07-16,-25.8817
2020-07-17,-25.8817
2020-07-18,-25.8817
2020-07-19,-25.8817
2020-07-20,-25.8817
2020-07-21,-25.8817
2020-07-22,-25.8817
2020-07-23,-25.8817
2020-07-24,-25.8817
2020-07-25,-25.8817
2020-07-26,-25.8817
2020-07-27,-25.8817
2020-07-28,-25.8817
2020-07-29,-25.8817
2020-07-30,-25.8817
2020-07-31,-30.9709
2020-08-01,-30.9709
2020-08-02,-30.9709
2020-08-03,-30.9709
2020-08-04,-30.9709
2020-08-05,-30.9709
2020-08-06,-30.9709
2020-08-07,-30.9709
2020-08-08,-30.9709
2020-08-09,-30.9709
2020-08-10,-30.9709
2020-08-11,-30.9709
2020-08-12,-30.9709
2020-08-13,-30.9709
2020-08-14,-30.9709
2020-08-15,-30.9709
2020-08-16,-30.9709
2020-08-17,-30.9709
2020-08-18,-30.9709
2020-08-19,-30.9709
2020-08-20,-30.9709
2020-08-21,-30.9709
2020-08-22,-30.9709
2020-08-23,-30.9709
2020-08-24,-30.9709
2020-08-25,-30.9709
2020-08-26,-30.9709
2020-08-27,-30.9709
2020-08-28,-30.9709
2020-08-29,-30.9709
2020-08-30,-30.9709
2020-08-31,-30.9709
2020-09-01,-30.9709
2020-09-02,-30.9709
2020-09-03,-30.9709
2020-09-04,-30.9709
2020-09-05,-30.9709
2020-09-06,-30.9709
2020-09-07,-30.9709
2020-09-08,-30.9709
2020-09-09,-30.9709
2020-09-10,-30.9709
2020-09-11,-30.9709
2020-09-12,-30.9709
2020-09-13,-30.9709
2020-09-14,-30.9709
2020-09-15,-30.9709
2020-09-16,-30.9709
2020-09-17,-30.9709
2020-09-18,-30.9709
2020-09-19,-30.9709
2020-09-20,-30.9709
2020-09-21,-30.9709
2020-09-22,-30.9709
2020-09-23,-30.9709
2020-09-24,-30.9709
2020-09-25,-30.9709
2020-09-26,-30.9709
2020-09-27,-30.9709
2020-09-28,-30.9709
2020-09-29,-30.9709
2020-09-30,-30.9709
2020-10-01,-30.9709
2020-10-02,-30.9709
2020-10-03,-30.9709
2020-10-04,-30.9709
2020-10-05,-30.9709
2020-10-06,-30.9709
2020-10-07,-30.9709
2020-10-08,-30.9709
2020-10-09,-30.9709
