,APO US Equity
,RETURN_COM_EQY
2020-01-01,72.494
2020-01-02,72.494
2020-01-03,72.494
2020-01-04,72.494
2020-01-05,72.494
2020-01-06,72.494
2020-01-07,72.494
2020-01-08,72.494
2020-01-09,72.494
2020-01-10,72.494
2020-01-11,72.494
2020-01-12,72.494
2020-01-13,72.494
2020-01-14,72.494
2020-01-15,72.494
2020-01-16,72.494
2020-01-17,72.494
2020-01-18,72.494
2020-01-19,72.494
2020-01-20,72.494
2020-01-21,72.494
2020-01-22,72.494
2020-01-23,72.494
2020-01-24,72.494
2020-01-25,72.494
2020-01-26,72.494
2020-01-27,72.494
2020-01-28,72.494
2020-01-29,72.494
2020-01-30,72.494
2020-01-31,72.494
2020-02-01,72.494
2020-02-02,72.494
2020-02-03,72.494
2020-02-04,72.494
2020-02-05,72.494
2020-02-06,72.494
2020-02-07,72.494
2020-02-08,72.494
2020-02-09,72.494
2020-02-10,72.494
2020-02-11,72.494
2020-02-12,72.494
2020-02-13,72.494
2020-02-14,72.494
2020-02-15,72.494
2020-02-16,72.494
2020-02-17,72.494
2020-02-18,72.494
2020-02-19,72.494
2020-02-20,72.494
2020-02-21,72.494
2020-02-22,72.494
2020-02-23,72.494
2020-02-24,72.494
2020-02-25,72.494
2020-02-26,72.494
2020-02-27,72.494
2020-02-28,72.494
2020-02-29,72.494
2020-03-01,72.494
2020-03-02,72.494
2020-03-03,72.494
2020-03-04,72.494
2020-03-05,72.494
2020-03-06,72.494
2020-03-07,72.494
2020-03-08,72.494
2020-03-09,72.494
2020-03-10,72.494
2020-03-11,72.494
2020-03-12,72.494
2020-03-13,72.494
2020-03-14,72.494
2020-03-15,72.494
2020-03-16,72.494
2020-03-17,72.494
2020-03-18,72.494
2020-03-19,72.494
2020-03-20,72.494
2020-03-21,72.494
2020-03-22,72.494
2020-03-23,72.494
2020-03-24,72.494
2020-03-25,72.494
2020-03-26,72.494
2020-03-27,72.494
2020-03-28,72.494
2020-03-29,72.494
2020-03-30,72.494
2020-03-31,-97.9185
2020-04-01,-97.9185
2020-04-02,-97.9185
2020-04-03,-97.9185
2020-04-04,-97.9185
2020-04-05,-97.9185
2020-04-06,-97.9185
2020-04-07,-97.9185
2020-04-08,-97.9185
2020-04-09,-97.9185
2020-04-10,-97.9185
2020-04-11,-97.9185
2020-04-12,-97.9185
2020-04-13,-97.9185
2020-04-14,-97.9185
2020-04-15,-97.9185
2020-04-16,-97.9185
2020-04-17,-97.9185
2020-04-18,-97.9185
2020-04-19,-97.9185
2020-04-20,-97.9185
2020-04-21,-97.9185
2020-04-22,-97.9185
2020-04-23,-97.9185
2020-04-24,-97.9185
2020-04-25,-97.9185
2020-04-26,-97.9185
2020-04-27,-97.9185
2020-04-28,-97.9185
2020-04-29,-97.9185
2020-04-30,-97.9185
2020-05-01,-97.9185
2020-05-02,-97.9185
2020-05-03,-97.9185
2020-05-04,-97.9185
2020-05-05,-97.9185
2020-05-06,-97.9185
2020-05-07,-97.9185
2020-05-08,-97.9185
2020-05-09,-97.9185
2020-05-10,-97.9185
2020-05-11,-97.9185
2020-05-12,-97.9185
2020-05-13,-97.9185
2020-05-14,-97.9185
2020-05-15,-97.9185
2020-05-16,-97.9185
2020-05-17,-97.9185
2020-05-18,-97.9185
2020-05-19,-97.9185
2020-05-20,-97.9185
2020-05-21,-97.9185
2020-05-22,-97.9185
2020-05-23,-97.9185
2020-05-24,-97.9185
2020-05-25,-97.9185
2020-05-26,-97.9185
2020-05-27,-97.9185
2020-05-28,-97.9185
2020-05-29,-97.9185
2020-05-30,-97.9185
2020-05-31,-97.9185
2020-06-01,-97.9185
2020-06-02,-97.9185
2020-06-03,-97.9185
2020-06-04,-97.9185
2020-06-05,-97.9185
2020-06-06,-97.9185
2020-06-07,-97.9185
2020-06-08,-97.9185
2020-06-09,-97.9185
2020-06-10,-97.9185
2020-06-11,-97.9185
2020-06-12,-97.9185
2020-06-13,-97.9185
2020-06-14,-97.9185
2020-06-15,-97.9185
2020-06-16,-97.9185
2020-06-17,-97.9185
2020-06-18,-97.9185
2020-06-19,-97.9185
2020-06-20,-97.9185
2020-06-21,-97.9185
2020-06-22,-97.9185
2020-06-23,-97.9185
2020-06-24,-97.9185
2020-06-25,-97.9185
2020-06-26,-97.9185
2020-06-27,-97.9185
2020-06-28,-97.9185
2020-06-29,-97.9185
2020-06-30,-17.6565
2020-07-01,-17.6565
2020-07-02,-17.6565
2020-07-03,-17.6565
2020-07-04,-17.6565
2020-07-05,-17.6565
2020-07-06,-17.6565
2020-07-07,-17.6565
2020-07-08,-17.6565
2020-07-09,-17.6565
2020-07-10,-17.6565
2020-07-11,-17.6565
2020-07-12,-17.6565
2020-07-13,-17.6565
2020-07-14,-17.6565
2020-07-15,-17.6565
2020-07-16,-17.6565
2020-07-17,-17.6565
2020-07-18,-17.6565
2020-07-19,-17.6565
2020-07-20,-17.6565
2020-07-21,-17.6565
2020-07-22,-17.6565
2020-07-23,-17.6565
2020-07-24,-17.6565
2020-07-25,-17.6565
2020-07-26,-17.6565
2020-07-27,-17.6565
2020-07-28,-17.6565
2020-07-29,-17.6565
2020-07-30,-17.6565
2020-07-31,-17.6565
2020-08-01,-17.6565
2020-08-02,-17.6565
2020-08-03,-17.6565
2020-08-04,-17.6565
2020-08-05,-17.6565
2020-08-06,-17.6565
2020-08-07,-17.6565
2020-08-08,-17.6565
2020-08-09,-17.6565
2020-08-10,-17.6565
2020-08-11,-17.6565
2020-08-12,-17.6565
2020-08-13,-17.6565
2020-08-14,-17.6565
2020-08-15,-17.6565
2020-08-16,-17.6565
2020-08-17,-17.6565
2020-08-18,-17.6565
2020-08-19,-17.6565
2020-08-20,-17.6565
2020-08-21,-17.6565
2020-08-22,-17.6565
2020-08-23,-17.6565
2020-08-24,-17.6565
2020-08-25,-17.6565
2020-08-26,-17.6565
2020-08-27,-17.6565
2020-08-28,-17.6565
2020-08-29,-17.6565
2020-08-30,-17.6565
2020-08-31,-17.6565
2020-09-01,-17.6565
2020-09-02,-17.6565
2020-09-03,-17.6565
2020-09-04,-17.6565
2020-09-05,-17.6565
2020-09-06,-17.6565
2020-09-07,-17.6565
2020-09-08,-17.6565
2020-09-09,-17.6565
2020-09-10,-17.6565
2020-09-11,-17.6565
2020-09-12,-17.6565
2020-09-13,-17.6565
2020-09-14,-17.6565
