,WBA US Equity
,RETURN_COM_EQY
2020-01-01,15.0315
2020-01-02,15.0315
2020-01-03,15.0315
2020-01-04,15.0315
2020-01-05,15.0315
2020-01-06,15.0315
2020-01-07,15.0315
2020-01-08,15.0315
2020-01-09,15.0315
2020-01-10,15.0315
2020-01-11,15.0315
2020-01-12,15.0315
2020-01-13,15.0315
2020-01-14,15.0315
2020-01-15,15.0315
2020-01-16,15.0315
2020-01-17,15.0315
2020-01-18,15.0315
2020-01-19,15.0315
2020-01-20,15.0315
2020-01-21,15.0315
2020-01-22,15.0315
2020-01-23,15.0315
2020-01-24,15.0315
2020-01-25,15.0315
2020-01-26,15.0315
2020-01-27,15.0315
2020-01-28,15.0315
2020-01-29,15.0315
2020-01-30,15.0315
2020-01-31,15.0315
2020-02-01,15.0315
2020-02-02,15.0315
2020-02-03,15.0315
2020-02-04,15.0315
2020-02-05,15.0315
2020-02-06,15.0315
2020-02-07,15.0315
2020-02-08,15.0315
2020-02-09,15.0315
2020-02-10,15.0315
2020-02-11,15.0315
2020-02-12,15.0315
2020-02-13,15.0315
2020-02-14,15.0315
2020-02-15,15.0315
2020-02-16,15.0315
2020-02-17,15.0315
2020-02-18,15.0315
2020-02-19,15.0315
2020-02-20,15.0315
2020-02-21,15.0315
2020-02-22,15.0315
2020-02-23,15.0315
2020-02-24,15.0315
2020-02-25,15.0315
2020-02-26,15.0315
2020-02-27,15.0315
2020-02-28,15.0315
2020-02-29,14.4074
2020-03-01,14.4074
2020-03-02,14.4074
2020-03-03,14.4074
2020-03-04,14.4074
2020-03-05,14.4074
2020-03-06,14.4074
2020-03-07,14.4074
2020-03-08,14.4074
2020-03-09,14.4074
2020-03-10,14.4074
2020-03-11,14.4074
2020-03-12,14.4074
2020-03-13,14.4074
2020-03-14,14.4074
2020-03-15,14.4074
2020-03-16,14.4074
2020-03-17,14.4074
2020-03-18,14.4074
2020-03-19,14.4074
2020-03-20,14.4074
2020-03-21,14.4074
2020-03-22,14.4074
2020-03-23,14.4074
2020-03-24,14.4074
2020-03-25,14.4074
2020-03-26,14.4074
2020-03-27,14.4074
