,LMT US Equity
,RETURN_COM_EQY
2020-01-01,275.6027
2020-01-02,275.6027
2020-01-03,275.6027
2020-01-04,275.6027
2020-01-05,275.6027
2020-01-06,275.6027
2020-01-07,275.6027
2020-01-08,275.6027
2020-01-09,275.6027
2020-01-10,275.6027
2020-01-11,275.6027
2020-01-12,275.6027
2020-01-13,275.6027
2020-01-14,275.6027
2020-01-15,275.6027
2020-01-16,275.6027
2020-01-17,275.6027
2020-01-18,275.6027
2020-01-19,275.6027
2020-01-20,275.6027
2020-01-21,275.6027
2020-01-22,275.6027
2020-01-23,275.6027
2020-01-24,275.6027
2020-01-25,275.6027
2020-01-26,275.6027
2020-01-27,275.6027
2020-01-28,275.6027
2020-01-29,275.6027
2020-01-30,275.6027
2020-01-31,275.6027
2020-02-01,275.6027
2020-02-02,275.6027
2020-02-03,275.6027
2020-02-04,275.6027
2020-02-05,275.6027
2020-02-06,275.6027
2020-02-07,275.6027
2020-02-08,275.6027
2020-02-09,275.6027
2020-02-10,275.6027
2020-02-11,275.6027
2020-02-12,275.6027
2020-02-13,275.6027
2020-02-14,275.6027
2020-02-15,275.6027
2020-02-16,275.6027
2020-02-17,275.6027
2020-02-18,275.6027
2020-02-19,275.6027
2020-02-20,275.6027
2020-02-21,275.6027
2020-02-22,275.6027
2020-02-23,275.6027
2020-02-24,275.6027
2020-02-25,275.6027
2020-02-26,275.6027
2020-02-27,275.6027
2020-02-28,275.6027
2020-02-29,275.6027
2020-03-01,275.6027
2020-03-02,275.6027
2020-03-03,275.6027
2020-03-04,275.6027
2020-03-05,275.6027
2020-03-06,275.6027
2020-03-07,275.6027
2020-03-08,275.6027
2020-03-09,275.6027
2020-03-10,275.6027
2020-03-11,275.6027
2020-03-12,275.6027
2020-03-13,275.6027
2020-03-14,275.6027
2020-03-15,275.6027
2020-03-16,275.6027
2020-03-17,275.6027
2020-03-18,275.6027
2020-03-19,275.6027
2020-03-20,275.6027
2020-03-21,275.6027
2020-03-22,275.6027
2020-03-23,275.6027
2020-03-24,275.6027
2020-03-25,275.6027
2020-03-26,275.6027
2020-03-27,275.6027
2020-03-28,275.6027
2020-03-29,211.2333
2020-03-30,211.2333
2020-03-31,211.2333
2020-04-01,211.2333
2020-04-02,211.2333
2020-04-03,211.2333
2020-04-04,211.2333
2020-04-05,211.2333
2020-04-06,211.2333
2020-04-07,211.2333
2020-04-08,211.2333
2020-04-09,211.2333
2020-04-10,211.2333
2020-04-11,211.2333
2020-04-12,211.2333
2020-04-13,211.2333
2020-04-14,211.2333
2020-04-15,211.2333
2020-04-16,211.2333
2020-04-17,211.2333
2020-04-18,211.2333
2020-04-19,211.2333
2020-04-20,211.2333
2020-04-21,211.2333
2020-04-22,211.2333
2020-04-23,211.2333
2020-04-24,211.2333
2020-04-25,211.2333
2020-04-26,211.2333
2020-04-27,211.2333
2020-04-28,211.2333
2020-04-29,211.2333
2020-04-30,211.2333
2020-05-01,211.2333
2020-05-02,211.2333
2020-05-03,211.2333
2020-05-04,211.2333
2020-05-05,211.2333
2020-05-06,211.2333
2020-05-07,211.2333
2020-05-08,211.2333
2020-05-09,211.2333
2020-05-10,211.2333
2020-05-11,211.2333
2020-05-12,211.2333
2020-05-13,211.2333
2020-05-14,211.2333
2020-05-15,211.2333
2020-05-16,211.2333
2020-05-17,211.2333
2020-05-18,211.2333
2020-05-19,211.2333
2020-05-20,211.2333
2020-05-21,211.2333
2020-05-22,211.2333
2020-05-23,211.2333
2020-05-24,211.2333
2020-05-25,211.2333
2020-05-26,211.2333
2020-05-27,211.2333
2020-05-28,211.2333
