,MSM US Equity
,RETURN_COM_EQY
2020-01-01,19.394
2020-01-02,19.394
2020-01-03,19.394
2020-01-04,19.394
2020-01-05,19.394
2020-01-06,19.394
2020-01-07,19.394
2020-01-08,19.394
2020-01-09,19.394
2020-01-10,19.394
2020-01-11,19.394
2020-01-12,19.394
2020-01-13,19.394
2020-01-14,19.394
2020-01-15,19.394
2020-01-16,19.394
2020-01-17,19.394
2020-01-18,19.394
2020-01-19,19.394
2020-01-20,19.394
2020-01-21,19.394
2020-01-22,19.394
2020-01-23,19.394
2020-01-24,19.394
2020-01-25,19.394
2020-01-26,19.394
2020-01-27,19.394
2020-01-28,19.394
2020-01-29,19.394
2020-01-30,19.394
2020-01-31,19.394
2020-02-01,19.394
2020-02-02,19.394
2020-02-03,19.394
2020-02-04,19.394
2020-02-05,19.394
2020-02-06,19.394
2020-02-07,19.394
2020-02-08,19.394
2020-02-09,19.394
2020-02-10,19.394
2020-02-11,19.394
2020-02-12,19.394
2020-02-13,19.394
2020-02-14,19.394
2020-02-15,19.394
2020-02-16,19.394
2020-02-17,19.394
2020-02-18,19.394
2020-02-19,19.394
2020-02-20,19.394
2020-02-21,19.394
2020-02-22,19.394
2020-02-23,19.394
2020-02-24,19.394
2020-02-25,19.394
2020-02-26,19.394
2020-02-27,19.394
2020-02-28,19.394
2020-02-29,20.0987
2020-03-01,20.0987
2020-03-02,20.0987
2020-03-03,20.0987
2020-03-04,20.0987
2020-03-05,20.0987
2020-03-06,20.0987
2020-03-07,20.0987
2020-03-08,20.0987
2020-03-09,20.0987
2020-03-10,20.0987
2020-03-11,20.0987
2020-03-12,20.0987
2020-03-13,20.0987
2020-03-14,20.0987
2020-03-15,20.0987
2020-03-16,20.0987
2020-03-17,20.0987
2020-03-18,20.0987
2020-03-19,20.0987
2020-03-20,20.0987
2020-03-21,20.0987
2020-03-22,20.0987
2020-03-23,20.0987
2020-03-24,20.0987
2020-03-25,20.0987
2020-03-26,20.0987
2020-03-27,20.0987
2020-03-28,20.0987
2020-03-29,20.0987
2020-03-30,20.0987
2020-03-31,20.0987
2020-04-01,20.0987
2020-04-02,20.0987
2020-04-03,20.0987
2020-04-04,20.0987
2020-04-05,20.0987
2020-04-06,20.0987
2020-04-07,20.0987
2020-04-08,20.0987
2020-04-09,20.0987
2020-04-10,20.0987
2020-04-11,20.0987
2020-04-12,20.0987
2020-04-13,20.0987
2020-04-14,20.0987
2020-04-15,20.0987
2020-04-16,20.0987
2020-04-17,20.0987
2020-04-18,20.0987
2020-04-19,20.0987
2020-04-20,20.0987
2020-04-21,20.0987
2020-04-22,20.0987
2020-04-23,20.0987
2020-04-24,20.0987
2020-04-25,20.0987
2020-04-26,20.0987
2020-04-27,20.0987
2020-04-28,20.0987
2020-04-29,20.0987
2020-04-30,20.0987
2020-05-01,20.0987
2020-05-02,20.0987
2020-05-03,20.0987
2020-05-04,20.0987
2020-05-05,20.0987
2020-05-06,20.0987
2020-05-07,20.0987
2020-05-08,20.0987
2020-05-09,20.0987
2020-05-10,20.0987
2020-05-11,20.0987
2020-05-12,20.0987
2020-05-13,20.0987
2020-05-14,20.0987
2020-05-15,20.0987
2020-05-16,20.0987
2020-05-17,20.0987
2020-05-18,20.0987
2020-05-19,20.0987
2020-05-20,20.0987
2020-05-21,20.0987
2020-05-22,20.0987
2020-05-23,20.0987
2020-05-24,20.0987
2020-05-25,20.0987
2020-05-26,20.0987
2020-05-27,20.0987
2020-05-28,20.0987
2020-05-29,20.0987
2020-05-30,19.3338
2020-05-31,19.3338
2020-06-01,19.3338
2020-06-02,19.3338
2020-06-03,19.3338
2020-06-04,19.3338
2020-06-05,19.3338
2020-06-06,19.3338
2020-06-07,19.3338
2020-06-08,19.3338
2020-06-09,19.3338
2020-06-10,19.3338
2020-06-11,19.3338
2020-06-12,19.3338
2020-06-13,19.3338
2020-06-14,19.3338
2020-06-15,19.3338
2020-06-16,19.3338
2020-06-17,19.3338
2020-06-18,19.3338
2020-06-19,19.3338
2020-06-20,19.3338
2020-06-21,19.3338
2020-06-22,19.3338
2020-06-23,19.3338
2020-06-24,19.3338
2020-06-25,19.3338
2020-06-26,19.3338
2020-06-27,19.3338
2020-06-28,19.3338
2020-06-29,19.3338
2020-06-30,19.3338
2020-07-01,19.3338
2020-07-02,19.3338
2020-07-03,19.3338
2020-07-04,19.3338
2020-07-05,19.3338
2020-07-06,19.3338
2020-07-07,19.3338
2020-07-08,19.3338
2020-07-09,19.3338
2020-07-10,19.3338
2020-07-11,19.3338
2020-07-12,19.3338
2020-07-13,19.3338
2020-07-14,19.3338
2020-07-15,19.3338
2020-07-16,19.3338
2020-07-17,19.3338
2020-07-18,19.3338
2020-07-19,19.3338
2020-07-20,19.3338
2020-07-21,19.3338
2020-07-22,19.3338
2020-07-23,19.3338
2020-07-24,19.3338
2020-07-25,19.3338
2020-07-26,19.3338
2020-07-27,19.3338
2020-07-28,19.3338
2020-07-29,19.3338
2020-07-30,19.3338
2020-07-31,19.3338
2020-08-01,19.3338
2020-08-02,19.3338
2020-08-03,19.3338
2020-08-04,19.3338
2020-08-05,19.3338
2020-08-06,19.3338
2020-08-07,19.3338
2020-08-08,19.3338
2020-08-09,19.3338
2020-08-10,19.3338
2020-08-11,19.3338
2020-08-12,19.3338
2020-08-13,19.3338
2020-08-14,19.3338
2020-08-15,19.3338
2020-08-16,19.3338
2020-08-17,19.3338
2020-08-18,19.3338
2020-08-19,19.3338
2020-08-20,19.3338
2020-08-21,19.3338
2020-08-22,19.3338
2020-08-23,19.3338
2020-08-24,19.3338
2020-08-25,19.3338
2020-08-26,19.3338
2020-08-27,19.3338
2020-08-28,19.3338
2020-08-29,17.9771
2020-08-30,17.9771
2020-08-31,17.9771
2020-09-01,17.9771
2020-09-02,17.9771
2020-09-03,17.9771
2020-09-04,17.9771
2020-09-05,17.9771
2020-09-06,17.9771
2020-09-07,17.9771
2020-09-08,17.9771
