,CHDN US Equity
,RETURN_COM_EQY
2020-01-01,28.0155
2020-01-02,28.0155
2020-01-03,28.0155
2020-01-04,28.0155
2020-01-05,28.0155
2020-01-06,28.0155
2020-01-07,28.0155
2020-01-08,28.0155
2020-01-09,28.0155
2020-01-10,28.0155
2020-01-11,28.0155
2020-01-12,28.0155
2020-01-13,28.0155
2020-01-14,28.0155
2020-01-15,28.0155
2020-01-16,28.0155
2020-01-17,28.0155
2020-01-18,28.0155
2020-01-19,28.0155
2020-01-20,28.0155
2020-01-21,28.0155
2020-01-22,28.0155
2020-01-23,28.0155
2020-01-24,28.0155
2020-01-25,28.0155
2020-01-26,28.0155
2020-01-27,28.0155
2020-01-28,28.0155
2020-01-29,28.0155
2020-01-30,28.0155
2020-01-31,28.0155
2020-02-01,28.0155
2020-02-02,28.0155
2020-02-03,28.0155
2020-02-04,28.0155
2020-02-05,28.0155
2020-02-06,28.0155
2020-02-07,28.0155
2020-02-08,28.0155
2020-02-09,28.0155
2020-02-10,28.0155
2020-02-11,28.0155
2020-02-12,28.0155
2020-02-13,28.0155
2020-02-14,28.0155
2020-02-15,28.0155
2020-02-16,28.0155
2020-02-17,28.0155
2020-02-18,28.0155
2020-02-19,28.0155
2020-02-20,28.0155
2020-02-21,28.0155
2020-02-22,28.0155
2020-02-23,28.0155
2020-02-24,28.0155
2020-02-25,28.0155
2020-02-26,28.0155
2020-02-27,28.0155
2020-02-28,28.0155
2020-02-29,28.0155
2020-03-01,28.0155
2020-03-02,28.0155
2020-03-03,28.0155
2020-03-04,28.0155
2020-03-05,28.0155
2020-03-06,28.0155
2020-03-07,28.0155
2020-03-08,28.0155
2020-03-09,28.0155
2020-03-10,28.0155
2020-03-11,28.0155
2020-03-12,28.0155
2020-03-13,28.0155
2020-03-14,28.0155
2020-03-15,28.0155
2020-03-16,28.0155
2020-03-17,28.0155
2020-03-18,28.0155
2020-03-19,28.0155
2020-03-20,28.0155
2020-03-21,28.0155
2020-03-22,28.0155
2020-03-23,28.0155
2020-03-24,28.0155
2020-03-25,28.0155
2020-03-26,28.0155
2020-03-27,28.0155
2020-03-28,28.0155
2020-03-29,28.0155
2020-03-30,28.0155
2020-03-31,23.0363
2020-04-01,23.0363
2020-04-02,23.0363
2020-04-03,23.0363
2020-04-04,23.0363
2020-04-05,23.0363
2020-04-06,23.0363
2020-04-07,23.0363
2020-04-08,23.0363
2020-04-09,23.0363
2020-04-10,23.0363
2020-04-11,23.0363
2020-04-12,23.0363
2020-04-13,23.0363
2020-04-14,23.0363
2020-04-15,23.0363
2020-04-16,23.0363
2020-04-17,23.0363
2020-04-18,23.0363
2020-04-19,23.0363
2020-04-20,23.0363
2020-04-21,23.0363
2020-04-22,23.0363
2020-04-23,23.0363
2020-04-24,23.0363
2020-04-25,23.0363
2020-04-26,23.0363
2020-04-27,23.0363
2020-04-28,23.0363
2020-04-29,23.0363
2020-04-30,23.0363
2020-05-01,23.0363
2020-05-02,23.0363
2020-05-03,23.0363
2020-05-04,23.0363
2020-05-05,23.0363
2020-05-06,23.0363
2020-05-07,23.0363
2020-05-08,23.0363
2020-05-09,23.0363
2020-05-10,23.0363
2020-05-11,23.0363
2020-05-12,23.0363
2020-05-13,23.0363
2020-05-14,23.0363
2020-05-15,23.0363
2020-05-16,23.0363
2020-05-17,23.0363
2020-05-18,23.0363
2020-05-19,23.0363
2020-05-20,23.0363
2020-05-21,23.0363
2020-05-22,23.0363
2020-05-23,23.0363
2020-05-24,23.0363
2020-05-25,23.0363
2020-05-26,23.0363
2020-05-27,23.0363
2020-05-28,23.0363
2020-05-29,23.0363
2020-05-30,23.0363
2020-05-31,23.0363
2020-06-01,23.0363
2020-06-02,23.0363
2020-06-03,23.0363
2020-06-04,23.0363
2020-06-05,23.0363
2020-06-06,23.0363
2020-06-07,23.0363
2020-06-08,23.0363
2020-06-09,23.0363
2020-06-10,23.0363
2020-06-11,23.0363
2020-06-12,23.0363
2020-06-13,23.0363
2020-06-14,23.0363
2020-06-15,23.0363
2020-06-16,23.0363
2020-06-17,23.0363
2020-06-18,23.0363
2020-06-19,23.0363
2020-06-20,23.0363
2020-06-21,23.0363
2020-06-22,23.0363
2020-06-23,23.0363
2020-06-24,23.0363
2020-06-25,23.0363
2020-06-26,23.0363
2020-06-27,23.0363
2020-06-28,23.0363
2020-06-29,23.0363
2020-06-30,-28.2574
2020-07-01,-28.2574
2020-07-02,-28.2574
2020-07-03,-28.2574
2020-07-04,-28.2574
2020-07-05,-28.2574
2020-07-06,-28.2574
2020-07-07,-28.2574
2020-07-08,-28.2574
2020-07-09,-28.2574
2020-07-10,-28.2574
2020-07-11,-28.2574
2020-07-12,-28.2574
2020-07-13,-28.2574
2020-07-14,-28.2574
2020-07-15,-28.2574
2020-07-16,-28.2574
2020-07-17,-28.2574
2020-07-18,-28.2574
2020-07-19,-28.2574
2020-07-20,-28.2574
2020-07-21,-28.2574
2020-07-22,-28.2574
2020-07-23,-28.2574
2020-07-24,-28.2574
2020-07-25,-28.2574
2020-07-26,-28.2574
2020-07-27,-28.2574
2020-07-28,-28.2574
2020-07-29,-28.2574
2020-07-30,-28.2574
2020-07-31,-28.2574
2020-08-01,-28.2574
2020-08-02,-28.2574
2020-08-03,-28.2574
2020-08-04,-28.2574
2020-08-05,-28.2574
2020-08-06,-28.2574
2020-08-07,-28.2574
2020-08-08,-28.2574
2020-08-09,-28.2574
2020-08-10,-28.2574
2020-08-11,-28.2574
2020-08-12,-28.2574
2020-08-13,-28.2574
2020-08-14,-28.2574
2020-08-15,-28.2574
2020-08-16,-28.2574
2020-08-17,-28.2574
2020-08-18,-28.2574
2020-08-19,-28.2574
2020-08-20,-28.2574
2020-08-21,-28.2574
2020-08-22,-28.2574
2020-08-23,-28.2574
2020-08-24,-28.2574
2020-08-25,-28.2574
2020-08-26,-28.2574
2020-08-27,-28.2574
2020-08-28,-28.2574
2020-08-29,-28.2574
2020-08-30,-28.2574
2020-08-31,-28.2574
2020-09-01,-28.2574
2020-09-02,-28.2574
2020-09-03,-28.2574
2020-09-04,-28.2574
2020-09-05,-28.2574
2020-09-06,-28.2574
2020-09-07,-28.2574
2020-09-08,-28.2574
2020-09-09,-28.2574
2020-09-10,-28.2574
2020-09-11,-28.2574
2020-09-12,-28.2574
2020-09-13,-28.2574
2020-09-14,-28.2574
2020-09-15,-28.2574
2020-09-16,-28.2574
2020-09-17,-28.2574
2020-09-18,-28.2574
2020-09-19,-28.2574
2020-09-20,-28.2574
2020-09-21,-28.2574
2020-09-22,-28.2574
2020-09-23,-28.2574
2020-09-24,-28.2574
2020-09-25,-28.2574
2020-09-26,-28.2574
2020-09-27,-28.2574
2020-09-28,-28.2574
2020-09-29,-28.2574
2020-09-30,-20.594
2020-10-01,-20.594
2020-10-02,-20.594
2020-10-03,-20.594
2020-10-04,-20.594
2020-10-05,-20.594
2020-10-06,-20.594
2020-10-07,-20.594
2020-10-08,-20.594
2020-10-09,-20.594
2020-10-10,-20.594
2020-10-11,-20.594
2020-10-12,-20.594
2020-10-13,-20.594
2020-10-14,-20.594
2020-10-15,-20.594
2020-10-16,-20.594
2020-10-17,-20.594
2020-10-18,-20.594
2020-10-19,-20.594
2020-10-20,-20.594
2020-10-21,-20.594
2020-10-22,-20.594
2020-10-23,-20.594
2020-10-24,-20.594
2020-10-25,-20.594
2020-10-26,-20.594
2020-10-27,-20.594
2020-10-28,-20.594
2020-10-29,-20.594
2020-10-30,-20.594
2020-10-31,-20.594
2020-11-01,-20.594
2020-11-02,-20.594
2020-11-03,-20.594
2020-11-04,-20.594
2020-11-05,-20.594
2020-11-06,-20.594
2020-11-07,-20.594
2020-11-08,-20.594
2020-11-09,-20.594
2020-11-10,-20.594
2020-11-11,-20.594
2020-11-12,-20.594
2020-11-13,-20.594
2020-11-14,-20.594
2020-11-15,-20.594
2020-11-16,-20.594
2020-11-17,-20.594
2020-11-18,-20.594
2020-11-19,-20.594
2020-11-20,-20.594
2020-11-21,-20.594
2020-11-22,-20.594
2020-11-23,-20.594
2020-11-24,-20.594
2020-11-25,-20.594
2020-11-26,-20.594
2020-11-27,-20.594
2020-11-28,-20.594
2020-11-29,-20.594
2020-11-30,-20.594
2020-12-01,-20.594
2020-12-02,-20.594
2020-12-03,-20.594
2020-12-04,-20.594
2020-12-05,-20.594
2020-12-06,-20.594
2020-12-07,-20.594
2020-12-08,-20.594
2020-12-09,-20.594
2020-12-10,-20.594
2020-12-11,-20.594
2020-12-12,-20.594
2020-12-13,-20.594
2020-12-14,-20.594
2020-12-15,-20.594
2020-12-16,-20.594
2020-12-17,-20.594
2020-12-18,-20.594
2020-12-19,-20.594
2020-12-20,-20.594
2020-12-21,-20.594
2020-12-22,-20.594
2020-12-23,-20.594
2020-12-24,-20.594
2020-12-25,-20.594
2020-12-26,-20.594
2020-12-27,-20.594
2020-12-28,-20.594
2020-12-29,-20.594
2020-12-30,-20.594
2020-12-31,-18.7114
2021-01-01,-18.7114
2021-01-02,-18.7114
2021-01-03,-18.7114
2021-01-04,-18.7114
2021-01-05,-18.7114
2021-01-06,-18.7114
2021-01-07,-18.7114
2021-01-08,-18.7114
2021-01-09,-18.7114
2021-01-10,-18.7114
2021-01-11,-18.7114
2021-01-12,-18.7114
2021-01-13,-18.7114
2021-01-14,-18.7114
2021-01-15,-18.7114
2021-01-16,-18.7114
2021-01-17,-18.7114
2021-01-18,-18.7114
2021-01-19,-18.7114
2021-01-20,-18.7114
2021-01-21,-18.7114
2021-01-22,-18.7114
2021-01-23,-18.7114
2021-01-24,-18.7114
2021-01-25,-18.7114
2021-01-26,-18.7114
2021-01-27,-18.7114
2021-01-28,-18.7114
2021-01-29,-18.7114
2021-01-30,-18.7114
2021-01-31,-18.7114
2021-02-01,-18.7114
2021-02-02,-18.7114
2021-02-03,-18.7114
2021-02-04,-18.7114
2021-02-05,-18.7114
2021-02-06,-18.7114
2021-02-07,-18.7114
2021-02-08,-18.7114
2021-02-09,-18.7114
2021-02-10,-18.7114
2021-02-11,-18.7114
2021-02-12,-18.7114
2021-02-13,-18.7114
2021-02-14,-18.7114
2021-02-15,-18.7114
2021-02-16,-18.7114
2021-02-17,-18.7114
2021-02-18,-18.7114
2021-02-19,-18.7114
2021-02-20,-18.7114
2021-02-21,-18.7114
2021-02-22,-18.7114
2021-02-23,-18.7114
2021-02-24,-18.7114
2021-02-25,-18.7114
2021-02-26,-18.7114
2021-02-27,-18.7114
2021-02-28,-18.7114
2021-03-01,-18.7114
2021-03-02,-18.7114
2021-03-03,-18.7114
2021-03-04,-18.7114
2021-03-05,-18.7114
2021-03-06,-18.7114
2021-03-07,-18.7114
2021-03-08,-18.7114
2021-03-09,-18.7114
2021-03-10,-18.7114
2021-03-11,-18.7114
2021-03-12,-18.7114
2021-03-13,-18.7114
2021-03-14,-18.7114
2021-03-15,-18.7114
2021-03-16,-18.7114
2021-03-17,-18.7114
2021-03-18,-18.7114
2021-03-19,-18.7114
2021-03-20,-18.7114
2021-03-21,-18.7114
2021-03-22,-18.7114
2021-03-23,-18.7114
2021-03-24,-18.7114
2021-03-25,-18.7114
2021-03-26,-18.7114
2021-03-27,-18.7114
2021-03-28,-18.7114
2021-03-29,-18.7114
2021-03-30,-18.7114
2021-03-31,-7.0529
2021-04-01,-7.0529
2021-04-02,-7.0529
2021-04-03,-7.0529
2021-04-04,-7.0529
2021-04-05,-7.0529
2021-04-06,-7.0529
2021-04-07,-7.0529
2021-04-08,-7.0529
2021-04-09,-7.0529
2021-04-10,-7.0529
2021-04-11,-7.0529
2021-04-12,-7.0529
2021-04-13,-7.0529
2021-04-14,-7.0529
2021-04-15,-7.0529
2021-04-16,-7.0529
2021-04-17,-7.0529
2021-04-18,-7.0529
2021-04-19,-7.0529
2021-04-20,-7.0529
2021-04-21,-7.0529
2021-04-22,-7.0529
2021-04-23,-7.0529
2021-04-24,-7.0529
2021-04-25,-7.0529
2021-04-26,-7.0529
2021-04-27,-7.0529
2021-04-28,-7.0529
2021-04-29,-7.0529
2021-04-30,-7.0529
2021-05-01,-7.0529
2021-05-02,-7.0529
2021-05-03,-7.0529
2021-05-04,-7.0529
2021-05-05,-7.0529
2021-05-06,-7.0529
2021-05-07,-7.0529
2021-05-08,-7.0529
2021-05-09,-7.0529
2021-05-10,-7.0529
2021-05-11,-7.0529
2021-05-12,-7.0529
2021-05-13,-7.0529
2021-05-14,-7.0529
2021-05-15,-7.0529
2021-05-16,-7.0529
2021-05-17,-7.0529
2021-05-18,-7.0529
2021-05-19,-7.0529
2021-05-20,-7.0529
2021-05-21,-7.0529
2021-05-22,-7.0529
2021-05-23,-7.0529
2021-05-24,-7.0529
2021-05-25,-7.0529
2021-05-26,-7.0529
2021-05-27,-7.0529
2021-05-28,-7.0529
2021-05-29,-7.0529
2021-05-30,-7.0529
2021-05-31,-7.0529
2021-06-01,-7.0529
2021-06-02,-7.0529
2021-06-03,-7.0529
2021-06-04,-7.0529
2021-06-05,-7.0529
2021-06-06,-7.0529
2021-06-07,-7.0529
2021-06-08,-7.0529
2021-06-09,-7.0529
2021-06-10,-7.0529
2021-06-11,-7.0529
2021-06-12,-7.0529
2021-06-13,-7.0529
2021-06-14,-7.0529
2021-06-15,-7.0529
2021-06-16,-7.0529
2021-06-17,-7.0529
2021-06-18,-7.0529
2021-06-19,-7.0529
2021-06-20,-7.0529
2021-06-21,-7.0529
2021-06-22,-7.0529
2021-06-23,-7.0529
2021-06-24,-7.0529
2021-06-25,-7.0529
2021-06-26,-7.0529
2021-06-27,-7.0529
2021-06-28,-7.0529
2021-06-29,-7.0529
2021-06-30,64.2196
2021-07-01,64.2196
2021-07-02,64.2196
2021-07-03,64.2196
