,FDS US Equity
,RETURN_COM_EQY
2020-01-01,58.7876
2020-01-02,58.7876
2020-01-03,58.7876
2020-01-04,58.7876
2020-01-05,58.7876
2020-01-06,58.7876
2020-01-07,58.7876
2020-01-08,58.7876
2020-01-09,58.7876
2020-01-10,58.7876
2020-01-11,58.7876
2020-01-12,58.7876
2020-01-13,58.7876
2020-01-14,58.7876
2020-01-15,58.7876
2020-01-16,58.7876
2020-01-17,58.7876
2020-01-18,58.7876
2020-01-19,58.7876
2020-01-20,58.7876
2020-01-21,58.7876
2020-01-22,58.7876
2020-01-23,58.7876
2020-01-24,58.7876
2020-01-25,58.7876
2020-01-26,58.7876
2020-01-27,58.7876
2020-01-28,58.7876
2020-01-29,58.7876
2020-01-30,58.7876
2020-01-31,58.7876
2020-02-01,58.7876
2020-02-02,58.7876
2020-02-03,58.7876
2020-02-04,58.7876
2020-02-05,58.7876
2020-02-06,58.7876
2020-02-07,58.7876
2020-02-08,58.7876
2020-02-09,58.7876
2020-02-10,58.7876
2020-02-11,58.7876
2020-02-12,58.7876
2020-02-13,58.7876
2020-02-14,58.7876
2020-02-15,58.7876
2020-02-16,58.7876
2020-02-17,58.7876
2020-02-18,58.7876
2020-02-19,58.7876
2020-02-20,58.7876
2020-02-21,58.7876
2020-02-22,58.7876
2020-02-23,58.7876
2020-02-24,58.7876
2020-02-25,58.7876
2020-02-26,58.7876
2020-02-27,58.7876
2020-02-28,58.7876
2020-02-29,55.6773
2020-03-01,55.6773
2020-03-02,55.6773
2020-03-03,55.6773
2020-03-04,55.6773
2020-03-05,55.6773
2020-03-06,55.6773
2020-03-07,55.6773
2020-03-08,55.6773
2020-03-09,55.6773
2020-03-10,55.6773
2020-03-11,55.6773
2020-03-12,55.6773
2020-03-13,55.6773
2020-03-14,55.6773
2020-03-15,55.6773
2020-03-16,55.6773
2020-03-17,55.6773
2020-03-18,55.6773
2020-03-19,55.6773
2020-03-20,55.6773
2020-03-21,55.6773
2020-03-22,55.6773
2020-03-23,55.6773
2020-03-24,55.6773
2020-03-25,55.6773
2020-03-26,55.6773
2020-03-27,55.6773
2020-03-28,55.6773
2020-03-29,55.6773
2020-03-30,55.6773
2020-03-31,55.6773
2020-04-01,55.6773
2020-04-02,55.6773
2020-04-03,55.6773
2020-04-04,55.6773
2020-04-05,55.6773
2020-04-06,55.6773
2020-04-07,55.6773
2020-04-08,55.6773
2020-04-09,55.6773
2020-04-10,55.6773
2020-04-11,55.6773
2020-04-12,55.6773
2020-04-13,55.6773
2020-04-14,55.6773
2020-04-15,55.6773
2020-04-16,55.6773
2020-04-17,55.6773
2020-04-18,55.6773
2020-04-19,55.6773
2020-04-20,55.6773
2020-04-21,55.6773
2020-04-22,55.6773
2020-04-23,55.6773
2020-04-24,55.6773
2020-04-25,55.6773
2020-04-26,55.6773
2020-04-27,55.6773
2020-04-28,55.6773
2020-04-29,55.6773
2020-04-30,55.6773
2020-05-01,55.6773
2020-05-02,55.6773
2020-05-03,55.6773
2020-05-04,55.6773
2020-05-05,55.6773
2020-05-06,55.6773
2020-05-07,55.6773
2020-05-08,55.6773
2020-05-09,55.6773
2020-05-10,55.6773
2020-05-11,55.6773
2020-05-12,55.6773
2020-05-13,55.6773
2020-05-14,55.6773
2020-05-15,55.6773
2020-05-16,55.6773
2020-05-17,55.6773
2020-05-18,55.6773
2020-05-19,55.6773
2020-05-20,55.6773
2020-05-21,55.6773
2020-05-22,55.6773
2020-05-23,55.6773
2020-05-24,55.6773
2020-05-25,55.6773
2020-05-26,55.6773
2020-05-27,55.6773
2020-05-28,55.6773
2020-05-29,55.6773
2020-05-30,55.6773
2020-05-31,51.8716
2020-06-01,51.8716
2020-06-02,51.8716
2020-06-03,51.8716
2020-06-04,51.8716
2020-06-05,51.8716
2020-06-06,51.8716
2020-06-07,51.8716
2020-06-08,51.8716
2020-06-09,51.8716
2020-06-10,51.8716
2020-06-11,51.8716
2020-06-12,51.8716
2020-06-13,51.8716
2020-06-14,51.8716
2020-06-15,51.8716
2020-06-16,51.8716
2020-06-17,51.8716
2020-06-18,51.8716
2020-06-19,51.8716
2020-06-20,51.8716
2020-06-21,51.8716
2020-06-22,51.8716
2020-06-23,51.8716
2020-06-24,51.8716
2020-06-25,51.8716
2020-06-26,51.8716
2020-06-27,51.8716
2020-06-28,51.8716
2020-06-29,51.8716
2020-06-30,51.8716
2020-07-01,51.8716
2020-07-02,51.8716
2020-07-03,51.8716
2020-07-04,51.8716
2020-07-05,51.8716
2020-07-06,51.8716
2020-07-07,51.8716
2020-07-08,51.8716
2020-07-09,51.8716
2020-07-10,51.8716
2020-07-11,51.8716
2020-07-12,51.8716
2020-07-13,51.8716
2020-07-14,51.8716
