,WSBF US Equity
,RETURN_COM_EQY
2020-01-01,9.0508
2020-01-02,9.0508
2020-01-03,9.0508
2020-01-04,9.0508
2020-01-05,9.0508
2020-01-06,9.0508
2020-01-07,9.0508
2020-01-08,9.0508
2020-01-09,9.0508
2020-01-10,9.0508
2020-01-11,9.0508
2020-01-12,9.0508
2020-01-13,9.0508
2020-01-14,9.0508
2020-01-15,9.0508
2020-01-16,9.0508
2020-01-17,9.0508
2020-01-18,9.0508
2020-01-19,9.0508
2020-01-20,9.0508
2020-01-21,9.0508
2020-01-22,9.0508
2020-01-23,9.0508
2020-01-24,9.0508
2020-01-25,9.0508
2020-01-26,9.0508
2020-01-27,9.0508
2020-01-28,9.0508
2020-01-29,9.0508
2020-01-30,9.0508
2020-01-31,9.0508
2020-02-01,9.0508
2020-02-02,9.0508
2020-02-03,9.0508
2020-02-04,9.0508
2020-02-05,9.0508
2020-02-06,9.0508
2020-02-07,9.0508
2020-02-08,9.0508
2020-02-09,9.0508
2020-02-10,9.0508
2020-02-11,9.0508
2020-02-12,9.0508
2020-02-13,9.0508
2020-02-14,9.0508
2020-02-15,9.0508
2020-02-16,9.0508
2020-02-17,9.0508
2020-02-18,9.0508
2020-02-19,9.0508
2020-02-20,9.0508
2020-02-21,9.0508
2020-02-22,9.0508
2020-02-23,9.0508
2020-02-24,9.0508
2020-02-25,9.0508
2020-02-26,9.0508
2020-02-27,9.0508
2020-02-28,9.0508
2020-02-29,9.0508
2020-03-01,9.0508
2020-03-02,9.0508
2020-03-03,9.0508
2020-03-04,9.0508
2020-03-05,9.0508
2020-03-06,9.0508
2020-03-07,9.0508
2020-03-08,9.0508
2020-03-09,9.0508
2020-03-10,9.0508
2020-03-11,9.0508
2020-03-12,9.0508
2020-03-13,9.0508
2020-03-14,9.0508
2020-03-15,9.0508
2020-03-16,9.0508
2020-03-17,9.0508
2020-03-18,9.0508
2020-03-19,9.0508
2020-03-20,9.0508
2020-03-21,9.0508
2020-03-22,9.0508
2020-03-23,9.0508
2020-03-24,9.0508
2020-03-25,9.0508
2020-03-26,9.0508
2020-03-27,9.0508
2020-03-28,9.0508
2020-03-29,9.0508
2020-03-30,9.0508
2020-03-31,9.3694
2020-04-01,9.3694
2020-04-02,9.3694
2020-04-03,9.3694
2020-04-04,9.3694
2020-04-05,9.3694
2020-04-06,9.3694
2020-04-07,9.3694
2020-04-08,9.3694
2020-04-09,9.3694
2020-04-10,9.3694
2020-04-11,9.3694
2020-04-12,9.3694
2020-04-13,9.3694
2020-04-14,9.3694
2020-04-15,9.3694
2020-04-16,9.3694
2020-04-17,9.3694
2020-04-18,9.3694
2020-04-19,9.3694
2020-04-20,9.3694
2020-04-21,9.3694
2020-04-22,9.3694
2020-04-23,9.3694
2020-04-24,9.3694
2020-04-25,9.3694
2020-04-26,9.3694
2020-04-27,9.3694
2020-04-28,9.3694
2020-04-29,9.3694
2020-04-30,9.3694
2020-05-01,9.3694
2020-05-02,9.3694
2020-05-03,9.3694
2020-05-04,9.3694
2020-05-05,9.3694
2020-05-06,9.3694
2020-05-07,9.3694
2020-05-08,9.3694
2020-05-09,9.3694
2020-05-10,9.3694
2020-05-11,9.3694
2020-05-12,9.3694
2020-05-13,9.3694
2020-05-14,9.3694
2020-05-15,9.3694
2020-05-16,9.3694
2020-05-17,9.3694
2020-05-18,9.3694
2020-05-19,9.3694
2020-05-20,9.3694
2020-05-21,9.3694
2020-05-22,9.3694
2020-05-23,9.3694
2020-05-24,9.3694
2020-05-25,9.3694
2020-05-26,9.3694
2020-05-27,9.3694
2020-05-28,9.3694
2020-05-29,9.3694
2020-05-30,9.3694
2020-05-31,9.3694
2020-06-01,9.3694
2020-06-02,9.3694
2020-06-03,9.3694
2020-06-04,9.3694
2020-06-05,9.3694
2020-06-06,9.3694
2020-06-07,9.3694
2020-06-08,9.3694
2020-06-09,9.3694
2020-06-10,9.3694
2020-06-11,9.3694
2020-06-12,9.3694
2020-06-13,9.3694
2020-06-14,9.3694
2020-06-15,9.3694
2020-06-16,9.3694
2020-06-17,9.3694
2020-06-18,9.3694
2020-06-19,9.3694
2020-06-20,9.3694
2020-06-21,9.3694
2020-06-22,9.3694
2020-06-23,9.3694
2020-06-24,9.3694
2020-06-25,9.3694
2020-06-26,9.3694
2020-06-27,9.3694
2020-06-28,9.3694
2020-06-29,9.3694
2020-06-30,12.1009
2020-07-01,12.1009
2020-07-02,12.1009
2020-07-03,12.1009
2020-07-04,12.1009
2020-07-05,12.1009
2020-07-06,12.1009
2020-07-07,12.1009
2020-07-08,12.1009
2020-07-09,12.1009
2020-07-10,12.1009
2020-07-11,12.1009
2020-07-12,12.1009
2020-07-13,12.1009
2020-07-14,12.1009
2020-07-15,12.1009
2020-07-16,12.1009
2020-07-17,12.1009
2020-07-18,12.1009
2020-07-19,12.1009
2020-07-20,12.1009
2020-07-21,12.1009
2020-07-22,12.1009
2020-07-23,12.1009
2020-07-24,12.1009
2020-07-25,12.1009
2020-07-26,12.1009
2020-07-27,12.1009
2020-07-28,12.1009
2020-07-29,12.1009
2020-07-30,12.1009
2020-07-31,12.1009
2020-08-01,12.1009
2020-08-02,12.1009
2020-08-03,12.1009
2020-08-04,12.1009
2020-08-05,12.1009
2020-08-06,12.1009
2020-08-07,12.1009
2020-08-08,12.1009
2020-08-09,12.1009
2020-08-10,12.1009
2020-08-11,12.1009
2020-08-12,12.1009
2020-08-13,12.1009
2020-08-14,12.1009
2020-08-15,12.1009
2020-08-16,12.1009
2020-08-17,12.1009
2020-08-18,12.1009
2020-08-19,12.1009
2020-08-20,12.1009
2020-08-21,12.1009
2020-08-22,12.1009
2020-08-23,12.1009
2020-08-24,12.1009
2020-08-25,12.1009
2020-08-26,12.1009
2020-08-27,12.1009
2020-08-28,12.1009
2020-08-29,12.1009
2020-08-30,12.1009
2020-08-31,12.1009
2020-09-01,12.1009
2020-09-02,12.1009
2020-09-03,12.1009
2020-09-04,12.1009
2020-09-05,12.1009
2020-09-06,12.1009
2020-09-07,12.1009
2020-09-08,12.1009
2020-09-09,12.1009
2020-09-10,12.1009
2020-09-11,12.1009
2020-09-12,12.1009
2020-09-13,12.1009
2020-09-14,12.1009
2020-09-15,12.1009
2020-09-16,12.1009
2020-09-17,12.1009
2020-09-18,12.1009
2020-09-19,12.1009
2020-09-20,12.1009
2020-09-21,12.1009
2020-09-22,12.1009
2020-09-23,12.1009
2020-09-24,12.1009
2020-09-25,12.1009
2020-09-26,12.1009
2020-09-27,12.1009
2020-09-28,12.1009
2020-09-29,12.1009
2020-09-30,15.789
2020-10-01,15.789
2020-10-02,15.789
2020-10-03,15.789
2020-10-04,15.789
2020-10-05,15.789
2020-10-06,15.789
2020-10-07,15.789
2020-10-08,15.789
2020-10-09,15.789
2020-10-10,15.789
2020-10-11,15.789
2020-10-12,15.789
2020-10-13,15.789
2020-10-14,15.789
2020-10-15,15.789
2020-10-16,15.789
2020-10-17,15.789
2020-10-18,15.789
2020-10-19,15.789
2020-10-20,15.789
2020-10-21,15.789
2020-10-22,15.789
2020-10-23,15.789
2020-10-24,15.789
2020-10-25,15.789
2020-10-26,15.789
2020-10-27,15.789
2020-10-28,15.789
2020-10-29,15.789
2020-10-30,15.789
2020-10-31,15.789
2020-11-01,15.789
2020-11-02,15.789
2020-11-03,15.789
2020-11-04,15.789
2020-11-05,15.789
2020-11-06,15.789
