,BIG US Equity
,RETURN_COM_EQY
2020-01-01,37.8947
2020-01-02,37.8947
2020-01-03,37.8947
2020-01-04,37.8947
2020-01-05,37.8947
2020-01-06,37.8947
2020-01-07,37.8947
2020-01-08,37.8947
2020-01-09,37.8947
2020-01-10,37.8947
2020-01-11,37.8947
2020-01-12,37.8947
2020-01-13,37.8947
2020-01-14,37.8947
2020-01-15,37.8947
2020-01-16,37.8947
2020-01-17,37.8947
2020-01-18,37.8947
2020-01-19,37.8947
2020-01-20,37.8947
2020-01-21,37.8947
2020-01-22,37.8947
2020-01-23,37.8947
2020-01-24,37.8947
2020-01-25,37.8947
2020-01-26,37.8947
2020-01-27,37.8947
2020-01-28,37.8947
2020-01-29,37.8947
2020-01-30,37.8947
2020-01-31,37.8947
2020-02-01,21.7306
2020-02-02,21.7306
2020-02-03,21.7306
2020-02-04,21.7306
2020-02-05,21.7306
2020-02-06,21.7306
2020-02-07,21.7306
2020-02-08,21.7306
2020-02-09,21.7306
2020-02-10,21.7306
2020-02-11,21.7306
2020-02-12,21.7306
2020-02-13,21.7306
2020-02-14,21.7306
2020-02-15,21.7306
2020-02-16,21.7306
2020-02-17,21.7306
2020-02-18,21.7306
2020-02-19,21.7306
2020-02-20,21.7306
2020-02-21,21.7306
2020-02-22,21.7306
2020-02-23,21.7306
2020-02-24,21.7306
2020-02-25,21.7306
2020-02-26,21.7306
2020-02-27,21.7306
2020-02-28,21.7306
2020-02-29,21.7306
2020-03-01,21.7306
2020-03-02,21.7306
2020-03-03,21.7306
2020-03-04,21.7306
2020-03-05,21.7306
2020-03-06,21.7306
2020-03-07,21.7306
2020-03-08,21.7306
2020-03-09,21.7306
2020-03-10,21.7306
2020-03-11,21.7306
2020-03-12,21.7306
2020-03-13,21.7306
2020-03-14,21.7306
2020-03-15,21.7306
2020-03-16,21.7306
2020-03-17,21.7306
2020-03-18,21.7306
2020-03-19,21.7306
2020-03-20,21.7306
2020-03-21,21.7306
2020-03-22,21.7306
2020-03-23,21.7306
2020-03-24,21.7306
2020-03-25,21.7306
2020-03-26,21.7306
2020-03-27,21.7306
2020-03-28,21.7306
2020-03-29,21.7306
2020-03-30,21.7306
2020-03-31,21.7306
2020-04-01,21.7306
2020-04-02,21.7306
2020-04-03,21.7306
2020-04-04,21.7306
2020-04-05,21.7306
2020-04-06,21.7306
2020-04-07,21.7306
2020-04-08,21.7306
2020-04-09,21.7306
2020-04-10,21.7306
2020-04-11,21.7306
2020-04-12,21.7306
2020-04-13,21.7306
2020-04-14,21.7306
2020-04-15,21.7306
2020-04-16,21.7306
2020-04-17,21.7306
2020-04-18,21.7306
2020-04-19,21.7306
2020-04-20,21.7306
2020-04-21,21.7306
2020-04-22,21.7306
2020-04-23,21.7306
2020-04-24,21.7306
2020-04-25,21.7306
2020-04-26,21.7306
2020-04-27,21.7306
2020-04-28,21.7306
2020-04-29,21.7306
2020-04-30,21.7306
2020-05-01,21.7306
2020-05-02,36.0574
