,DK US Equity
,RETURN_COM_EQY
2020-01-01,18.8305
2020-01-02,18.8305
2020-01-03,18.8305
2020-01-04,18.8305
2020-01-05,18.8305
2020-01-06,18.8305
2020-01-07,18.8305
2020-01-08,18.8305
2020-01-09,18.8305
2020-01-10,18.8305
2020-01-11,18.8305
2020-01-12,18.8305
2020-01-13,18.8305
2020-01-14,18.8305
2020-01-15,18.8305
2020-01-16,18.8305
2020-01-17,18.8305
2020-01-18,18.8305
2020-01-19,18.8305
2020-01-20,18.8305
2020-01-21,18.8305
2020-01-22,18.8305
2020-01-23,18.8305
2020-01-24,18.8305
2020-01-25,18.8305
2020-01-26,18.8305
2020-01-27,18.8305
2020-01-28,18.8305
2020-01-29,18.8305
2020-01-30,18.8305
2020-01-31,18.8305
2020-02-01,18.8305
2020-02-02,18.8305
2020-02-03,18.8305
2020-02-04,18.8305
2020-02-05,18.8305
2020-02-06,18.8305
2020-02-07,18.8305
2020-02-08,18.8305
2020-02-09,18.8305
2020-02-10,18.8305
2020-02-11,18.8305
2020-02-12,18.8305
2020-02-13,18.8305
2020-02-14,18.8305
2020-02-15,18.8305
2020-02-16,18.8305
2020-02-17,18.8305
2020-02-18,18.8305
2020-02-19,18.8305
2020-02-20,18.8305
2020-02-21,18.8305
2020-02-22,18.8305
2020-02-23,18.8305
2020-02-24,18.8305
2020-02-25,18.8305
2020-02-26,18.8305
2020-02-27,18.8305
2020-02-28,18.8305
2020-02-29,18.8305
2020-03-01,18.8305
2020-03-02,18.8305
2020-03-03,18.8305
2020-03-04,18.8305
2020-03-05,18.8305
2020-03-06,18.8305
2020-03-07,18.8305
2020-03-08,18.8305
2020-03-09,18.8305
2020-03-10,18.8305
2020-03-11,18.8305
2020-03-12,18.8305
2020-03-13,18.8305
2020-03-14,18.8305
2020-03-15,18.8305
2020-03-16,18.8305
2020-03-17,18.8305
2020-03-18,18.8305
2020-03-19,18.8305
2020-03-20,18.8305
2020-03-21,18.8305
2020-03-22,18.8305
2020-03-23,18.8305
2020-03-24,18.8305
2020-03-25,18.8305
2020-03-26,18.8305
2020-03-27,18.8305
2020-03-28,18.8305
2020-03-29,18.8305
2020-03-30,18.8305
2020-03-31,-10.0311
2020-04-01,-10.0311
2020-04-02,-10.0311
2020-04-03,-10.0311
2020-04-04,-10.0311
2020-04-05,-10.0311
2020-04-06,-10.0311
2020-04-07,-10.0311
2020-04-08,-10.0311
2020-04-09,-10.0311
2020-04-10,-10.0311
2020-04-11,-10.0311
2020-04-12,-10.0311
2020-04-13,-10.0311
2020-04-14,-10.0311
2020-04-15,-10.0311
2020-04-16,-10.0311
2020-04-17,-10.0311
2020-04-18,-10.0311
2020-04-19,-10.0311
2020-04-20,-10.0311
2020-04-21,-10.0311
2020-04-22,-10.0311
2020-04-23,-10.0311
2020-04-24,-10.0311
2020-04-25,-10.0311
2020-04-26,-10.0311
2020-04-27,-10.0311
2020-04-28,-10.0311
2020-04-29,-10.0311
2020-04-30,-10.0311
2020-05-01,-10.0311
2020-05-02,-10.0311
2020-05-03,-10.0311
2020-05-04,-10.0311
2020-05-05,-10.0311
2020-05-06,-10.0311
2020-05-07,-10.0311
2020-05-08,-10.0311
2020-05-09,-10.0311
2020-05-10,-10.0311
2020-05-11,-10.0311
2020-05-12,-10.0311
2020-05-13,-10.0311
2020-05-14,-10.0311
2020-05-15,-10.0311
2020-05-16,-10.0311
2020-05-17,-10.0311
2020-05-18,-10.0311
2020-05-19,-10.0311
2020-05-20,-10.0311
2020-05-21,-10.0311
2020-05-22,-10.0311
2020-05-23,-10.0311
2020-05-24,-10.0311
2020-05-25,-10.0311
2020-05-26,-10.0311
2020-05-27,-10.0311
2020-05-28,-10.0311
2020-05-29,-10.0311
2020-05-30,-10.0311
2020-05-31,-10.0311
2020-06-01,-10.0311
2020-06-02,-10.0311
2020-06-03,-10.0311
2020-06-04,-10.0311
2020-06-05,-10.0311
2020-06-06,-10.0311
2020-06-07,-10.0311
2020-06-08,-10.0311
2020-06-09,-10.0311
2020-06-10,-10.0311
2020-06-11,-10.0311
2020-06-12,-10.0311
2020-06-13,-10.0311
2020-06-14,-10.0311
2020-06-15,-10.0311
2020-06-16,-10.0311
2020-06-17,-10.0311
2020-06-18,-10.0311
2020-06-19,-10.0311
2020-06-20,-10.0311
2020-06-21,-10.0311
2020-06-22,-10.0311
2020-06-23,-10.0311
2020-06-24,-10.0311
2020-06-25,-10.0311
2020-06-26,-10.0311
2020-06-27,-10.0311
2020-06-28,-10.0311
2020-06-29,-10.0311
2020-06-30,-9.1819
2020-07-01,-9.1819
2020-07-02,-9.1819
2020-07-03,-9.1819
2020-07-04,-9.1819
2020-07-05,-9.1819
2020-07-06,-9.1819
2020-07-07,-9.1819
2020-07-08,-9.1819
2020-07-09,-9.1819
2020-07-10,-9.1819
2020-07-11,-9.1819
2020-07-12,-9.1819
2020-07-13,-9.1819
2020-07-14,-9.1819
2020-07-15,-9.1819
2020-07-16,-9.1819
2020-07-17,-9.1819
2020-07-18,-9.1819
2020-07-19,-9.1819
2020-07-20,-9.1819
2020-07-21,-9.1819
2020-07-22,-9.1819
2020-07-23,-9.1819
2020-07-24,-9.1819
2020-07-25,-9.1819
2020-07-26,-9.1819
2020-07-27,-9.1819
2020-07-28,-9.1819
2020-07-29,-9.1819
2020-07-30,-9.1819
2020-07-31,-9.1819
2020-08-01,-9.1819
2020-08-02,-9.1819
2020-08-03,-9.1819
2020-08-04,-9.1819
2020-08-05,-9.1819
2020-08-06,-9.1819
2020-08-07,-9.1819
2020-08-08,-9.1819
2020-08-09,-9.1819
2020-08-10,-9.1819
2020-08-11,-9.1819
2020-08-12,-9.1819
2020-08-13,-9.1819
2020-08-14,-9.1819
2020-08-15,-9.1819
2020-08-16,-9.1819
2020-08-17,-9.1819
2020-08-18,-9.1819
2020-08-19,-9.1819
2020-08-20,-9.1819
2020-08-21,-9.1819
2020-08-22,-9.1819
2020-08-23,-9.1819
2020-08-24,-9.1819
2020-08-25,-9.1819
2020-08-26,-9.1819
2020-08-27,-9.1819
2020-08-28,-9.1819
2020-08-29,-9.1819
2020-08-30,-9.1819
2020-08-31,-9.1819
2020-09-01,-9.1819
2020-09-02,-9.1819
2020-09-03,-9.1819
2020-09-04,-9.1819
2020-09-05,-9.1819
2020-09-06,-9.1819
2020-09-07,-9.1819
2020-09-08,-9.1819
2020-09-09,-9.1819
2020-09-10,-9.1819
2020-09-11,-9.1819
2020-09-12,-9.1819
2020-09-13,-9.1819
2020-09-14,-9.1819
2020-09-15,-9.1819
2020-09-16,-9.1819
2020-09-17,-9.1819
2020-09-18,-9.1819
2020-09-19,-9.1819
2020-09-20,-9.1819
2020-09-21,-9.1819
2020-09-22,-9.1819
2020-09-23,-9.1819
2020-09-24,-9.1819
2020-09-25,-9.1819
2020-09-26,-9.1819
2020-09-27,-9.1819
2020-09-28,-9.1819
2020-09-29,-9.1819
2020-09-30,-18.8488
2020-10-01,-18.8488
2020-10-02,-18.8488
2020-10-03,-18.8488
2020-10-04,-18.8488
2020-10-05,-18.8488
2020-10-06,-18.8488
2020-10-07,-18.8488
2020-10-08,-18.8488
2020-10-09,-18.8488
2020-10-10,-18.8488
2020-10-11,-18.8488
2020-10-12,-18.8488
2020-10-13,-18.8488
2020-10-14,-18.8488
2020-10-15,-18.8488
2020-10-16,-18.8488
2020-10-17,-18.8488
2020-10-18,-18.8488
2020-10-19,-18.8488
2020-10-20,-18.8488
2020-10-21,-18.8488
2020-10-22,-18.8488
2020-10-23,-18.8488
2020-10-24,-18.8488
2020-10-25,-18.8488
2020-10-26,-18.8488
2020-10-27,-18.8488
2020-10-28,-18.8488
2020-10-29,-18.8488
2020-10-30,-18.8488
2020-10-31,-18.8488
2020-11-01,-18.8488
2020-11-02,-18.8488
2020-11-03,-18.8488
2020-11-04,-18.8488
2020-11-05,-18.8488
2020-11-06,-18.8488
2020-11-07,-18.8488
2020-11-08,-18.8488
2020-11-09,-18.8488
2020-11-10,-18.8488
2020-11-11,-18.8488
2020-11-12,-18.8488
2020-11-13,-18.8488
2020-11-14,-18.8488
2020-11-15,-18.8488
2020-11-16,-18.8488
2020-11-17,-18.8488
2020-11-18,-18.8488
2020-11-19,-18.8488
2020-11-20,-18.8488
2020-11-21,-18.8488
2020-11-22,-18.8488
2020-11-23,-18.8488
2020-11-24,-18.8488
2020-11-25,-18.8488
2020-11-26,-18.8488
2020-11-27,-18.8488
2020-11-28,-18.8488
2020-11-29,-18.8488
2020-11-30,-18.8488
2020-12-01,-18.8488
2020-12-02,-18.8488
2020-12-03,-18.8488
2020-12-04,-18.8488
2020-12-05,-18.8488
