,FNF US Equity
,RETURN_COM_EQY
2020-01-01,21.2145
2020-01-02,21.2145
2020-01-03,21.2145
2020-01-04,21.2145
2020-01-05,21.2145
2020-01-06,21.2145
2020-01-07,21.2145
2020-01-08,21.2145
2020-01-09,21.2145
2020-01-10,21.2145
2020-01-11,21.2145
2020-01-12,21.2145
2020-01-13,21.2145
2020-01-14,21.2145
2020-01-15,21.2145
2020-01-16,21.2145
2020-01-17,21.2145
2020-01-18,21.2145
2020-01-19,21.2145
2020-01-20,21.2145
2020-01-21,21.2145
2020-01-22,21.2145
2020-01-23,21.2145
2020-01-24,21.2145
2020-01-25,21.2145
2020-01-26,21.2145
2020-01-27,21.2145
2020-01-28,21.2145
2020-01-29,21.2145
2020-01-30,21.2145
2020-01-31,21.2145
2020-02-01,21.2145
2020-02-02,21.2145
2020-02-03,21.2145
2020-02-04,21.2145
2020-02-05,21.2145
2020-02-06,21.2145
2020-02-07,21.2145
2020-02-08,21.2145
2020-02-09,21.2145
2020-02-10,21.2145
2020-02-11,21.2145
2020-02-12,21.2145
2020-02-13,21.2145
2020-02-14,21.2145
2020-02-15,21.2145
2020-02-16,21.2145
2020-02-17,21.2145
2020-02-18,21.2145
2020-02-19,21.2145
2020-02-20,21.2145
2020-02-21,21.2145
2020-02-22,21.2145
2020-02-23,21.2145
2020-02-24,21.2145
2020-02-25,21.2145
2020-02-26,21.2145
2020-02-27,21.2145
2020-02-28,21.2145
2020-02-29,21.2145
2020-03-01,21.2145
2020-03-02,21.2145
2020-03-03,21.2145
2020-03-04,21.2145
2020-03-05,21.2145
2020-03-06,21.2145
2020-03-07,21.2145
2020-03-08,21.2145
2020-03-09,21.2145
2020-03-10,21.2145
2020-03-11,21.2145
2020-03-12,21.2145
2020-03-13,21.2145
2020-03-14,21.2145
2020-03-15,21.2145
2020-03-16,21.2145
2020-03-17,21.2145
2020-03-18,21.2145
2020-03-19,21.2145
2020-03-20,21.2145
2020-03-21,21.2145
2020-03-22,21.2145
2020-03-23,21.2145
2020-03-24,21.2145
2020-03-25,21.2145
2020-03-26,21.2145
2020-03-27,21.2145
2020-03-28,21.2145
2020-03-29,21.2145
2020-03-30,21.2145
2020-03-31,16.0574
2020-04-01,16.0574
2020-04-02,16.0574
2020-04-03,16.0574
2020-04-04,16.0574
2020-04-05,16.0574
2020-04-06,16.0574
2020-04-07,16.0574
2020-04-08,16.0574
2020-04-09,16.0574
2020-04-10,16.0574
2020-04-11,16.0574
2020-04-12,16.0574
2020-04-13,16.0574
2020-04-14,16.0574
2020-04-15,16.0574
2020-04-16,16.0574
2020-04-17,16.0574
2020-04-18,16.0574
2020-04-19,16.0574
2020-04-20,16.0574
2020-04-21,16.0574
2020-04-22,16.0574
2020-04-23,16.0574
2020-04-24,16.0574
2020-04-25,16.0574
2020-04-26,16.0574
2020-04-27,16.0574
2020-04-28,16.0574
2020-04-29,16.0574
2020-04-30,16.0574
2020-05-01,16.0574
2020-05-02,16.0574
2020-05-03,16.0574
2020-05-04,16.0574
2020-05-05,16.0574
2020-05-06,16.0574
2020-05-07,16.0574
2020-05-08,16.0574
2020-05-09,16.0574
2020-05-10,16.0574
2020-05-11,16.0574
2020-05-12,16.0574
2020-05-13,16.0574
2020-05-14,16.0574
2020-05-15,16.0574
2020-05-16,16.0574
2020-05-17,16.0574
2020-05-18,16.0574
2020-05-19,16.0574
2020-05-20,16.0574
2020-05-21,16.0574
2020-05-22,16.0574
2020-05-23,16.0574
2020-05-24,16.0574
2020-05-25,16.0574
2020-05-26,16.0574
2020-05-27,16.0574
2020-05-28,16.0574
2020-05-29,16.0574
2020-05-30,16.0574
2020-05-31,16.0574
2020-06-01,16.0574
2020-06-02,16.0574
2020-06-03,16.0574
2020-06-04,16.0574
2020-06-05,16.0574
2020-06-06,16.0574
2020-06-07,16.0574
2020-06-08,16.0574
2020-06-09,16.0574
2020-06-10,16.0574
2020-06-11,16.0574
2020-06-12,16.0574
2020-06-13,16.0574
2020-06-14,16.0574
2020-06-15,16.0574
2020-06-16,16.0574
2020-06-17,16.0574
2020-06-18,16.0574
2020-06-19,16.0574
2020-06-20,16.0574
2020-06-21,16.0574
2020-06-22,16.0574
2020-06-23,16.0574
2020-06-24,16.0574
2020-06-25,16.0574
2020-06-26,16.0574
2020-06-27,16.0574
2020-06-28,16.0574
2020-06-29,16.0574
2020-06-30,14.8057
2020-07-01,14.8057
2020-07-02,14.8057
2020-07-03,14.8057
2020-07-04,14.8057
2020-07-05,14.8057
2020-07-06,14.8057
2020-07-07,14.8057
2020-07-08,14.8057
2020-07-09,14.8057
2020-07-10,14.8057
2020-07-11,14.8057
2020-07-12,14.8057
2020-07-13,14.8057
2020-07-14,14.8057
2020-07-15,14.8057
2020-07-16,14.8057
2020-07-17,14.8057
2020-07-18,14.8057
2020-07-19,14.8057
2020-07-20,14.8057
2020-07-21,14.8057
2020-07-22,14.8057
2020-07-23,14.8057
2020-07-24,14.8057
2020-07-25,14.8057
2020-07-26,14.8057
2020-07-27,14.8057
2020-07-28,14.8057
2020-07-29,14.8057
2020-07-30,14.8057
2020-07-31,14.8057
2020-08-01,14.8057
2020-08-02,14.8057
2020-08-03,14.8057
2020-08-04,14.8057
2020-08-05,14.8057
2020-08-06,14.8057
2020-08-07,14.8057
2020-08-08,14.8057
2020-08-09,14.8057
2020-08-10,14.8057
2020-08-11,14.8057
2020-08-12,14.8057
2020-08-13,14.8057
2020-08-14,14.8057
2020-08-15,14.8057
2020-08-16,14.8057
2020-08-17,14.8057
2020-08-18,14.8057
2020-08-19,14.8057
2020-08-20,14.8057
2020-08-21,14.8057
2020-08-22,14.8057
2020-08-23,14.8057
2020-08-24,14.8057
2020-08-25,14.8057
2020-08-26,14.8057
2020-08-27,14.8057
2020-08-28,14.8057
2020-08-29,14.8057
2020-08-30,14.8057
2020-08-31,14.8057
2020-09-01,14.8057
2020-09-02,14.8057
2020-09-03,14.8057
2020-09-04,14.8057
2020-09-05,14.8057
2020-09-06,14.8057
2020-09-07,14.8057
2020-09-08,14.8057
2020-09-09,14.8057
2020-09-10,14.8057
2020-09-11,14.8057
2020-09-12,14.8057
2020-09-13,14.8057
2020-09-14,14.8057
2020-09-15,14.8057
2020-09-16,14.8057
2020-09-17,14.8057
2020-09-18,14.8057
2020-09-19,14.8057
2020-09-20,14.8057
2020-09-21,14.8057
2020-09-22,14.8057
2020-09-23,14.8057
2020-09-24,14.8057
2020-09-25,14.8057
2020-09-26,14.8057
2020-09-27,14.8057
2020-09-28,14.8057
2020-09-29,14.8057
2020-09-30,15.7329
2020-10-01,15.7329
2020-10-02,15.7329
2020-10-03,15.7329
2020-10-04,15.7329
2020-10-05,15.7329
2020-10-06,15.7329
2020-10-07,15.7329
2020-10-08,15.7329
2020-10-09,15.7329
2020-10-10,15.7329
2020-10-11,15.7329
2020-10-12,15.7329
2020-10-13,15.7329
2020-10-14,15.7329
2020-10-15,15.7329
2020-10-16,15.7329
2020-10-17,15.7329
2020-10-18,15.7329
2020-10-19,15.7329
2020-10-20,15.7329
2020-10-21,15.7329
2020-10-22,15.7329
2020-10-23,15.7329
2020-10-24,15.7329
2020-10-25,15.7329
2020-10-26,15.7329
2020-10-27,15.7329
2020-10-28,15.7329
2020-10-29,15.7329
2020-10-30,15.7329
2020-10-31,15.7329
2020-11-01,15.7329
2020-11-02,15.7329
2020-11-03,15.7329
2020-11-04,15.7329
2020-11-05,15.7329
2020-11-06,15.7329
2020-11-07,15.7329
2020-11-08,15.7329
2020-11-09,15.7329
2020-11-10,15.7329
2020-11-11,15.7329
2020-11-12,15.7329
2020-11-13,15.7329
2020-11-14,15.7329
2020-11-15,15.7329
2020-11-16,15.7329
2020-11-17,15.7329
2020-11-18,15.7329
2020-11-19,15.7329
2020-11-20,15.7329
2020-11-21,15.7329
2020-11-22,15.7329
2020-11-23,15.7329
2020-11-24,15.7329
2020-11-25,15.7329
2020-11-26,15.7329
2020-11-27,15.7329
2020-11-28,15.7329
2020-11-29,15.7329
2020-11-30,15.7329
2020-12-01,15.7329
2020-12-02,15.7329
2020-12-03,15.7329
2020-12-04,15.7329
2020-12-05,15.7329
2020-12-06,15.7329
2020-12-07,15.7329
2020-12-08,15.7329
2020-12-09,15.7329
2020-12-10,15.7329
2020-12-11,15.7329
2020-12-12,15.7329
2020-12-13,15.7329
2020-12-14,15.7329
2020-12-15,15.7329
2020-12-16,15.7329
2020-12-17,15.7329
2020-12-18,15.7329
2020-12-19,15.7329
2020-12-20,15.7329
2020-12-21,15.7329
2020-12-22,15.7329
2020-12-23,15.7329
2020-12-24,15.7329
2020-12-25,15.7329
2020-12-26,15.7329
2020-12-27,15.7329
2020-12-28,15.7329
2020-12-29,15.7329
2020-12-30,15.7329
2020-12-31,20.7821
2021-01-01,20.7821
2021-01-02,20.7821
2021-01-03,20.7821
2021-01-04,20.7821
2021-01-05,20.7821
2021-01-06,20.7821
2021-01-07,20.7821
2021-01-08,20.7821
2021-01-09,20.7821
2021-01-10,20.7821
2021-01-11,20.7821
2021-01-12,20.7821
2021-01-13,20.7821
2021-01-14,20.7821
2021-01-15,20.7821
2021-01-16,20.7821
2021-01-17,20.7821
2021-01-18,20.7821
2021-01-19,20.7821
2021-01-20,20.7821
2021-01-21,20.7821
2021-01-22,20.7821
2021-01-23,20.7821
2021-01-24,20.7821
2021-01-25,20.7821
2021-01-26,20.7821
2021-01-27,20.7821
2021-01-28,20.7821
2021-01-29,20.7821
2021-01-30,20.7821
2021-01-31,20.7821
2021-02-01,20.7821
2021-02-02,20.7821
2021-02-03,20.7821
2021-02-04,20.7821
2021-02-05,20.7821
2021-02-06,20.7821
2021-02-07,20.7821
2021-02-08,20.7821
2021-02-09,20.7821
2021-02-10,20.7821
2021-02-11,20.7821
2021-02-12,20.7821
2021-02-13,20.7821
2021-02-14,20.7821
2021-02-15,20.7821
2021-02-16,20.7821
2021-02-17,20.7821
2021-02-18,20.7821
2021-02-19,20.7821
2021-02-20,20.7821
2021-02-21,20.7821
2021-02-22,20.7821
2021-02-23,20.7821
2021-02-24,20.7821
2021-02-25,20.7821
2021-02-26,20.7821
2021-02-27,20.7821
2021-02-28,20.7821
2021-03-01,20.7821
2021-03-02,20.7821
2021-03-03,20.7821
2021-03-04,20.7821
2021-03-05,20.7821
2021-03-06,20.7821
2021-03-07,20.7821
2021-03-08,20.7821
2021-03-09,20.7821
2021-03-10,20.7821
2021-03-11,20.7821
2021-03-12,20.7821
2021-03-13,20.7821
2021-03-14,20.7821
2021-03-15,20.7821
2021-03-16,20.7821
2021-03-17,20.7821
2021-03-18,20.7821
2021-03-19,20.7821
2021-03-20,20.7821
2021-03-21,20.7821
2021-03-22,20.7821
2021-03-23,20.7821
2021-03-24,20.7821
2021-03-25,20.7821
2021-03-26,20.7821
2021-03-27,20.7821
2021-03-28,20.7821
2021-03-29,20.7821
2021-03-30,20.7821
2021-03-31,31.4311
2021-04-01,31.4311
2021-04-02,31.4311
2021-04-03,31.4311
2021-04-04,31.4311
2021-04-05,31.4311
2021-04-06,31.4311
2021-04-07,31.4311
2021-04-08,31.4311
2021-04-09,31.4311
2021-04-10,31.4311
2021-04-11,31.4311
2021-04-12,31.4311
2021-04-13,31.4311
2021-04-14,31.4311
2021-04-15,31.4311
2021-04-16,31.4311
2021-04-17,31.4311
2021-04-18,31.4311
2021-04-19,31.4311
2021-04-20,31.4311
2021-04-21,31.4311
2021-04-22,31.4311
2021-04-23,31.4311
2021-04-24,31.4311
2021-04-25,31.4311
2021-04-26,31.4311
2021-04-27,31.4311
2021-04-28,31.4311
2021-04-29,31.4311
2021-04-30,31.4311
2021-05-01,31.4311
2021-05-02,31.4311
2021-05-03,31.4311
2021-05-04,31.4311
2021-05-05,31.4311
2021-05-06,31.4311
2021-05-07,31.4311
2021-05-08,31.4311
2021-05-09,31.4311
2021-05-10,31.4311
2021-05-11,31.4311
2021-05-12,31.4311
2021-05-13,31.4311
2021-05-14,31.4311
2021-05-15,31.4311
2021-05-16,31.4311
