,M US Equity
,RETURN_COM_EQY
2020-01-01,16.4449
2020-01-02,16.4449
2020-01-03,16.4449
2020-01-04,16.4449
2020-01-05,16.4449
2020-01-06,16.4449
2020-01-07,16.4449
2020-01-08,16.4449
2020-01-09,16.4449
2020-01-10,16.4449
2020-01-11,16.4449
2020-01-12,16.4449
2020-01-13,16.4449
2020-01-14,16.4449
2020-01-15,16.4449
2020-01-16,16.4449
2020-01-17,16.4449
2020-01-18,16.4449
2020-01-19,16.4449
2020-01-20,16.4449
2020-01-21,16.4449
2020-01-22,16.4449
2020-01-23,16.4449
2020-01-24,16.4449
2020-01-25,16.4449
2020-01-26,16.4449
2020-01-27,16.4449
2020-01-28,16.4449
2020-01-29,16.4449
2020-01-30,16.4449
2020-01-31,16.4449
2020-02-01,8.8036
2020-02-02,8.8036
2020-02-03,8.8036
2020-02-04,8.8036
2020-02-05,8.8036
2020-02-06,8.8036
2020-02-07,8.8036
2020-02-08,8.8036
2020-02-09,8.8036
2020-02-10,8.8036
2020-02-11,8.8036
2020-02-12,8.8036
2020-02-13,8.8036
2020-02-14,8.8036
2020-02-15,8.8036
2020-02-16,8.8036
2020-02-17,8.8036
2020-02-18,8.8036
2020-02-19,8.8036
2020-02-20,8.8036
2020-02-21,8.8036
2020-02-22,8.8036
2020-02-23,8.8036
2020-02-24,8.8036
2020-02-25,8.8036
2020-02-26,8.8036
2020-02-27,8.8036
2020-02-28,8.8036
2020-02-29,8.8036
2020-03-01,8.8036
2020-03-02,8.8036
2020-03-03,8.8036
2020-03-04,8.8036
2020-03-05,8.8036
2020-03-06,8.8036
2020-03-07,8.8036
2020-03-08,8.8036
2020-03-09,8.8036
2020-03-10,8.8036
2020-03-11,8.8036
2020-03-12,8.8036
2020-03-13,8.8036
2020-03-14,8.8036
2020-03-15,8.8036
2020-03-16,8.8036
2020-03-17,8.8036
2020-03-18,8.8036
2020-03-19,8.8036
2020-03-20,8.8036
2020-03-21,8.8036
2020-03-22,8.8036
2020-03-23,8.8036
2020-03-24,8.8036
2020-03-25,8.8036
2020-03-26,8.8036
2020-03-27,8.8036
2020-03-28,8.8036
2020-03-29,8.8036
2020-03-30,8.8036
2020-03-31,8.8036
2020-04-01,8.8036
2020-04-02,8.8036
2020-04-03,8.8036
2020-04-04,8.8036
2020-04-05,8.8036
2020-04-06,8.8036
2020-04-07,8.8036
2020-04-08,8.8036
2020-04-09,8.8036
2020-04-10,8.8036
2020-04-11,8.8036
2020-04-12,8.8036
2020-04-13,8.8036
2020-04-14,8.8036
2020-04-15,8.8036
2020-04-16,8.8036
2020-04-17,8.8036
2020-04-18,8.8036
2020-04-19,8.8036
2020-04-20,8.8036
2020-04-21,8.8036
2020-04-22,8.8036
2020-04-23,8.8036
2020-04-24,8.8036
2020-04-25,8.8036
2020-04-26,8.8036
2020-04-27,8.8036
2020-04-28,8.8036
2020-04-29,8.8036
2020-04-30,8.8036
2020-05-01,8.8036
2020-05-02,-69.9113
2020-05-03,-69.9113
2020-05-04,-69.9113
2020-05-05,-69.9113
2020-05-06,-69.9113
2020-05-07,-69.9113
2020-05-08,-69.9113
2020-05-09,-69.9113
2020-05-10,-69.9113
2020-05-11,-69.9113
2020-05-12,-69.9113
2020-05-13,-69.9113
2020-05-14,-69.9113
2020-05-15,-69.9113
2020-05-16,-69.9113
2020-05-17,-69.9113
2020-05-18,-69.9113
2020-05-19,-69.9113
2020-05-20,-69.9113
2020-05-21,-69.9113
2020-05-22,-69.9113
2020-05-23,-69.9113
2020-05-24,-69.9113
2020-05-25,-69.9113
2020-05-26,-69.9113
2020-05-27,-69.9113
2020-05-28,-69.9113
2020-05-29,-69.9113
2020-05-30,-69.9113
2020-05-31,-69.9113
2020-06-01,-69.9113
2020-06-02,-69.9113
2020-06-03,-69.9113
2020-06-04,-69.9113
2020-06-05,-69.9113
2020-06-06,-69.9113
2020-06-07,-69.9113
2020-06-08,-69.9113
2020-06-09,-69.9113
2020-06-10,-69.9113
2020-06-11,-69.9113
2020-06-12,-69.9113
2020-06-13,-69.9113
2020-06-14,-69.9113
2020-06-15,-69.9113
2020-06-16,-69.9113
2020-06-17,-69.9113
2020-06-18,-69.9113
2020-06-19,-69.9113
2020-06-20,-69.9113
2020-06-21,-69.9113
2020-06-22,-69.9113
2020-06-23,-69.9113
2020-06-24,-69.9113
2020-06-25,-69.9113
2020-06-26,-69.9113
2020-06-27,-69.9113
2020-06-28,-69.9113
2020-06-29,-69.9113
2020-06-30,-69.9113
2020-07-01,-69.9113
2020-07-02,-69.9113
2020-07-03,-69.9113
2020-07-04,-69.9113
2020-07-05,-69.9113
2020-07-06,-69.9113
2020-07-07,-69.9113
2020-07-08,-69.9113
2020-07-09,-69.9113
2020-07-10,-69.9113
2020-07-11,-69.9113
2020-07-12,-69.9113
2020-07-13,-69.9113
2020-07-14,-69.9113
2020-07-15,-69.9113
2020-07-16,-69.9113
2020-07-17,-69.9113
2020-07-18,-69.9113
2020-07-19,-69.9113
2020-07-20,-69.9113
2020-07-21,-69.9113
2020-07-22,-69.9113
2020-07-23,-69.9113
2020-07-24,-69.9113
2020-07-25,-69.9113
2020-07-26,-69.9113
2020-07-27,-69.9113
2020-07-28,-69.9113
2020-07-29,-69.9113
2020-07-30,-69.9113
2020-07-31,-69.9113
2020-08-01,-84.9635
2020-08-02,-84.9635
2020-08-03,-84.9635
2020-08-04,-84.9635
2020-08-05,-84.9635
2020-08-06,-84.9635
2020-08-07,-84.9635
2020-08-08,-84.9635
2020-08-09,-84.9635
2020-08-10,-84.9635
2020-08-11,-84.9635
2020-08-12,-84.9635
2020-08-13,-84.9635
2020-08-14,-84.9635
2020-08-15,-84.9635
2020-08-16,-84.9635
2020-08-17,-84.9635
2020-08-18,-84.9635
2020-08-19,-84.9635
2020-08-20,-84.9635
2020-08-21,-84.9635
2020-08-22,-84.9635
2020-08-23,-84.9635
2020-08-24,-84.9635
2020-08-25,-84.9635
2020-08-26,-84.9635
2020-08-27,-84.9635
2020-08-28,-84.9635
2020-08-29,-84.9635
2020-08-30,-84.9635
2020-08-31,-84.9635
2020-09-01,-84.9635
2020-09-02,-84.9635
2020-09-03,-84.9635
2020-09-04,-84.9635
2020-09-05,-84.9635
2020-09-06,-84.9635
2020-09-07,-84.9635
2020-09-08,-84.9635
2020-09-09,-84.9635
2020-09-10,-84.9635
2020-09-11,-84.9635
2020-09-12,-84.9635
2020-09-13,-84.9635
2020-09-14,-84.9635
2020-09-15,-84.9635
2020-09-16,-84.9635
2020-09-17,-84.9635
2020-09-18,-84.9635
2020-09-19,-84.9635
2020-09-20,-84.9635
2020-09-21,-84.9635
2020-09-22,-84.9635
2020-09-23,-84.9635
2020-09-24,-84.9635
2020-09-25,-84.9635
2020-09-26,-84.9635
2020-09-27,-84.9635
2020-09-28,-84.9635
2020-09-29,-84.9635
2020-09-30,-84.9635
2020-10-01,-84.9635
2020-10-02,-84.9635
2020-10-03,-84.9635
2020-10-04,-84.9635
2020-10-05,-84.9635
2020-10-06,-84.9635
2020-10-07,-84.9635
2020-10-08,-84.9635
2020-10-09,-84.9635
2020-10-10,-84.9635
2020-10-11,-84.9635
2020-10-12,-84.9635
2020-10-13,-84.9635
2020-10-14,-84.9635
2020-10-15,-84.9635
2020-10-16,-84.9635
2020-10-17,-84.9635
2020-10-18,-84.9635
2020-10-19,-84.9635
2020-10-20,-84.9635
2020-10-21,-84.9635
2020-10-22,-84.9635
2020-10-23,-84.9635
2020-10-24,-84.9635
2020-10-25,-84.9635
2020-10-26,-84.9635
2020-10-27,-84.9635
2020-10-28,-84.9635
2020-10-29,-84.9635
2020-10-30,-84.9635
2020-10-31,-90.6747
2020-11-01,-90.6747
2020-11-02,-90.6747
2020-11-03,-90.6747
2020-11-04,-90.6747
2020-11-05,-90.6747
2020-11-06,-90.6747
2020-11-07,-90.6747
2020-11-08,-90.6747
2020-11-09,-90.6747
2020-11-10,-90.6747
2020-11-11,-90.6747
2020-11-12,-90.6747
2020-11-13,-90.6747
2020-11-14,-90.6747
2020-11-15,-90.6747
2020-11-16,-90.6747
2020-11-17,-90.6747
2020-11-18,-90.6747
2020-11-19,-90.6747
2020-11-20,-90.6747
2020-11-21,-90.6747
2020-11-22,-90.6747
2020-11-23,-90.6747
2020-11-24,-90.6747
2020-11-25,-90.6747
2020-11-26,-90.6747
2020-11-27,-90.6747
2020-11-28,-90.6747
2020-11-29,-90.6747
2020-11-30,-90.6747
2020-12-01,-90.6747
2020-12-02,-90.6747
2020-12-03,-90.6747
2020-12-04,-90.6747
2020-12-05,-90.6747
2020-12-06,-90.6747
2020-12-07,-90.6747
2020-12-08,-90.6747
2020-12-09,-90.6747
2020-12-10,-90.6747
2020-12-11,-90.6747
2020-12-12,-90.6747
2020-12-13,-90.6747
2020-12-14,-90.6747
2020-12-15,-90.6747
2020-12-16,-90.6747
2020-12-17,-90.6747
2020-12-18,-90.6747
2020-12-19,-90.6747
2020-12-20,-90.6747
2020-12-21,-90.6747
2020-12-22,-90.6747
2020-12-23,-90.6747
2020-12-24,-90.6747
2020-12-25,-90.6747
2020-12-26,-90.6747
2020-12-27,-90.6747
2020-12-28,-90.6747
2020-12-29,-90.6747
2020-12-30,-90.6747
2020-12-31,-90.6747
2021-01-01,-90.6747
2021-01-02,-90.6747
2021-01-03,-90.6747
2021-01-04,-90.6747
2021-01-05,-90.6747
2021-01-06,-90.6747
