,FICO US Equity
,RETURN_COM_EQY
2020-01-01,88.3162
2020-01-02,88.3162
2020-01-03,88.3162
2020-01-04,88.3162
2020-01-05,88.3162
2020-01-06,88.3162
2020-01-07,88.3162
2020-01-08,88.3162
2020-01-09,88.3162
2020-01-10,88.3162
2020-01-11,88.3162
2020-01-12,88.3162
2020-01-13,88.3162
2020-01-14,88.3162
2020-01-15,88.3162
2020-01-16,88.3162
2020-01-17,88.3162
2020-01-18,88.3162
2020-01-19,88.3162
2020-01-20,88.3162
2020-01-21,88.3162
2020-01-22,88.3162
2020-01-23,88.3162
2020-01-24,88.3162
2020-01-25,88.3162
2020-01-26,88.3162
2020-01-27,88.3162
2020-01-28,88.3162
2020-01-29,88.3162
2020-01-30,88.3162
2020-01-31,88.3162
2020-02-01,88.3162
2020-02-02,88.3162
2020-02-03,88.3162
2020-02-04,88.3162
2020-02-05,88.3162
2020-02-06,88.3162
2020-02-07,88.3162
2020-02-08,88.3162
2020-02-09,88.3162
2020-02-10,88.3162
2020-02-11,88.3162
2020-02-12,88.3162
2020-02-13,88.3162
2020-02-14,88.3162
2020-02-15,88.3162
2020-02-16,88.3162
2020-02-17,88.3162
2020-02-18,88.3162
2020-02-19,88.3162
2020-02-20,88.3162
2020-02-21,88.3162
2020-02-22,88.3162
2020-02-23,88.3162
2020-02-24,88.3162
2020-02-25,88.3162
2020-02-26,88.3162
2020-02-27,88.3162
2020-02-28,88.3162
2020-02-29,88.3162
2020-03-01,88.3162
2020-03-02,88.3162
2020-03-03,88.3162
2020-03-04,88.3162
2020-03-05,88.3162
2020-03-06,88.3162
2020-03-07,88.3162
2020-03-08,88.3162
2020-03-09,88.3162
2020-03-10,88.3162
2020-03-11,88.3162
2020-03-12,88.3162
2020-03-13,88.3162
2020-03-14,88.3162
2020-03-15,88.3162
2020-03-16,88.3162
2020-03-17,88.3162
2020-03-18,88.3162
2020-03-19,88.3162
2020-03-20,88.3162
2020-03-21,88.3162
2020-03-22,88.3162
2020-03-23,88.3162
2020-03-24,88.3162
2020-03-25,88.3162
2020-03-26,88.3162
2020-03-27,88.3162
2020-03-28,88.3162
2020-03-29,88.3162
2020-03-30,88.3162
2020-03-31,100.4898
2020-04-01,100.4898
2020-04-02,100.4898
2020-04-03,100.4898
2020-04-04,100.4898
2020-04-05,100.4898
2020-04-06,100.4898
2020-04-07,100.4898
2020-04-08,100.4898
2020-04-09,100.4898
2020-04-10,100.4898
2020-04-11,100.4898
2020-04-12,100.4898
2020-04-13,100.4898
2020-04-14,100.4898
2020-04-15,100.4898
2020-04-16,100.4898
2020-04-17,100.4898
2020-04-18,100.4898
2020-04-19,100.4898
2020-04-20,100.4898
2020-04-21,100.4898
2020-04-22,100.4898
2020-04-23,100.4898
2020-04-24,100.4898
2020-04-25,100.4898
2020-04-26,100.4898
2020-04-27,100.4898
2020-04-28,100.4898
2020-04-29,100.4898
2020-04-30,100.4898
2020-05-01,100.4898
2020-05-02,100.4898
2020-05-03,100.4898
2020-05-04,100.4898
