,PLAY US Equity
,RETURN_COM_EQY
2020-01-01,36.5229
2020-01-02,36.5229
2020-01-03,36.5229
2020-01-04,36.5229
2020-01-05,36.5229
2020-01-06,36.5229
2020-01-07,36.5229
2020-01-08,36.5229
2020-01-09,36.5229
2020-01-10,36.5229
2020-01-11,36.5229
2020-01-12,36.5229
2020-01-13,36.5229
2020-01-14,36.5229
2020-01-15,36.5229
2020-01-16,36.5229
2020-01-17,36.5229
2020-01-18,36.5229
2020-01-19,36.5229
2020-01-20,36.5229
2020-01-21,36.5229
2020-01-22,36.5229
2020-01-23,36.5229
2020-01-24,36.5229
2020-01-25,36.5229
2020-01-26,36.5229
2020-01-27,36.5229
2020-01-28,36.5229
2020-01-29,36.5229
2020-01-30,36.5229
2020-01-31,36.5229
2020-02-01,36.5229
2020-02-02,35.9696
2020-02-03,35.9696
2020-02-04,35.9696
2020-02-05,35.9696
2020-02-06,35.9696
2020-02-07,35.9696
2020-02-08,35.9696
2020-02-09,35.9696
2020-02-10,35.9696
2020-02-11,35.9696
2020-02-12,35.9696
2020-02-13,35.9696
2020-02-14,35.9696
2020-02-15,35.9696
2020-02-16,35.9696
2020-02-17,35.9696
2020-02-18,35.9696
2020-02-19,35.9696
2020-02-20,35.9696
2020-02-21,35.9696
2020-02-22,35.9696
2020-02-23,35.9696
2020-02-24,35.9696
2020-02-25,35.9696
2020-02-26,35.9696
2020-02-27,35.9696
2020-02-28,35.9696
2020-02-29,35.9696
2020-03-01,35.9696
2020-03-02,35.9696
2020-03-03,35.9696
2020-03-04,35.9696
2020-03-05,35.9696
2020-03-06,35.9696
2020-03-07,35.9696
2020-03-08,35.9696
2020-03-09,35.9696
2020-03-10,35.9696
2020-03-11,35.9696
2020-03-12,35.9696
2020-03-13,35.9696
2020-03-14,35.9696
2020-03-15,35.9696
2020-03-16,35.9696
2020-03-17,35.9696
2020-03-18,35.9696
2020-03-19,35.9696
2020-03-20,35.9696
2020-03-21,35.9696
2020-03-22,35.9696
2020-03-23,35.9696
2020-03-24,35.9696
2020-03-25,35.9696
2020-03-26,35.9696
2020-03-27,35.9696
2020-03-28,35.9696
2020-03-29,35.9696
2020-03-30,35.9696
2020-03-31,35.9696
2020-04-01,35.9696
2020-04-02,35.9696
2020-04-03,35.9696
2020-04-04,35.9696
2020-04-05,35.9696
2020-04-06,35.9696
2020-04-07,35.9696
2020-04-08,35.9696
2020-04-09,35.9696
2020-04-10,35.9696
2020-04-11,35.9696
2020-04-12,35.9696
2020-04-13,35.9696
2020-04-14,35.9696
2020-04-15,35.9696
2020-04-16,35.9696
2020-04-17,35.9696
2020-04-18,35.9696
2020-04-19,35.9696
2020-04-20,35.9696
2020-04-21,35.9696
2020-04-22,35.9696
2020-04-23,35.9696
2020-04-24,35.9696
2020-04-25,35.9696
2020-04-26,35.9696
2020-04-27,35.9696
2020-04-28,35.9696
2020-04-29,35.9696
2020-04-30,35.9696
2020-05-01,35.9696
2020-05-02,35.9696
2020-05-03,5.1654
2020-05-04,5.1654
2020-05-05,5.1654
2020-05-06,5.1654
2020-05-07,5.1654
2020-05-08,5.1654
2020-05-09,5.1654
2020-05-10,5.1654
2020-05-11,5.1654
2020-05-12,5.1654
2020-05-13,5.1654
2020-05-14,5.1654
2020-05-15,5.1654
2020-05-16,5.1654
2020-05-17,5.1654
2020-05-18,5.1654
2020-05-19,5.1654
2020-05-20,5.1654
2020-05-21,5.1654
2020-05-22,5.1654
2020-05-23,5.1654
2020-05-24,5.1654
2020-05-25,5.1654
2020-05-26,5.1654
2020-05-27,5.1654
2020-05-28,5.1654
2020-05-29,5.1654
2020-05-30,5.1654
2020-05-31,5.1654
2020-06-01,5.1654
2020-06-02,5.1654
2020-06-03,5.1654
2020-06-04,5.1654
2020-06-05,5.1654
2020-06-06,5.1654
2020-06-07,5.1654
2020-06-08,5.1654
2020-06-09,5.1654
2020-06-10,5.1654
2020-06-11,5.1654
2020-06-12,5.1654
2020-06-13,5.1654
2020-06-14,5.1654
2020-06-15,5.1654
2020-06-16,5.1654
2020-06-17,5.1654
2020-06-18,5.1654
2020-06-19,5.1654
2020-06-20,5.1654
2020-06-21,5.1654
2020-06-22,5.1654
2020-06-23,5.1654
2020-06-24,5.1654
2020-06-25,5.1654
2020-06-26,5.1654
2020-06-27,5.1654
2020-06-28,5.1654
2020-06-29,5.1654
2020-06-30,5.1654
2020-07-01,5.1654
2020-07-02,5.1654
2020-07-03,5.1654
2020-07-04,5.1654
2020-07-05,5.1654
2020-07-06,5.1654
2020-07-07,5.1654
2020-07-08,5.1654
2020-07-09,5.1654
2020-07-10,5.1654
2020-07-11,5.1654
2020-07-12,5.1654
2020-07-13,5.1654
2020-07-14,5.1654
2020-07-15,5.1654
2020-07-16,5.1654
2020-07-17,5.1654
2020-07-18,5.1654
2020-07-19,5.1654
2020-07-20,5.1654
2020-07-21,5.1654
2020-07-22,5.1654
2020-07-23,5.1654
2020-07-24,5.1654
2020-07-25,5.1654
2020-07-26,5.1654
2020-07-27,5.1654
2020-07-28,5.1654
2020-07-29,5.1654
2020-07-30,5.1654
2020-07-31,5.1654
2020-08-01,5.1654
2020-08-02,-30.6929
2020-08-03,-30.6929
2020-08-04,-30.6929
