,HGV US Equity
,RETURN_COM_EQY
2020-01-01,36.425
2020-01-02,36.425
2020-01-03,36.425
2020-01-04,36.425
2020-01-05,36.425
2020-01-06,36.425
2020-01-07,36.425
2020-01-08,36.425
2020-01-09,36.425
2020-01-10,36.425
2020-01-11,36.425
2020-01-12,36.425
2020-01-13,36.425
2020-01-14,36.425
2020-01-15,36.425
2020-01-16,36.425
2020-01-17,36.425
2020-01-18,36.425
2020-01-19,36.425
2020-01-20,36.425
2020-01-21,36.425
2020-01-22,36.425
2020-01-23,36.425
2020-01-24,36.425
2020-01-25,36.425
2020-01-26,36.425
2020-01-27,36.425
2020-01-28,36.425
2020-01-29,36.425
2020-01-30,36.425
2020-01-31,36.425
2020-02-01,36.425
2020-02-02,36.425
2020-02-03,36.425
2020-02-04,36.425
2020-02-05,36.425
2020-02-06,36.425
2020-02-07,36.425
2020-02-08,36.425
2020-02-09,36.425
2020-02-10,36.425
2020-02-11,36.425
2020-02-12,36.425
2020-02-13,36.425
2020-02-14,36.425
2020-02-15,36.425
2020-02-16,36.425
2020-02-17,36.425
2020-02-18,36.425
2020-02-19,36.425
2020-02-20,36.425
2020-02-21,36.425
2020-02-22,36.425
2020-02-23,36.425
2020-02-24,36.425
2020-02-25,36.425
2020-02-26,36.425
2020-02-27,36.425
2020-02-28,36.425
2020-02-29,36.425
2020-03-01,36.425
2020-03-02,36.425
2020-03-03,36.425
2020-03-04,36.425
2020-03-05,36.425
2020-03-06,36.425
2020-03-07,36.425
2020-03-08,36.425
2020-03-09,36.425
2020-03-10,36.425
2020-03-11,36.425
2020-03-12,36.425
2020-03-13,36.425
2020-03-14,36.425
2020-03-15,36.425
2020-03-16,36.425
2020-03-17,36.425
2020-03-18,36.425
2020-03-19,36.425
2020-03-20,36.425
2020-03-21,36.425
2020-03-22,36.425
2020-03-23,36.425
2020-03-24,36.425
2020-03-25,36.425
2020-03-26,36.425
2020-03-27,36.425
2020-03-28,36.425
2020-03-29,36.425
2020-03-30,36.425
2020-03-31,29.7012
2020-04-01,29.7012
2020-04-02,29.7012
2020-04-03,29.7012
2020-04-04,29.7012
2020-04-05,29.7012
2020-04-06,29.7012
2020-04-07,29.7012
2020-04-08,29.7012
2020-04-09,29.7012
2020-04-10,29.7012
2020-04-11,29.7012
2020-04-12,29.7012
2020-04-13,29.7012
2020-04-14,29.7012
2020-04-15,29.7012
2020-04-16,29.7012
2020-04-17,29.7012
2020-04-18,29.7012
2020-04-19,29.7012
2020-04-20,29.7012
2020-04-21,29.7012
2020-04-22,29.7012
2020-04-23,29.7012
2020-04-24,29.7012
2020-04-25,29.7012
2020-04-26,29.7012
2020-04-27,29.7012
2020-04-28,29.7012
2020-04-29,29.7012
2020-04-30,29.7012
2020-05-01,29.7012
2020-05-02,29.7012
2020-05-03,29.7012
2020-05-04,29.7012
2020-05-05,29.7012
2020-05-06,29.7012
2020-05-07,29.7012
2020-05-08,29.7012
2020-05-09,29.7012
2020-05-10,29.7012
2020-05-11,29.7012
2020-05-12,29.7012
2020-05-13,29.7012
2020-05-14,29.7012
2020-05-15,29.7012
2020-05-16,29.7012
2020-05-17,29.7012
2020-05-18,29.7012
2020-05-19,29.7012
2020-05-20,29.7012
2020-05-21,29.7012
2020-05-22,29.7012
2020-05-23,29.7012
2020-05-24,29.7012
2020-05-25,29.7012
2020-05-26,29.7012
2020-05-27,29.7012
2020-05-28,29.7012
2020-05-29,29.7012
2020-05-30,29.7012
2020-05-31,29.7012
2020-06-01,29.7012
2020-06-02,29.7012
2020-06-03,29.7012
2020-06-04,29.7012
2020-06-05,29.7012
2020-06-06,29.7012
2020-06-07,29.7012
2020-06-08,29.7012
2020-06-09,29.7012
2020-06-10,29.7012
2020-06-11,29.7012
2020-06-12,29.7012
2020-06-13,29.7012
2020-06-14,29.7012
2020-06-15,29.7012
2020-06-16,29.7012
2020-06-17,29.7012
2020-06-18,29.7012
2020-06-19,29.7012
2020-06-20,29.7012
2020-06-21,29.7012
2020-06-22,29.7012
2020-06-23,29.7012
2020-06-24,29.7012
2020-06-25,29.7012
2020-06-26,29.7012
2020-06-27,29.7012
2020-06-28,29.7012
2020-06-29,29.7012
2020-06-30,16.8551
2020-07-01,16.8551
2020-07-02,16.8551
2020-07-03,16.8551
2020-07-04,16.8551
2020-07-05,16.8551
2020-07-06,16.8551
2020-07-07,16.8551
2020-07-08,16.8551
2020-07-09,16.8551
2020-07-10,16.8551
2020-07-11,16.8551
2020-07-12,16.8551
2020-07-13,16.8551
2020-07-14,16.8551
2020-07-15,16.8551
2020-07-16,16.8551
2020-07-17,16.8551
2020-07-18,16.8551
2020-07-19,16.8551
2020-07-20,16.8551
2020-07-21,16.8551
2020-07-22,16.8551
2020-07-23,16.8551
2020-07-24,16.8551
2020-07-25,16.8551
2020-07-26,16.8551
2020-07-27,16.8551
2020-07-28,16.8551
2020-07-29,16.8551
2020-07-30,16.8551
2020-07-31,16.8551
2020-08-01,16.8551
2020-08-02,16.8551
2020-08-03,16.8551
2020-08-04,16.8551
2020-08-05,16.8551
2020-08-06,16.8551
2020-08-07,16.8551
2020-08-08,16.8551
2020-08-09,16.8551
2020-08-10,16.8551
2020-08-11,16.8551
2020-08-12,16.8551
2020-08-13,16.8551
2020-08-14,16.8551
2020-08-15,16.8551
2020-08-16,16.8551
2020-08-17,16.8551
2020-08-18,16.8551
2020-08-19,16.8551
2020-08-20,16.8551
2020-08-21,16.8551
2020-08-22,16.8551
2020-08-23,16.8551
2020-08-24,16.8551
2020-08-25,16.8551
2020-08-26,16.8551
2020-08-27,16.8551
2020-08-28,16.8551
2020-08-29,16.8551
2020-08-30,16.8551
2020-08-31,16.8551
2020-09-01,16.8551
2020-09-02,16.8551
2020-09-03,16.8551
2020-09-04,16.8551
2020-09-05,16.8551
2020-09-06,16.8551
2020-09-07,16.8551
2020-09-08,16.8551
2020-09-09,16.8551
2020-09-10,16.8551
2020-09-11,16.8551
2020-09-12,16.8551
2020-09-13,16.8551
2020-09-14,16.8551
2020-09-15,16.8551
2020-09-16,16.8551
2020-09-17,16.8551
2020-09-18,16.8551
2020-09-19,16.8551
2020-09-20,16.8551
2020-09-21,16.8551
2020-09-22,16.8551
2020-09-23,16.8551
2020-09-24,16.8551
2020-09-25,16.8551
2020-09-26,16.8551
2020-09-27,16.8551
2020-09-28,16.8551
2020-09-29,16.8551
2020-09-30,4.9213
2020-10-01,4.9213
2020-10-02,4.9213
2020-10-03,4.9213
2020-10-04,4.9213
2020-10-05,4.9213
2020-10-06,4.9213
2020-10-07,4.9213
2020-10-08,4.9213
2020-10-09,4.9213
2020-10-10,4.9213
2020-10-11,4.9213
2020-10-12,4.9213
2020-10-13,4.9213
2020-10-14,4.9213
2020-10-15,4.9213
2020-10-16,4.9213
2020-10-17,4.9213
2020-10-18,4.9213
2020-10-19,4.9213
2020-10-20,4.9213
2020-10-21,4.9213
2020-10-22,4.9213
2020-10-23,4.9213
2020-10-24,4.9213
2020-10-25,4.9213
2020-10-26,4.9213
2020-10-27,4.9213
2020-10-28,4.9213
2020-10-29,4.9213
2020-10-30,4.9213
2020-10-31,4.9213
2020-11-01,4.9213
2020-11-02,4.9213
2020-11-03,4.9213
2020-11-04,4.9213
2020-11-05,4.9213
2020-11-06,4.9213
2020-11-07,4.9213
2020-11-08,4.9213
2020-11-09,4.9213
2020-11-10,4.9213
2020-11-11,4.9213
2020-11-12,4.9213
2020-11-13,4.9213
2020-11-14,4.9213
2020-11-15,4.9213
2020-11-16,4.9213
2020-11-17,4.9213
2020-11-18,4.9213
2020-11-19,4.9213
2020-11-20,4.9213
2020-11-21,4.9213
2020-11-22,4.9213
2020-11-23,4.9213
2020-11-24,4.9213
2020-11-25,4.9213
2020-11-26,4.9213
2020-11-27,4.9213
2020-11-28,4.9213
2020-11-29,4.9213
2020-11-30,4.9213
2020-12-01,4.9213
2020-12-02,4.9213
2020-12-03,4.9213
2020-12-04,4.9213
2020-12-05,4.9213
2020-12-06,4.9213
2020-12-07,4.9213
2020-12-08,4.9213
2020-12-09,4.9213
2020-12-10,4.9213
2020-12-11,4.9213
2020-12-12,4.9213
2020-12-13,4.9213
2020-12-14,4.9213
2020-12-15,4.9213
2020-12-16,4.9213
2020-12-17,4.9213
2020-12-18,4.9213
2020-12-19,4.9213
2020-12-20,4.9213
2020-12-21,4.9213
2020-12-22,4.9213
2020-12-23,4.9213
2020-12-24,4.9213
2020-12-25,4.9213
2020-12-26,4.9213
2020-12-27,4.9213
2020-12-28,4.9213
2020-12-29,4.9213
2020-12-30,4.9213
2020-12-31,-42.5847
2021-01-01,-42.5847
2021-01-02,-42.5847
2021-01-03,-42.5847
2021-01-04,-42.5847
2021-01-05,-42.5847
2021-01-06,-42.5847
2021-01-07,-42.5847
2021-01-08,-42.5847
2021-01-09,-42.5847
2021-01-10,-42.5847
2021-01-11,-42.5847
2021-01-12,-42.5847
2021-01-13,-42.5847
2021-01-14,-42.5847
2021-01-15,-42.5847
2021-01-16,-42.5847
2021-01-17,-42.5847
2021-01-18,-42.5847
2021-01-19,-42.5847
2021-01-20,-42.5847
2021-01-21,-42.5847
2021-01-22,-42.5847
2021-01-23,-42.5847
2021-01-24,-42.5847
2021-01-25,-42.5847
2021-01-26,-42.5847
2021-01-27,-42.5847
2021-01-28,-42.5847
2021-01-29,-42.5847
2021-01-30,-42.5847
2021-01-31,-42.5847
2021-02-01,-42.5847
2021-02-02,-42.5847
2021-02-03,-42.5847
2021-02-04,-42.5847
2021-02-05,-42.5847
2021-02-06,-42.5847
2021-02-07,-42.5847
2021-02-08,-42.5847
2021-02-09,-42.5847
2021-02-10,-42.5847
2021-02-11,-42.5847
2021-02-12,-42.5847
2021-02-13,-42.5847
2021-02-14,-42.5847
2021-02-15,-42.5847
2021-02-16,-42.5847
2021-02-17,-42.5847
2021-02-18,-42.5847
2021-02-19,-42.5847
2021-02-20,-42.5847
2021-02-21,-42.5847
2021-02-22,-42.5847
2021-02-23,-42.5847
2021-02-24,-42.5847
2021-02-25,-42.5847
2021-02-26,-42.5847
2021-02-27,-42.5847
2021-02-28,-42.5847
2021-03-01,-42.5847
2021-03-02,-42.5847
2021-03-03,-42.5847
2021-03-04,-42.5847
2021-03-05,-42.5847
2021-03-06,-42.5847
2021-03-07,-42.5847
2021-03-08,-42.5847
2021-03-09,-42.5847
2021-03-10,-42.5847
2021-03-11,-42.5847
2021-03-12,-42.5847
2021-03-13,-42.5847
2021-03-14,-42.5847
2021-03-15,-42.5847
2021-03-16,-42.5847
2021-03-17,-42.5847
2021-03-18,-42.5847
2021-03-19,-42.5847
2021-03-20,-42.5847
2021-03-21,-42.5847
2021-03-22,-42.5847
2021-03-23,-42.5847
2021-03-24,-42.5847
2021-03-25,-42.5847
2021-03-26,-42.5847
2021-03-27,-42.5847
2021-03-28,-42.5847
2021-03-29,-42.5847
2021-03-30,-42.5847
2021-03-31,-46.3519
2021-04-01,-46.3519
2021-04-02,-46.3519
2021-04-03,-46.3519
2021-04-04,-46.3519
2021-04-05,-46.3519
2021-04-06,-46.3519
2021-04-07,-46.3519
2021-04-08,-46.3519
2021-04-09,-46.3519
2021-04-10,-46.3519
2021-04-11,-46.3519
2021-04-12,-46.3519
2021-04-13,-46.3519
2021-04-14,-46.3519
2021-04-15,-46.3519
2021-04-16,-46.3519
2021-04-17,-46.3519
2021-04-18,-46.3519
2021-04-19,-46.3519
2021-04-20,-46.3519
2021-04-21,-46.3519
2021-04-22,-46.3519
2021-04-23,-46.3519
2021-04-24,-46.3519
2021-04-25,-46.3519
2021-04-26,-46.3519
2021-04-27,-46.3519
2021-04-28,-46.3519
2021-04-29,-46.3519
2021-04-30,-46.3519
2021-05-01,-46.3519
2021-05-02,-46.3519
2021-05-03,-46.3519
2021-05-04,-46.3519
2021-05-05,-46.3519
2021-05-06,-46.3519
2021-05-07,-46.3519
2021-05-08,-46.3519
2021-05-09,-46.3519
2021-05-10,-46.3519
2021-05-11,-46.3519
2021-05-12,-46.3519
2021-05-13,-46.3519
2021-05-14,-46.3519
2021-05-15,-46.3519
2021-05-16,-46.3519
2021-05-17,-46.3519
2021-05-18,-46.3519
2021-05-19,-46.3519
2021-05-20,-46.3519
2021-05-21,-46.3519
2021-05-22,-46.3519
2021-05-23,-46.3519
2021-05-24,-46.3519
2021-05-25,-46.3519
2021-05-26,-46.3519
2021-05-27,-46.3519
2021-05-28,-46.3519
2021-05-29,-46.3519
2021-05-30,-46.3519
2021-05-31,-46.3519
2021-06-01,-46.3519
2021-06-02,-46.3519
2021-06-03,-46.3519
2021-06-04,-46.3519
2021-06-05,-46.3519
2021-06-06,-46.3519
2021-06-07,-46.3519
2021-06-08,-46.3519
2021-06-09,-46.3519
2021-06-10,-46.3519
2021-06-11,-46.3519
2021-06-12,-46.3519
2021-06-13,-46.3519
2021-06-14,-46.3519
2021-06-15,-46.3519
2021-06-16,-46.3519
2021-06-17,-46.3519
2021-06-18,-46.3519
2021-06-19,-46.3519
2021-06-20,-46.3519
2021-06-21,-46.3519
2021-06-22,-46.3519
2021-06-23,-46.3519
2021-06-24,-46.3519
2021-06-25,-46.3519
2021-06-26,-46.3519
2021-06-27,-46.3519
2021-06-28,-46.3519
2021-06-29,-46.3519
2021-06-30,-34.6028
2021-07-01,-34.6028
2021-07-02,-34.6028
2021-07-03,-34.6028
2021-07-04,-34.6028
2021-07-05,-34.6028
2021-07-06,-34.6028
2021-07-07,-34.6028
2021-07-08,-34.6028
2021-07-09,-34.6028
2021-07-10,-34.6028
2021-07-11,-34.6028
2021-07-12,-34.6028
2021-07-13,-34.6028
2021-07-14,-34.6028
2021-07-15,-34.6028
2021-07-16,-34.6028
2021-07-17,-34.6028
