,MKL US Equity
,RETURN_COM_EQY
2020-01-01,17.781
2020-01-02,17.781
2020-01-03,17.781
2020-01-04,17.781
2020-01-05,17.781
2020-01-06,17.781
2020-01-07,17.781
2020-01-08,17.781
2020-01-09,17.781
2020-01-10,17.781
2020-01-11,17.781
2020-01-12,17.781
2020-01-13,17.781
2020-01-14,17.781
2020-01-15,17.781
2020-01-16,17.781
2020-01-17,17.781
2020-01-18,17.781
2020-01-19,17.781
2020-01-20,17.781
2020-01-21,17.781
2020-01-22,17.781
2020-01-23,17.781
2020-01-24,17.781
2020-01-25,17.781
2020-01-26,17.781
2020-01-27,17.781
2020-01-28,17.781
2020-01-29,17.781
2020-01-30,17.781
2020-01-31,17.781
2020-02-01,17.781
2020-02-02,17.781
2020-02-03,17.781
2020-02-04,17.781
2020-02-05,17.781
2020-02-06,17.781
2020-02-07,17.781
2020-02-08,17.781
2020-02-09,17.781
2020-02-10,17.781
2020-02-11,17.781
2020-02-12,17.781
2020-02-13,17.781
2020-02-14,17.781
2020-02-15,17.781
2020-02-16,17.781
2020-02-17,17.781
2020-02-18,17.781
2020-02-19,17.781
2020-02-20,17.781
2020-02-21,17.781
2020-02-22,17.781
2020-02-23,17.781
2020-02-24,17.781
2020-02-25,17.781
2020-02-26,17.781
2020-02-27,17.781
2020-02-28,17.781
2020-02-29,17.781
2020-03-01,17.781
2020-03-02,17.781
2020-03-03,17.781
2020-03-04,17.781
2020-03-05,17.781
2020-03-06,17.781
2020-03-07,17.781
2020-03-08,17.781
2020-03-09,17.781
2020-03-10,17.781
2020-03-11,17.781
2020-03-12,17.781
2020-03-13,17.781
2020-03-14,17.781
2020-03-15,17.781
2020-03-16,17.781
2020-03-17,17.781
2020-03-18,17.781
2020-03-19,17.781
2020-03-20,17.781
2020-03-21,17.781
2020-03-22,17.781
2020-03-23,17.781
2020-03-24,17.781
2020-03-25,17.781
2020-03-26,17.781
2020-03-27,17.781
2020-03-28,17.781
2020-03-29,17.781
2020-03-30,17.781
2020-03-31,-1.9775
2020-04-01,-1.9775
2020-04-02,-1.9775
2020-04-03,-1.9775
2020-04-04,-1.9775
2020-04-05,-1.9775
2020-04-06,-1.9775
2020-04-07,-1.9775
2020-04-08,-1.9775
2020-04-09,-1.9775
2020-04-10,-1.9775
2020-04-11,-1.9775
2020-04-12,-1.9775
2020-04-13,-1.9775
2020-04-14,-1.9775
2020-04-15,-1.9775
2020-04-16,-1.9775
2020-04-17,-1.9775
2020-04-18,-1.9775
2020-04-19,-1.9775
2020-04-20,-1.9775
2020-04-21,-1.9775
2020-04-22,-1.9775
2020-04-23,-1.9775
2020-04-24,-1.9775
2020-04-25,-1.9775
2020-04-26,-1.9775
2020-04-27,-1.9775
2020-04-28,-1.9775
2020-04-29,-1.9775
2020-04-30,-1.9775
2020-05-01,-1.9775
2020-05-02,-1.9775
2020-05-03,-1.9775
2020-05-04,-1.9775
2020-05-05,-1.9775
2020-05-06,-1.9775
2020-05-07,-1.9775
2020-05-08,-1.9775
2020-05-09,-1.9775
2020-05-10,-1.9775
2020-05-11,-1.9775
2020-05-12,-1.9775
2020-05-13,-1.9775
2020-05-14,-1.9775
2020-05-15,-1.9775
2020-05-16,-1.9775
2020-05-17,-1.9775
2020-05-18,-1.9775
2020-05-19,-1.9775
2020-05-20,-1.9775
2020-05-21,-1.9775
2020-05-22,-1.9775
2020-05-23,-1.9775
2020-05-24,-1.9775
2020-05-25,-1.9775
2020-05-26,-1.9775
2020-05-27,-1.9775
2020-05-28,-1.9775
2020-05-29,-1.9775
2020-05-30,-1.9775
2020-05-31,-1.9775
2020-06-01,-1.9775
2020-06-02,-1.9775
2020-06-03,-1.9775
2020-06-04,-1.9775
2020-06-05,-1.9775
2020-06-06,-1.9775
2020-06-07,-1.9775
2020-06-08,-1.9775
2020-06-09,-1.9775
2020-06-10,-1.9775
2020-06-11,-1.9775
2020-06-12,-1.9775
2020-06-13,-1.9775
2020-06-14,-1.9775
2020-06-15,-1.9775
2020-06-16,-1.9775
2020-06-17,-1.9775
2020-06-18,-1.9775
2020-06-19,-1.9775
2020-06-20,-1.9775
2020-06-21,-1.9775
2020-06-22,-1.9775
2020-06-23,-1.9775
2020-06-24,-1.9775
2020-06-25,-1.9775
2020-06-26,-1.9775
2020-06-27,-1.9775
2020-06-28,-1.9775
2020-06-29,-1.9775
2020-06-30,2.0302
2020-07-01,2.0302
2020-07-02,2.0302
2020-07-03,2.0302
2020-07-04,2.0302
2020-07-05,2.0302
2020-07-06,2.0302
2020-07-07,2.0302
2020-07-08,2.0302
2020-07-09,2.0302
2020-07-10,2.0302
2020-07-11,2.0302
2020-07-12,2.0302
2020-07-13,2.0302
2020-07-14,2.0302
2020-07-15,2.0302
2020-07-16,2.0302
2020-07-17,2.0302
2020-07-18,2.0302
2020-07-19,2.0302
2020-07-20,2.0302
2020-07-21,2.0302
2020-07-22,2.0302
2020-07-23,2.0302
2020-07-24,2.0302
2020-07-25,2.0302
2020-07-26,2.0302
2020-07-27,2.0302
2020-07-28,2.0302
2020-07-29,2.0302
2020-07-30,2.0302
2020-07-31,2.0302
2020-08-01,2.0302
2020-08-02,2.0302
2020-08-03,2.0302
2020-08-04,2.0302
2020-08-05,2.0302
2020-08-06,2.0302
2020-08-07,2.0302
2020-08-08,2.0302
2020-08-09,2.0302
2020-08-10,2.0302
2020-08-11,2.0302
2020-08-12,2.0302
2020-08-13,2.0302
2020-08-14,2.0302
2020-08-15,2.0302
2020-08-16,2.0302
2020-08-17,2.0302
2020-08-18,2.0302
2020-08-19,2.0302
2020-08-20,2.0302
2020-08-21,2.0302
2020-08-22,2.0302
2020-08-23,2.0302
2020-08-24,2.0302
2020-08-25,2.0302
2020-08-26,2.0302
2020-08-27,2.0302
2020-08-28,2.0302
2020-08-29,2.0302
2020-08-30,2.0302
2020-08-31,2.0302
2020-09-01,2.0302
2020-09-02,2.0302
2020-09-03,2.0302
2020-09-04,2.0302
2020-09-05,2.0302
2020-09-06,2.0302
2020-09-07,2.0302
2020-09-08,2.0302
2020-09-09,2.0302
2020-09-10,2.0302
2020-09-11,2.0302
2020-09-12,2.0302
2020-09-13,2.0302
2020-09-14,2.0302
2020-09-15,2.0302
2020-09-16,2.0302
2020-09-17,2.0302
2020-09-18,2.0302
2020-09-19,2.0302
2020-09-20,2.0302
2020-09-21,2.0302
2020-09-22,2.0302
2020-09-23,2.0302
2020-09-24,2.0302
2020-09-25,2.0302
2020-09-26,2.0302
2020-09-27,2.0302
2020-09-28,2.0302
2020-09-29,2.0302
2020-09-30,4.1136
2020-10-01,4.1136
2020-10-02,4.1136
2020-10-03,4.1136
2020-10-04,4.1136
2020-10-05,4.1136
2020-10-06,4.1136
2020-10-07,4.1136
2020-10-08,4.1136
2020-10-09,4.1136
2020-10-10,4.1136
2020-10-11,4.1136
2020-10-12,4.1136
2020-10-13,4.1136
2020-10-14,4.1136
2020-10-15,4.1136
2020-10-16,4.1136
2020-10-17,4.1136
2020-10-18,4.1136
2020-10-19,4.1136
