,MTOR US Equity
,RETURN_COM_EQY
2020-01-01,70.3812
2020-01-02,70.3812
2020-01-03,70.3812
2020-01-04,70.3812
2020-01-05,70.3812
2020-01-06,70.3812
2020-01-07,70.3812
2020-01-08,70.3812
2020-01-09,70.3812
2020-01-10,70.3812
2020-01-11,70.3812
2020-01-12,70.3812
2020-01-13,70.3812
2020-01-14,70.3812
2020-01-15,70.3812
2020-01-16,70.3812
2020-01-17,70.3812
2020-01-18,70.3812
2020-01-19,70.3812
2020-01-20,70.3812
2020-01-21,70.3812
2020-01-22,70.3812
2020-01-23,70.3812
2020-01-24,70.3812
2020-01-25,70.3812
2020-01-26,70.3812
2020-01-27,70.3812
2020-01-28,70.3812
2020-01-29,70.3812
2020-01-30,70.3812
2020-01-31,70.3812
2020-02-01,70.3812
2020-02-02,70.3812
2020-02-03,70.3812
2020-02-04,70.3812
2020-02-05,70.3812
2020-02-06,70.3812
2020-02-07,70.3812
2020-02-08,70.3812
2020-02-09,70.3812
2020-02-10,70.3812
2020-02-11,70.3812
2020-02-12,70.3812
2020-02-13,70.3812
2020-02-14,70.3812
2020-02-15,70.3812
2020-02-16,70.3812
2020-02-17,70.3812
2020-02-18,70.3812
2020-02-19,70.3812
2020-02-20,70.3812
2020-02-21,70.3812
2020-02-22,70.3812
2020-02-23,70.3812
2020-02-24,70.3812
2020-02-25,70.3812
2020-02-26,70.3812
2020-02-27,70.3812
2020-02-28,70.3812
2020-02-29,70.3812
2020-03-01,70.3812
2020-03-02,70.3812
2020-03-03,70.3812
2020-03-04,70.3812
2020-03-05,70.3812
2020-03-06,70.3812
2020-03-07,70.3812
2020-03-08,70.3812
2020-03-09,70.3812
2020-03-10,70.3812
2020-03-11,70.3812
2020-03-12,70.3812
2020-03-13,70.3812
2020-03-14,70.3812
2020-03-15,70.3812
2020-03-16,70.3812
2020-03-17,70.3812
2020-03-18,70.3812
2020-03-19,70.3812
2020-03-20,70.3812
2020-03-21,70.3812
2020-03-22,70.3812
2020-03-23,70.3812
2020-03-24,70.3812
2020-03-25,70.3812
2020-03-26,70.3812
2020-03-27,70.3812
2020-03-28,70.3812
2020-03-29,70.3812
2020-03-30,70.3812
2020-03-31,101.7413
2020-04-01,101.7413
2020-04-02,101.7413
2020-04-03,101.7413
2020-04-04,101.7413
2020-04-05,101.7413
2020-04-06,101.7413
2020-04-07,101.7413
2020-04-08,101.7413
2020-04-09,101.7413
2020-04-10,101.7413
2020-04-11,101.7413
2020-04-12,101.7413
2020-04-13,101.7413
2020-04-14,101.7413
2020-04-15,101.7413
2020-04-16,101.7413
2020-04-17,101.7413
2020-04-18,101.7413
2020-04-19,101.7413
2020-04-20,101.7413
2020-04-21,101.7413
2020-04-22,101.7413
2020-04-23,101.7413
2020-04-24,101.7413
2020-04-25,101.7413
2020-04-26,101.7413
2020-04-27,101.7413
2020-04-28,101.7413
2020-04-29,101.7413
2020-04-30,101.7413
2020-05-01,101.7413
2020-05-02,101.7413
2020-05-03,101.7413
2020-05-04,101.7413
2020-05-05,101.7413
2020-05-06,101.7413
2020-05-07,101.7413
2020-05-08,101.7413
2020-05-09,101.7413
2020-05-10,101.7413
2020-05-11,101.7413
2020-05-12,101.7413
2020-05-13,101.7413
2020-05-14,101.7413
2020-05-15,101.7413
2020-05-16,101.7413
2020-05-17,101.7413
2020-05-18,101.7413
2020-05-19,101.7413
2020-05-20,101.7413
2020-05-21,101.7413
2020-05-22,101.7413
2020-05-23,101.7413
2020-05-24,101.7413
2020-05-25,101.7413
2020-05-26,101.7413
2020-05-27,101.7413
2020-05-28,101.7413
2020-05-29,101.7413
2020-05-30,101.7413
2020-05-31,101.7413
2020-06-01,101.7413
2020-06-02,101.7413
2020-06-03,101.7413
2020-06-04,101.7413
2020-06-05,101.7413
2020-06-06,101.7413
2020-06-07,101.7413
2020-06-08,101.7413
2020-06-09,101.7413
2020-06-10,101.7413
2020-06-11,101.7413
2020-06-12,101.7413
2020-06-13,101.7413
2020-06-14,101.7413
2020-06-15,101.7413
2020-06-16,101.7413
2020-06-17,101.7413
2020-06-18,101.7413
2020-06-19,101.7413
2020-06-20,101.7413
2020-06-21,101.7413
