,BR US Equity
,RETURN_COM_EQY
2020-01-01,37.4911
2020-01-02,37.4911
2020-01-03,37.4911
2020-01-04,37.4911
2020-01-05,37.4911
2020-01-06,37.4911
2020-01-07,37.4911
2020-01-08,37.4911
2020-01-09,37.4911
2020-01-10,37.4911
2020-01-11,37.4911
2020-01-12,37.4911
2020-01-13,37.4911
2020-01-14,37.4911
2020-01-15,37.4911
2020-01-16,37.4911
2020-01-17,37.4911
2020-01-18,37.4911
2020-01-19,37.4911
2020-01-20,37.4911
2020-01-21,37.4911
2020-01-22,37.4911
2020-01-23,37.4911
2020-01-24,37.4911
2020-01-25,37.4911
2020-01-26,37.4911
2020-01-27,37.4911
2020-01-28,37.4911
2020-01-29,37.4911
2020-01-30,37.4911
2020-01-31,37.4911
2020-02-01,37.4911
2020-02-02,37.4911
2020-02-03,37.4911
2020-02-04,37.4911
2020-02-05,37.4911
2020-02-06,37.4911
2020-02-07,37.4911
2020-02-08,37.4911
2020-02-09,37.4911
2020-02-10,37.4911
2020-02-11,37.4911
2020-02-12,37.4911
2020-02-13,37.4911
2020-02-14,37.4911
2020-02-15,37.4911
2020-02-16,37.4911
2020-02-17,37.4911
2020-02-18,37.4911
2020-02-19,37.4911
2020-02-20,37.4911
2020-02-21,37.4911
2020-02-22,37.4911
2020-02-23,37.4911
2020-02-24,37.4911
2020-02-25,37.4911
2020-02-26,37.4911
2020-02-27,37.4911
2020-02-28,37.4911
2020-02-29,37.4911
2020-03-01,37.4911
2020-03-02,37.4911
2020-03-03,37.4911
2020-03-04,37.4911
2020-03-05,37.4911
2020-03-06,37.4911
2020-03-07,37.4911
2020-03-08,37.4911
2020-03-09,37.4911
2020-03-10,37.4911
2020-03-11,37.4911
2020-03-12,37.4911
2020-03-13,37.4911
2020-03-14,37.4911
2020-03-15,37.4911
2020-03-16,37.4911
2020-03-17,37.4911
2020-03-18,37.4911
2020-03-19,37.4911
2020-03-20,37.4911
2020-03-21,37.4911
2020-03-22,37.4911
2020-03-23,37.4911
2020-03-24,37.4911
2020-03-25,37.4911
2020-03-26,37.4911
2020-03-27,37.4911
2020-03-28,37.4911
2020-03-29,37.4911
2020-03-30,37.4911
2020-03-31,33.7101
2020-04-01,33.7101
2020-04-02,33.7101
2020-04-03,33.7101
2020-04-04,33.7101
2020-04-05,33.7101
2020-04-06,33.7101
2020-04-07,33.7101
2020-04-08,33.7101
2020-04-09,33.7101
2020-04-10,33.7101
2020-04-11,33.7101
2020-04-12,33.7101
2020-04-13,33.7101
2020-04-14,33.7101
2020-04-15,33.7101
2020-04-16,33.7101
2020-04-17,33.7101
2020-04-18,33.7101
2020-04-19,33.7101
2020-04-20,33.7101
2020-04-21,33.7101
2020-04-22,33.7101
2020-04-23,33.7101
2020-04-24,33.7101
2020-04-25,33.7101
2020-04-26,33.7101
2020-04-27,33.7101
2020-04-28,33.7101
2020-04-29,33.7101
2020-04-30,33.7101
2020-05-01,33.7101
2020-05-02,33.7101
2020-05-03,33.7101
2020-05-04,33.7101
2020-05-05,33.7101
2020-05-06,33.7101
2020-05-07,33.7101
2020-05-08,33.7101
2020-05-09,33.7101
2020-05-10,33.7101
2020-05-11,33.7101
2020-05-12,33.7101
2020-05-13,33.7101
2020-05-14,33.7101
2020-05-15,33.7101
2020-05-16,33.7101
2020-05-17,33.7101
2020-05-18,33.7101
