,NWE US Equity
,RETURN_COM_EQY
2020-01-01,10.1539
2020-01-02,10.1539
2020-01-03,10.1539
2020-01-04,10.1539
2020-01-05,10.1539
2020-01-06,10.1539
2020-01-07,10.1539
2020-01-08,10.1539
2020-01-09,10.1539
2020-01-10,10.1539
2020-01-11,10.1539
2020-01-12,10.1539
2020-01-13,10.1539
2020-01-14,10.1539
2020-01-15,10.1539
2020-01-16,10.1539
2020-01-17,10.1539
2020-01-18,10.1539
2020-01-19,10.1539
2020-01-20,10.1539
2020-01-21,10.1539
2020-01-22,10.1539
2020-01-23,10.1539
2020-01-24,10.1539
2020-01-25,10.1539
2020-01-26,10.1539
2020-01-27,10.1539
2020-01-28,10.1539
2020-01-29,10.1539
2020-01-30,10.1539
2020-01-31,10.1539
2020-02-01,10.1539
2020-02-02,10.1539
2020-02-03,10.1539
2020-02-04,10.1539
2020-02-05,10.1539
2020-02-06,10.1539
2020-02-07,10.1539
2020-02-08,10.1539
2020-02-09,10.1539
2020-02-10,10.1539
2020-02-11,10.1539
2020-02-12,10.1539
2020-02-13,10.1539
2020-02-14,10.1539
2020-02-15,10.1539
2020-02-16,10.1539
2020-02-17,10.1539
2020-02-18,10.1539
2020-02-19,10.1539
2020-02-20,10.1539
2020-02-21,10.1539
2020-02-22,10.1539
2020-02-23,10.1539
2020-02-24,10.1539
2020-02-25,10.1539
2020-02-26,10.1539
2020-02-27,10.1539
2020-02-28,10.1539
2020-02-29,10.1539
2020-03-01,10.1539
2020-03-02,10.1539
2020-03-03,10.1539
2020-03-04,10.1539
2020-03-05,10.1539
2020-03-06,10.1539
2020-03-07,10.1539
2020-03-08,10.1539
2020-03-09,10.1539
2020-03-10,10.1539
2020-03-11,10.1539
2020-03-12,10.1539
2020-03-13,10.1539
2020-03-14,10.1539
2020-03-15,10.1539
2020-03-16,10.1539
2020-03-17,10.1539
2020-03-18,10.1539
2020-03-19,10.1539
2020-03-20,10.1539
2020-03-21,10.1539
2020-03-22,10.1539
2020-03-23,10.1539
2020-03-24,10.1539
2020-03-25,10.1539
2020-03-26,10.1539
2020-03-27,10.1539
2020-03-28,10.1539
2020-03-29,10.1539
2020-03-30,10.1539
2020-03-31,8.8901
2020-04-01,8.8901
2020-04-02,8.8901
2020-04-03,8.8901
2020-04-04,8.8901
2020-04-05,8.8901
2020-04-06,8.8901
2020-04-07,8.8901
2020-04-08,8.8901
2020-04-09,8.8901
2020-04-10,8.8901
2020-04-11,8.8901
2020-04-12,8.8901
2020-04-13,8.8901
2020-04-14,8.8901
2020-04-15,8.8901
2020-04-16,8.8901
2020-04-17,8.8901
2020-04-18,8.8901
2020-04-19,8.8901
2020-04-20,8.8901
2020-04-21,8.8901
2020-04-22,8.8901
2020-04-23,8.8901
2020-04-24,8.8901
2020-04-25,8.8901
2020-04-26,8.8901
2020-04-27,8.8901
2020-04-28,8.8901
2020-04-29,8.8901
2020-04-30,8.8901
2020-05-01,8.8901
2020-05-02,8.8901
2020-05-03,8.8901
2020-05-04,8.8901
2020-05-05,8.8901
2020-05-06,8.8901
2020-05-07,8.8901
2020-05-08,8.8901
2020-05-09,8.8901
2020-05-10,8.8901
2020-05-11,8.8901
2020-05-12,8.8901
2020-05-13,8.8901
2020-05-14,8.8901
2020-05-15,8.8901
2020-05-16,8.8901
2020-05-17,8.8901
2020-05-18,8.8901
2020-05-19,8.8901
2020-05-20,8.8901
2020-05-21,8.8901
2020-05-22,8.8901
2020-05-23,8.8901
2020-05-24,8.8901
2020-05-25,8.8901
2020-05-26,8.8901
2020-05-27,8.8901
2020-05-28,8.8901
2020-05-29,8.8901
2020-05-30,8.8901
2020-05-31,8.8901
2020-06-01,8.8901
2020-06-02,8.8901
2020-06-03,8.8901
2020-06-04,8.8901
2020-06-05,8.8901
2020-06-06,8.8901
2020-06-07,8.8901
2020-06-08,8.8901
2020-06-09,8.8901
2020-06-10,8.8901
2020-06-11,8.8901
2020-06-12,8.8901
2020-06-13,8.8901
2020-06-14,8.8901
2020-06-15,8.8901
2020-06-16,8.8901
2020-06-17,8.8901
2020-06-18,8.8901
2020-06-19,8.8901
2020-06-20,8.8901
2020-06-21,8.8901
2020-06-22,8.8901
2020-06-23,8.8901
2020-06-24,8.8901
2020-06-25,8.8901
2020-06-26,8.8901
2020-06-27,8.8901
2020-06-28,8.8901
2020-06-29,8.8901
2020-06-30,7.5729
2020-07-01,7.5729
2020-07-02,7.5729
2020-07-03,7.5729
2020-07-04,7.5729
2020-07-05,7.5729
2020-07-06,7.5729
2020-07-07,7.5729
2020-07-08,7.5729
2020-07-09,7.5729
2020-07-10,7.5729
2020-07-11,7.5729
2020-07-12,7.5729
2020-07-13,7.5729
2020-07-14,7.5729
2020-07-15,7.5729
2020-07-16,7.5729
2020-07-17,7.5729
2020-07-18,7.5729
2020-07-19,7.5729
2020-07-20,7.5729
2020-07-21,7.5729
2020-07-22,7.5729
2020-07-23,7.5729
2020-07-24,7.5729
2020-07-25,7.5729
2020-07-26,7.5729
2020-07-27,7.5729
2020-07-28,7.5729
2020-07-29,7.5729
2020-07-30,7.5729
2020-07-31,7.5729
2020-08-01,7.5729
2020-08-02,7.5729
2020-08-03,7.5729
2020-08-04,7.5729
2020-08-05,7.5729
2020-08-06,7.5729
2020-08-07,7.5729
2020-08-08,7.5729
2020-08-09,7.5729
2020-08-10,7.5729
2020-08-11,7.5729
2020-08-12,7.5729
2020-08-13,7.5729
2020-08-14,7.5729
2020-08-15,7.5729
2020-08-16,7.5729
