,TGT US Equity
,RETURN_COM_EQY
2020-01-01,28.6939
2020-01-02,28.6939
2020-01-03,28.6939
2020-01-04,28.6939
2020-01-05,28.6939
2020-01-06,28.6939
2020-01-07,28.6939
2020-01-08,28.6939
2020-01-09,28.6939
2020-01-10,28.6939
2020-01-11,28.6939
2020-01-12,28.6939
2020-01-13,28.6939
2020-01-14,28.6939
2020-01-15,28.6939
2020-01-16,28.6939
2020-01-17,28.6939
2020-01-18,28.6939
2020-01-19,28.6939
2020-01-20,28.6939
2020-01-21,28.6939
2020-01-22,28.6939
2020-01-23,28.6939
2020-01-24,28.6939
2020-01-25,28.6939
2020-01-26,28.6939
2020-01-27,28.6939
2020-01-28,28.6939
2020-01-29,28.6939
2020-01-30,28.6939
2020-01-31,28.6939
2020-02-01,28.3701
2020-02-02,28.3701
2020-02-03,28.3701
2020-02-04,28.3701
2020-02-05,28.3701
2020-02-06,28.3701
2020-02-07,28.3701
2020-02-08,28.3701
2020-02-09,28.3701
2020-02-10,28.3701
2020-02-11,28.3701
2020-02-12,28.3701
2020-02-13,28.3701
2020-02-14,28.3701
2020-02-15,28.3701
2020-02-16,28.3701
2020-02-17,28.3701
2020-02-18,28.3701
2020-02-19,28.3701
2020-02-20,28.3701
2020-02-21,28.3701
2020-02-22,28.3701
2020-02-23,28.3701
2020-02-24,28.3701
2020-02-25,28.3701
2020-02-26,28.3701
2020-02-27,28.3701
2020-02-28,28.3701
2020-02-29,28.3701
2020-03-01,28.3701
2020-03-02,28.3701
2020-03-03,28.3701
2020-03-04,28.3701
2020-03-05,28.3701
2020-03-06,28.3701
2020-03-07,28.3701
2020-03-08,28.3701
2020-03-09,28.3701
2020-03-10,28.3701
2020-03-11,28.3701
2020-03-12,28.3701
2020-03-13,28.3701
2020-03-14,28.3701
2020-03-15,28.3701
2020-03-16,28.3701
2020-03-17,28.3701
2020-03-18,28.3701
2020-03-19,28.3701
2020-03-20,28.3701
2020-03-21,28.3701
2020-03-22,28.3701
2020-03-23,28.3701
2020-03-24,28.3701
2020-03-25,28.3701
2020-03-26,28.3701
2020-03-27,28.3701
2020-03-28,28.3701
2020-03-29,28.3701
2020-03-30,28.3701
2020-03-31,28.3701
2020-04-01,28.3701
2020-04-02,28.3701
2020-04-03,28.3701
2020-04-04,28.3701
2020-04-05,28.3701
2020-04-06,28.3701
2020-04-07,28.3701
2020-04-08,28.3701
2020-04-09,28.3701
2020-04-10,28.3701
2020-04-11,28.3701
2020-04-12,28.3701
2020-04-13,28.3701
2020-04-14,28.3701
2020-04-15,28.3701
2020-04-16,28.3701
2020-04-17,28.3701
2020-04-18,28.3701
2020-04-19,28.3701
2020-04-20,28.3701
2020-04-21,28.3701
2020-04-22,28.3701
2020-04-23,28.3701
2020-04-24,28.3701
2020-04-25,28.3701
2020-04-26,28.3701
2020-04-27,28.3701
2020-04-28,28.3701
2020-04-29,28.3701
2020-04-30,28.3701
2020-05-01,28.3701
2020-05-02,24.8587
2020-05-03,24.8587
2020-05-04,24.8587
2020-05-05,24.8587
2020-05-06,24.8587
2020-05-07,24.8587
2020-05-08,24.8587
2020-05-09,24.8587
2020-05-10,24.8587
2020-05-11,24.8587
2020-05-12,24.8587
2020-05-13,24.8587
2020-05-14,24.8587
2020-05-15,24.8587
2020-05-16,24.8587
2020-05-17,24.8587
2020-05-18,24.8587
2020-05-19,24.8587
2020-05-20,24.8587
2020-05-21,24.8587
2020-05-22,24.8587
2020-05-23,24.8587
2020-05-24,24.8587
2020-05-25,24.8587
2020-05-26,24.8587
2020-05-27,24.8587
2020-05-28,24.8587
2020-05-29,24.8587
2020-05-30,24.8587
2020-05-31,24.8587
2020-06-01,24.8587
2020-06-02,24.8587
2020-06-03,24.8587
2020-06-04,24.8587
2020-06-05,24.8587
2020-06-06,24.8587
2020-06-07,24.8587
2020-06-08,24.8587
2020-06-09,24.8587
2020-06-10,24.8587
2020-06-11,24.8587
2020-06-12,24.8587
2020-06-13,24.8587
2020-06-14,24.8587
2020-06-15,24.8587
2020-06-16,24.8587
2020-06-17,24.8587
2020-06-18,24.8587
2020-06-19,24.8587
2020-06-20,24.8587
2020-06-21,24.8587
2020-06-22,24.8587
2020-06-23,24.8587
2020-06-24,24.8587
2020-06-25,24.8587
2020-06-26,24.8587
2020-06-27,24.8587
2020-06-28,24.8587
2020-06-29,24.8587
2020-06-30,24.8587
2020-07-01,24.8587
2020-07-02,24.8587
2020-07-03,24.8587
2020-07-04,24.8587
2020-07-05,24.8587
2020-07-06,24.8587
2020-07-07,24.8587
2020-07-08,24.8587
2020-07-09,24.8587
2020-07-10,24.8587
2020-07-11,24.8587
2020-07-12,24.8587
2020-07-13,24.8587
2020-07-14,24.8587
2020-07-15,24.8587
2020-07-16,24.8587
2020-07-17,24.8587
2020-07-18,24.8587
2020-07-19,24.8587
2020-07-20,24.8587
2020-07-21,24.8587
2020-07-22,24.8587
2020-07-23,24.8587
2020-07-24,24.8587
2020-07-25,24.8587
2020-07-26,24.8587
2020-07-27,24.8587
2020-07-28,24.8587
2020-07-29,24.8587
2020-07-30,24.8587
2020-07-31,24.8587
2020-08-01,28.8523
2020-08-02,28.8523
2020-08-03,28.8523
2020-08-04,28.8523
2020-08-05,28.8523
2020-08-06,28.8523
2020-08-07,28.8523
2020-08-08,28.8523
2020-08-09,28.8523
2020-08-10,28.8523
2020-08-11,28.8523
2020-08-12,28.8523
2020-08-13,28.8523
2020-08-14,28.8523
2020-08-15,28.8523
2020-08-16,28.8523
2020-08-17,28.8523
2020-08-18,28.8523
2020-08-19,28.8523
2020-08-20,28.8523
2020-08-21,28.8523
2020-08-22,28.8523
2020-08-23,28.8523
2020-08-24,28.8523
2020-08-25,28.8523
2020-08-26,28.8523
2020-08-27,28.8523
2020-08-28,28.8523
2020-08-29,28.8523
2020-08-30,28.8523
2020-08-31,28.8523
2020-09-01,28.8523
2020-09-02,28.8523
2020-09-03,28.8523
2020-09-04,28.8523
2020-09-05,28.8523
2020-09-06,28.8523
2020-09-07,28.8523
2020-09-08,28.8523
2020-09-09,28.8523
2020-09-10,28.8523
2020-09-11,28.8523
2020-09-12,28.8523
2020-09-13,28.8523
2020-09-14,28.8523
2020-09-15,28.8523
2020-09-16,28.8523
2020-09-17,28.8523
2020-09-18,28.8523
2020-09-19,28.8523
2020-09-20,28.8523
2020-09-21,28.8523
2020-09-22,28.8523
2020-09-23,28.8523
2020-09-24,28.8523
2020-09-25,28.8523
2020-09-26,28.8523
2020-09-27,28.8523
2020-09-28,28.8523
2020-09-29,28.8523
2020-09-30,28.8523
2020-10-01,28.8523
2020-10-02,28.8523
2020-10-03,28.8523
2020-10-04,28.8523
2020-10-05,28.8523
2020-10-06,28.8523
2020-10-07,28.8523
2020-10-08,28.8523
2020-10-09,28.8523
2020-10-10,28.8523
2020-10-11,28.8523
2020-10-12,28.8523
2020-10-13,28.8523
2020-10-14,28.8523
2020-10-15,28.8523
2020-10-16,28.8523
2020-10-17,28.8523
2020-10-18,28.8523
2020-10-19,28.8523
2020-10-20,28.8523
2020-10-21,28.8523
