,NXST US Equity
,RETURN_COM_EQY
2020-01-01,11.856
2020-01-02,11.856
2020-01-03,11.856
2020-01-04,11.856
2020-01-05,11.856
2020-01-06,11.856
2020-01-07,11.856
2020-01-08,11.856
2020-01-09,11.856
2020-01-10,11.856
2020-01-11,11.856
2020-01-12,11.856
2020-01-13,11.856
2020-01-14,11.856
2020-01-15,11.856
2020-01-16,11.856
2020-01-17,11.856
2020-01-18,11.856
2020-01-19,11.856
2020-01-20,11.856
2020-01-21,11.856
2020-01-22,11.856
2020-01-23,11.856
2020-01-24,11.856
2020-01-25,11.856
2020-01-26,11.856
2020-01-27,11.856
2020-01-28,11.856
2020-01-29,11.856
2020-01-30,11.856
2020-01-31,11.856
2020-02-01,11.856
2020-02-02,11.856
2020-02-03,11.856
2020-02-04,11.856
2020-02-05,11.856
2020-02-06,11.856
2020-02-07,11.856
2020-02-08,11.856
2020-02-09,11.856
2020-02-10,11.856
2020-02-11,11.856
2020-02-12,11.856
2020-02-13,11.856
2020-02-14,11.856
2020-02-15,11.856
2020-02-16,11.856
2020-02-17,11.856
2020-02-18,11.856
2020-02-19,11.856
2020-02-20,11.856
2020-02-21,11.856
2020-02-22,11.856
2020-02-23,11.856
2020-02-24,11.856
2020-02-25,11.856
2020-02-26,11.856
2020-02-27,11.856
2020-02-28,11.856
2020-02-29,11.856
2020-03-01,11.856
2020-03-02,11.856
2020-03-03,11.856
2020-03-04,11.856
2020-03-05,11.856
2020-03-06,11.856
2020-03-07,11.856
2020-03-08,11.856
2020-03-09,11.856
2020-03-10,11.856
2020-03-11,11.856
2020-03-12,11.856
2020-03-13,11.856
2020-03-14,11.856
2020-03-15,11.856
2020-03-16,11.856
2020-03-17,11.856
2020-03-18,11.856
2020-03-19,11.856
2020-03-20,11.856
2020-03-21,11.856
2020-03-22,11.856
2020-03-23,11.856
2020-03-24,11.856
2020-03-25,11.856
2020-03-26,11.856
2020-03-27,11.856
2020-03-28,11.856
2020-03-29,11.856
2020-03-30,11.856
2020-03-31,16.6957
2020-04-01,16.6957
2020-04-02,16.6957
2020-04-03,16.6957
2020-04-04,16.6957
2020-04-05,16.6957
2020-04-06,16.6957
2020-04-07,16.6957
2020-04-08,16.6957
2020-04-09,16.6957
2020-04-10,16.6957
2020-04-11,16.6957
2020-04-12,16.6957
2020-04-13,16.6957
2020-04-14,16.6957
2020-04-15,16.6957
2020-04-16,16.6957
2020-04-17,16.6957
2020-04-18,16.6957
2020-04-19,16.6957
2020-04-20,16.6957
2020-04-21,16.6957
2020-04-22,16.6957
2020-04-23,16.6957
2020-04-24,16.6957
2020-04-25,16.6957
2020-04-26,16.6957
2020-04-27,16.6957
2020-04-28,16.6957
2020-04-29,16.6957
2020-04-30,16.6957
2020-05-01,16.6957
2020-05-02,16.6957
2020-05-03,16.6957
2020-05-04,16.6957
2020-05-05,16.6957
2020-05-06,16.6957
2020-05-07,16.6957
2020-05-08,16.6957
2020-05-09,16.6957
2020-05-10,16.6957
2020-05-11,16.6957
2020-05-12,16.6957
2020-05-13,16.6957
2020-05-14,16.6957
2020-05-15,16.6957
2020-05-16,16.6957
2020-05-17,16.6957
2020-05-18,16.6957
2020-05-19,16.6957
2020-05-20,16.6957
2020-05-21,16.6957
2020-05-22,16.6957
2020-05-23,16.6957
2020-05-24,16.6957
2020-05-25,16.6957
2020-05-26,16.6957
2020-05-27,16.6957
2020-05-28,16.6957
2020-05-29,16.6957
2020-05-30,16.6957
2020-05-31,16.6957
2020-06-01,16.6957
2020-06-02,16.6957
2020-06-03,16.6957
2020-06-04,16.6957
2020-06-05,16.6957
2020-06-06,16.6957
2020-06-07,16.6957
2020-06-08,16.6957
2020-06-09,16.6957
2020-06-10,16.6957
2020-06-11,16.6957
2020-06-12,16.6957
2020-06-13,16.6957
2020-06-14,16.6957
2020-06-15,16.6957
2020-06-16,16.6957
2020-06-17,16.6957
2020-06-18,16.6957
2020-06-19,16.6957
2020-06-20,16.6957
2020-06-21,16.6957
2020-06-22,16.6957
2020-06-23,16.6957
2020-06-24,16.6957
2020-06-25,16.6957
2020-06-26,16.6957
2020-06-27,16.6957
2020-06-28,16.6957
2020-06-29,16.6957
2020-06-30,17.6463
2020-07-01,17.6463
2020-07-02,17.6463
2020-07-03,17.6463
2020-07-04,17.6463
2020-07-05,17.6463
2020-07-06,17.6463
2020-07-07,17.6463
2020-07-08,17.6463
2020-07-09,17.6463
2020-07-10,17.6463
2020-07-11,17.6463
2020-07-12,17.6463
2020-07-13,17.6463
2020-07-14,17.6463
2020-07-15,17.6463
2020-07-16,17.6463
2020-07-17,17.6463
2020-07-18,17.6463
2020-07-19,17.6463
2020-07-20,17.6463
2020-07-21,17.6463
2020-07-22,17.6463
2020-07-23,17.6463
2020-07-24,17.6463
2020-07-25,17.6463
2020-07-26,17.6463
2020-07-27,17.6463
2020-07-28,17.6463
2020-07-29,17.6463
2020-07-30,17.6463
2020-07-31,17.6463
2020-08-01,17.6463
2020-08-02,17.6463
2020-08-03,17.6463
2020-08-04,17.6463
2020-08-05,17.6463
2020-08-06,17.6463
2020-08-07,17.6463
2020-08-08,17.6463
2020-08-09,17.6463
2020-08-10,17.6463
2020-08-11,17.6463
2020-08-12,17.6463
2020-08-13,17.6463
2020-08-14,17.6463
2020-08-15,17.6463
2020-08-16,17.6463
2020-08-17,17.6463
2020-08-18,17.6463
2020-08-19,17.6463
2020-08-20,17.6463
2020-08-21,17.6463
2020-08-22,17.6463
2020-08-23,17.6463
2020-08-24,17.6463
2020-08-25,17.6463
2020-08-26,17.6463
2020-08-27,17.6463
2020-08-28,17.6463
2020-08-29,17.6463
2020-08-30,17.6463
2020-08-31,17.6463
2020-09-01,17.6463
2020-09-02,17.6463
2020-09-03,17.6463
2020-09-04,17.6463
2020-09-05,17.6463
2020-09-06,17.6463
2020-09-07,17.6463
2020-09-08,17.6463
2020-09-09,17.6463
2020-09-10,17.6463
2020-09-11,17.6463
2020-09-12,17.6463
2020-09-13,17.6463
2020-09-14,17.6463
2020-09-15,17.6463
2020-09-16,17.6463
2020-09-17,17.6463
2020-09-18,17.6463
2020-09-19,17.6463
2020-09-20,17.6463
2020-09-21,17.6463
2020-09-22,17.6463
2020-09-23,17.6463
2020-09-24,17.6463
2020-09-25,17.6463
2020-09-26,17.6463
2020-09-27,17.6463
2020-09-28,17.6463
2020-09-29,17.6463
2020-09-30,26.9209
2020-10-01,26.9209
2020-10-02,26.9209
2020-10-03,26.9209
2020-10-04,26.9209
2020-10-05,26.9209
2020-10-06,26.9209
2020-10-07,26.9209
2020-10-08,26.9209
2020-10-09,26.9209
2020-10-10,26.9209
2020-10-11,26.9209
2020-10-12,26.9209
2020-10-13,26.9209
2020-10-14,26.9209
2020-10-15,26.9209
2020-10-16,26.9209
2020-10-17,26.9209
2020-10-18,26.9209
2020-10-19,26.9209
2020-10-20,26.9209
2020-10-21,26.9209
2020-10-22,26.9209
2020-10-23,26.9209
2020-10-24,26.9209
2020-10-25,26.9209
2020-10-26,26.9209
2020-10-27,26.9209
2020-10-28,26.9209
2020-10-29,26.9209
2020-10-30,26.9209
2020-10-31,26.9209
2020-11-01,26.9209
2020-11-02,26.9209
2020-11-03,26.9209
2020-11-04,26.9209
2020-11-05,26.9209
2020-11-06,26.9209
2020-11-07,26.9209
2020-11-08,26.9209
2020-11-09,26.9209
2020-11-10,26.9209
2020-11-11,26.9209
2020-11-12,26.9209
2020-11-13,26.9209
2020-11-14,26.9209
2020-11-15,26.9209
2020-11-16,26.9209
2020-11-17,26.9209
2020-11-18,26.9209
2020-11-19,26.9209
2020-11-20,26.9209
2020-11-21,26.9209
2020-11-22,26.9209
2020-11-23,26.9209
2020-11-24,26.9209
2020-11-25,26.9209
2020-11-26,26.9209
2020-11-27,26.9209
2020-11-28,26.9209
2020-11-29,26.9209
2020-11-30,26.9209
2020-12-01,26.9209
2020-12-02,26.9209
2020-12-03,26.9209
2020-12-04,26.9209
2020-12-05,26.9209
2020-12-06,26.9209
2020-12-07,26.9209
2020-12-08,26.9209
2020-12-09,26.9209
2020-12-10,26.9209
2020-12-11,26.9209
2020-12-12,26.9209
2020-12-13,26.9209
2020-12-14,26.9209
2020-12-15,26.9209
2020-12-16,26.9209
2020-12-17,26.9209
2020-12-18,26.9209
2020-12-19,26.9209
2020-12-20,26.9209
2020-12-21,26.9209
2020-12-22,26.9209
2020-12-23,26.9209
2020-12-24,26.9209
2020-12-25,26.9209
2020-12-26,26.9209
2020-12-27,26.9209
2020-12-28,26.9209
2020-12-29,26.9209
2020-12-30,26.9209
2020-12-31,35.6686
2021-01-01,35.6686
2021-01-02,35.6686
2021-01-03,35.6686
2021-01-04,35.6686
2021-01-05,35.6686
2021-01-06,35.6686
2021-01-07,35.6686
2021-01-08,35.6686
2021-01-09,35.6686
2021-01-10,35.6686
2021-01-11,35.6686
2021-01-12,35.6686
2021-01-13,35.6686
2021-01-14,35.6686
2021-01-15,35.6686
2021-01-16,35.6686
2021-01-17,35.6686
2021-01-18,35.6686
2021-01-19,35.6686
2021-01-20,35.6686
2021-01-21,35.6686
2021-01-22,35.6686
2021-01-23,35.6686
2021-01-24,35.6686
2021-01-25,35.6686
2021-01-26,35.6686
2021-01-27,35.6686
2021-01-28,35.6686
2021-01-29,35.6686
2021-01-30,35.6686
2021-01-31,35.6686
2021-02-01,35.6686
2021-02-02,35.6686
2021-02-03,35.6686
2021-02-04,35.6686
2021-02-05,35.6686
2021-02-06,35.6686
2021-02-07,35.6686
2021-02-08,35.6686
2021-02-09,35.6686
2021-02-10,35.6686
2021-02-11,35.6686
2021-02-12,35.6686
2021-02-13,35.6686
2021-02-14,35.6686
2021-02-15,35.6686
2021-02-16,35.6686
2021-02-17,35.6686
2021-02-18,35.6686
2021-02-19,35.6686
2021-02-20,35.6686
2021-02-21,35.6686
2021-02-22,35.6686
2021-02-23,35.6686
2021-02-24,35.6686
2021-02-25,35.6686
2021-02-26,35.6686
2021-02-27,35.6686
2021-02-28,35.6686
2021-03-01,35.6686
2021-03-02,35.6686
2021-03-03,35.6686
2021-03-04,35.6686
2021-03-05,35.6686
2021-03-06,35.6686
2021-03-07,35.6686
