,BURL US Equity
,RETURN_COM_EQY
2020-01-01,151.509
2020-01-02,151.509
2020-01-03,151.509
2020-01-04,151.509
2020-01-05,151.509
2020-01-06,151.509
2020-01-07,151.509
2020-01-08,151.509
2020-01-09,151.509
2020-01-10,151.509
2020-01-11,151.509
2020-01-12,151.509
2020-01-13,151.509
2020-01-14,151.509
2020-01-15,151.509
2020-01-16,151.509
2020-01-17,151.509
2020-01-18,151.509
2020-01-19,151.509
2020-01-20,151.509
2020-01-21,151.509
2020-01-22,151.509
2020-01-23,151.509
2020-01-24,151.509
2020-01-25,151.509
2020-01-26,151.509
2020-01-27,151.509
2020-01-28,151.509
2020-01-29,151.509
2020-01-30,151.509
2020-01-31,151.509
2020-02-01,109.3286
2020-02-02,109.3286
2020-02-03,109.3286
2020-02-04,109.3286
2020-02-05,109.3286
2020-02-06,109.3286
2020-02-07,109.3286
2020-02-08,109.3286
2020-02-09,109.3286
2020-02-10,109.3286
2020-02-11,109.3286
2020-02-12,109.3286
2020-02-13,109.3286
2020-02-14,109.3286
2020-02-15,109.3286
2020-02-16,109.3286
2020-02-17,109.3286
2020-02-18,109.3286
2020-02-19,109.3286
2020-02-20,109.3286
2020-02-21,109.3286
2020-02-22,109.3286
2020-02-23,109.3286
2020-02-24,109.3286
2020-02-25,109.3286
2020-02-26,109.3286
2020-02-27,109.3286
2020-02-28,109.3286
2020-02-29,109.3286
2020-03-01,109.3286
2020-03-02,109.3286
2020-03-03,109.3286
2020-03-04,109.3286
2020-03-05,109.3286
2020-03-06,109.3286
2020-03-07,109.3286
2020-03-08,109.3286
2020-03-09,109.3286
2020-03-10,109.3286
2020-03-11,109.3286
2020-03-12,109.3286
2020-03-13,109.3286
2020-03-14,109.3286
2020-03-15,109.3286
2020-03-16,109.3286
2020-03-17,109.3286
2020-03-18,109.3286
2020-03-19,109.3286
2020-03-20,109.3286
2020-03-21,109.3286
2020-03-22,109.3286
2020-03-23,109.3286
2020-03-24,109.3286
2020-03-25,109.3286
2020-03-26,109.3286
2020-03-27,109.3286
2020-03-28,109.3286
2020-03-29,109.3286
2020-03-30,109.3286
2020-03-31,109.3286
2020-04-01,109.3286
2020-04-02,109.3286
2020-04-03,109.3286
2020-04-04,109.3286
2020-04-05,109.3286
2020-04-06,109.3286
2020-04-07,109.3286
2020-04-08,109.3286
2020-04-09,109.3286
2020-04-10,109.3286
2020-04-11,109.3286
2020-04-12,109.3286
2020-04-13,109.3286
2020-04-14,109.3286
2020-04-15,109.3286
2020-04-16,109.3286
2020-04-17,109.3286
2020-04-18,109.3286
2020-04-19,109.3286
2020-04-20,109.3286
2020-04-21,109.3286
2020-04-22,109.3286
2020-04-23,109.3286
2020-04-24,109.3286
2020-04-25,109.3286
2020-04-26,109.3286
2020-04-27,109.3286
2020-04-28,109.3286
2020-04-29,109.3286
2020-04-30,109.3286
2020-05-01,19.2318
2020-05-02,19.2318
2020-05-03,19.2318
2020-05-04,19.2318
2020-05-05,19.2318
2020-05-06,19.2318
2020-05-07,19.2318
2020-05-08,19.2318
2020-05-09,19.2318
2020-05-10,19.2318
2020-05-11,19.2318
2020-05-12,19.2318
2020-05-13,19.2318
2020-05-14,19.2318
2020-05-15,19.2318
2020-05-16,19.2318
2020-05-17,19.2318
2020-05-18,19.2318
2020-05-19,19.2318
2020-05-20,19.2318
2020-05-21,19.2318
2020-05-22,19.2318
2020-05-23,19.2318
2020-05-24,19.2318
2020-05-25,19.2318
2020-05-26,19.2318
2020-05-27,19.2318
2020-05-28,19.2318
2020-05-29,19.2318
