,SCS US Equity
,RETURN_COM_EQY
2020-01-01,17.3217
2020-01-02,17.3217
2020-01-03,17.3217
2020-01-04,17.3217
2020-01-05,17.3217
2020-01-06,17.3217
2020-01-07,17.3217
2020-01-08,17.3217
2020-01-09,17.3217
2020-01-10,17.3217
2020-01-11,17.3217
2020-01-12,17.3217
2020-01-13,17.3217
2020-01-14,17.3217
2020-01-15,17.3217
2020-01-16,17.3217
2020-01-17,17.3217
2020-01-18,17.3217
2020-01-19,17.3217
2020-01-20,17.3217
2020-01-21,17.3217
2020-01-22,17.3217
2020-01-23,17.3217
2020-01-24,17.3217
2020-01-25,17.3217
2020-01-26,17.3217
2020-01-27,17.3217
2020-01-28,17.3217
2020-01-29,17.3217
2020-01-30,17.3217
2020-01-31,17.3217
2020-02-01,17.3217
2020-02-02,17.3217
2020-02-03,17.3217
2020-02-04,17.3217
2020-02-05,17.3217
2020-02-06,17.3217
2020-02-07,17.3217
2020-02-08,17.3217
2020-02-09,17.3217
2020-02-10,17.3217
2020-02-11,17.3217
2020-02-12,17.3217
2020-02-13,17.3217
2020-02-14,17.3217
2020-02-15,17.3217
2020-02-16,17.3217
2020-02-17,17.3217
2020-02-18,17.3217
2020-02-19,17.3217
2020-02-20,17.3217
2020-02-21,17.3217
2020-02-22,17.3217
2020-02-23,17.3217
2020-02-24,17.3217
2020-02-25,17.3217
2020-02-26,17.3217
2020-02-27,17.3217
2020-02-28,21.8218
2020-02-29,21.8218
2020-03-01,21.8218
2020-03-02,21.8218
2020-03-03,21.8218
2020-03-04,21.8218
2020-03-05,21.8218
2020-03-06,21.8218
2020-03-07,21.8218
2020-03-08,21.8218
2020-03-09,21.8218
2020-03-10,21.8218
2020-03-11,21.8218
2020-03-12,21.8218
2020-03-13,21.8218
2020-03-14,21.8218
2020-03-15,21.8218
2020-03-16,21.8218
2020-03-17,21.8218
2020-03-18,21.8218
2020-03-19,21.8218
2020-03-20,21.8218
2020-03-21,21.8218
2020-03-22,21.8218
2020-03-23,21.8218
2020-03-24,21.8218
2020-03-25,21.8218
2020-03-26,21.8218
