,PSX US Equity
,RETURN_COM_EQY
2020-01-01,12.4125
2020-01-02,12.4125
2020-01-03,12.4125
2020-01-04,12.4125
2020-01-05,12.4125
2020-01-06,12.4125
2020-01-07,12.4125
2020-01-08,12.4125
2020-01-09,12.4125
2020-01-10,12.4125
2020-01-11,12.4125
2020-01-12,12.4125
2020-01-13,12.4125
2020-01-14,12.4125
2020-01-15,12.4125
2020-01-16,12.4125
2020-01-17,12.4125
2020-01-18,12.4125
2020-01-19,12.4125
2020-01-20,12.4125
2020-01-21,12.4125
2020-01-22,12.4125
2020-01-23,12.4125
2020-01-24,12.4125
2020-01-25,12.4125
2020-01-26,12.4125
2020-01-27,12.4125
2020-01-28,12.4125
2020-01-29,12.4125
2020-01-30,12.4125
2020-01-31,12.4125
2020-02-01,12.4125
2020-02-02,12.4125
2020-02-03,12.4125
2020-02-04,12.4125
2020-02-05,12.4125
2020-02-06,12.4125
2020-02-07,12.4125
2020-02-08,12.4125
2020-02-09,12.4125
2020-02-10,12.4125
2020-02-11,12.4125
2020-02-12,12.4125
2020-02-13,12.4125
2020-02-14,12.4125
2020-02-15,12.4125
2020-02-16,12.4125
2020-02-17,12.4125
2020-02-18,12.4125
2020-02-19,12.4125
2020-02-20,12.4125
2020-02-21,12.4125
2020-02-22,12.4125
2020-02-23,12.4125
2020-02-24,12.4125
2020-02-25,12.4125
2020-02-26,12.4125
2020-02-27,12.4125
2020-02-28,12.4125
2020-02-29,12.4125
2020-03-01,12.4125
2020-03-02,12.4125
2020-03-03,12.4125
2020-03-04,12.4125
2020-03-05,12.4125
2020-03-06,12.4125
2020-03-07,12.4125
2020-03-08,12.4125
2020-03-09,12.4125
2020-03-10,12.4125
2020-03-11,12.4125
2020-03-12,12.4125
2020-03-13,12.4125
2020-03-14,12.4125
2020-03-15,12.4125
2020-03-16,12.4125
2020-03-17,12.4125
2020-03-18,12.4125
2020-03-19,12.4125
2020-03-20,12.4125
2020-03-21,12.4125
2020-03-22,12.4125
2020-03-23,12.4125
2020-03-24,12.4125
2020-03-25,12.4125
2020-03-26,12.4125
2020-03-27,12.4125
2020-03-28,12.4125
2020-03-29,12.4125
2020-03-30,12.4125
2020-03-31,1.6451
2020-04-01,1.6451
2020-04-02,1.6451
2020-04-03,1.6451
2020-04-04,1.6451
2020-04-05,1.6451
2020-04-06,1.6451
2020-04-07,1.6451
2020-04-08,1.6451
2020-04-09,1.6451
2020-04-10,1.6451
2020-04-11,1.6451
2020-04-12,1.6451
2020-04-13,1.6451
2020-04-14,1.6451
2020-04-15,1.6451
2020-04-16,1.6451
2020-04-17,1.6451
2020-04-18,1.6451
2020-04-19,1.6451
2020-04-20,1.6451
2020-04-21,1.6451
2020-04-22,1.6451
2020-04-23,1.6451
2020-04-24,1.6451
2020-04-25,1.6451
2020-04-26,1.6451
2020-04-27,1.6451
2020-04-28,1.6451
2020-04-29,1.6451
2020-04-30,1.6451
2020-05-01,1.6451
2020-05-02,1.6451
2020-05-03,1.6451
2020-05-04,1.6451
2020-05-05,1.6451
2020-05-06,1.6451
2020-05-07,1.6451
2020-05-08,1.6451
2020-05-09,1.6451
2020-05-10,1.6451
2020-05-11,1.6451
2020-05-12,1.6451
2020-05-13,1.6451
2020-05-14,1.6451
2020-05-15,1.6451
2020-05-16,1.6451
2020-05-17,1.6451
2020-05-18,1.6451
2020-05-19,1.6451
2020-05-20,1.6451
2020-05-21,1.6451
2020-05-22,1.6451
2020-05-23,1.6451
2020-05-24,1.6451
2020-05-25,1.6451
2020-05-26,1.6451
2020-05-27,1.6451
2020-05-28,1.6451
2020-05-29,1.6451
2020-05-30,1.6451
2020-05-31,1.6451
2020-06-01,1.6451
2020-06-02,1.6451
2020-06-03,1.6451
2020-06-04,1.6451
2020-06-05,1.6451
2020-06-06,1.6451
2020-06-07,1.6451
2020-06-08,1.6451
2020-06-09,1.6451
2020-06-10,1.6451
2020-06-11,1.6451
2020-06-12,1.6451
2020-06-13,1.6451
2020-06-14,1.6451
2020-06-15,1.6451
2020-06-16,1.6451
2020-06-17,1.6451
2020-06-18,1.6451
2020-06-19,1.6451
2020-06-20,1.6451
2020-06-21,1.6451
2020-06-22,1.6451
2020-06-23,1.6451
2020-06-24,1.6451
2020-06-25,1.6451
2020-06-26,1.6451
2020-06-27,1.6451
2020-06-28,1.6451
2020-06-29,1.6451
2020-06-30,-5.2346
2020-07-01,-5.2346
2020-07-02,-5.2346
2020-07-03,-5.2346
2020-07-04,-5.2346
2020-07-05,-5.2346
2020-07-06,-5.2346
2020-07-07,-5.2346
2020-07-08,-5.2346
2020-07-09,-5.2346
2020-07-10,-5.2346
2020-07-11,-5.2346
2020-07-12,-5.2346
2020-07-13,-5.2346
2020-07-14,-5.2346
2020-07-15,-5.2346
2020-07-16,-5.2346
2020-07-17,-5.2346
2020-07-18,-5.2346
2020-07-19,-5.2346
2020-07-20,-5.2346
2020-07-21,-5.2346
2020-07-22,-5.2346
2020-07-23,-5.2346
2020-07-24,-5.2346
2020-07-25,-5.2346
2020-07-26,-5.2346
2020-07-27,-5.2346
2020-07-28,-5.2346
2020-07-29,-5.2346
2020-07-30,-5.2346
2020-07-31,-5.2346
2020-08-01,-5.2346
2020-08-02,-5.2346
2020-08-03,-5.2346
2020-08-04,-5.2346
2020-08-05,-5.2346
2020-08-06,-5.2346
2020-08-07,-5.2346
2020-08-08,-5.2346
2020-08-09,-5.2346
2020-08-10,-5.2346
2020-08-11,-5.2346
2020-08-12,-5.2346
2020-08-13,-5.2346
2020-08-14,-5.2346
2020-08-15,-5.2346
2020-08-16,-5.2346
2020-08-17,-5.2346
2020-08-18,-5.2346
2020-08-19,-5.2346
2020-08-20,-5.2346
2020-08-21,-5.2346
2020-08-22,-5.2346
2020-08-23,-5.2346
2020-08-24,-5.2346
2020-08-25,-5.2346
2020-08-26,-5.2346
2020-08-27,-5.2346
2020-08-28,-5.2346
2020-08-29,-5.2346
2020-08-30,-5.2346
2020-08-31,-5.2346
2020-09-01,-5.2346
2020-09-02,-5.2346
2020-09-03,-5.2346
2020-09-04,-5.2346
2020-09-05,-5.2346
2020-09-06,-5.2346
2020-09-07,-5.2346
2020-09-08,-5.2346
2020-09-09,-5.2346
2020-09-10,-5.2346
2020-09-11,-5.2346
2020-09-12,-5.2346
2020-09-13,-5.2346
2020-09-14,-5.2346
2020-09-15,-5.2346
2020-09-16,-5.2346
2020-09-17,-5.2346
2020-09-18,-5.2346
2020-09-19,-5.2346
2020-09-20,-5.2346
2020-09-21,-5.2346
2020-09-22,-5.2346
2020-09-23,-5.2346
2020-09-24,-5.2346
2020-09-25,-5.2346
2020-09-26,-5.2346
2020-09-27,-5.2346
2020-09-28,-5.2346
2020-09-29,-5.2346
2020-09-30,-12.1178
2020-10-01,-12.1178
2020-10-02,-12.1178
2020-10-03,-12.1178
2020-10-04,-12.1178
2020-10-05,-12.1178
2020-10-06,-12.1178
2020-10-07,-12.1178
2020-10-08,-12.1178
2020-10-09,-12.1178
2020-10-10,-12.1178
2020-10-11,-12.1178
2020-10-12,-12.1178
2020-10-13,-12.1178
2020-10-14,-12.1178
2020-10-15,-12.1178
2020-10-16,-12.1178
2020-10-17,-12.1178
2020-10-18,-12.1178
2020-10-19,-12.1178
2020-10-20,-12.1178
2020-10-21,-12.1178
2020-10-22,-12.1178
2020-10-23,-12.1178
2020-10-24,-12.1178
2020-10-25,-12.1178
2020-10-26,-12.1178
2020-10-27,-12.1178
2020-10-28,-12.1178
2020-10-29,-12.1178
2020-10-30,-12.1178
2020-10-31,-12.1178
2020-11-01,-12.1178
2020-11-02,-12.1178
2020-11-03,-12.1178
2020-11-04,-12.1178
2020-11-05,-12.1178
2020-11-06,-12.1178
2020-11-07,-12.1178
2020-11-08,-12.1178
2020-11-09,-12.1178
2020-11-10,-12.1178
2020-11-11,-12.1178
2020-11-12,-12.1178
2020-11-13,-12.1178
2020-11-14,-12.1178
2020-11-15,-12.1178
2020-11-16,-12.1178
2020-11-17,-12.1178
2020-11-18,-12.1178
2020-11-19,-12.1178
2020-11-20,-12.1178
2020-11-21,-12.1178
2020-11-22,-12.1178
2020-11-23,-12.1178
2020-11-24,-12.1178
2020-11-25,-12.1178
2020-11-26,-12.1178
2020-11-27,-12.1178
2020-11-28,-12.1178
2020-11-29,-12.1178
2020-11-30,-12.1178
2020-12-01,-12.1178
2020-12-02,-12.1178
2020-12-03,-12.1178
2020-12-04,-12.1178
2020-12-05,-12.1178
2020-12-06,-12.1178
2020-12-07,-12.1178
2020-12-08,-12.1178
2020-12-09,-12.1178
2020-12-10,-12.1178
2020-12-11,-12.1178
2020-12-12,-12.1178
2020-12-13,-12.1178
2020-12-14,-12.1178
2020-12-15,-12.1178
2020-12-16,-12.1178
2020-12-17,-12.1178
2020-12-18,-12.1178
2020-12-19,-12.1178
2020-12-20,-12.1178
2020-12-21,-12.1178
2020-12-22,-12.1178
2020-12-23,-12.1178
2020-12-24,-12.1178
2020-12-25,-12.1178
2020-12-26,-12.1178
2020-12-27,-12.1178
2020-12-28,-12.1178
2020-12-29,-12.1178
2020-12-30,-12.1178
2020-12-31,-18.1164
2021-01-01,-18.1164
2021-01-02,-18.1164
2021-01-03,-18.1164
2021-01-04,-18.1164
2021-01-05,-18.1164
2021-01-06,-18.1164
2021-01-07,-18.1164
2021-01-08,-18.1164
2021-01-09,-18.1164
2021-01-10,-18.1164
2021-01-11,-18.1164
2021-01-12,-18.1164
2021-01-13,-18.1164
2021-01-14,-18.1164
2021-01-15,-18.1164
2021-01-16,-18.1164
2021-01-17,-18.1164
2021-01-18,-18.1164
2021-01-19,-18.1164
2021-01-20,-18.1164
2021-01-21,-18.1164
2021-01-22,-18.1164
2021-01-23,-18.1164
2021-01-24,-18.1164
2021-01-25,-18.1164
2021-01-26,-18.1164
2021-01-27,-18.1164
