,ZTS US Equity
,RETURN_COM_EQY
2020-01-01,61.3121
2020-01-02,61.3121
2020-01-03,61.3121
2020-01-04,61.3121
2020-01-05,61.3121
2020-01-06,61.3121
2020-01-07,61.3121
2020-01-08,61.3121
2020-01-09,61.3121
2020-01-10,61.3121
2020-01-11,61.3121
2020-01-12,61.3121
2020-01-13,61.3121
2020-01-14,61.3121
2020-01-15,61.3121
2020-01-16,61.3121
2020-01-17,61.3121
2020-01-18,61.3121
2020-01-19,61.3121
2020-01-20,61.3121
2020-01-21,61.3121
2020-01-22,61.3121
2020-01-23,61.3121
2020-01-24,61.3121
2020-01-25,61.3121
2020-01-26,61.3121
2020-01-27,61.3121
2020-01-28,61.3121
2020-01-29,61.3121
2020-01-30,61.3121
2020-01-31,61.3121
2020-02-01,61.3121
2020-02-02,61.3121
2020-02-03,61.3121
2020-02-04,61.3121
2020-02-05,61.3121
2020-02-06,61.3121
2020-02-07,61.3121
2020-02-08,61.3121
2020-02-09,61.3121
2020-02-10,61.3121
2020-02-11,61.3121
2020-02-12,61.3121
2020-02-13,61.3121
2020-02-14,61.3121
2020-02-15,61.3121
2020-02-16,61.3121
2020-02-17,61.3121
2020-02-18,61.3121
2020-02-19,61.3121
2020-02-20,61.3121
2020-02-21,61.3121
2020-02-22,61.3121
2020-02-23,61.3121
2020-02-24,61.3121
2020-02-25,61.3121
2020-02-26,61.3121
2020-02-27,61.3121
2020-02-28,61.3121
2020-02-29,61.3121
2020-03-01,61.3121
2020-03-02,61.3121
2020-03-03,61.3121
2020-03-04,61.3121
2020-03-05,61.3121
2020-03-06,61.3121
2020-03-07,61.3121
2020-03-08,61.3121
2020-03-09,61.3121
2020-03-10,61.3121
2020-03-11,61.3121
2020-03-12,61.3121
2020-03-13,61.3121
2020-03-14,61.3121
2020-03-15,61.3121
2020-03-16,61.3121
2020-03-17,61.3121
2020-03-18,61.3121
2020-03-19,61.3121
2020-03-20,61.3121
2020-03-21,61.3121
2020-03-22,61.3121
2020-03-23,61.3121
2020-03-24,61.3121
2020-03-25,61.3121
2020-03-26,61.3121
2020-03-27,61.3121
2020-03-28,61.3121
2020-03-29,61.3121
2020-03-30,61.3121
2020-03-31,63.5503
2020-04-01,63.5503
2020-04-02,63.5503
2020-04-03,63.5503
2020-04-04,63.5503
2020-04-05,63.5503
2020-04-06,63.5503
2020-04-07,63.5503
2020-04-08,63.5503
2020-04-09,63.5503
2020-04-10,63.5503
2020-04-11,63.5503
2020-04-12,63.5503
2020-04-13,63.5503
2020-04-14,63.5503
2020-04-15,63.5503
2020-04-16,63.5503
2020-04-17,63.5503
2020-04-18,63.5503
2020-04-19,63.5503
2020-04-20,63.5503
2020-04-21,63.5503
2020-04-22,63.5503
2020-04-23,63.5503
2020-04-24,63.5503
2020-04-25,63.5503
2020-04-26,63.5503
2020-04-27,63.5503
2020-04-28,63.5503
2020-04-29,63.5503
2020-04-30,63.5503
2020-05-01,63.5503
2020-05-02,63.5503
2020-05-03,63.5503
2020-05-04,63.5503
2020-05-05,63.5503
2020-05-06,63.5503
2020-05-07,63.5503
2020-05-08,63.5503
2020-05-09,63.5503
2020-05-10,63.5503
2020-05-11,63.5503
2020-05-12,63.5503
2020-05-13,63.5503
2020-05-14,63.5503
2020-05-15,63.5503
2020-05-16,63.5503
2020-05-17,63.5503
2020-05-18,63.5503
2020-05-19,63.5503
2020-05-20,63.5503
2020-05-21,63.5503
2020-05-22,63.5503
2020-05-23,63.5503
2020-05-24,63.5503
2020-05-25,63.5503
2020-05-26,63.5503
2020-05-27,63.5503
2020-05-28,63.5503
2020-05-29,63.5503
2020-05-30,63.5503
2020-05-31,63.5503
2020-06-01,63.5503
2020-06-02,63.5503
2020-06-03,63.5503
2020-06-04,63.5503
2020-06-05,63.5503
2020-06-06,63.5503
2020-06-07,63.5503
2020-06-08,63.5503
2020-06-09,63.5503
2020-06-10,63.5503
2020-06-11,63.5503
2020-06-12,63.5503
2020-06-13,63.5503
2020-06-14,63.5503
2020-06-15,63.5503
2020-06-16,63.5503
2020-06-17,63.5503
2020-06-18,63.5503
2020-06-19,63.5503
2020-06-20,63.5503
2020-06-21,63.5503
2020-06-22,63.5503
2020-06-23,63.5503
2020-06-24,63.5503
