,JBLU US Equity
,RETURN_COM_EQY
2020-01-01,11.9992
2020-01-02,11.9992
2020-01-03,11.9992
2020-01-04,11.9992
2020-01-05,11.9992
2020-01-06,11.9992
2020-01-07,11.9992
2020-01-08,11.9992
2020-01-09,11.9992
2020-01-10,11.9992
2020-01-11,11.9992
2020-01-12,11.9992
2020-01-13,11.9992
2020-01-14,11.9992
2020-01-15,11.9992
2020-01-16,11.9992
2020-01-17,11.9992
2020-01-18,11.9992
2020-01-19,11.9992
2020-01-20,11.9992
2020-01-21,11.9992
2020-01-22,11.9992
2020-01-23,11.9992
2020-01-24,11.9992
2020-01-25,11.9992
2020-01-26,11.9992
2020-01-27,11.9992
2020-01-28,11.9992
2020-01-29,11.9992
2020-01-30,11.9992
2020-01-31,11.9992
2020-02-01,11.9992
2020-02-02,11.9992
2020-02-03,11.9992
2020-02-04,11.9992
2020-02-05,11.9992
2020-02-06,11.9992
2020-02-07,11.9992
2020-02-08,11.9992
2020-02-09,11.9992
2020-02-10,11.9992
2020-02-11,11.9992
2020-02-12,11.9992
2020-02-13,11.9992
2020-02-14,11.9992
2020-02-15,11.9992
2020-02-16,11.9992
2020-02-17,11.9992
2020-02-18,11.9992
2020-02-19,11.9992
2020-02-20,11.9992
2020-02-21,11.9992
2020-02-22,11.9992
2020-02-23,11.9992
2020-02-24,11.9992
2020-02-25,11.9992
2020-02-26,11.9992
2020-02-27,11.9992
2020-02-28,11.9992
2020-02-29,11.9992
2020-03-01,11.9992
2020-03-02,11.9992
2020-03-03,11.9992
2020-03-04,11.9992
2020-03-05,11.9992
2020-03-06,11.9992
2020-03-07,11.9992
2020-03-08,11.9992
2020-03-09,11.9992
2020-03-10,11.9992
2020-03-11,11.9992
2020-03-12,11.9992
2020-03-13,11.9992
2020-03-14,11.9992
2020-03-15,11.9992
2020-03-16,11.9992
2020-03-17,11.9992
2020-03-18,11.9992
2020-03-19,11.9992
2020-03-20,11.9992
2020-03-21,11.9992
2020-03-22,11.9992
2020-03-23,11.9992
2020-03-24,11.9992
2020-03-25,11.9992
2020-03-26,11.9992
2020-03-27,11.9992
2020-03-28,11.9992
2020-03-29,11.9992
2020-03-30,11.9992
2020-03-31,5.7729
2020-04-01,5.7729
2020-04-02,5.7729
2020-04-03,5.7729
2020-04-04,5.7729
2020-04-05,5.7729
2020-04-06,5.7729
2020-04-07,5.7729
2020-04-08,5.7729
2020-04-09,5.7729
2020-04-10,5.7729
2020-04-11,5.7729
2020-04-12,5.7729
2020-04-13,5.7729
2020-04-14,5.7729
2020-04-15,5.7729
2020-04-16,5.7729
2020-04-17,5.7729
2020-04-18,5.7729
2020-04-19,5.7729
2020-04-20,5.7729
2020-04-21,5.7729
2020-04-22,5.7729
2020-04-23,5.7729
2020-04-24,5.7729
2020-04-25,5.7729
2020-04-26,5.7729
2020-04-27,5.7729
2020-04-28,5.7729
2020-04-29,5.7729
2020-04-30,5.7729
2020-05-01,5.7729
2020-05-02,5.7729
2020-05-03,5.7729
2020-05-04,5.7729
2020-05-05,5.7729
2020-05-06,5.7729
2020-05-07,5.7729
2020-05-08,5.7729
2020-05-09,5.7729
2020-05-10,5.7729
2020-05-11,5.7729
2020-05-12,5.7729
2020-05-13,5.7729
2020-05-14,5.7729
2020-05-15,5.7729
2020-05-16,5.7729
2020-05-17,5.7729
2020-05-18,5.7729
2020-05-19,5.7729
2020-05-20,5.7729
2020-05-21,5.7729
2020-05-22,5.7729
2020-05-23,5.7729
2020-05-24,5.7729
2020-05-25,5.7729
