,CIR US Equity
,RETURN_COM_EQY
2020-01-01,-29.1033
2020-01-02,-29.1033
2020-01-03,-29.1033
2020-01-04,-29.1033
2020-01-05,-29.1033
2020-01-06,-29.1033
2020-01-07,-29.1033
2020-01-08,-29.1033
2020-01-09,-29.1033
2020-01-10,-29.1033
2020-01-11,-29.1033
2020-01-12,-29.1033
2020-01-13,-29.1033
2020-01-14,-29.1033
2020-01-15,-29.1033
2020-01-16,-29.1033
2020-01-17,-29.1033
2020-01-18,-29.1033
2020-01-19,-29.1033
2020-01-20,-29.1033
2020-01-21,-29.1033
2020-01-22,-29.1033
2020-01-23,-29.1033
2020-01-24,-29.1033
2020-01-25,-29.1033
2020-01-26,-29.1033
2020-01-27,-29.1033
2020-01-28,-29.1033
2020-01-29,-29.1033
2020-01-30,-29.1033
2020-01-31,-29.1033
2020-02-01,-29.1033
2020-02-02,-29.1033
2020-02-03,-29.1033
2020-02-04,-29.1033
2020-02-05,-29.1033
2020-02-06,-29.1033
2020-02-07,-29.1033
2020-02-08,-29.1033
2020-02-09,-29.1033
2020-02-10,-29.1033
2020-02-11,-29.1033
2020-02-12,-29.1033
2020-02-13,-29.1033
2020-02-14,-29.1033
2020-02-15,-29.1033
2020-02-16,-29.1033
2020-02-17,-29.1033
2020-02-18,-29.1033
2020-02-19,-29.1033
2020-02-20,-29.1033
2020-02-21,-29.1033
2020-02-22,-29.1033
2020-02-23,-29.1033
2020-02-24,-29.1033
2020-02-25,-29.1033
2020-02-26,-29.1033
2020-02-27,-29.1033
2020-02-28,-29.1033
2020-02-29,-29.1033
2020-03-01,-29.1033
2020-03-02,-29.1033
2020-03-03,-29.1033
2020-03-04,-29.1033
2020-03-05,-29.1033
2020-03-06,-29.1033
2020-03-07,-29.1033
2020-03-08,-29.1033
2020-03-09,-29.1033
2020-03-10,-29.1033
2020-03-11,-29.1033
2020-03-12,-29.1033
2020-03-13,-29.1033
2020-03-14,-29.1033
2020-03-15,-29.1033
2020-03-16,-29.1033
2020-03-17,-29.1033
2020-03-18,-29.1033
2020-03-19,-29.1033
2020-03-20,-29.1033
2020-03-21,-29.1033
2020-03-22,-29.1033
2020-03-23,-29.1033
2020-03-24,-29.1033
2020-03-25,-29.1033
2020-03-26,-29.1033
2020-03-27,-29.1033
2020-03-28,-29.1033
2020-03-29,-51.6092
2020-03-30,-51.6092
2020-03-31,-51.6092
2020-04-01,-51.6092
2020-04-02,-51.6092
2020-04-03,-51.6092
2020-04-04,-51.6092
2020-04-05,-51.6092
2020-04-06,-51.6092
2020-04-07,-51.6092
2020-04-08,-51.6092
2020-04-09,-51.6092
2020-04-10,-51.6092
2020-04-11,-51.6092
2020-04-12,-51.6092
2020-04-13,-51.6092
2020-04-14,-51.6092
2020-04-15,-51.6092
2020-04-16,-51.6092
2020-04-17,-51.6092
2020-04-18,-51.6092
2020-04-19,-51.6092
2020-04-20,-51.6092
2020-04-21,-51.6092
2020-04-22,-51.6092
2020-04-23,-51.6092
2020-04-24,-51.6092
2020-04-25,-51.6092
2020-04-26,-51.6092
2020-04-27,-51.6092
2020-04-28,-51.6092
2020-04-29,-51.6092
2020-04-30,-51.6092
2020-05-01,-51.6092
2020-05-02,-51.6092
2020-05-03,-51.6092
2020-05-04,-51.6092
2020-05-05,-51.6092
2020-05-06,-51.6092
2020-05-07,-51.6092
2020-05-08,-51.6092
2020-05-09,-51.6092
2020-05-10,-51.6092
2020-05-11,-51.6092
2020-05-12,-51.6092
2020-05-13,-51.6092
2020-05-14,-51.6092
2020-05-15,-51.6092
2020-05-16,-51.6092
2020-05-17,-51.6092
2020-05-18,-51.6092
2020-05-19,-51.6092
2020-05-20,-51.6092
2020-05-21,-51.6092
2020-05-22,-51.6092
2020-05-23,-51.6092
2020-05-24,-51.6092
2020-05-25,-51.6092
2020-05-26,-51.6092
2020-05-27,-51.6092
2020-05-28,-51.6092
2020-05-29,-51.6092
2020-05-30,-51.6092
2020-05-31,-51.6092
2020-06-01,-51.6092
2020-06-02,-51.6092
2020-06-03,-51.6092
2020-06-04,-51.6092
2020-06-05,-51.6092
2020-06-06,-51.6092
2020-06-07,-51.6092
2020-06-08,-51.6092
2020-06-09,-51.6092
2020-06-10,-51.6092
2020-06-11,-51.6092
2020-06-12,-51.6092
2020-06-13,-51.6092
2020-06-14,-51.6092
2020-06-15,-51.6092
2020-06-16,-51.6092
2020-06-17,-51.6092
2020-06-18,-51.6092
2020-06-19,-51.6092
2020-06-20,-51.6092
2020-06-21,-51.6092
2020-06-22,-51.6092
2020-06-23,-51.6092
2020-06-24,-51.6092
2020-06-25,-51.6092
2020-06-26,-51.6092
2020-06-27,-51.6092
2020-06-28,-58.2678
2020-06-29,-58.2678
2020-06-30,-58.2678
2020-07-01,-58.2678
2020-07-02,-58.2678
2020-07-03,-58.2678
2020-07-04,-58.2678
2020-07-05,-58.2678
2020-07-06,-58.2678
2020-07-07,-58.2678
2020-07-08,-58.2678
2020-07-09,-58.2678
2020-07-10,-58.2678
2020-07-11,-58.2678
2020-07-12,-58.2678
2020-07-13,-58.2678
2020-07-14,-58.2678
2020-07-15,-58.2678
2020-07-16,-58.2678
2020-07-17,-58.2678
2020-07-18,-58.2678
2020-07-19,-58.2678
2020-07-20,-58.2678
2020-07-21,-58.2678
2020-07-22,-58.2678
2020-07-23,-58.2678
2020-07-24,-58.2678
2020-07-25,-58.2678
2020-07-26,-58.2678
2020-07-27,-58.2678
2020-07-28,-58.2678
2020-07-29,-58.2678
2020-07-30,-58.2678
2020-07-31,-58.2678
2020-08-01,-58.2678
2020-08-02,-58.2678
2020-08-03,-58.2678
2020-08-04,-58.2678
2020-08-05,-58.2678
2020-08-06,-58.2678
2020-08-07,-58.2678
2020-08-08,-58.2678
2020-08-09,-58.2678
2020-08-10,-58.2678
2020-08-11,-58.2678
2020-08-12,-58.2678
2020-08-13,-58.2678
2020-08-14,-58.2678
2020-08-15,-58.2678
2020-08-16,-58.2678
2020-08-17,-58.2678
2020-08-18,-58.2678
2020-08-19,-58.2678
2020-08-20,-58.2678
2020-08-21,-58.2678
2020-08-22,-58.2678
2020-08-23,-58.2678
2020-08-24,-58.2678
2020-08-25,-58.2678
2020-08-26,-58.2678
2020-08-27,-58.2678
2020-08-28,-58.2678
2020-08-29,-58.2678
2020-08-30,-58.2678
2020-08-31,-58.2678
2020-09-01,-58.2678
2020-09-02,-58.2678
2020-09-03,-58.2678
2020-09-04,-58.2678
2020-09-05,-58.2678
2020-09-06,-58.2678
2020-09-07,-58.2678
2020-09-08,-58.2678
2020-09-09,-58.2678
2020-09-10,-58.2678
2020-09-11,-58.2678
2020-09-12,-58.2678
2020-09-13,-58.2678
2020-09-14,-58.2678
2020-09-15,-58.2678
