,PDCO US Equity
,RETURN_COM_EQY
2020-08-04,-50.4961
2020-08-05,-50.4961
2020-08-06,-50.4961
2020-08-07,-50.4961
2020-08-08,-50.4961
2020-08-09,-50.4961
2020-08-10,-50.4961
2020-08-11,-50.4961
2020-08-12,-50.4961
2020-08-13,-50.4961
2020-08-14,-50.4961
2020-08-15,-50.4961
2020-08-16,-50.4961
2020-08-17,-50.4961
2020-08-18,-50.4961
2020-08-19,-50.4961
2020-08-20,-50.4961
2020-08-21,-50.4961
2020-08-22,-50.4961
2020-08-23,-50.4961
2020-08-24,-50.4961
2020-08-25,-50.4961
2020-08-26,-50.4961
2020-08-27,-50.4961
2020-08-28,-50.4961
2020-08-29,-50.4961
2020-08-30,-50.4961
2020-08-31,-50.4961
2020-09-01,-50.4961
2020-09-02,-50.4961
2020-09-03,-50.4961
2020-09-04,-50.4961
2020-09-05,-50.4961
2020-09-06,-50.4961
2020-09-07,-50.4961
2020-09-08,-50.4961
2020-09-09,-50.4961
2020-09-10,-50.4961
2020-09-11,-50.4961
2020-09-12,-50.4961
2020-09-13,-50.4961
2020-09-14,-50.4961
2020-09-15,-50.4961
2020-09-16,-50.4961
2020-09-17,-50.4961
2020-09-18,-50.4961
2020-09-19,-50.4961
2020-09-20,-50.4961
2020-09-21,-50.4961
2020-09-22,-50.4961
2020-09-23,-50.4961
2020-09-24,-50.4961
2020-09-25,-50.4961
2020-09-26,-50.4961
2020-09-27,-50.4961
2020-09-28,-50.4961
2020-09-29,-50.4961
2020-09-30,-50.4961
2020-10-01,-50.4961
2020-10-02,-50.4961
2020-10-03,-50.4961
2020-10-04,-50.4961
2020-10-05,-50.4961
2020-10-06,-50.4961
2020-10-07,-50.4961
2020-10-08,-50.4961
2020-10-09,-50.4961
2020-10-10,-50.4961
2020-10-11,-50.4961
2020-10-12,-50.4961
2020-10-13,-50.4961
2020-10-14,-50.4961
2020-10-15,-50.4961
2020-10-16,-50.4961
2020-10-17,-50.4961
2020-10-18,-50.4961
2020-10-19,-50.4961
2020-10-20,-50.4961
2020-10-21,-50.4961
2020-10-22,-50.4961
2020-10-23,-50.4961
2020-10-24,-43.201
2020-10-25,-43.201
2020-10-26,-43.201
2020-10-27,-43.201
2020-10-28,-43.201
2020-10-29,-43.201
2020-10-30,-43.201
2020-10-31,-43.201
2020-11-01,-43.201
2020-11-02,-43.201
2020-11-03,-43.201
2020-11-04,-43.201
2020-11-05,-43.201
2020-11-06,-43.201
2020-11-07,-43.201
2020-11-08,-43.201
2020-11-09,-43.201
2020-11-10,-43.201
2020-11-11,-43.201
2020-11-12,-43.201
2020-11-13,-43.201
2020-11-14,-43.201
2020-11-15,-43.201
2020-11-16,-43.201
2020-11-17,-43.201
2020-11-18,-43.201
2020-11-19,-43.201
2020-11-20,-43.201
2020-11-21,-43.201
2020-11-22,-43.201
2020-11-23,-43.201
2020-11-24,-43.201
2020-11-25,-43.201
2020-11-26,-43.201
2020-11-27,-43.201
2020-11-28,-43.201
2020-11-29,-43.201
2020-11-30,-43.201
2020-12-01,-43.201
2020-12-02,-43.201
2020-12-03,-43.201
2020-12-04,-43.201
2020-12-05,-43.201
2020-12-06,-43.201
2020-12-07,-43.201
2020-12-08,-43.201
2020-12-09,-43.201
2020-12-10,-43.201
2020-12-11,-43.201
2020-12-12,-43.201
2020-12-13,-43.201
2020-12-14,-43.201
2020-12-15,-43.201
2020-12-16,-43.201
2020-12-17,-43.201
2020-12-18,-43.201
2020-12-19,-43.201
2020-12-20,-43.201
2020-12-21,-43.201
2020-12-22,-43.201
2020-12-23,-43.201
2020-12-24,-43.201
2020-12-25,-43.201
2020-12-26,-43.201
2020-12-27,-43.201
2020-12-28,-43.201
2020-12-29,-43.201
2020-12-30,-43.201
2020-12-31,-43.201
2021-01-01,-43.201
2021-01-02,-43.201
2021-01-03,-43.201
2021-01-04,-43.201
2021-01-05,-43.201
2021-01-06,-43.201
2021-01-07,-43.201
2021-01-08,-43.201
2021-01-09,-43.201
2021-01-10,-43.201
2021-01-11,-43.201
2021-01-12,-43.201
2021-01-13,-43.201
2021-01-14,-43.201
2021-01-15,-43.201
2021-01-16,-43.201
2021-01-17,-43.201
2021-01-18,-43.201
2021-01-19,-43.201
2021-01-20,-43.201
2021-01-21,-43.201
2021-01-22,-43.201
2021-01-23,-40.0743
2021-01-24,-40.0743
2021-01-25,-40.0743
2021-01-26,-40.0743
2021-01-27,-40.0743
2021-01-28,-40.0743
2021-01-29,-40.0743
2021-01-30,-40.0743
2021-01-31,-40.0743
2021-02-01,-40.0743
2021-02-02,-40.0743
2021-02-03,-40.0743
2021-02-04,-40.0743
2021-02-05,-40.0743
2021-02-06,-40.0743
2021-02-07,-40.0743
2021-02-08,-40.0743
2021-02-09,-40.0743
2021-02-10,-40.0743
2021-02-11,-40.0743
2021-02-12,-40.0743
2021-02-13,-40.0743
2021-02-14,-40.0743
2021-02-15,-40.0743
2021-02-16,-40.0743
2021-02-17,-40.0743
2021-02-18,-40.0743
2021-02-19,-40.0743
2021-02-20,-40.0743
2021-02-21,-40.0743
2021-02-22,-40.0743
2021-02-23,-40.0743
2021-02-24,-40.0743
2021-02-25,-40.0743
2021-02-26,-40.0743
2021-02-27,-40.0743
2021-02-28,-40.0743
2021-03-01,-40.0743
2021-03-02,-40.0743
2021-03-03,-40.0743
2021-03-04,-40.0743
2021-03-05,-40.0743
2021-03-06,-40.0743
2021-03-07,-40.0743
2021-03-08,-40.0743
2021-03-09,-40.0743
2021-03-10,-40.0743
2021-03-11,-40.0743
2021-03-12,-40.0743
2021-03-13,-40.0743
2021-03-14,-40.0743
2021-03-15,-40.0743
2021-03-16,-40.0743
2021-03-17,-40.0743
2021-03-18,-40.0743
2021-03-19,-40.0743
2021-03-20,-40.0743
2021-03-21,-40.0743
2021-03-22,-40.0743
2021-03-23,-40.0743
2021-03-24,-40.0743
2021-03-25,-40.0743
2021-03-26,-40.0743
2021-03-27,-40.0743
2021-03-28,-40.0743
2021-03-29,-40.0743
2021-03-30,-40.0743
2021-03-31,-40.0743
2021-04-01,-40.0743
2021-04-02,-40.0743
2021-04-03,-40.0743
2021-04-04,-40.0743
2021-04-05,-40.0743
2021-04-06,-40.0743
2021-04-07,-40.0743
2021-04-08,-40.0743
2021-04-09,-40.0743
2021-04-10,-40.0743
2021-04-11,-40.0743
2021-04-12,-40.0743
2021-04-13,-40.0743
2021-04-14,-40.0743
2021-04-15,-40.0743
2021-04-16,-40.0743
2021-04-17,-40.0743
2021-04-18,-40.0743
2021-04-19,-40.0743
2021-04-20,-40.0743
2021-04-21,-40.0743
2021-04-22,-40.0743
2021-04-23,-40.0743
2021-04-24,17.3569
2021-04-25,17.3569
2021-04-26,17.3569
2021-04-27,17.3569
2021-04-28,17.3569
2021-04-29,17.3569
2021-04-30,17.3569
2021-05-01,17.3569
2021-05-02,17.3569
2021-05-03,17.3569
2021-05-04,17.3569
2021-05-05,17.3569
2021-05-06,17.3569
2021-05-07,17.3569
2021-05-08,17.3569
2021-05-09,17.3569
2021-05-10,17.3569
2021-05-11,17.3569
2021-05-12,17.3569
2021-05-13,17.3569
2021-05-14,17.3569
2021-05-15,17.3569
2021-05-16,17.3569
2021-05-17,17.3569
2021-05-18,17.3569
2021-05-19,17.3569
2021-05-20,17.3569
2021-05-21,17.3569
2021-05-22,17.3569
2021-05-23,17.3569
2021-05-24,17.3569
2021-05-25,17.3569
2021-05-26,17.3569
2021-05-27,17.3569
2021-05-28,17.3569
2021-05-29,17.3569
2021-05-30,17.3569
2021-05-31,17.3569
2021-06-01,17.3569
2021-06-02,17.3569
2021-06-03,17.3569
2021-06-04,17.3569
2021-06-05,17.3569
2021-06-06,17.3569
2021-06-07,17.3569
2021-06-08,17.3569
2021-06-09,17.3569
2021-06-10,17.3569
2021-06-11,17.3569
2021-06-12,17.3569
2021-06-13,17.3569
2021-06-14,17.3569
2021-06-15,17.3569
2021-06-16,17.3569
2021-06-17,17.3569
2021-06-18,17.3569
2021-06-19,17.3569
2021-06-20,17.3569
2021-06-21,17.3569
2021-06-22,17.3569
2021-06-23,17.3569
2021-06-24,17.3569
2021-06-25,17.3569
2021-06-26,17.3569
2021-06-27,17.3569
2021-06-28,17.3569
2021-06-29,17.3569
2021-06-30,17.3569
2021-07-01,17.3569
2021-07-02,17.3569
2021-07-03,17.3569
2021-07-04,17.3569
2021-07-05,17.3569
2021-07-06,17.3569
2021-07-07,17.3569
2021-07-08,17.3569
2021-07-09,17.3569
2021-07-10,17.3569
2021-07-11,17.3569
2021-07-12,17.3569
2021-07-13,17.3569
2021-07-14,17.3569
2021-07-15,17.3569
2021-07-16,17.3569
2021-07-17,17.3569
2021-07-18,17.3569
2021-07-19,17.3569
2021-07-20,17.3569
2021-07-21,17.3569
2021-07-22,17.3569
2021-07-23,17.3569
2021-07-24,17.3569
2021-07-25,17.3569
2021-07-26,17.3569
2021-07-27,17.3569
2021-07-28,17.3569
2021-07-29,17.3569
2021-07-30,17.3569
2021-07-31,18.0757
2021-08-01,18.0757
2021-08-02,18.0757
2021-08-03,18.0757
2021-08-04,18.0757
2021-08-05,18.0757
2021-08-06,18.0757
2021-08-07,18.0757
