,CAKE US Equity
,RETURN_COM_EQY
2020-01-01,22.2774
2020-01-02,22.2774
2020-01-03,22.2774
2020-01-04,22.2774
2020-01-05,22.2774
2020-01-06,22.2774
2020-01-07,22.2774
2020-01-08,22.2774
2020-01-09,22.2774
2020-01-10,22.2774
2020-01-11,22.2774
2020-01-12,22.2774
2020-01-13,22.2774
2020-01-14,22.2774
2020-01-15,22.2774
2020-01-16,22.2774
2020-01-17,22.2774
2020-01-18,22.2774
2020-01-19,22.2774
2020-01-20,22.2774
2020-01-21,22.2774
2020-01-22,22.2774
2020-01-23,22.2774
2020-01-24,22.2774
2020-01-25,22.2774
2020-01-26,22.2774
2020-01-27,22.2774
2020-01-28,22.2774
2020-01-29,22.2774
2020-01-30,22.2774
2020-01-31,22.2774
2020-02-01,22.2774
2020-02-02,22.2774
2020-02-03,22.2774
2020-02-04,22.2774
2020-02-05,22.2774
2020-02-06,22.2774
2020-02-07,22.2774
2020-02-08,22.2774
2020-02-09,22.2774
2020-02-10,22.2774
2020-02-11,22.2774
2020-02-12,22.2774
2020-02-13,22.2774
2020-02-14,22.2774
2020-02-15,22.2774
2020-02-16,22.2774
2020-02-17,22.2774
2020-02-18,22.2774
2020-02-19,22.2774
2020-02-20,22.2774
2020-02-21,22.2774
2020-02-22,22.2774
2020-02-23,22.2774
2020-02-24,22.2774
2020-02-25,22.2774
2020-02-26,22.2774
2020-02-27,22.2774
2020-02-28,22.2774
2020-02-29,22.2774
2020-03-01,22.2774
2020-03-02,22.2774
2020-03-03,22.2774
2020-03-04,22.2774
2020-03-05,22.2774
2020-03-06,22.2774
2020-03-07,22.2774
2020-03-08,22.2774
2020-03-09,22.2774
2020-03-10,22.2774
2020-03-11,22.2774
2020-03-12,22.2774
2020-03-13,22.2774
2020-03-14,22.2774
2020-03-15,22.2774
2020-03-16,22.2774
2020-03-17,22.2774
2020-03-18,22.2774
2020-03-19,22.2774
2020-03-20,22.2774
2020-03-21,22.2774
2020-03-22,22.2774
2020-03-23,22.2774
2020-03-24,22.2774
2020-03-25,22.2774
2020-03-26,22.2774
2020-03-27,22.2774
2020-03-28,22.2774
2020-03-29,22.2774
2020-03-30,22.2774
2020-03-31,-7.4601
2020-04-01,-7.4601
2020-04-02,-7.4601
2020-04-03,-7.4601
2020-04-04,-7.4601
2020-04-05,-7.4601
2020-04-06,-7.4601
2020-04-07,-7.4601
2020-04-08,-7.4601
2020-04-09,-7.4601
2020-04-10,-7.4601
2020-04-11,-7.4601
2020-04-12,-7.4601
2020-04-13,-7.4601
2020-04-14,-7.4601
2020-04-15,-7.4601
2020-04-16,-7.4601
2020-04-17,-7.4601
2020-04-18,-7.4601
2020-04-19,-7.4601
2020-04-20,-7.4601
2020-04-21,-7.4601
2020-04-22,-7.4601
2020-04-23,-7.4601
2020-04-24,-7.4601
2020-04-25,-7.4601
2020-04-26,-7.4601
2020-04-27,-7.4601
2020-04-28,-7.4601
2020-04-29,-7.4601
2020-04-30,-7.4601
2020-05-01,-7.4601
2020-05-02,-7.4601
2020-05-03,-7.4601
2020-05-04,-7.4601
2020-05-05,-7.4601
2020-05-06,-7.4601
2020-05-07,-7.4601
2020-05-08,-7.4601
2020-05-09,-7.4601
2020-05-10,-7.4601
2020-05-11,-7.4601
2020-05-12,-7.4601
2020-05-13,-7.4601
2020-05-14,-7.4601
2020-05-15,-7.4601
2020-05-16,-7.4601
2020-05-17,-7.4601
2020-05-18,-7.4601
2020-05-19,-7.4601
2020-05-20,-7.4601
2020-05-21,-7.4601
2020-05-22,-7.4601
2020-05-23,-7.4601
2020-05-24,-7.4601
2020-05-25,-7.4601
2020-05-26,-7.4601
2020-05-27,-7.4601
2020-05-28,-7.4601
2020-05-29,-7.4601
2020-05-30,-7.4601
2020-05-31,-7.4601
2020-06-01,-7.4601
2020-06-02,-7.4601
2020-06-03,-7.4601
2020-06-04,-7.4601
2020-06-05,-7.4601
2020-06-06,-7.4601
2020-06-07,-7.4601
2020-06-08,-7.4601
2020-06-09,-7.4601
2020-06-10,-7.4601
2020-06-11,-7.4601
2020-06-12,-7.4601
2020-06-13,-7.4601
2020-06-14,-7.4601
2020-06-15,-7.4601
2020-06-16,-7.4601
2020-06-17,-7.4601
2020-06-18,-7.4601
2020-06-19,-7.4601
2020-06-20,-7.4601
2020-06-21,-7.4601
2020-06-22,-7.4601
2020-06-23,-7.4601
2020-06-24,-7.4601
2020-06-25,-7.4601
2020-06-26,-7.4601
2020-06-27,-7.4601
2020-06-28,-7.4601
2020-06-29,-7.4601
2020-06-30,-31.7984
2020-07-01,-31.7984
2020-07-02,-31.7984
2020-07-03,-31.7984
2020-07-04,-31.7984
2020-07-05,-31.7984
2020-07-06,-31.7984
2020-07-07,-31.7984
2020-07-08,-31.7984
2020-07-09,-31.7984
2020-07-10,-31.7984
2020-07-11,-31.7984
2020-07-12,-31.7984
2020-07-13,-31.7984
2020-07-14,-31.7984
2020-07-15,-31.7984
2020-07-16,-31.7984
2020-07-17,-31.7984
2020-07-18,-31.7984
2020-07-19,-31.7984
2020-07-20,-31.7984
2020-07-21,-31.7984
2020-07-22,-31.7984
2020-07-23,-31.7984
2020-07-24,-31.7984
2020-07-25,-31.7984
2020-07-26,-31.7984
2020-07-27,-31.7984
2020-07-28,-31.7984
2020-07-29,-31.7984
2020-07-30,-31.7984
2020-07-31,-31.7984
2020-08-01,-31.7984
2020-08-02,-31.7984
2020-08-03,-31.7984
2020-08-04,-31.7984
2020-08-05,-31.7984
2020-08-06,-31.7984
2020-08-07,-31.7984
2020-08-08,-31.7984
2020-08-09,-31.7984
2020-08-10,-31.7984
2020-08-11,-31.7984
2020-08-12,-31.7984
2020-08-13,-31.7984
2020-08-14,-31.7984
2020-08-15,-31.7984
2020-08-16,-31.7984
2020-08-17,-31.7984
2020-08-18,-31.7984
2020-08-19,-31.7984
2020-08-20,-31.7984
2020-08-21,-31.7984
2020-08-22,-31.7984
2020-08-23,-31.7984
2020-08-24,-31.7984
2020-08-25,-31.7984
2020-08-26,-31.7984
2020-08-27,-31.7984
2020-08-28,-31.7984
2020-08-29,-31.7984
2020-08-30,-31.7984
2020-08-31,-31.7984
2020-09-01,-31.7984
2020-09-02,-31.7984
2020-09-03,-31.7984
2020-09-04,-31.7984
2020-09-05,-31.7984
2020-09-06,-31.7984
2020-09-07,-31.7984
2020-09-08,-31.7984
2020-09-09,-31.7984
2020-09-10,-31.7984
2020-09-11,-31.7984
2020-09-12,-31.7984
2020-09-13,-31.7984
2020-09-14,-31.7984
2020-09-15,-31.7984
2020-09-16,-31.7984
2020-09-17,-31.7984
2020-09-18,-31.7984
2020-09-19,-31.7984
2020-09-20,-31.7984
2020-09-21,-31.7984
2020-09-22,-31.7984
2020-09-23,-31.7984
2020-09-24,-31.7984
2020-09-25,-31.7984
2020-09-26,-31.7984
2020-09-27,-31.7984
2020-09-28,-31.7984
2020-09-29,-44.6513
2020-09-30,-44.6513
2020-10-01,-44.6513
2020-10-02,-44.6513
2020-10-03,-44.6513
2020-10-04,-44.6513
2020-10-05,-44.6513
2020-10-06,-44.6513
2020-10-07,-44.6513
2020-10-08,-44.6513
2020-10-09,-44.6513
2020-10-10,-44.6513
2020-10-11,-44.6513
2020-10-12,-44.6513
2020-10-13,-44.6513
2020-10-14,-44.6513
2020-10-15,-44.6513
2020-10-16,-44.6513
2020-10-17,-44.6513
2020-10-18,-44.6513
2020-10-19,-44.6513
2020-10-20,-44.6513
2020-10-21,-44.6513
2020-10-22,-44.6513
2020-10-23,-44.6513
2020-10-24,-44.6513
2020-10-25,-44.6513
2020-10-26,-44.6513
2020-10-27,-44.6513
2020-10-28,-44.6513
2020-10-29,-44.6513
2020-10-30,-44.6513
2020-10-31,-44.6513
2020-11-01,-44.6513
2020-11-02,-44.6513
2020-11-03,-44.6513
2020-11-04,-44.6513
2020-11-05,-44.6513
2020-11-06,-44.6513
2020-11-07,-44.6513
2020-11-08,-44.6513
2020-11-09,-44.6513
2020-11-10,-44.6513
2020-11-11,-44.6513
2020-11-12,-44.6513
2020-11-13,-44.6513
2020-11-14,-44.6513
2020-11-15,-44.6513
2020-11-16,-44.6513
2020-11-17,-44.6513
2020-11-18,-44.6513
2020-11-19,-44.6513
2020-11-20,-44.6513
2020-11-21,-44.6513
2020-11-22,-44.6513
2020-11-23,-44.6513
2020-11-24,-44.6513
2020-11-25,-44.6513
2020-11-26,-44.6513
2020-11-27,-44.6513
2020-11-28,-44.6513
2020-11-29,-44.6513
2020-11-30,-44.6513
2020-12-01,-44.6513
2020-12-02,-44.6513
2020-12-03,-44.6513
2020-12-04,-44.6513
2020-12-05,-44.6513
2020-12-06,-44.6513
2020-12-07,-44.6513
2020-12-08,-44.6513
2020-12-09,-44.6513
2020-12-10,-44.6513
2020-12-11,-44.6513
2020-12-12,-44.6513
2020-12-13,-44.6513
2020-12-14,-44.6513
2020-12-15,-44.6513
2020-12-16,-44.6513
2020-12-17,-44.6513
2020-12-18,-44.6513
2020-12-19,-44.6513
2020-12-20,-44.6513
2020-12-21,-44.6513
2020-12-22,-44.6513
