,LFUS US Equity
,RETURN_COM_EQY
2020-01-01,9.3529
2020-01-02,9.3529
2020-01-03,9.3529
2020-01-04,9.3529
2020-01-05,9.3529
2020-01-06,9.3529
2020-01-07,9.3529
2020-01-08,9.3529
2020-01-09,9.3529
2020-01-10,9.3529
2020-01-11,9.3529
2020-01-12,9.3529
2020-01-13,9.3529
2020-01-14,9.3529
2020-01-15,9.3529
2020-01-16,9.3529
2020-01-17,9.3529
2020-01-18,9.3529
2020-01-19,9.3529
2020-01-20,9.3529
2020-01-21,9.3529
2020-01-22,9.3529
2020-01-23,9.3529
2020-01-24,9.3529
2020-01-25,9.3529
2020-01-26,9.3529
2020-01-27,9.3529
2020-01-28,9.3529
2020-01-29,9.3529
2020-01-30,9.3529
2020-01-31,9.3529
2020-02-01,9.3529
2020-02-02,9.3529
2020-02-03,9.3529
2020-02-04,9.3529
2020-02-05,9.3529
2020-02-06,9.3529
2020-02-07,9.3529
2020-02-08,9.3529
2020-02-09,9.3529
2020-02-10,9.3529
2020-02-11,9.3529
2020-02-12,9.3529
2020-02-13,9.3529
2020-02-14,9.3529
2020-02-15,9.3529
2020-02-16,9.3529
2020-02-17,9.3529
2020-02-18,9.3529
2020-02-19,9.3529
2020-02-20,9.3529
2020-02-21,9.3529
2020-02-22,9.3529
2020-02-23,9.3529
2020-02-24,9.3529
2020-02-25,9.3529
2020-02-26,9.3529
2020-02-27,9.3529
2020-02-28,9.3529
2020-02-29,9.3529
2020-03-01,9.3529
2020-03-02,9.3529
2020-03-03,9.3529
2020-03-04,9.3529
2020-03-05,9.3529
2020-03-06,9.3529
2020-03-07,9.3529
2020-03-08,9.3529
2020-03-09,9.3529
2020-03-10,9.3529
2020-03-11,9.3529
2020-03-12,9.3529
2020-03-13,9.3529
2020-03-14,9.3529
2020-03-15,9.3529
2020-03-16,9.3529
2020-03-17,9.3529
2020-03-18,9.3529
2020-03-19,9.3529
2020-03-20,9.3529
2020-03-21,9.3529
2020-03-22,9.3529
2020-03-23,9.3529
