,MSFT US Equity
,RETURN_COM_EQY
2020-01-01,43.8327
2020-01-02,43.8327
2020-01-03,43.8327
2020-01-04,43.8327
2020-01-05,43.8327
2020-01-06,43.8327
2020-01-07,43.8327
2020-01-08,43.8327
2020-01-09,43.8327
2020-01-10,43.8327
2020-01-11,43.8327
2020-01-12,43.8327
2020-01-13,43.8327
2020-01-14,43.8327
2020-01-15,43.8327
2020-01-16,43.8327
2020-01-17,43.8327
2020-01-18,43.8327
2020-01-19,43.8327
2020-01-20,43.8327
2020-01-21,43.8327
2020-01-22,43.8327
2020-01-23,43.8327
2020-01-24,43.8327
2020-01-25,43.8327
2020-01-26,43.8327
2020-01-27,43.8327
2020-01-28,43.8327
2020-01-29,43.8327
2020-01-30,43.8327
2020-01-31,43.8327
2020-02-01,43.8327
2020-02-02,43.8327
2020-02-03,43.8327
2020-02-04,43.8327
2020-02-05,43.8327
2020-02-06,43.8327
2020-02-07,43.8327
2020-02-08,43.8327
2020-02-09,43.8327
2020-02-10,43.8327
2020-02-11,43.8327
2020-02-12,43.8327
2020-02-13,43.8327
2020-02-14,43.8327
2020-02-15,43.8327
2020-02-16,43.8327
2020-02-17,43.8327
2020-02-18,43.8327
2020-02-19,43.8327
2020-02-20,43.8327
2020-02-21,43.8327
2020-02-22,43.8327
2020-02-23,43.8327
2020-02-24,43.8327
2020-02-25,43.8327
2020-02-26,43.8327
2020-02-27,43.8327
2020-02-28,43.8327
2020-02-29,43.8327
2020-03-01,43.8327
2020-03-02,43.8327
2020-03-03,43.8327
2020-03-04,43.8327
2020-03-05,43.8327
2020-03-06,43.8327
2020-03-07,43.8327
2020-03-08,43.8327
2020-03-09,43.8327
2020-03-10,43.8327
2020-03-11,43.8327
2020-03-12,43.8327
2020-03-13,43.8327
2020-03-14,43.8327
2020-03-15,43.8327
2020-03-16,43.8327
2020-03-17,43.8327
2020-03-18,43.8327
2020-03-19,43.8327
2020-03-20,43.8327
2020-03-21,43.8327
2020-03-22,43.8327
2020-03-23,43.8327
2020-03-24,43.8327
2020-03-25,43.8327
2020-03-26,43.8327
2020-03-27,43.8327
2020-03-28,43.8327
2020-03-29,43.8327
2020-03-30,43.8327
2020-03-31,44.1965
2020-04-01,44.1965
2020-04-02,44.1965
2020-04-03,44.1965
2020-04-04,44.1965
2020-04-05,44.1965
2020-04-06,44.1965
2020-04-07,44.1965
2020-04-08,44.1965
2020-04-09,44.1965
2020-04-10,44.1965
2020-04-11,44.1965
2020-04-12,44.1965
2020-04-13,44.1965
2020-04-14,44.1965
2020-04-15,44.1965
2020-04-16,44.1965
2020-04-17,44.1965
2020-04-18,44.1965
2020-04-19,44.1965
2020-04-20,44.1965
2020-04-21,44.1965
2020-04-22,44.1965
2020-04-23,44.1965
2020-04-24,44.1965
2020-04-25,44.1965
2020-04-26,44.1965
2020-04-27,44.1965
2020-04-28,44.1965
2020-04-29,44.1965
2020-04-30,44.1965
2020-05-01,44.1965
2020-05-02,44.1965
2020-05-03,44.1965
2020-05-04,44.1965
2020-05-05,44.1965
2020-05-06,44.1965
2020-05-07,44.1965
2020-05-08,44.1965
2020-05-09,44.1965
2020-05-10,44.1965
2020-05-11,44.1965
2020-05-12,44.1965
2020-05-13,44.1965
2020-05-14,44.1965
2020-05-15,44.1965
2020-05-16,44.1965
2020-05-17,44.1965
2020-05-18,44.1965
2020-05-19,44.1965
2020-05-20,44.1965
2020-05-21,44.1965
2020-05-22,44.1965
2020-05-23,44.1965
2020-05-24,44.1965
2020-05-25,44.1965
2020-05-26,44.1965
2020-05-27,44.1965
2020-05-28,44.1965
2020-05-29,44.1965
2020-05-30,44.1965
2020-05-31,44.1965
2020-06-01,44.1965
2020-06-02,44.1965
2020-06-03,44.1965
2020-06-04,44.1965
2020-06-05,44.1965
2020-06-06,44.1965
2020-06-07,44.1965
2020-06-08,44.1965
2020-06-09,44.1965
2020-06-10,44.1965
2020-06-11,44.1965
2020-06-12,44.1965
2020-06-13,44.1965
2020-06-14,44.1965
2020-06-15,44.1965
2020-06-16,44.1965
2020-06-17,44.1965
2020-06-18,44.1965
2020-06-19,44.1965
2020-06-20,44.1965
2020-06-21,44.1965
2020-06-22,44.1965
2020-06-23,44.1965
2020-06-24,44.1965
2020-06-25,44.1965
2020-06-26,44.1965
2020-06-27,44.1965
2020-06-28,44.1965
2020-06-29,44.1965
2020-06-30,40.1398
2020-07-01,40.1398
2020-07-02,40.1398
2020-07-03,40.1398
2020-07-04,40.1398
2020-07-05,40.1398
2020-07-06,40.1398
2020-07-07,40.1398
2020-07-08,40.1398
2020-07-09,40.1398
2020-07-10,40.1398
2020-07-11,40.1398
2020-07-12,40.1398
2020-07-13,40.1398
2020-07-14,40.1398
2020-07-15,40.1398
2020-07-16,40.1398
2020-07-17,40.1398
2020-07-18,40.1398
2020-07-19,40.1398
2020-07-20,40.1398
2020-07-21,40.1398
2020-07-22,40.1398
2020-07-23,40.1398
2020-07-24,40.1398
2020-07-25,40.1398
2020-07-26,40.1398
2020-07-27,40.1398
2020-07-28,40.1398
2020-07-29,40.1398
2020-07-30,40.1398
2020-07-31,40.1398
2020-08-01,40.1398
2020-08-02,40.1398
2020-08-03,40.1398
2020-08-04,40.1398
2020-08-05,40.1398
2020-08-06,40.1398
2020-08-07,40.1398
2020-08-08,40.1398
2020-08-09,40.1398
2020-08-10,40.1398
2020-08-11,40.1398
2020-08-12,40.1398
2020-08-13,40.1398
2020-08-14,40.1398
2020-08-15,40.1398
2020-08-16,40.1398
2020-08-17,40.1398
2020-08-18,40.1398
2020-08-19,40.1398
2020-08-20,40.1398
2020-08-21,40.1398
2020-08-22,40.1398
2020-08-23,40.1398
2020-08-24,40.1398
2020-08-25,40.1398
2020-08-26,40.1398
2020-08-27,40.1398
2020-08-28,40.1398
2020-08-29,40.1398
2020-08-30,40.1398
2020-08-31,40.1398
2020-09-01,40.1398
2020-09-02,40.1398
2020-09-03,40.1398
2020-09-04,40.1398
2020-09-05,40.1398
2020-09-06,40.1398
2020-09-07,40.1398
2020-09-08,40.1398
2020-09-09,40.1398
2020-09-10,40.1398
2020-09-11,40.1398
2020-09-12,40.1398
2020-09-13,40.1398
2020-09-14,40.1398
2020-09-15,40.1398
2020-09-16,40.1398
2020-09-17,40.1398
2020-09-18,40.1398
2020-09-19,40.1398
2020-09-20,40.1398
2020-09-21,40.1398
2020-09-22,40.1398
2020-09-23,40.1398
2020-09-24,40.1398
2020-09-25,40.1398
2020-09-26,40.1398
2020-09-27,40.1398
2020-09-28,40.1398
2020-09-29,40.1398
2020-09-30,41.3993
2020-10-01,41.3993
2020-10-02,41.3993
2020-10-03,41.3993
2020-10-04,41.3993
2020-10-05,41.3993
2020-10-06,41.3993
2020-10-07,41.3993
2020-10-08,41.3993
2020-10-09,41.3993
2020-10-10,41.3993
2020-10-11,41.3993
