,LUV US Equity
,RETURN_COM_EQY
2020-01-01,23.3782
2020-01-02,23.3782
2020-01-03,23.3782
2020-01-04,23.3782
2020-01-05,23.3782
2020-01-06,23.3782
2020-01-07,23.3782
2020-01-08,23.3782
2020-01-09,23.3782
2020-01-10,23.3782
2020-01-11,23.3782
2020-01-12,23.3782
2020-01-13,23.3782
2020-01-14,23.3782
2020-01-15,23.3782
2020-01-16,23.3782
2020-01-17,23.3782
2020-01-18,23.3782
2020-01-19,23.3782
2020-01-20,23.3782
2020-01-21,23.3782
2020-01-22,23.3782
2020-01-23,23.3782
2020-01-24,23.3782
2020-01-25,23.3782
2020-01-26,23.3782
2020-01-27,23.3782
2020-01-28,23.3782
2020-01-29,23.3782
2020-01-30,23.3782
2020-01-31,23.3782
2020-02-01,23.3782
2020-02-02,23.3782
2020-02-03,23.3782
2020-02-04,23.3782
2020-02-05,23.3782
2020-02-06,23.3782
2020-02-07,23.3782
2020-02-08,23.3782
2020-02-09,23.3782
2020-02-10,23.3782
2020-02-11,23.3782
2020-02-12,23.3782
2020-02-13,23.3782
2020-02-14,23.3782
2020-02-15,23.3782
2020-02-16,23.3782
2020-02-17,23.3782
2020-02-18,23.3782
2020-02-19,23.3782
2020-02-20,23.3782
2020-02-21,23.3782
2020-02-22,23.3782
2020-02-23,23.3782
2020-02-24,23.3782
2020-02-25,23.3782
2020-02-26,23.3782
2020-02-27,23.3782
2020-02-28,23.3782
2020-02-29,23.3782
2020-03-01,23.3782
2020-03-02,23.3782
2020-03-03,23.3782
2020-03-04,23.3782
2020-03-05,23.3782
2020-03-06,23.3782
2020-03-07,23.3782
2020-03-08,23.3782
2020-03-09,23.3782
2020-03-10,23.3782
2020-03-11,23.3782
2020-03-12,23.3782
2020-03-13,23.3782
2020-03-14,23.3782
2020-03-15,23.3782
2020-03-16,23.3782
2020-03-17,23.3782
2020-03-18,23.3782
2020-03-19,23.3782
2020-03-20,23.3782
2020-03-21,23.3782
2020-03-22,23.3782
2020-03-23,23.3782
2020-03-24,23.3782
2020-03-25,23.3782
2020-03-26,23.3782
2020-03-27,23.3782
2020-03-28,23.3782
2020-03-29,23.3782
2020-03-30,23.3782
2020-03-31,19.294
2020-04-01,19.294
2020-04-02,19.294
2020-04-03,19.294
2020-04-04,19.294
2020-04-05,19.294
2020-04-06,19.294
2020-04-07,19.294
2020-04-08,19.294
2020-04-09,19.294
2020-04-10,19.294
2020-04-11,19.294
2020-04-12,19.294
2020-04-13,19.294
2020-04-14,19.294
2020-04-15,19.294
2020-04-16,19.294
2020-04-17,19.294
2020-04-18,19.294
2020-04-19,19.294
2020-04-20,19.294
2020-04-21,19.294
2020-04-22,19.294
2020-04-23,19.294
2020-04-24,19.294
2020-04-25,19.294
2020-04-26,19.294
2020-04-27,19.294
2020-04-28,19.294
2020-04-29,19.294
2020-04-30,19.294
2020-05-01,19.294
2020-05-02,19.294
2020-05-03,19.294
2020-05-04,19.294
2020-05-05,19.294
2020-05-06,19.294
2020-05-07,19.294
2020-05-08,19.294
2020-05-09,19.294
2020-05-10,19.294
2020-05-11,19.294
2020-05-12,19.294
2020-05-13,19.294
2020-05-14,19.294
2020-05-15,19.294
2020-05-16,19.294
2020-05-17,19.294
2020-05-18,19.294
2020-05-19,19.294
2020-05-20,19.294
2020-05-21,19.294
2020-05-22,19.294
2020-05-23,19.294
2020-05-24,19.294
2020-05-25,19.294
2020-05-26,19.294
2020-05-27,19.294
2020-05-28,19.294
2020-05-29,19.294
2020-05-30,19.294
2020-05-31,19.294
2020-06-01,19.294
2020-06-02,19.294
2020-06-03,19.294
2020-06-04,19.294
2020-06-05,19.294
2020-06-06,19.294
2020-06-07,19.294
2020-06-08,19.294
2020-06-09,19.294
2020-06-10,19.294
2020-06-11,19.294
2020-06-12,19.294
2020-06-13,19.294
2020-06-14,19.294
2020-06-15,19.294
2020-06-16,19.294
2020-06-17,19.294
2020-06-18,19.294
2020-06-19,19.294
2020-06-20,19.294
2020-06-21,19.294
2020-06-22,19.294
2020-06-23,19.294
2020-06-24,19.294
2020-06-25,19.294
2020-06-26,19.294
2020-06-27,19.294
2020-06-28,19.294
2020-06-29,19.294
2020-06-30,1.5756
2020-07-01,1.5756
2020-07-02,1.5756
2020-07-03,1.5756
2020-07-04,1.5756
2020-07-05,1.5756
2020-07-06,1.5756
2020-07-07,1.5756
2020-07-08,1.5756
2020-07-09,1.5756
2020-07-10,1.5756
2020-07-11,1.5756
2020-07-12,1.5756
2020-07-13,1.5756
2020-07-14,1.5756
2020-07-15,1.5756
2020-07-16,1.5756
2020-07-17,1.5756
2020-07-18,1.5756
2020-07-19,1.5756
2020-07-20,1.5756
2020-07-21,1.5756
2020-07-22,1.5756
2020-07-23,1.5756
2020-07-24,1.5756
2020-07-25,1.5756
2020-07-26,1.5756
2020-07-27,1.5756
2020-07-28,1.5756
2020-07-29,1.5756
2020-07-30,1.5756
2020-07-31,1.5756
2020-08-01,1.5756
2020-08-02,1.5756
2020-08-03,1.5756
2020-08-04,1.5756
2020-08-05,1.5756
2020-08-06,1.5756
2020-08-07,1.5756
2020-08-08,1.5756
2020-08-09,1.5756
2020-08-10,1.5756
2020-08-11,1.5756
2020-08-12,1.5756
2020-08-13,1.5756
2020-08-14,1.5756
2020-08-15,1.5756
2020-08-16,1.5756
2020-08-17,1.5756
2020-08-18,1.5756
2020-08-19,1.5756
2020-08-20,1.5756
2020-08-21,1.5756
2020-08-22,1.5756
2020-08-23,1.5756
2020-08-24,1.5756
2020-08-25,1.5756
2020-08-26,1.5756
2020-08-27,1.5756
2020-08-28,1.5756
2020-08-29,1.5756
2020-08-30,1.5756
2020-08-31,1.5756
2020-09-01,1.5756
2020-09-02,1.5756
2020-09-03,1.5756
2020-09-04,1.5756
2020-09-05,1.5756
2020-09-06,1.5756
2020-09-07,1.5756
2020-09-08,1.5756
2020-09-09,1.5756
2020-09-10,1.5756
2020-09-11,1.5756
2020-09-12,1.5756
2020-09-13,1.5756
2020-09-14,1.5756
2020-09-15,1.5756
2020-09-16,1.5756
2020-09-17,1.5756
2020-09-18,1.5756
2020-09-19,1.5756
2020-09-20,1.5756
2020-09-21,1.5756
2020-09-22,1.5756
2020-09-23,1.5756
2020-09-24,1.5756
2020-09-25,1.5756
2020-09-26,1.5756
2020-09-27,1.5756
2020-09-28,1.5756
2020-09-29,1.5756
2020-09-30,-16.7716
2020-10-01,-16.7716
2020-10-02,-16.7716
2020-10-03,-16.7716
2020-10-04,-16.7716
2020-10-05,-16.7716
2020-10-06,-16.7716
2020-10-07,-16.7716
2020-10-08,-16.7716
2020-10-09,-16.7716
2020-10-10,-16.7716
2020-10-11,-16.7716
2020-10-12,-16.7716
2020-10-13,-16.7716
2020-10-14,-16.7716
2020-10-15,-16.7716
2020-10-16,-16.7716
2020-10-17,-16.7716
2020-10-18,-16.7716
2020-10-19,-16.7716
2020-10-20,-16.7716
2020-10-21,-16.7716
2020-10-22,-16.7716
2020-10-23,-16.7716
2020-10-24,-16.7716
2020-10-25,-16.7716
2020-10-26,-16.7716
2020-10-27,-16.7716
2020-10-28,-16.7716
2020-10-29,-16.7716
2020-10-30,-16.7716
2020-10-31,-16.7716
2020-11-01,-16.7716
2020-11-02,-16.7716
2020-11-03,-16.7716
2020-11-04,-16.7716
2020-11-05,-16.7716
2020-11-06,-16.7716
2020-11-07,-16.7716
2020-11-08,-16.7716
2020-11-09,-16.7716
2020-11-10,-16.7716
2020-11-11,-16.7716
2020-11-12,-16.7716
2020-11-13,-16.7716
2020-11-14,-16.7716
2020-11-15,-16.7716
2020-11-16,-16.7716
2020-11-17,-16.7716
2020-11-18,-16.7716
2020-11-19,-16.7716
2020-11-20,-16.7716
2020-11-21,-16.7716
2020-11-22,-16.7716
2020-11-23,-16.7716
2020-11-24,-16.7716
2020-11-25,-16.7716
2020-11-26,-16.7716
2020-11-27,-16.7716
2020-11-28,-16.7716
2020-11-29,-16.7716
2020-11-30,-16.7716
2020-12-01,-16.7716
2020-12-02,-16.7716
2020-12-03,-16.7716
2020-12-04,-16.7716
2020-12-05,-16.7716
2020-12-06,-16.7716
2020-12-07,-16.7716
2020-12-08,-16.7716
2020-12-09,-16.7716
2020-12-10,-16.7716
2020-12-11,-16.7716
2020-12-12,-16.7716
2020-12-13,-16.7716
2020-12-14,-16.7716
2020-12-15,-16.7716
2020-12-16,-16.7716
2020-12-17,-16.7716
2020-12-18,-16.7716
2020-12-19,-16.7716
2020-12-20,-16.7716
2020-12-21,-16.7716
2020-12-22,-16.7716
2020-12-23,-16.7716
2020-12-24,-16.7716
2020-12-25,-16.7716
2020-12-26,-16.7716
2020-12-27,-16.7716
2020-12-28,-16.7716
2020-12-29,-16.7716
2020-12-30,-16.7716
2020-12-31,-32.8629
2021-01-01,-32.8629
2021-01-02,-32.8629
2021-01-03,-32.8629
2021-01-04,-32.8629
2021-01-05,-32.8629
2021-01-06,-32.8629
2021-01-07,-32.8629
2021-01-08,-32.8629
2021-01-09,-32.8629
2021-01-10,-32.8629
2021-01-11,-32.8629
2021-01-12,-32.8629
2021-01-13,-32.8629
2021-01-14,-32.8629
2021-01-15,-32.8629
2021-01-16,-32.8629
2021-01-17,-32.8629
2021-01-18,-32.8629
2021-01-19,-32.8629
2021-01-20,-32.8629
2021-01-21,-32.8629
2021-01-22,-32.8629
2021-01-23,-32.8629
2021-01-24,-32.8629
2021-01-25,-32.8629
2021-01-26,-32.8629
2021-01-27,-32.8629
2021-01-28,-32.8629
2021-01-29,-32.8629
2021-01-30,-32.8629
2021-01-31,-32.8629
2021-02-01,-32.8629
2021-02-02,-32.8629
2021-02-03,-32.8629
2021-02-04,-32.8629
2021-02-05,-32.8629
2021-02-06,-32.8629
2021-02-07,-32.8629
2021-02-08,-32.8629
2021-02-09,-32.8629
2021-02-10,-32.8629
2021-02-11,-32.8629
2021-02-12,-32.8629
2021-02-13,-32.8629
2021-02-14,-32.8629
2021-02-15,-32.8629
2021-02-16,-32.8629
2021-02-17,-32.8629
2021-02-18,-32.8629
2021-02-19,-32.8629
2021-02-20,-32.8629
2021-02-21,-32.8629
2021-02-22,-32.8629
2021-02-23,-32.8629
2021-02-24,-32.8629
2021-02-25,-32.8629
2021-02-26,-32.8629
2021-02-27,-32.8629
2021-02-28,-32.8629
2021-03-01,-32.8629
2021-03-02,-32.8629
2021-03-03,-32.8629
2021-03-04,-32.8629
2021-03-05,-32.8629
2021-03-06,-32.8629
2021-03-07,-32.8629
2021-03-08,-32.8629
2021-03-09,-32.8629
2021-03-10,-32.8629
2021-03-11,-32.8629
2021-03-12,-32.8629
2021-03-13,-32.8629
2021-03-14,-32.8629
2021-03-15,-32.8629
2021-03-16,-32.8629
2021-03-17,-32.8629
2021-03-18,-32.8629
2021-03-19,-32.8629
2021-03-20,-32.8629
2021-03-21,-32.8629
2021-03-22,-32.8629
2021-03-23,-32.8629
2021-03-24,-32.8629
2021-03-25,-32.8629
2021-03-26,-32.8629
2021-03-27,-32.8629
2021-03-28,-32.8629
2021-03-29,-32.8629
2021-03-30,-32.8629
2021-03-31,-31.528
2021-04-01,-31.528
2021-04-02,-31.528
2021-04-03,-31.528
2021-04-04,-31.528
2021-04-05,-31.528
2021-04-06,-31.528
2021-04-07,-31.528
2021-04-08,-31.528
2021-04-09,-31.528
2021-04-10,-31.528
2021-04-11,-31.528
2021-04-12,-31.528
2021-04-13,-31.528
2021-04-14,-31.528
2021-04-15,-31.528
2021-04-16,-31.528
2021-04-17,-31.528
2021-04-18,-31.528
2021-04-19,-31.528
2021-04-20,-31.528
2021-04-21,-31.528
2021-04-22,-31.528
2021-04-23,-31.528
2021-04-24,-31.528
2021-04-25,-31.528
2021-04-26,-31.528
2021-04-27,-31.528
2021-04-28,-31.528
2021-04-29,-31.528
2021-04-30,-31.528
2021-05-01,-31.528
2021-05-02,-31.528
2021-05-03,-31.528
2021-05-04,-31.528
2021-05-05,-31.528
2021-05-06,-31.528
2021-05-07,-31.528
2021-05-08,-31.528
2021-05-09,-31.528
2021-05-10,-31.528
2021-05-11,-31.528
2021-05-12,-31.528
2021-05-13,-31.528
2021-05-14,-31.528
2021-05-15,-31.528
2021-05-16,-31.528
2021-05-17,-31.528
2021-05-18,-31.528
2021-05-19,-31.528
2021-05-20,-31.528
2021-05-21,-31.528
2021-05-22,-31.528
2021-05-23,-31.528
2021-05-24,-31.528
2021-05-25,-31.528
2021-05-26,-31.528
2021-05-27,-31.528
2021-05-28,-31.528
2021-05-29,-31.528
2021-05-30,-31.528
2021-05-31,-31.528
2021-06-01,-31.528
2021-06-02,-31.528
2021-06-03,-31.528
2021-06-04,-31.528
2021-06-05,-31.528
2021-06-06,-31.528
2021-06-07,-31.528
2021-06-08,-31.528
2021-06-09,-31.528
2021-06-10,-31.528
2021-06-11,-31.528
2021-06-12,-31.528
2021-06-13,-31.528
2021-06-14,-31.528
2021-06-15,-31.528
2021-06-16,-31.528
2021-06-17,-31.528
2021-06-18,-31.528
2021-06-19,-31.528
2021-06-20,-31.528
2021-06-21,-31.528
2021-06-22,-31.528
2021-06-23,-31.528
2021-06-24,-31.528
2021-06-25,-31.528
2021-06-26,-31.528
2021-06-27,-31.528
2021-06-28,-31.528
2021-06-29,-31.528
2021-06-30,-15.5694
2021-07-01,-15.5694
2021-07-02,-15.5694
2021-07-03,-15.5694
2021-07-04,-15.5694
2021-07-05,-15.5694
2021-07-06,-15.5694
2021-07-07,-15.5694
2021-07-08,-15.5694
2021-07-09,-15.5694
2021-07-10,-15.5694
2021-07-11,-15.5694
2021-07-12,-15.5694
2021-07-13,-15.5694
2021-07-14,-15.5694
2021-07-15,-15.5694
2021-07-16,-15.5694
2021-07-17,-15.5694
2021-07-18,-15.5694
2021-07-19,-15.5694
2021-07-20,-15.5694
2021-07-21,-15.5694
2021-07-22,-15.5694
2021-07-23,-15.5694
2021-07-24,-15.5694
2021-07-25,-15.5694
2021-07-26,-15.5694
2021-07-27,-15.5694
2021-07-28,-15.5694
2021-07-29,-15.5694
2021-07-30,-15.5694
2021-07-31,-15.5694
2021-08-01,-15.5694
2021-08-02,-15.5694
2021-08-03,-15.5694
2021-08-04,-15.5694
2021-08-05,-15.5694
2021-08-06,-15.5694
2021-08-07,-15.5694
2021-08-08,-15.5694
2021-08-09,-15.5694
2021-08-10,-15.5694
2021-08-11,-15.5694
2021-08-12,-15.5694
2021-08-13,-15.5694
2021-08-14,-15.5694
2021-08-15,-15.5694
2021-08-16,-15.5694
2021-08-17,-15.5694
2021-08-18,-15.5694
2021-08-19,-15.5694
2021-08-20,-15.5694
2021-08-21,-15.5694
2021-08-22,-15.5694
2021-08-23,-15.5694
2021-08-24,-15.5694
2021-08-25,-15.5694
2021-08-26,-15.5694
2021-08-27,-15.5694
2021-08-28,-15.5694
2021-08-29,-15.5694
2021-08-30,-15.5694
2021-08-31,-15.5694
2021-09-01,-15.5694
2021-09-02,-15.5694
2021-09-03,-15.5694
2021-09-04,-15.5694
2021-09-05,-15.5694
2021-09-06,-15.5694
2021-09-07,-15.5694
2021-09-08,-15.5694
2021-09-09,-15.5694
2021-09-10,-15.5694
2021-09-11,-15.5694
2021-09-12,-15.5694
2021-09-13,-15.5694
2021-09-14,-15.5694
2021-09-15,-15.5694
2021-09-16,-15.5694
2021-09-17,-15.5694
2021-09-18,-15.5694
2021-09-19,-15.5694
2021-09-20,-15.5694
2021-09-21,-15.5694
2021-09-22,-15.5694
2021-09-23,-15.5694
2021-09-24,-15.5694
2021-09-25,-15.5694
2021-09-26,-15.5694
2021-09-27,-15.5694
2021-09-28,-15.5694
2021-09-29,-15.5694
2021-09-30,0.02
2021-10-01,0.02
2021-10-02,0.02
2021-10-03,0.02
2021-10-04,0.02
2021-10-05,0.02
2021-10-06,0.02
2021-10-07,0.02
2021-10-08,0.02
2021-10-09,0.02
2021-10-10,0.02
2021-10-11,0.02
2021-10-12,0.02
2021-10-13,0.02
2021-10-14,0.02
2021-10-15,0.02
2021-10-16,0.02
2021-10-17,0.02
2021-10-18,0.02
2021-10-19,0.02
2021-10-20,0.02
2021-10-21,0.02
2021-10-22,0.02
2021-10-23,0.02
2021-10-24,0.02
2021-10-25,0.02
2021-10-26,0.02
2021-10-27,0.02
2021-10-28,0.02
2021-10-29,0.02
2021-10-30,0.02
2021-10-31,0.02
2021-11-01,0.02
2021-11-02,0.02
2021-11-03,0.02
2021-11-04,0.02
2021-11-05,0.02
2021-11-06,0.02
2021-11-07,0.02
2021-11-08,0.02
2021-11-09,0.02
2021-11-10,0.02
2021-11-11,0.02
2021-11-12,0.02
2021-11-13,0.02
2021-11-14,0.02
2021-11-15,0.02
2021-11-16,0.02
2021-11-17,0.02
2021-11-18,0.02
2021-11-19,0.02
2021-11-20,0.02
2021-11-21,0.02
2021-11-22,0.02
2021-11-23,0.02
2021-11-24,0.02
2021-11-25,0.02
2021-11-26,0.02
2021-11-27,0.02
2021-11-28,0.02
2021-11-29,0.02
2021-11-30,0.02
2021-12-01,0.02
2021-12-02,0.02
2021-12-03,0.02
2021-12-04,0.02
2021-12-05,0.02
2021-12-06,0.02
2021-12-07,0.02
2021-12-08,0.02
2021-12-09,0.02
2021-12-10,0.02
2021-12-11,0.02
2021-12-12,0.02
2021-12-13,0.02
2021-12-14,0.02
2021-12-15,0.02
2021-12-16,0.02
2021-12-17,0.02
2021-12-18,0.02
2021-12-19,0.02
2021-12-20,0.02
2021-12-21,0.02
2021-12-22,0.02
2021-12-23,0.02
2021-12-24,0.02
2021-12-25,0.02
2021-12-26,0.02
2021-12-27,0.02
2021-12-28,0.02
2021-12-29,0.02
2021-12-30,0.02
2021-12-31,10.14
2022-01-01,10.14
2022-01-02,10.14
2022-01-03,10.14
2022-01-04,10.14
2022-01-05,10.14
2022-01-06,10.14
2022-01-07,10.14
2022-01-08,10.14
2022-01-09,10.14
2022-01-10,10.14
2022-01-11,10.14
2022-01-12,10.14
2022-01-13,10.14
2022-01-14,10.14
2022-01-15,10.14
2022-01-16,10.14
2022-01-17,10.14
2022-01-18,10.14
2022-01-19,10.14
2022-01-20,10.14
2022-01-21,10.14
2022-01-22,10.14
2022-01-23,10.14
2022-01-24,10.14
2022-01-25,10.14
2022-01-26,10.14
2022-01-27,10.14
2022-01-28,10.14
2022-01-29,10.14
2022-01-30,10.14
2022-01-31,10.14
2022-02-01,10.14
2022-02-02,10.14
2022-02-03,10.14
2022-02-04,10.14
2022-02-05,10.14
2022-02-06,10.14
2022-02-07,10.14
2022-02-08,10.14
2022-02-09,10.14
2022-02-10,10.14
2022-02-11,10.14
2022-02-12,10.14
2022-02-13,10.14
2022-02-14,10.14
2022-02-15,10.14
2022-02-16,10.14
2022-02-17,10.14
2022-02-18,10.14
2022-02-19,10.14
2022-02-20,10.14
2022-02-21,10.14
2022-02-22,10.14
2022-02-23,10.14
2022-02-24,10.14
2022-02-25,10.14
2022-02-26,10.14
2022-02-27,10.14
2022-02-28,10.14
2022-03-01,10.14
2022-03-02,10.14
2022-03-03,10.14
2022-03-04,10.14
2022-03-05,10.14
2022-03-06,10.14
2022-03-07,10.14
2022-03-08,10.14
2022-03-09,10.14
2022-03-10,10.14
2022-03-11,10.14
2022-03-12,10.14
2022-03-13,10.14
