,VMW US Equity
,RETURN_COM_EQY
2020-01-01,78.7564
2020-01-02,78.7564
2020-01-03,78.7564
2020-01-04,78.7564
2020-01-05,78.7564
2020-01-06,78.7564
2020-01-07,78.7564
2020-01-08,78.7564
2020-01-09,78.7564
2020-01-10,78.7564
2020-01-11,78.7564
2020-01-12,78.7564
2020-01-13,78.7564
2020-01-14,78.7564
2020-01-15,78.7564
2020-01-16,78.7564
2020-01-17,78.7564
2020-01-18,78.7564
2020-01-19,78.7564
2020-01-20,78.7564
2020-01-21,78.7564
2020-01-22,78.7564
2020-01-23,78.7564
2020-01-24,78.7564
2020-01-25,78.7564
2020-01-26,78.7564
2020-01-27,78.7564
2020-01-28,78.7564
2020-01-29,78.7564
2020-01-30,78.7564
2020-01-31,144.4895
2020-02-01,144.4895
2020-02-02,144.4895
2020-02-03,144.4895
2020-02-04,144.4895
2020-02-05,144.4895
2020-02-06,144.4895
2020-02-07,144.4895
2020-02-08,144.4895
2020-02-09,144.4895
2020-02-10,144.4895
2020-02-11,144.4895
2020-02-12,144.4895
2020-02-13,144.4895
2020-02-14,144.4895
2020-02-15,144.4895
2020-02-16,144.4895
2020-02-17,144.4895
2020-02-18,144.4895
2020-02-19,144.4895
2020-02-20,144.4895
2020-02-21,144.4895
2020-02-22,144.4895
2020-02-23,144.4895
2020-02-24,144.4895
2020-02-25,144.4895
2020-02-26,144.4895
2020-02-27,144.4895
2020-02-28,144.4895
2020-02-29,144.4895
2020-03-01,144.4895
2020-03-02,144.4895
2020-03-03,144.4895
2020-03-04,144.4895
2020-03-05,144.4895
2020-03-06,144.4895
2020-03-07,144.4895
2020-03-08,144.4895
2020-03-09,144.4895
2020-03-10,144.4895
2020-03-11,144.4895
2020-03-12,144.4895
2020-03-13,144.4895
2020-03-14,144.4895
2020-03-15,144.4895
2020-03-16,144.4895
2020-03-17,144.4895
2020-03-18,144.4895
2020-03-19,144.4895
2020-03-20,144.4895
2020-03-21,144.4895
2020-03-22,144.4895
2020-03-23,144.4895
2020-03-24,144.4895
2020-03-25,144.4895
2020-03-26,144.4895
2020-03-27,144.4895
2020-03-28,144.4895
2020-03-29,144.4895
2020-03-30,144.4895
2020-03-31,144.4895
2020-04-01,144.4895
2020-04-02,144.4895
2020-04-03,144.4895
2020-04-04,144.4895
2020-04-05,144.4895
2020-04-06,144.4895
2020-04-07,144.4895
2020-04-08,144.4895
2020-04-09,144.4895
2020-04-10,144.4895
2020-04-11,144.4895
2020-04-12,144.4895
2020-04-13,144.4895
2020-04-14,144.4895
2020-04-15,144.4895
2020-04-16,144.4895
2020-04-17,144.4895
2020-04-18,144.4895
2020-04-19,144.4895
2020-04-20,144.4895
2020-04-21,144.4895
2020-04-22,144.4895
2020-04-23,144.4895
2020-04-24,144.4895
2020-04-25,144.4895
2020-04-26,144.4895
2020-04-27,144.4895
2020-04-28,144.4895
2020-04-29,144.4895
2020-04-30,144.4895
2020-05-01,160.6459
2020-05-02,160.6459
2020-05-03,160.6459
2020-05-04,160.6459
2020-05-05,160.6459
2020-05-06,160.6459
2020-05-07,160.6459
2020-05-08,160.6459
2020-05-09,160.6459
2020-05-10,160.6459
2020-05-11,160.6459
2020-05-12,160.6459
2020-05-13,160.6459
2020-05-14,160.6459
2020-05-15,160.6459
2020-05-16,160.6459
2020-05-17,160.6459
2020-05-18,160.6459
2020-05-19,160.6459
2020-05-20,160.6459
2020-05-21,160.6459
2020-05-22,160.6459
2020-05-23,160.6459
2020-05-24,160.6459
2020-05-25,160.6459
2020-05-26,160.6459
2020-05-27,160.6459
2020-05-28,160.6459
2020-05-29,160.6459
2020-05-30,160.6459
2020-05-31,160.6459
2020-06-01,160.6459
2020-06-02,160.6459
2020-06-03,160.6459
2020-06-04,160.6459
2020-06-05,160.6459
2020-06-06,160.6459
2020-06-07,160.6459
2020-06-08,160.6459
2020-06-09,160.6459
2020-06-10,160.6459
2020-06-11,160.6459
2020-06-12,160.6459
2020-06-13,160.6459
2020-06-14,160.6459
2020-06-15,160.6459
2020-06-16,160.6459
2020-06-17,160.6459
2020-06-18,160.6459
2020-06-19,160.6459
2020-06-20,160.6459
2020-06-21,160.6459
2020-06-22,160.6459
2020-06-23,160.6459
2020-06-24,160.6459
2020-06-25,160.6459
2020-06-26,160.6459
2020-06-27,160.6459
2020-06-28,160.6459
2020-06-29,160.6459
2020-06-30,160.6459
2020-07-01,160.6459
2020-07-02,160.6459
2020-07-03,160.6459
2020-07-04,160.6459
2020-07-05,160.6459
2020-07-06,160.6459
2020-07-07,160.6459
2020-07-08,160.6459
2020-07-09,160.6459
2020-07-10,160.6459
2020-07-11,160.6459
2020-07-12,160.6459
2020-07-13,160.6459
2020-07-14,160.6459
2020-07-15,160.6459
2020-07-16,160.6459
2020-07-17,160.6459
2020-07-18,160.6459
2020-07-19,160.6459
2020-07-20,160.6459
2020-07-21,160.6459
2020-07-22,160.6459
2020-07-23,160.6459
2020-07-24,160.6459
2020-07-25,160.6459
2020-07-26,160.6459
2020-07-27,160.6459
2020-07-28,160.6459
2020-07-29,160.6459
2020-07-30,160.6459
2020-07-31,23.8212
2020-08-01,23.8212
2020-08-02,23.8212
2020-08-03,23.8212
2020-08-04,23.8212
2020-08-05,23.8212
2020-08-06,23.8212
2020-08-07,23.8212
2020-08-08,23.8212
2020-08-09,23.8212
2020-08-10,23.8212
2020-08-11,23.8212
2020-08-12,23.8212
2020-08-13,23.8212
2020-08-14,23.8212
2020-08-15,23.8212
2020-08-16,23.8212
2020-08-17,23.8212
2020-08-18,23.8212
2020-08-19,23.8212
2020-08-20,23.8212
2020-08-21,23.8212
2020-08-22,23.8212
2020-08-23,23.8212
2020-08-24,23.8212
2020-08-25,23.8212
2020-08-26,23.8212
2020-08-27,23.8212
2020-08-28,23.8212
2020-08-29,23.8212
2020-08-30,23.8212
2020-08-31,23.8212
2020-09-01,23.8212
2020-09-02,23.8212
2020-09-03,23.8212
2020-09-04,23.8212
2020-09-05,23.8212
2020-09-06,23.8212
2020-09-07,23.8212
2020-09-08,23.8212
2020-09-09,23.8212
2020-09-10,23.8212
2020-09-11,23.8212
2020-09-12,23.8212
2020-09-13,23.8212
2020-09-14,23.8212
2020-09-15,23.8212
2020-09-16,23.8212
2020-09-17,23.8212
2020-09-18,23.8212
2020-09-19,23.8212
2020-09-20,23.8212
2020-09-21,23.8212
2020-09-22,23.8212
2020-09-23,23.8212
2020-09-24,23.8212
2020-09-25,23.8212
2020-09-26,23.8212
2020-09-27,23.8212
2020-09-28,23.8212
2020-09-29,23.8212
2020-09-30,23.8212
2020-10-01,23.8212
2020-10-02,23.8212
2020-10-03,23.8212
2020-10-04,23.8212
2020-10-05,23.8212
2020-10-06,23.8212
2020-10-07,23.8212
2020-10-08,23.8212
2020-10-09,23.8212
2020-10-10,23.8212
2020-10-11,23.8212
2020-10-12,23.8212
2020-10-13,23.8212
2020-10-14,23.8212
2020-10-15,23.8212
2020-10-16,23.8212
2020-10-17,23.8212
2020-10-18,23.8212
2020-10-19,23.8212
2020-10-20,23.8212
2020-10-21,23.8212
2020-10-22,23.8212
2020-10-23,23.8212
2020-10-24,23.8212
2020-10-25,23.8212
2020-10-26,23.8212
2020-10-27,23.8212
2020-10-28,23.8212
2020-10-29,23.8212
2020-10-30,22.2253
2020-10-31,22.2253
2020-11-01,22.2253
2020-11-02,22.2253
2020-11-03,22.2253
2020-11-04,22.2253
2020-11-05,22.2253
2020-11-06,22.2253
2020-11-07,22.2253
2020-11-08,22.2253
2020-11-09,22.2253
2020-11-10,22.2253
2020-11-11,22.2253
2020-11-12,22.2253
2020-11-13,22.2253
2020-11-14,22.2253
2020-11-15,22.2253
2020-11-16,22.2253
2020-11-17,22.2253
2020-11-18,22.2253
2020-11-19,22.2253
2020-11-20,22.2253
2020-11-21,22.2253
2020-11-22,22.2253
2020-11-23,22.2253
2020-11-24,22.2253
2020-11-25,22.2253
2020-11-26,22.2253
2020-11-27,22.2253
2020-11-28,22.2253
2020-11-29,22.2253
2020-11-30,22.2253
2020-12-01,22.2253
2020-12-02,22.2253
2020-12-03,22.2253
2020-12-04,22.2253
2020-12-05,22.2253
2020-12-06,22.2253
2020-12-07,22.2253
2020-12-08,22.2253
2020-12-09,22.2253
2020-12-10,22.2253
2020-12-11,22.2253
2020-12-12,22.2253
2020-12-13,22.2253
2020-12-14,22.2253
2020-12-15,22.2253
2020-12-16,22.2253
2020-12-17,22.2253
2020-12-18,22.2253
2020-12-19,22.2253
2020-12-20,22.2253
2020-12-21,22.2253
2020-12-22,22.2253
2020-12-23,22.2253
2020-12-24,22.2253
2020-12-25,22.2253
2020-12-26,22.2253
2020-12-27,22.2253
2020-12-28,22.2253
2020-12-29,22.2253
2020-12-30,22.2253
2020-12-31,22.2253
2021-01-01,22.2253
2021-01-02,22.2253
2021-01-03,22.2253
2021-01-04,22.2253
2021-01-05,22.2253
2021-01-06,22.2253
2021-01-07,22.2253
2021-01-08,22.2253
2021-01-09,22.2253
2021-01-10,22.2253
2021-01-11,22.2253
2021-01-12,22.2253
2021-01-13,22.2253
2021-01-14,22.2253
2021-01-15,22.2253
2021-01-16,22.2253
2021-01-17,22.2253
2021-01-18,22.2253
2021-01-19,22.2253
2021-01-20,22.2253
2021-01-21,22.2253
2021-01-22,22.2253
2021-01-23,22.2253
2021-01-24,22.2253
2021-01-25,22.2253
2021-01-26,22.2253
2021-01-27,22.2253
2021-01-28,22.2253
2021-01-29,25.6289
2021-01-30,25.6289
2021-01-31,25.6289
2021-02-01,25.6289
2021-02-02,25.6289
2021-02-03,25.6289
2021-02-04,25.6289
2021-02-05,25.6289
2021-02-06,25.6289
2021-02-07,25.6289
2021-02-08,25.6289
2021-02-09,25.6289
2021-02-10,25.6289
2021-02-11,25.6289
2021-02-12,25.6289
2021-02-13,25.6289
2021-02-14,25.6289
2021-02-15,25.6289
2021-02-16,25.6289
2021-02-17,25.6289
2021-02-18,25.6289
2021-02-19,25.6289
2021-02-20,25.6289
2021-02-21,25.6289
2021-02-22,25.6289
2021-02-23,25.6289
2021-02-24,25.6289
2021-02-25,25.6289
2021-02-26,25.6289
2021-02-27,25.6289
2021-02-28,25.6289
2021-03-01,25.6289
2021-03-02,25.6289
2021-03-03,25.6289
2021-03-04,25.6289
2021-03-05,25.6289
2021-03-06,25.6289
2021-03-07,25.6289
2021-03-08,25.6289
2021-03-09,25.6289
2021-03-10,25.6289
2021-03-11,25.6289
2021-03-12,25.6289
2021-03-13,25.6289
2021-03-14,25.6289
2021-03-15,25.6289
2021-03-16,25.6289
2021-03-17,25.6289
2021-03-18,25.6289
2021-03-19,25.6289
2021-03-20,25.6289
2021-03-21,25.6289
2021-03-22,25.6289
2021-03-23,25.6289
2021-03-24,25.6289
2021-03-25,25.6289
2021-03-26,25.6289
2021-03-27,25.6289
2021-03-28,25.6289
2021-03-29,25.6289
2021-03-30,25.6289
2021-03-31,25.6289
2021-04-01,25.6289
2021-04-02,25.6289
2021-04-03,25.6289
2021-04-04,25.6289
2021-04-05,25.6289
2021-04-06,25.6289
2021-04-07,25.6289
2021-04-08,25.6289
2021-04-09,25.6289
2021-04-10,25.6289
2021-04-11,25.6289
2021-04-12,25.6289
2021-04-13,25.6289
2021-04-14,25.6289
2021-04-15,25.6289
2021-04-16,25.6289
2021-04-17,25.6289
2021-04-18,25.6289
2021-04-19,25.6289
2021-04-20,25.6289
2021-04-21,25.6289
2021-04-22,25.6289
2021-04-23,25.6289
2021-04-24,25.6289
2021-04-25,25.6289
2021-04-26,25.6289
2021-04-27,25.6289
2021-04-28,25.6289
2021-04-29,25.6289
2021-04-30,24.8445
2021-05-01,24.8445
2021-05-02,24.8445
2021-05-03,24.8445
2021-05-04,24.8445
2021-05-05,24.8445
2021-05-06,24.8445
2021-05-07,24.8445
2021-05-08,24.8445
2021-05-09,24.8445
2021-05-10,24.8445
2021-05-11,24.8445
2021-05-12,24.8445
2021-05-13,24.8445
2021-05-14,24.8445
2021-05-15,24.8445
2021-05-16,24.8445
2021-05-17,24.8445
2021-05-18,24.8445
2021-05-19,24.8445
2021-05-20,24.8445
2021-05-21,24.8445
2021-05-22,24.8445
2021-05-23,24.8445
2021-05-24,24.8445
2021-05-25,24.8445
2021-05-26,24.8445
2021-05-27,24.8445
2021-05-28,24.8445
2021-05-29,24.8445
2021-05-30,24.8445
2021-05-31,24.8445
2021-06-01,24.8445
2021-06-02,24.8445
2021-06-03,24.8445
2021-06-04,24.8445
2021-06-05,24.8445
2021-06-06,24.8445
2021-06-07,24.8445
2021-06-08,24.8445
2021-06-09,24.8445
2021-06-10,24.8445
2021-06-11,24.8445
2021-06-12,24.8445
2021-06-13,24.8445
2021-06-14,24.8445
2021-06-15,24.8445
2021-06-16,24.8445
2021-06-17,24.8445
2021-06-18,24.8445
2021-06-19,24.8445
2021-06-20,24.8445
2021-06-21,24.8445
2021-06-22,24.8445
2021-06-23,24.8445
2021-06-24,24.8445
2021-06-25,24.8445
2021-06-26,24.8445
2021-06-27,24.8445
2021-06-28,24.8445
2021-06-29,24.8445
2021-06-30,24.8445
2021-07-01,24.8445
2021-07-02,24.8445
2021-07-03,24.8445
2021-07-04,24.8445
2021-07-05,24.8445
2021-07-06,24.8445
2021-07-07,24.8445
2021-07-08,24.8445
2021-07-09,24.8445
2021-07-10,24.8445
2021-07-11,24.8445
2021-07-12,24.8445
2021-07-13,24.8445
2021-07-14,24.8445
2021-07-15,24.8445
2021-07-16,24.8445
2021-07-17,24.8445
2021-07-18,24.8445
2021-07-19,24.8445
2021-07-20,24.8445
2021-07-21,24.8445
2021-07-22,24.8445
2021-07-23,24.8445
2021-07-24,24.8445
2021-07-25,24.8445
2021-07-26,24.8445
2021-07-27,24.8445
2021-07-28,24.8445
2021-07-29,24.8445
2021-07-30,23.518
2021-07-31,23.518
2021-08-01,23.518
2021-08-02,23.518
2021-08-03,23.518
2021-08-04,23.518
2021-08-05,23.518
2021-08-06,23.518
2021-08-07,23.518
2021-08-08,23.518
2021-08-09,23.518
2021-08-10,23.518
2021-08-11,23.518
2021-08-12,23.518
2021-08-13,23.518
2021-08-14,23.518
2021-08-15,23.518
2021-08-16,23.518
2021-08-17,23.518
2021-08-18,23.518
2021-08-19,23.518
2021-08-20,23.518
2021-08-21,23.518
2021-08-22,23.518
2021-08-23,23.518
2021-08-24,23.518
2021-08-25,23.518
2021-08-26,23.518
2021-08-27,23.518
2021-08-28,23.518
2021-08-29,23.518
2021-08-30,23.518
2021-08-31,23.518
2021-09-01,23.518
2021-09-02,23.518
2021-09-03,23.518
2021-09-04,23.518
2021-09-05,23.518
2021-09-06,23.518
2021-09-07,23.518
2021-09-08,23.518
2021-09-09,23.518
2021-09-10,23.518
2021-09-11,23.518
2021-09-12,23.518
2021-09-13,23.518
2021-09-14,23.518
2021-09-15,23.518
2021-09-16,23.518
2021-09-17,23.518
2021-09-18,23.518
2021-09-19,23.518
2021-09-20,23.518
2021-09-21,23.518
2021-09-22,23.518
2021-09-23,23.518
2021-09-24,23.518
2021-09-25,23.518
2021-09-26,23.518
2021-09-27,23.518
2021-09-28,23.518
2021-09-29,23.518
2021-09-30,23.518
2021-10-01,23.518
2021-10-02,23.518
2021-10-03,23.518
2021-10-04,23.518
2021-10-05,23.518
2021-10-06,23.518
2021-10-07,23.518
2021-10-08,23.518
2021-10-09,23.518
2021-10-10,23.518
2021-10-11,23.518
2021-10-12,23.518
2021-10-13,23.518
2021-10-14,23.518
2021-10-15,23.518
2021-10-16,23.518
2021-10-17,23.518
2021-10-18,23.518
2021-10-19,23.518
2021-10-20,23.518
2021-10-21,23.518
2021-10-22,23.518
2021-10-23,23.518
2021-10-24,23.518
2021-10-25,23.518
2021-10-26,23.518
2021-10-27,23.518
2021-10-28,23.518
2021-10-29,21.6566
2021-10-30,21.6566
2021-10-31,21.6566
2021-11-01,21.6566
2021-11-02,21.6566
2021-11-03,21.6566
2021-11-04,21.6566
2021-11-05,21.6566
2021-11-06,21.6566
2021-11-07,21.6566
2021-11-08,21.6566
2021-11-09,21.6566
2021-11-10,21.6566
2021-11-11,21.6566
2021-11-12,21.6566
2021-11-13,21.6566
2021-11-14,21.6566
2021-11-15,21.6566
2021-11-16,21.6566
2021-11-17,21.6566
2021-11-18,21.6566
2021-11-19,21.6566
2021-11-20,21.6566
2021-11-21,21.6566
2021-11-22,21.6566
2021-11-23,21.6566
2021-11-24,21.6566
2021-11-25,21.6566
2021-11-26,21.6566
2021-11-27,21.6566
2021-11-28,21.6566
2021-11-29,21.6566
2021-11-30,21.6566
2021-12-01,21.6566
2021-12-02,21.6566
2021-12-03,21.6566
2021-12-04,21.6566
2021-12-05,21.6566
2021-12-06,21.6566
2021-12-07,21.6566
2021-12-08,21.6566
2021-12-09,21.6566
2021-12-10,21.6566
2021-12-11,21.6566
2021-12-12,21.6566
2021-12-13,21.6566
2021-12-14,21.6566
2021-12-15,21.6566
2021-12-16,21.6566
2021-12-17,21.6566
2021-12-18,21.6566
2021-12-19,21.6566
2021-12-20,21.6566
2021-12-21,21.6566
2021-12-22,21.6566
2021-12-23,21.6566
2021-12-24,21.6566
2021-12-25,21.6566
2021-12-26,21.6566
2021-12-27,21.6566
2021-12-28,21.6566
2021-12-29,21.6566
2021-12-30,21.6566
2021-12-31,21.6566
2022-01-01,21.6566
2022-01-02,21.6566
2022-01-03,21.6566
2022-01-04,21.6566
2022-01-05,21.6566
2022-01-06,21.6566
2022-01-07,21.6566
2022-01-08,21.6566
2022-01-09,21.6566
2022-01-10,21.6566
2022-01-11,21.6566
2022-01-12,21.6566
2022-01-13,21.6566
2022-01-14,21.6566
2022-01-15,21.6566
2022-01-16,21.6566
2022-01-17,21.6566
2022-01-18,21.6566
2022-01-19,21.6566
2022-01-20,21.6566
2022-01-21,21.6566
2022-01-22,21.6566
2022-01-23,21.6566
2022-01-24,21.6566
2022-01-25,21.6566
2022-01-26,21.6566
2022-01-27,21.6566
2022-01-28,21.6566
2022-01-29,21.6566
2022-01-30,21.6566
2022-01-31,21.6566
2022-02-01,21.6566
2022-02-02,21.6566
2022-02-03,21.6566
2022-02-04,21.6566
2022-02-05,21.6566
2022-02-06,21.6566
2022-02-07,21.6566
2022-02-08,21.6566
2022-02-09,21.6566
2022-02-10,21.6566
2022-02-11,21.6566
2022-02-12,21.6566
2022-02-13,21.6566
2022-02-14,21.6566
2022-02-15,21.6566
2022-02-16,21.6566
2022-02-17,21.6566
2022-02-18,21.6566
2022-02-19,21.6566
2022-02-20,21.6566
2022-02-21,21.6566
2022-02-22,21.6566
2022-02-23,21.6566
2022-02-24,21.6566
2022-02-25,21.6566
2022-02-26,21.6566
2022-02-27,21.6566
2022-02-28,21.6566
2022-03-01,21.6566
2022-03-02,21.6566
2022-03-03,21.6566
2022-03-04,21.6566
2022-03-05,21.6566
2022-03-06,21.6566
2022-03-07,21.6566
2022-03-08,21.6566
2022-03-09,21.6566
2022-03-10,21.6566
2022-03-11,21.6566
2022-03-12,21.6566
2022-03-13,21.6566
2022-03-14,21.6566
2022-03-15,21.6566
2022-03-16,21.6566
2022-03-17,21.6566
2022-03-18,21.6566
2022-03-19,21.6566
2022-03-20,21.6566
2022-03-21,21.6566
2022-03-22,21.6566
2022-03-23,21.6566
2022-03-24,21.6566
2022-03-25,21.6566
2022-03-26,21.6566
2022-03-27,21.6566
2022-03-28,21.6566
2022-03-29,21.6566
2022-03-30,21.6566
2022-03-31,21.6566
2022-04-01,21.6566
2022-04-02,21.6566
2022-04-03,21.6566
2022-04-04,21.6566
2022-04-05,21.6566
2022-04-06,21.6566
2022-04-07,21.6566
2022-04-08,21.6566
2022-04-09,21.6566
2022-04-10,21.6566
2022-04-11,21.6566
2022-04-12,21.6566
2022-04-13,21.6566
2022-04-14,21.6566
2022-04-15,21.6566
2022-04-16,21.6566
2022-04-17,21.6566
2022-04-18,21.6566
2022-04-19,21.6566
2022-04-20,21.6566
2022-04-21,21.6566
2022-04-22,21.6566
2022-04-23,21.6566
2022-04-24,21.6566
2022-04-25,21.6566
2022-04-26,21.6566
2022-04-27,21.6566
2022-04-28,21.6566
2022-04-29,21.6566
2022-04-30,21.6566
2022-05-01,21.6566
2022-05-02,21.6566
2022-05-03,21.6566
2022-05-04,21.6566
2022-05-05,21.6566
2022-05-06,21.6566
2022-05-07,21.6566
2022-05-08,21.6566
2022-05-09,21.6566
2022-05-10,21.6566
2022-05-11,21.6566
2022-05-12,21.6566
2022-05-13,21.6566
2022-05-14,21.6566
2022-05-15,21.6566
2022-05-16,21.6566
2022-05-17,21.6566
2022-05-18,21.6566
2022-05-19,21.6566
2022-05-20,21.6566
2022-05-21,21.6566
2022-05-22,21.6566
2022-05-23,21.6566
2022-05-24,21.6566
2022-05-25,21.6566
2022-05-26,21.6566
2022-05-27,21.6566
2022-05-28,21.6566
2022-05-29,21.6566
2022-05-30,21.6566
2022-05-31,21.6566
2022-06-01,21.6566
2022-06-02,21.6566
2022-06-03,21.6566
2022-06-04,21.6566
2022-06-05,21.6566
2022-06-06,21.6566
2022-06-07,21.6566
2022-06-08,21.6566
2022-06-09,21.6566
2022-06-10,21.6566
2022-06-11,21.6566
2022-06-12,21.6566
2022-06-13,21.6566
2022-06-14,21.6566
2022-06-15,21.6566
2022-06-16,21.6566
2022-06-17,21.6566
2022-06-18,21.6566
2022-06-19,21.6566
2022-06-20,21.6566
2022-06-21,21.6566
2022-06-22,21.6566
2022-06-23,21.6566
2022-06-24,21.6566
2022-06-25,21.6566
2022-06-26,21.6566
2022-06-27,21.6566
2022-06-28,21.6566
2022-06-29,21.6566
2022-06-30,21.6566
2022-07-01,21.6566
2022-07-02,21.6566
2022-07-03,21.6566
2022-07-04,21.6566
2022-07-05,21.6566
2022-07-06,21.6566
2022-07-07,21.6566
2022-07-08,21.6566
2022-07-09,21.6566
2022-07-10,21.6566
2022-07-11,21.6566
2022-07-12,21.6566
2022-07-13,21.6566
2022-07-14,21.6566
2022-07-15,21.6566
2022-07-16,21.6566
2022-07-17,21.6566
2022-07-18,21.6566
2022-07-19,21.6566
2022-07-20,21.6566
2022-07-21,21.6566
2022-07-22,21.6566
2022-07-23,21.6566
2022-07-24,21.6566
2022-07-25,21.6566
2022-07-26,21.6566
2022-07-27,21.6566
2022-07-28,21.6566
2022-07-29,32.2336
2022-07-30,32.2336
2022-07-31,32.2336
2022-08-01,32.2336
2022-08-02,32.2336
2022-08-03,32.2336
2022-08-04,32.2336
2022-08-05,32.2336
2022-08-06,32.2336
2022-08-07,32.2336
2022-08-08,32.2336
2022-08-09,32.2336
2022-08-10,32.2336
2022-08-11,32.2336
2022-08-12,32.2336
2022-08-13,32.2336
2022-08-14,32.2336
2022-08-15,32.2336
2022-08-16,32.2336
2022-08-17,32.2336
2022-08-18,32.2336
2022-08-19,32.2336
2022-08-20,32.2336
2022-08-21,32.2336
2022-08-22,32.2336
2022-08-23,32.2336
2022-08-24,32.2336
2022-08-25,32.2336
2022-08-26,32.2336
2022-08-27,32.2336
2022-08-28,32.2336
2022-08-29,32.2336
2022-08-30,32.2336
2022-08-31,32.2336
2022-09-01,32.2336
2022-09-02,32.2336
2022-09-03,32.2336
2022-09-04,32.2336
2022-09-05,32.2336
2022-09-06,32.2336
2022-09-07,32.2336
2022-09-08,32.2336
2022-09-09,32.2336
2022-09-10,32.2336
2022-09-11,32.2336
2022-09-12,32.2336
2022-09-13,32.2336
2022-09-14,32.2336
2022-09-15,32.2336
2022-09-16,32.2336
2022-09-17,32.2336
2022-09-18,32.2336
2022-09-19,32.2336
2022-09-20,32.2336
2022-09-21,32.2336
2022-09-22,32.2336
2022-09-23,32.2336
2022-09-24,32.2336
2022-09-25,32.2336
2022-09-26,32.2336
2022-09-27,32.2336
2022-09-28,32.2336
2022-09-29,32.2336
2022-09-30,32.2336
2022-10-01,32.2336
2022-10-02,32.2336
2022-10-03,32.2336
2022-10-04,32.2336
2022-10-05,32.2336
2022-10-06,32.2336
2022-10-07,32.2336
2022-10-08,32.2336
2022-10-09,32.2336
2022-10-10,32.2336
2022-10-11,32.2336
2022-10-12,32.2336
2022-10-13,32.2336
2022-10-14,32.2336
2022-10-15,32.2336
2022-10-16,32.2336
2022-10-17,32.2336
2022-10-18,32.2336
2022-10-19,32.2336
2022-10-20,32.2336
2022-10-21,32.2336
2022-10-22,32.2336
2022-10-23,32.2336
2022-10-24,32.2336
2022-10-25,32.2336
2022-10-26,32.2336
2022-10-27,32.2336
2022-10-28,25.4918
2022-10-29,25.4918
2022-10-30,25.4918
2022-10-31,25.4918
2022-11-01,25.4918
2022-11-02,25.4918
2022-11-03,25.4918
2022-11-04,25.4918
2022-11-05,25.4918
2022-11-06,25.4918
2022-11-07,25.4918
2022-11-08,25.4918
2022-11-09,25.4918
2022-11-10,25.4918
2022-11-11,25.4918
2022-11-12,25.4918
2022-11-13,25.4918
2022-11-14,25.4918
2022-11-15,25.4918
2022-11-16,25.4918
2022-11-17,25.4918
2022-11-18,25.4918
2022-11-19,25.4918
2022-11-20,25.4918
2022-11-21,25.4918
2022-11-22,25.4918
2022-11-23,25.4918
2022-11-24,25.4918
2022-11-25,25.4918
2022-11-26,25.4918
2022-11-27,25.4918
2022-11-28,25.4918
2022-11-29,25.4918
2022-11-30,25.4918
2022-12-01,25.4918
2022-12-02,25.4918
2022-12-03,25.4918
2022-12-04,25.4918
2022-12-05,25.4918
2022-12-06,25.4918
2022-12-07,25.4918
2022-12-08,25.4918
2022-12-09,25.4918
2022-12-10,25.4918
2022-12-11,25.4918
2022-12-12,25.4918
2022-12-13,25.4918
2022-12-14,25.4918
2022-12-15,25.4918
2022-12-16,25.4918
2022-12-17,25.4918
2022-12-18,25.4918
2022-12-19,25.4918
2022-12-20,25.4918
2022-12-21,25.4918
2022-12-22,25.4918
2022-12-23,25.4918
2022-12-24,25.4918
2022-12-25,25.4918
2022-12-26,25.4918
2022-12-27,25.4918
2022-12-28,25.4918
2022-12-29,25.4918
2022-12-30,25.4918
2022-12-31,25.4918
2023-01-01,25.4918
2023-01-02,25.4918
2023-01-03,25.4918
2023-01-04,25.4918
2023-01-05,25.4918
2023-01-06,25.4918
2023-01-07,25.4918
2023-01-08,25.4918
2023-01-09,25.4918
2023-01-10,25.4918
