,EBAY US Equity
,RETURN_COM_EQY
2020-01-01,46.2634
2020-01-02,46.2634
2020-01-03,46.2634
2020-01-04,46.2634
2020-01-05,46.2634
2020-01-06,46.2634
2020-01-07,46.2634
2020-01-08,46.2634
2020-01-09,46.2634
2020-01-10,46.2634
2020-01-11,46.2634
2020-01-12,46.2634
2020-01-13,46.2634
2020-01-14,46.2634
2020-01-15,46.2634
2020-01-16,46.2634
2020-01-17,46.2634
2020-01-18,46.2634
2020-01-19,46.2634
2020-01-20,46.2634
2020-01-21,46.2634
2020-01-22,46.2634
2020-01-23,46.2634
2020-01-24,46.2634
2020-01-25,46.2634
2020-01-26,46.2634
2020-01-27,46.2634
2020-01-28,46.2634
2020-01-29,46.2634
2020-01-30,46.2634
2020-01-31,46.2634
2020-02-01,46.2634
2020-02-02,46.2634
2020-02-03,46.2634
2020-02-04,46.2634
2020-02-05,46.2634
2020-02-06,46.2634
2020-02-07,46.2634
2020-02-08,46.2634
2020-02-09,46.2634
2020-02-10,46.2634
2020-02-11,46.2634
2020-02-12,46.2634
2020-02-13,46.2634
2020-02-14,46.2634
2020-02-15,46.2634
2020-02-16,46.2634
2020-02-17,46.2634
2020-02-18,46.2634
2020-02-19,46.2634
2020-02-20,46.2634
2020-02-21,46.2634
2020-02-22,46.2634
2020-02-23,46.2634
2020-02-24,46.2634
2020-02-25,46.2634
2020-02-26,46.2634
2020-02-27,46.2634
2020-02-28,46.2634
2020-02-29,46.2634
2020-03-01,46.2634
2020-03-02,46.2634
2020-03-03,46.2634
2020-03-04,46.2634
2020-03-05,46.2634
2020-03-06,46.2634
2020-03-07,46.2634
2020-03-08,46.2634
2020-03-09,46.2634
2020-03-10,46.2634
2020-03-11,46.2634
2020-03-12,46.2634
2020-03-13,46.2634
2020-03-14,46.2634
2020-03-15,46.2634
2020-03-16,46.2634
2020-03-17,46.2634
2020-03-18,46.2634
2020-03-19,46.2634
2020-03-20,46.2634
2020-03-21,46.2634
2020-03-22,46.2634
2020-03-23,46.2634
2020-03-24,46.2634
2020-03-25,46.2634
2020-03-26,46.2634
2020-03-27,46.2634
2020-03-28,46.2634
2020-03-29,46.2634
2020-03-30,46.2634
2020-03-31,232.3157
2020-04-01,232.3157
2020-04-02,232.3157
2020-04-03,232.3157
2020-04-04,232.3157
2020-04-05,232.3157
2020-04-06,232.3157
2020-04-07,232.3157
2020-04-08,232.3157
2020-04-09,232.3157
2020-04-10,232.3157
2020-04-11,232.3157
2020-04-12,232.3157
2020-04-13,232.3157
2020-04-14,232.3157
2020-04-15,232.3157
2020-04-16,232.3157
2020-04-17,232.3157
2020-04-18,232.3157
2020-04-19,232.3157
2020-04-20,232.3157
2020-04-21,232.3157
2020-04-22,232.3157
2020-04-23,232.3157
2020-04-24,232.3157
2020-04-25,232.3157
2020-04-26,232.3157
2020-04-27,232.3157
2020-04-28,232.3157
2020-04-29,232.3157
2020-04-30,232.3157
2020-05-01,232.3157
2020-05-02,232.3157
2020-05-03,232.3157
2020-05-04,232.3157
2020-05-05,232.3157
2020-05-06,232.3157
2020-05-07,232.3157
2020-05-08,232.3157
2020-05-09,232.3157
2020-05-10,232.3157
2020-05-11,232.3157
2020-05-12,232.3157
2020-05-13,232.3157
2020-05-14,232.3157
2020-05-15,232.3157
2020-05-16,232.3157
2020-05-17,232.3157
2020-05-18,232.3157
2020-05-19,232.3157
2020-05-20,232.3157
2020-05-21,232.3157
2020-05-22,232.3157
2020-05-23,232.3157
2020-05-24,232.3157
2020-05-25,232.3157
2020-05-26,232.3157
2020-05-27,232.3157
2020-05-28,232.3157
2020-05-29,232.3157
2020-05-30,232.3157
2020-05-31,232.3157
2020-06-01,232.3157
2020-06-02,232.3157
2020-06-03,232.3157
2020-06-04,232.3157
2020-06-05,232.3157
2020-06-06,232.3157
2020-06-07,232.3157
2020-06-08,232.3157
2020-06-09,232.3157
2020-06-10,232.3157
2020-06-11,232.3157
2020-06-12,232.3157
2020-06-13,232.3157
2020-06-14,232.3157
2020-06-15,232.3157
2020-06-16,232.3157
2020-06-17,232.3157
2020-06-18,232.3157
2020-06-19,232.3157
2020-06-20,232.3157
2020-06-21,232.3157
2020-06-22,232.3157
2020-06-23,232.3157
2020-06-24,232.3157
2020-06-25,232.3157
2020-06-26,232.3157
2020-06-27,232.3157
2020-06-28,232.3157
2020-06-29,232.3157
2020-06-30,269.8899
2020-07-01,269.8899
2020-07-02,269.8899
2020-07-03,269.8899
2020-07-04,269.8899
2020-07-05,269.8899
2020-07-06,269.8899
2020-07-07,269.8899
2020-07-08,269.8899
2020-07-09,269.8899
2020-07-10,269.8899
2020-07-11,269.8899
2020-07-12,269.8899
2020-07-13,269.8899
2020-07-14,269.8899
2020-07-15,269.8899
2020-07-16,269.8899
2020-07-17,269.8899
2020-07-18,269.8899
2020-07-19,269.8899
2020-07-20,269.8899
2020-07-21,269.8899
2020-07-22,269.8899
2020-07-23,269.8899
2020-07-24,269.8899
2020-07-25,269.8899
2020-07-26,269.8899
2020-07-27,269.8899
2020-07-28,269.8899
2020-07-29,269.8899
2020-07-30,269.8899
2020-07-31,269.8899
2020-08-01,269.8899
2020-08-02,269.8899
2020-08-03,269.8899
2020-08-04,269.8899
2020-08-05,269.8899
2020-08-06,269.8899
2020-08-07,269.8899
2020-08-08,269.8899
2020-08-09,269.8899
2020-08-10,269.8899
2020-08-11,269.8899
2020-08-12,269.8899
2020-08-13,269.8899
2020-08-14,269.8899
2020-08-15,269.8899
2020-08-16,269.8899
2020-08-17,269.8899
2020-08-18,269.8899
2020-08-19,269.8899
2020-08-20,269.8899
2020-08-21,269.8899
2020-08-22,269.8899
2020-08-23,269.8899
2020-08-24,269.8899
2020-08-25,269.8899
2020-08-26,269.8899
2020-08-27,269.8899
2020-08-28,269.8899
2020-08-29,269.8899
2020-08-30,269.8899
2020-08-31,269.8899
2020-09-01,269.8899
2020-09-02,269.8899
2020-09-03,269.8899
2020-09-04,269.8899
2020-09-05,269.8899
2020-09-06,269.8899
2020-09-07,269.8899
2020-09-08,269.8899
2020-09-09,269.8899
2020-09-10,269.8899
2020-09-11,269.8899
2020-09-12,269.8899
2020-09-13,269.8899
2020-09-14,269.8899
2020-09-15,269.8899
2020-09-16,269.8899
2020-09-17,269.8899
2020-09-18,269.8899
2020-09-19,269.8899
2020-09-20,269.8899
2020-09-21,269.8899
2020-09-22,269.8899
2020-09-23,269.8899
2020-09-24,269.8899
2020-09-25,269.8899
2020-09-26,269.8899
2020-09-27,269.8899
2020-09-28,269.8899
2020-09-29,269.8899
2020-09-30,259.4308
2020-10-01,259.4308
2020-10-02,259.4308
2020-10-03,259.4308
2020-10-04,259.4308
2020-10-05,259.4308
2020-10-06,259.4308
2020-10-07,259.4308
2020-10-08,259.4308
2020-10-09,259.4308
2020-10-10,259.4308
2020-10-11,259.4308
2020-10-12,259.4308
2020-10-13,259.4308
2020-10-14,259.4308
2020-10-15,259.4308
2020-10-16,259.4308
2020-10-17,259.4308
2020-10-18,259.4308
2020-10-19,259.4308
2020-10-20,259.4308
2020-10-21,259.4308
2020-10-22,259.4308
2020-10-23,259.4308
2020-10-24,259.4308
2020-10-25,259.4308
2020-10-26,259.4308
2020-10-27,259.4308
