,DGX US Equity
,RETURN_COM_EQY
2021-01-09,23.0323
2021-01-10,23.0323
2021-01-11,23.0323
2021-01-12,23.0323
2021-01-13,23.0323
2021-01-14,23.0323
2021-01-15,23.0323
2021-01-16,23.0323
2021-01-17,23.0323
2021-01-18,23.0323
2021-01-19,23.0323
2021-01-20,23.0323
2021-01-21,23.0323
2021-01-22,23.0323
2021-01-23,23.0323
2021-01-24,23.0323
2021-01-25,23.0323
2021-01-26,23.0323
2021-01-27,23.0323
2021-01-28,23.0323
2021-01-29,23.0323
2021-01-30,23.0323
2021-01-31,23.0323
2021-02-01,23.0323
2021-02-02,23.0323
2021-02-03,23.0323
2021-02-04,23.0323
2021-02-05,23.0323
2021-02-06,23.0323
2021-02-07,23.0323
2021-02-08,23.0323
2021-02-09,23.0323
2021-02-10,23.0323
2021-02-11,23.0323
2021-02-12,23.0323
2021-02-13,23.0323
2021-02-14,23.0323
2021-02-15,23.0323
2021-02-16,23.0323
2021-02-17,23.0323
2021-02-18,23.0323
2021-02-19,23.0323
2021-02-20,23.0323
2021-02-21,23.0323
2021-02-22,23.0323
2021-02-23,23.0323
2021-02-24,23.0323
2021-02-25,23.0323
2021-02-26,23.0323
2021-02-27,23.0323
2021-02-28,23.0323
2021-03-01,23.0323
2021-03-02,23.0323
2021-03-03,23.0323
2021-03-04,23.0323
2021-03-05,23.0323
2021-03-06,23.0323
2021-03-07,23.0323
2021-03-08,23.0323
2021-03-09,23.0323
2021-03-10,23.0323
2021-03-11,23.0323
2021-03-12,23.0323
2021-03-13,23.0323
2021-03-14,23.0323
2021-03-15,23.0323
2021-03-16,23.0323
2021-03-17,23.0323
2021-03-18,23.0323
2021-03-19,23.0323
2021-03-20,23.0323
2021-03-21,23.0323
2021-03-22,23.0323
2021-03-23,23.0323
2021-03-24,23.0323
2021-03-25,23.0323
2021-03-26,23.0323
2021-03-27,23.0323
2021-03-28,23.0323
2021-03-29,23.0323
2021-03-30,23.0323
2021-03-31,28.9792
2021-04-01,28.9792
2021-04-02,28.9792
2021-04-03,28.9792
2021-04-04,28.9792
2021-04-05,28.9792
2021-04-06,28.9792
2021-04-07,28.9792
2021-04-08,28.9792
2021-04-09,28.9792
2021-04-10,28.9792
2021-04-11,28.9792
2021-04-12,28.9792
2021-04-13,28.9792
2021-04-14,28.9792
2021-04-15,28.9792
2021-04-16,28.9792
2021-04-17,28.9792
2021-04-18,28.9792
2021-04-19,28.9792
2021-04-20,28.9792
2021-04-21,28.9792
2021-04-22,28.9792
2021-04-23,28.9792
2021-04-24,28.9792
2021-04-25,28.9792
2021-04-26,28.9792
2021-04-27,28.9792
2021-04-28,28.9792
2021-04-29,28.9792
2021-04-30,28.9792
2021-05-01,28.9792
2021-05-02,28.9792
2021-05-03,28.9792
2021-05-04,28.9792
2021-05-05,28.9792
2021-05-06,28.9792
2021-05-07,28.9792
2021-05-08,28.9792
2021-05-09,28.9792
2021-05-10,28.9792
2021-05-11,28.9792
2021-05-12,28.9792
2021-05-13,28.9792
2021-05-14,28.9792
2021-05-15,28.9792
2021-05-16,28.9792
2021-05-17,28.9792
2021-05-18,28.9792
2021-05-19,28.9792
2021-05-20,28.9792
2021-05-21,28.9792
2021-05-22,28.9792
2021-05-23,28.9792
2021-05-24,28.9792
2021-05-25,28.9792
2021-05-26,28.9792
2021-05-27,28.9792
2021-05-28,28.9792
2021-05-29,28.9792
2021-05-30,28.9792
2021-05-31,28.9792
2021-06-01,28.9792
2021-06-02,28.9792
2021-06-03,28.9792
2021-06-04,28.9792
2021-06-05,28.9792
2021-06-06,28.9792
2021-06-07,28.9792
2021-06-08,28.9792
2021-06-09,28.9792
2021-06-10,28.9792
2021-06-11,28.9792
2021-06-12,28.9792
2021-06-13,28.9792
2021-06-14,28.9792
2021-06-15,28.9792
2021-06-16,28.9792
2021-06-17,28.9792
2021-06-18,28.9792
2021-06-19,28.9792
2021-06-20,28.9792
2021-06-21,28.9792
2021-06-22,28.9792
2021-06-23,28.9792
2021-06-24,28.9792
2021-06-25,28.9792
2021-06-26,28.9792
2021-06-27,28.9792
2021-06-28,28.9792
2021-06-29,28.9792
2021-06-30,38.2438
2021-07-01,38.2438
2021-07-02,38.2438
2021-07-03,38.2438
2021-07-04,38.2438
2021-07-05,38.2438
2021-07-06,38.2438
2021-07-07,38.2438
2021-07-08,38.2438
2021-07-09,38.2438
2021-07-10,38.2438
2021-07-11,38.2438
2021-07-12,38.2438
2021-07-13,38.2438
2021-07-14,38.2438
2021-07-15,38.2438
2021-07-16,38.2438
2021-07-17,38.2438
2021-07-18,38.2438
2021-07-19,38.2438
2021-07-20,38.2438
2021-07-21,38.2438
2021-07-22,38.2438
2021-07-23,38.2438
2021-07-24,38.2438
2021-07-25,38.2438
2021-07-26,38.2438
2021-07-27,38.2438
2021-07-28,38.2438
2021-07-29,38.2438
2021-07-30,38.2438
2021-07-31,38.2438
2021-08-01,38.2438
2021-08-02,38.2438
2021-08-03,38.2438
2021-08-04,38.2438
2021-08-05,38.2438
2021-08-06,38.2438
2021-08-07,38.2438
2021-08-08,38.2438
2021-08-09,38.2438
2021-08-10,38.2438
2021-08-11,38.2438
2021-08-12,38.2438
2021-08-13,38.2438
2021-08-14,38.2438
2021-08-15,38.2438
2021-08-16,38.2438
2021-08-17,38.2438
2021-08-18,38.2438
2021-08-19,38.2438
2021-08-20,38.2438
2021-08-21,38.2438
2021-08-22,38.2438
2021-08-23,38.2438
2021-08-24,38.2438
2021-08-25,38.2438
2021-08-26,38.2438
2021-08-27,38.2438
2021-08-28,38.2438
2021-08-29,38.2438
2021-08-30,38.2438
2021-08-31,38.2438
2021-09-01,38.2438
2021-09-02,38.2438
2021-09-03,38.2438
2021-09-04,38.2438
2021-09-05,38.2438
2021-09-06,38.2438
2021-09-07,38.2438
2021-09-08,38.2438
2021-09-09,38.2438
2021-09-10,38.2438
2021-09-11,38.2438
2021-09-12,38.2438
2021-09-13,38.2438
2021-09-14,38.2438
2021-09-15,38.2438
2021-09-16,38.2438
2021-09-17,38.2438
2021-09-18,38.2438
2021-09-19,38.2438
2021-09-20,38.2438
2021-09-21,38.2438
2021-09-22,38.2438
2021-09-23,38.2438
2021-09-24,38.2438
2021-09-25,38.2438
2021-09-26,38.2438
2021-09-27,38.2438
2021-09-28,38.2438
2021-09-29,38.2438
2021-09-30,34.0838
2021-10-01,34.0838
2021-10-02,34.0838
2021-10-03,34.0838
2021-10-04,34.0838
2021-10-05,34.0838
2021-10-06,34.0838
2021-10-07,34.0838
2021-10-08,34.0838
2021-10-09,34.0838
2021-10-10,34.0838
2021-10-11,34.0838
2021-10-12,34.0838
2021-10-13,34.0838
2021-10-14,34.0838
2021-10-15,34.0838
2021-10-16,34.0838
2021-10-17,34.0838
