,DAL US Equity
,RETURN_COM_EQY
2020-01-01,32.8249
2020-01-02,32.8249
2020-01-03,32.8249
2020-01-04,32.8249
2020-01-05,32.8249
2020-01-06,32.8249
2020-01-07,32.8249
2020-01-08,32.8249
2020-01-09,32.8249
2020-01-10,32.8249
2020-01-11,32.8249
2020-01-12,32.8249
2020-01-13,32.8249
2020-01-14,32.8249
2020-01-15,32.8249
2020-01-16,32.8249
2020-01-17,32.8249
2020-01-18,32.8249
2020-01-19,32.8249
2020-01-20,32.8249
2020-01-21,32.8249
2020-01-22,32.8249
2020-01-23,32.8249
2020-01-24,32.8249
2020-01-25,32.8249
2020-01-26,32.8249
2020-01-27,32.8249
2020-01-28,32.8249
2020-01-29,32.8249
2020-01-30,32.8249
2020-01-31,32.8249
2020-02-01,32.8249
2020-02-02,32.8249
2020-02-03,32.8249
2020-02-04,32.8249
2020-02-05,32.8249
2020-02-06,32.8249
2020-02-07,32.8249
2020-02-08,32.8249
2020-02-09,32.8249
2020-02-10,32.8249
2020-02-11,32.8249
2020-02-12,32.8249
2020-02-13,32.8249
2020-02-14,32.8249
2020-02-15,32.8249
2020-02-16,32.8249
2020-02-17,32.8249
2020-02-18,32.8249
2020-02-19,32.8249
2020-02-20,32.8249
2020-02-21,32.8249
2020-02-22,32.8249
2020-02-23,32.8249
2020-02-24,32.8249
2020-02-25,32.8249
2020-02-26,32.8249
2020-02-27,32.8249
2020-02-28,32.8249
2020-02-29,32.8249
2020-03-01,32.8249
2020-03-02,32.8249
2020-03-03,32.8249
2020-03-04,32.8249
2020-03-05,32.8249
2020-03-06,32.8249
2020-03-07,32.8249
2020-03-08,32.8249
2020-03-09,32.8249
2020-03-10,32.8249
2020-03-11,32.8249
2020-03-12,32.8249
2020-03-13,32.8249
2020-03-14,32.8249
2020-03-15,32.8249
2020-03-16,32.8249
2020-03-17,32.8249
2020-03-18,32.8249
2020-03-19,32.8249
2020-03-20,32.8249
2020-03-21,32.8249
2020-03-22,32.8249
2020-03-23,32.8249
2020-03-24,32.8249
2020-03-25,32.8249
2020-03-26,32.8249
2020-03-27,32.8249
2020-03-28,32.8249
2020-03-29,32.8249
2020-03-30,32.8249
2020-03-31,25.7384
2020-04-01,25.7384
2020-04-02,25.7384
2020-04-03,25.7384
2020-04-04,25.7384
2020-04-05,25.7384
2020-04-06,25.7384
2020-04-07,25.7384
2020-04-08,25.7384
2020-04-09,25.7384
2020-04-10,25.7384
2020-04-11,25.7384
2020-04-12,25.7384
2020-04-13,25.7384
2020-04-14,25.7384
2020-04-15,25.7384
2020-04-16,25.7384
2020-04-17,25.7384
2020-04-18,25.7384
2020-04-19,25.7384
2020-04-20,25.7384
2020-04-21,25.7384
2020-04-22,25.7384
2020-04-23,25.7384
2020-04-24,25.7384
2020-04-25,25.7384
2020-04-26,25.7384
2020-04-27,25.7384
2020-04-28,25.7384
2020-04-29,25.7384
2020-04-30,25.7384
2020-05-01,25.7384
2020-05-02,25.7384
2020-05-03,25.7384
2020-05-04,25.7384
2020-05-05,25.7384
2020-05-06,25.7384
2020-05-07,25.7384
2020-05-08,25.7384
2020-05-09,25.7384
2020-05-10,25.7384
2020-05-11,25.7384
2020-05-12,25.7384
2020-05-13,25.7384
2020-05-14,25.7384
2020-05-15,25.7384
2020-05-16,25.7384
2020-05-17,25.7384
2020-05-18,25.7384
2020-05-19,25.7384
2020-05-20,25.7384
2020-05-21,25.7384
2020-05-22,25.7384
2020-05-23,25.7384
2020-05-24,25.7384
2020-05-25,25.7384
2020-05-26,25.7384
2020-05-27,25.7384
2020-05-28,25.7384
2020-05-29,25.7384
2020-05-30,25.7384
2020-05-31,25.7384
2020-06-01,25.7384
2020-06-02,25.7384
2020-06-03,25.7384
2020-06-04,25.7384
2020-06-05,25.7384
2020-06-06,25.7384
2020-06-07,25.7384
2020-06-08,25.7384
2020-06-09,25.7384
2020-06-10,25.7384
2020-06-11,25.7384
2020-06-12,25.7384
2020-06-13,25.7384
2020-06-14,25.7384
2020-06-15,25.7384
2020-06-16,25.7384
2020-06-17,25.7384
2020-06-18,25.7384
2020-06-19,25.7384
2020-06-20,25.7384
2020-06-21,25.7384
2020-06-22,25.7384
2020-06-23,25.7384
2020-06-24,25.7384
2020-06-25,25.7384
2020-06-26,25.7384
2020-06-27,25.7384
2020-06-28,25.7384
2020-06-29,25.7384
2020-06-30,-32.2942
2020-07-01,-32.2942
2020-07-02,-32.2942
2020-07-03,-32.2942
2020-07-04,-32.2942
2020-07-05,-32.2942
2020-07-06,-32.2942
2020-07-07,-32.2942
2020-07-08,-32.2942
2020-07-09,-32.2942
2020-07-10,-32.2942
2020-07-11,-32.2942
2020-07-12,-32.2942
2020-07-13,-32.2942
2020-07-14,-32.2942
2020-07-15,-32.2942
2020-07-16,-32.2942
2020-07-17,-32.2942
2020-07-18,-32.2942
2020-07-19,-32.2942
2020-07-20,-32.2942
2020-07-21,-32.2942
2020-07-22,-32.2942
2020-07-23,-32.2942
2020-07-24,-32.2942
2020-07-25,-32.2942
2020-07-26,-32.2942
2020-07-27,-32.2942
2020-07-28,-32.2942
2020-07-29,-32.2942
2020-07-30,-32.2942
2020-07-31,-32.2942
2020-08-01,-32.2942
2020-08-02,-32.2942
2020-08-03,-32.2942
2020-08-04,-32.2942
2020-08-05,-32.2942
2020-08-06,-32.2942
2020-08-07,-32.2942
2020-08-08,-32.2942
2020-08-09,-32.2942
2020-08-10,-32.2942
2020-08-11,-32.2942
2020-08-12,-32.2942
2020-08-13,-32.2942
2020-08-14,-32.2942
2020-08-15,-32.2942
2020-08-16,-32.2942
2020-08-17,-32.2942
2020-08-18,-32.2942
2020-08-19,-32.2942
2020-08-20,-32.2942
2020-08-21,-32.2942
2020-08-22,-32.2942
2020-08-23,-32.2942
2020-08-24,-32.2942
2020-08-25,-32.2942
2020-08-26,-32.2942
2020-08-27,-32.2942
2020-08-28,-32.2942
2020-08-29,-32.2942
2020-08-30,-32.2942
2020-08-31,-32.2942
2020-09-01,-32.2942
2020-09-02,-32.2942
2020-09-03,-32.2942
2020-09-04,-32.2942
2020-09-05,-32.2942
2020-09-06,-32.2942
2020-09-07,-32.2942
2020-09-08,-32.2942
2020-09-09,-32.2942
2020-09-10,-32.2942
2020-09-11,-32.2942
2020-09-12,-32.2942
2020-09-13,-32.2942
2020-09-14,-32.2942
2020-09-15,-32.2942
2020-09-16,-32.2942
2020-09-17,-32.2942
2020-09-18,-32.2942
2020-09-19,-32.2942
2020-09-20,-32.2942
2020-09-21,-32.2942
2020-09-22,-32.2942
2020-09-23,-32.2942
2020-09-24,-32.2942
2020-09-25,-32.2942
2020-09-26,-32.2942
2020-09-27,-32.2942
2020-09-28,-32.2942
2020-09-29,-32.2942
2020-09-30,-114.3121
2020-10-01,-114.3121
2020-10-02,-114.3121
2020-10-03,-114.3121
2020-10-04,-114.3121
2020-10-05,-114.3121
2020-10-06,-114.3121
2020-10-07,-114.3121
2020-10-08,-114.3121
2020-10-09,-114.3121
2020-10-10,-114.3121
2020-10-11,-114.3121
2020-10-12,-114.3121
2020-10-13,-114.3121
2020-10-14,-114.3121
2020-10-15,-114.3121
2020-10-16,-114.3121
2020-10-17,-114.3121
2020-10-18,-114.3121
2020-10-19,-114.3121
2020-10-20,-114.3121
2020-10-21,-114.3121
2020-10-22,-114.3121
2020-10-23,-114.3121
2020-10-24,-114.3121
2020-10-25,-114.3121
2020-10-26,-114.3121
2020-10-27,-114.3121
2020-10-28,-114.3121
2020-10-29,-114.3121
2020-10-30,-114.3121
2020-10-31,-114.3121
2020-11-01,-114.3121
2020-11-02,-114.3121
2020-11-03,-114.3121
2020-11-04,-114.3121
2020-11-05,-114.3121
2020-11-06,-114.3121
2020-11-07,-114.3121
2020-11-08,-114.3121
2020-11-09,-114.3121
2020-11-10,-114.3121
2020-11-11,-114.3121
2020-11-12,-114.3121
2020-11-13,-114.3121
2020-11-14,-114.3121
2020-11-15,-114.3121
2020-11-16,-114.3121
2020-11-17,-114.3121
2020-11-18,-114.3121
2020-11-19,-114.3121
2020-11-20,-114.3121
2020-11-21,-114.3121
2020-11-22,-114.3121
2020-11-23,-114.3121
2020-11-24,-114.3121
2020-11-25,-114.3121
2020-11-26,-114.3121
2020-11-27,-114.3121
2020-11-28,-114.3121
2020-11-29,-114.3121
2020-11-30,-114.3121
2020-12-01,-114.3121
2020-12-02,-114.3121
2020-12-03,-114.3121
2020-12-04,-114.3121
2020-12-05,-114.3121
2020-12-06,-114.3121
2020-12-07,-114.3121
2020-12-08,-114.3121
2020-12-09,-114.3121
2020-12-10,-114.3121
2020-12-11,-114.3121
2020-12-12,-114.3121
2020-12-13,-114.3121
2020-12-14,-114.3121
2020-12-15,-114.3121
2020-12-16,-114.3121
2020-12-17,-114.3121
2020-12-18,-114.3121
2020-12-19,-114.3121
2020-12-20,-114.3121
2020-12-21,-114.3121
2020-12-22,-114.3121
2020-12-23,-114.3121
2020-12-24,-114.3121
2020-12-25,-114.3121
2020-12-26,-114.3121
2020-12-27,-114.3121
2020-12-28,-114.3121
2020-12-29,-114.3121
2020-12-30,-114.3121
2020-12-31,-146.6375
2021-01-01,-146.6375
2021-01-02,-146.6375
2021-01-03,-146.6375
2021-01-04,-146.6375
2021-01-05,-146.6375
2021-01-06,-146.6375
2021-01-07,-146.6375
2021-01-08,-146.6375
2021-01-09,-146.6375
2021-01-10,-146.6375
2021-01-11,-146.6375
2021-01-12,-146.6375
2021-01-13,-146.6375
2021-01-14,-146.6375
2021-01-15,-146.6375
2021-01-16,-146.6375
2021-01-17,-146.6375
