,MAR US Equity
,RETURN_COM_EQY
2020-01-01,86.9536
2020-01-02,86.9536
2020-01-03,86.9536
2020-01-04,86.9536
2020-01-05,86.9536
2020-01-06,86.9536
2020-01-07,86.9536
2020-01-08,86.9536
2020-01-09,86.9536
2020-01-10,86.9536
2020-01-11,86.9536
2020-01-12,86.9536
2020-01-13,86.9536
2020-01-14,86.9536
2020-01-15,86.9536
2020-01-16,86.9536
2020-01-17,86.9536
2020-01-18,86.9536
2020-01-19,86.9536
2020-01-20,86.9536
2020-01-21,86.9536
2020-01-22,86.9536
2020-01-23,86.9536
2020-01-24,86.9536
2020-01-25,86.9536
2020-01-26,86.9536
2020-01-27,86.9536
2020-01-28,86.9536
2020-01-29,86.9536
2020-01-30,86.9536
2020-01-31,86.9536
2020-02-01,86.9536
2020-02-02,86.9536
2020-02-03,86.9536
2020-02-04,86.9536
2020-02-05,86.9536
2020-02-06,86.9536
2020-02-07,86.9536
2020-02-08,86.9536
2020-02-09,86.9536
2020-02-10,86.9536
2020-02-11,86.9536
2020-02-12,86.9536
2020-02-13,86.9536
2020-02-14,86.9536
2020-02-15,86.9536
2020-02-16,86.9536
2020-02-17,86.9536
2020-02-18,86.9536
2020-02-19,86.9536
2020-02-20,86.9536
2020-02-21,86.9536
2020-02-22,86.9536
2020-02-23,86.9536
2020-02-24,86.9536
2020-02-25,86.9536
2020-02-26,86.9536
2020-02-27,86.9536
2020-02-28,86.9536
2020-02-29,86.9536
2020-03-01,86.9536
2020-03-02,86.9536
2020-03-03,86.9536
2020-03-04,86.9536
2020-03-05,86.9536
2020-03-06,86.9536
2020-03-07,86.9536
2020-03-08,86.9536
2020-03-09,86.9536
2020-03-10,86.9536
2020-03-11,86.9536
2020-03-12,86.9536
2020-03-13,86.9536
2020-03-14,86.9536
2020-03-15,86.9536
2020-03-16,86.9536
2020-03-17,86.9536
2020-03-18,86.9536
2020-03-19,86.9536
2020-03-20,86.9536
2020-03-21,86.9536
2020-03-22,86.9536
2020-03-23,86.9536
2020-03-24,86.9536
2020-03-25,86.9536
2020-03-26,86.9536
2020-03-27,86.9536
2020-03-28,86.9536
2020-03-29,86.9536
2020-03-30,86.9536
2020-03-31,86.9536
