,CPB US Equity
,RETURN_COM_EQY
2020-01-01,13.8374
2020-01-02,13.8374
2020-01-03,13.8374
2020-01-04,13.8374
2020-01-05,13.8374
2020-01-06,13.8374
2020-01-07,13.8374
2020-01-08,13.8374
2020-01-09,13.8374
2020-01-10,13.8374
2020-01-11,13.8374
2020-01-12,13.8374
2020-01-13,13.8374
2020-01-14,13.8374
2020-01-15,13.8374
2020-01-16,13.8374
2020-01-17,13.8374
2020-01-18,13.8374
2020-01-19,13.8374
2020-01-20,13.8374
2020-01-21,13.8374
2020-01-22,13.8374
2020-01-23,13.8374
2020-01-24,13.8374
2020-01-25,13.8374
2020-01-26,77.0662
2020-01-27,77.0662
2020-01-28,77.0662
2020-01-29,77.0662
2020-01-30,77.0662
2020-01-31,77.0662
2020-02-01,77.0662
2020-02-02,77.0662
2020-02-03,77.0662
2020-02-04,77.0662
2020-02-05,77.0662
2020-02-06,77.0662
2020-02-07,77.0662
2020-02-08,77.0662
2020-02-09,77.0662
2020-02-10,77.0662
2020-02-11,77.0662
2020-02-12,77.0662
2020-02-13,77.0662
2020-02-14,77.0662
2020-02-15,77.0662
2020-02-16,77.0662
2020-02-17,77.0662
2020-02-18,77.0662
2020-02-19,77.0662
2020-02-20,77.0662
2020-02-21,77.0662
2020-02-22,77.0662
2020-02-23,77.0662
2020-02-24,77.0662
2020-02-25,77.0662
2020-02-26,77.0662
2020-02-27,77.0662
2020-02-28,77.0662
2020-02-29,77.0662
2020-03-01,77.0662
2020-03-02,77.0662
2020-03-03,77.0662
2020-03-04,77.0662
2020-03-05,77.0662
2020-03-06,77.0662
2020-03-07,77.0662
2020-03-08,77.0662
2020-03-09,77.0662
2020-03-10,77.0662
2020-03-11,77.0662
2020-03-12,77.0662
2020-03-13,77.0662
2020-03-14,77.0662
2020-03-15,77.0662
2020-03-16,77.0662
2020-03-17,77.0662
2020-03-18,77.0662
2020-03-19,77.0662
2020-03-20,77.0662
2020-03-21,77.0662
2020-03-22,77.0662
2020-03-23,77.0662
2020-03-24,77.0662
2020-03-25,77.0662
2020-03-26,77.0662
2020-03-27,77.0662
2020-03-28,77.0662
2020-03-29,77.0662
2020-03-30,77.0662
2020-03-31,77.0662
2020-04-01,77.0662
2020-04-02,77.0662
2020-04-03,77.0662
2020-04-04,77.0662
2020-04-05,77.0662
2020-04-06,77.0662
2020-04-07,77.0662
2020-04-08,77.0662
2020-04-09,77.0662
2020-04-10,77.0662
2020-04-11,77.0662
2020-04-12,77.0662
2020-04-13,77.0662
2020-04-14,77.0662
2020-04-15,77.0662
2020-04-16,77.0662
2020-04-17,77.0662
2020-04-18,77.0662
2020-04-19,77.0662
2020-04-20,77.0662
2020-04-21,77.0662
2020-04-22,77.0662
2020-04-23,77.0662
2020-04-24,77.0662
2020-04-25,77.0662
2020-04-26,80.6732
2020-04-27,80.6732
2020-04-28,80.6732
2020-04-29,80.6732
2020-04-30,80.6732
2020-05-01,80.6732
2020-05-02,80.6732
2020-05-03,80.6732
2020-05-04,80.6732
2020-05-05,80.6732
2020-05-06,80.6732
2020-05-07,80.6732
2020-05-08,80.6732
2020-05-09,80.6732
2020-05-10,80.6732
2020-05-11,80.6732
2020-05-12,80.6732
2020-05-13,80.6732
2020-05-14,80.6732
2020-05-15,80.6732
2020-05-16,80.6732
2020-05-17,80.6732
2020-05-18,80.6732
2020-05-19,80.6732
2020-05-20,80.6732
2020-05-21,80.6732
2020-05-22,80.6732
2020-05-23,80.6732
2020-05-24,80.6732
2020-05-25,80.6732
2020-05-26,80.6732
2020-05-27,80.6732
2020-05-28,80.6732
2020-05-29,80.6732
2020-05-30,80.6732
2020-05-31,80.6732
2020-06-01,80.6732
2020-06-02,80.6732
2020-06-03,80.6732
2020-06-04,80.6732
2020-06-05,80.6732
2020-06-06,80.6732
2020-06-07,80.6732
2020-06-08,80.6732
2020-06-09,80.6732
2020-06-10,80.6732
2020-06-11,80.6732
2020-06-12,80.6732
2020-06-13,80.6732
2020-06-14,80.6732
2020-06-15,80.6732
2020-06-16,80.6732
2020-06-17,80.6732
2020-06-18,80.6732
2020-06-19,80.6732
2020-06-20,80.6732
2020-06-21,80.6732
2020-06-22,80.6732
2020-06-23,80.6732
2020-06-24,80.6732
2020-06-25,80.6732
2020-06-26,80.6732
2020-06-27,80.6732
2020-06-28,80.6732
2020-06-29,80.6732
2020-06-30,80.6732
2020-07-01,80.6732
2020-07-02,80.6732
2020-07-03,80.6732
2020-07-04,80.6732
2020-07-05,80.6732
2020-07-06,80.6732
2020-07-07,80.6732
2020-07-08,80.6732
2020-07-09,80.6732
2020-07-10,80.6732
2020-07-11,80.6732
2020-07-12,80.6732
2020-07-13,80.6732
2020-07-14,80.6732
2020-07-15,80.6732
2020-07-16,80.6732
2020-07-17,80.6732
2020-07-18,80.6732
2020-07-19,80.6732
2020-07-20,80.6732
2020-07-21,80.6732
2020-07-22,80.6732
2020-07-23,80.6732
2020-07-24,80.6732
2020-07-25,80.6732
2020-07-26,80.6732
2020-07-27,80.6732
2020-07-28,80.6732
2020-07-29,80.6732
2020-07-30,80.6732
2020-07-31,80.6732
2020-08-01,80.6732
2020-08-02,88.8161
2020-08-03,88.8161
2020-08-04,88.8161
2020-08-05,88.8161
2020-08-06,88.8161
2020-08-07,88.8161
2020-08-08,88.8161
2020-08-09,88.8161
2020-08-10,88.8161
2020-08-11,88.8161
2020-08-12,88.8161
2020-08-13,88.8161
2020-08-14,88.8161
2020-08-15,88.8161
2020-08-16,88.8161
2020-08-17,88.8161
2020-08-18,88.8161
2020-08-19,88.8161
2020-08-20,88.8161
2020-08-21,88.8161
2020-08-22,88.8161
2020-08-23,88.8161
2020-08-24,88.8161
2020-08-25,88.8161
2020-08-26,88.8161
2020-08-27,88.8161
2020-08-28,88.8161
2020-08-29,88.8161
2020-08-30,88.8161
2020-08-31,88.8161
2020-09-01,88.8161
2020-09-02,88.8161
2020-09-03,88.8161
2020-09-04,88.8161
2020-09-05,88.8161
2020-09-06,88.8161
2020-09-07,88.8161
2020-09-08,88.8161
2020-09-09,88.8161
2020-09-10,88.8161
2020-09-11,88.8161
2020-09-12,88.8161
2020-09-13,88.8161
2020-09-14,88.8161
2020-09-15,88.8161
2020-09-16,88.8161
2020-09-17,88.8161
2020-09-18,88.8161
2020-09-19,88.8161
2020-09-20,88.8161
2020-09-21,88.8161
2020-09-22,88.8161
2020-09-23,88.8161
2020-09-24,88.8161
2020-09-25,88.8161
2020-09-26,88.8161
2020-09-27,88.8161
2020-09-28,88.8161
2020-09-29,88.8161
2020-09-30,88.8161
2020-10-01,88.8161
2020-10-02,88.8161
2020-10-03,88.8161
2020-10-04,88.8161
2020-10-05,88.8161
2020-10-06,88.8161
2020-10-07,88.8161
2020-10-08,88.8161
2020-10-09,88.8161
2020-10-10,88.8161
2020-10-11,88.8161
2020-10-12,88.8161
2020-10-13,88.8161
2020-10-14,88.8161
2020-10-15,88.8161
2020-10-16,88.8161
2020-10-17,88.8161
2020-10-18,88.8161
2020-10-19,88.8161
2020-10-20,88.8161
2020-10-21,88.8161
2020-10-22,88.8161
2020-10-23,88.8161
2020-10-24,88.8161
2020-10-25,88.8161
2020-10-26,88.8161
2020-10-27,88.8161
2020-10-28,88.8161
2020-10-29,88.8161
2020-10-30,88.8161
2020-10-31,88.8161
2020-11-01,88.3733
2020-11-02,88.3733
2020-11-03,88.3733
2020-11-04,88.3733
2020-11-05,88.3733
2020-11-06,88.3733
2020-11-07,88.3733
2020-11-08,88.3733
2020-11-09,88.3733
2020-11-10,88.3733
2020-11-11,88.3733
