,CACC US Equity
,RETURN_COM_EQY
2020-01-01,30.1919
2020-01-02,30.1919
2020-01-03,30.1919
2020-01-04,30.1919
2020-01-05,30.1919
2020-01-06,30.1919
2020-01-07,30.1919
2020-01-08,30.1919
2020-01-09,30.1919
2020-01-10,30.1919
2020-01-11,30.1919
2020-01-12,30.1919
2020-01-13,30.1919
2020-01-14,30.1919
2020-01-15,30.1919
2020-01-16,30.1919
2020-01-17,30.1919
2020-01-18,30.1919
2020-01-19,30.1919
2020-01-20,30.1919
2020-01-21,30.1919
2020-01-22,30.1919
2020-01-23,30.1919
2020-01-24,30.1919
2020-01-25,30.1919
2020-01-26,30.1919
2020-01-27,30.1919
2020-01-28,30.1919
2020-01-29,30.1919
2020-01-30,30.1919
2020-01-31,30.1919
2020-02-01,30.1919
2020-02-02,30.1919
2020-02-03,30.1919
2020-02-04,30.1919
2020-02-05,30.1919
2020-02-06,30.1919
2020-02-07,30.1919
2020-02-08,30.1919
2020-02-09,30.1919
2020-02-10,30.1919
2020-02-11,30.1919
2020-02-12,30.1919
2020-02-13,30.1919
2020-02-14,30.1919
2020-02-15,30.1919
2020-02-16,30.1919
2020-02-17,30.1919
2020-02-18,30.1919
2020-02-19,30.1919
2020-02-20,30.1919
2020-02-21,30.1919
2020-02-22,30.1919
2020-02-23,30.1919
2020-02-24,30.1919
2020-02-25,30.1919
2020-02-26,30.1919
2020-02-27,30.1919
2020-02-28,30.1919
2020-02-29,30.1919
2020-03-01,30.1919
2020-03-02,30.1919
2020-03-03,30.1919
2020-03-04,30.1919
2020-03-05,30.1919
2020-03-06,30.1919
2020-03-07,30.1919
2020-03-08,30.1919
2020-03-09,30.1919
2020-03-10,30.1919
2020-03-11,30.1919
2020-03-12,30.1919
2020-03-13,30.1919
2020-03-14,30.1919
2020-03-15,30.1919
2020-03-16,30.1919
2020-03-17,30.1919
2020-03-18,30.1919
2020-03-19,30.1919
2020-03-20,30.1919
2020-03-21,30.1919
2020-03-22,30.1919
2020-03-23,30.1919
2020-03-24,30.1919
2020-03-25,30.1919
2020-03-26,30.1919
2020-03-27,30.1919
2020-03-28,30.1919
2020-03-29,30.1919
2020-03-30,30.1919
2020-03-31,20.3188
2020-04-01,20.3188
2020-04-02,20.3188
2020-04-03,20.3188
2020-04-04,20.3188
2020-04-05,20.3188
2020-04-06,20.3188
2020-04-07,20.3188
2020-04-08,20.3188
2020-04-09,20.3188
2020-04-10,20.3188
2020-04-11,20.3188
2020-04-12,20.3188
2020-04-13,20.3188
2020-04-14,20.3188
2020-04-15,20.3188
2020-04-16,20.3188
2020-04-17,20.3188
2020-04-18,20.3188
2020-04-19,20.3188
2020-04-20,20.3188
