,KR US Equity
,RETURN_COM_EQY
2020-01-01,19.1706
2020-01-02,19.1706
2020-01-03,19.1706
2020-01-04,19.1706
2020-01-05,19.1706
2020-01-06,19.1706
2020-01-07,19.1706
2020-01-08,19.1706
2020-01-09,19.1706
2020-01-10,19.1706
2020-01-11,19.1706
2020-01-12,19.1706
2020-01-13,19.1706
2020-01-14,19.1706
2020-01-15,19.1706
2020-01-16,19.1706
2020-01-17,19.1706
2020-01-18,19.1706
2020-01-19,19.1706
2020-01-20,19.1706
2020-01-21,19.1706
2020-01-22,19.1706
2020-01-23,19.1706
2020-01-24,19.1706
2020-01-25,19.1706
2020-01-26,19.1706
2020-01-27,19.1706
2020-01-28,19.1706
2020-01-29,19.1706
2020-01-30,19.1706
2020-01-31,19.1706
2020-02-01,20.0873
2020-02-02,20.0873
2020-02-03,20.0873
2020-02-04,20.0873
2020-02-05,20.0873
2020-02-06,20.0873
2020-02-07,20.0873
2020-02-08,20.0873
2020-02-09,20.0873
2020-02-10,20.0873
2020-02-11,20.0873
2020-02-12,20.0873
2020-02-13,20.0873
2020-02-14,20.0873
2020-02-15,20.0873
2020-02-16,20.0873
2020-02-17,20.0873
2020-02-18,20.0873
2020-02-19,20.0873
2020-02-20,20.0873
2020-02-21,20.0873
2020-02-22,20.0873
2020-02-23,20.0873
2020-02-24,20.0873
2020-02-25,20.0873
2020-02-26,20.0873
2020-02-27,20.0873
2020-02-28,20.0873
2020-02-29,20.0873
2020-03-01,20.0873
2020-03-02,20.0873
2020-03-03,20.0873
2020-03-04,20.0873
2020-03-05,20.0873
2020-03-06,20.0873
2020-03-07,20.0873
2020-03-08,20.0873
2020-03-09,20.0873
2020-03-10,20.0873
2020-03-11,20.0873
2020-03-12,20.0873
2020-03-13,20.0873
2020-03-14,20.0873
2020-03-15,20.0873
2020-03-16,20.0873
2020-03-17,20.0873
2020-03-18,20.0873
2020-03-19,20.0873
2020-03-20,20.0873
2020-03-21,20.0873
2020-03-22,20.0873
2020-03-23,20.0873
2020-03-24,20.0873
2020-03-25,20.0873
2020-03-26,20.0873
2020-03-27,20.0873
2020-03-28,20.0873
2020-03-29,20.0873
2020-03-30,20.0873
2020-03-31,20.0873
2020-04-01,20.0873
2020-04-02,20.0873
2020-04-03,20.0873
2020-04-04,20.0873
2020-04-05,20.0873
2020-04-06,20.0873
2020-04-07,20.0873
2020-04-08,20.0873
2020-04-09,20.0873
2020-04-10,20.0873
2020-04-11,20.0873
2020-04-12,20.0873
2020-04-13,20.0873
2020-04-14,20.0873
2020-04-15,20.0873
2020-04-16,20.0873
2020-04-17,20.0873
2020-04-18,20.0873
2020-04-19,20.0873
2020-04-20,20.0873
2020-04-21,20.0873
2020-04-22,20.0873
2020-04-23,20.0873
2020-04-24,20.0873
2020-04-25,20.0873
2020-04-26,20.0873
2020-04-27,20.0873
2020-04-28,20.0873
2020-04-29,20.0873
2020-04-30,20.0873
2020-05-01,20.0873
2020-05-02,20.0873
2020-05-03,20.0873
2020-05-04,20.0873
2020-05-05,20.0873
2020-05-06,20.0873
2020-05-07,20.0873
2020-05-08,20.0873
2020-05-09,20.0873
2020-05-10,20.0873
2020-05-11,20.0873
2020-05-12,20.0873
2020-05-13,20.0873
2020-05-14,20.0873
2020-05-15,20.0873
2020-05-16,20.0873
2020-05-17,20.0873
2020-05-18,20.0873
2020-05-19,20.0873
2020-05-20,20.0873
2020-05-21,20.0873
2020-05-22,20.0873
2020-05-23,23.3707
2020-05-24,23.3707
2020-05-25,23.3707
2020-05-26,23.3707
2020-05-27,23.3707
2020-05-28,23.3707
2020-05-29,23.3707
2020-05-30,23.3707
2020-05-31,23.3707
2020-06-01,23.3707
