,POOL US Equity
,RETURN_COM_EQY
2020-01-01,82.546
2020-01-02,82.546
2020-01-03,82.546
2020-01-04,82.546
2020-01-05,82.546
2020-01-06,82.546
2020-01-07,82.546
2020-01-08,82.546
2020-01-09,82.546
2020-01-10,82.546
2020-01-11,82.546
2020-01-12,82.546
2020-01-13,82.546
2020-01-14,82.546
2020-01-15,82.546
2020-01-16,82.546
2020-01-17,82.546
2020-01-18,82.546
2020-01-19,82.546
2020-01-20,82.546
2020-01-21,82.546
2020-01-22,82.546
2020-01-23,82.546
2020-01-24,82.546
2020-01-25,82.546
2020-01-26,82.546
2020-01-27,82.546
2020-01-28,82.546
2020-01-29,82.546
2020-01-30,82.546
2020-01-31,82.546
2020-02-01,82.546
2020-02-02,82.546
2020-02-03,82.546
2020-02-04,82.546
2020-02-05,82.546
2020-02-06,82.546
2020-02-07,82.546
2020-02-08,82.546
2020-02-09,82.546
2020-02-10,82.546
2020-02-11,82.546
2020-02-12,82.546
2020-02-13,82.546
2020-02-14,82.546
2020-02-15,82.546
2020-02-16,82.546
2020-02-17,82.546
2020-02-18,82.546
2020-02-19,82.546
2020-02-20,82.546
2020-02-21,82.546
2020-02-22,82.546
2020-02-23,82.546
2020-02-24,82.546
2020-02-25,82.546
2020-02-26,82.546
2020-02-27,82.546
2020-02-28,82.546
2020-02-29,82.546
2020-03-01,82.546
2020-03-02,82.546
2020-03-03,82.546
2020-03-04,82.546
2020-03-05,82.546
2020-03-06,82.546
2020-03-07,82.546
2020-03-08,82.546
2020-03-09,82.546
2020-03-10,82.546
2020-03-11,82.546
2020-03-12,82.546
2020-03-13,82.546
2020-03-14,82.546
2020-03-15,82.546
2020-03-16,82.546
2020-03-17,82.546
2020-03-18,82.546
2020-03-19,82.546
2020-03-20,82.546
2020-03-21,82.546
2020-03-22,82.546
2020-03-23,82.546
2020-03-24,82.546
2020-03-25,82.546
2020-03-26,82.546
2020-03-27,82.546
2020-03-28,82.546
2020-03-29,82.546
2020-03-30,82.546
2020-03-31,90.6549
2020-04-01,90.6549
2020-04-02,90.6549
2020-04-03,90.6549
2020-04-04,90.6549
2020-04-05,90.6549
2020-04-06,90.6549
2020-04-07,90.6549
