,PGR US Equity
,RETURN_COM_EQY
2020-01-01,33.5506
2020-01-02,33.5506
2020-01-03,33.5506
2020-01-04,33.5506
2020-01-05,33.5506
2020-01-06,33.5506
2020-01-07,33.5506
2020-01-08,33.5506
2020-01-09,33.5506
2020-01-10,33.5506
2020-01-11,33.5506
2020-01-12,33.5506
2020-01-13,33.5506
2020-01-14,33.5506
2020-01-15,33.5506
2020-01-16,33.5506
2020-01-17,33.5506
2020-01-18,33.5506
2020-01-19,33.5506
2020-01-20,33.5506
2020-01-21,33.5506
2020-01-22,33.5506
2020-01-23,33.5506
2020-01-24,33.5506
2020-01-25,33.5506
2020-01-26,33.5506
2020-01-27,33.5506
2020-01-28,33.5506
2020-01-29,33.5506
2020-01-30,33.5506
2020-01-31,33.5506
2020-02-01,33.5506
2020-02-02,33.5506
2020-02-03,33.5506
2020-02-04,33.5506
2020-02-05,33.5506
2020-02-06,33.5506
2020-02-07,33.5506
2020-02-08,33.5506
2020-02-09,33.5506
2020-02-10,33.5506
2020-02-11,33.5506
2020-02-12,33.5506
2020-02-13,33.5506
2020-02-14,33.5506
2020-02-15,33.5506
2020-02-16,33.5506
2020-02-17,33.5506
2020-02-18,33.5506
2020-02-19,33.5506
2020-02-20,33.5506
2020-02-21,33.5506
2020-02-22,33.5506
2020-02-23,33.5506
2020-02-24,33.5506
2020-02-25,33.5506
2020-02-26,33.5506
2020-02-27,33.5506
2020-02-28,33.5506
2020-02-29,33.5506
2020-03-01,33.5506
2020-03-02,33.5506
2020-03-03,33.5506
2020-03-04,33.5506
2020-03-05,33.5506
2020-03-06,33.5506
2020-03-07,33.5506
2020-03-08,33.5506
2020-03-09,33.5506
2020-03-10,33.5506
2020-03-11,33.5506
2020-03-12,33.5506
2020-03-13,33.5506
2020-03-14,33.5506
2020-03-15,33.5506
2020-03-16,33.5506
2020-03-17,33.5506
2020-03-18,33.5506
2020-03-19,33.5506
2020-03-20,33.5506
2020-03-21,33.5506
2020-03-22,33.5506
2020-03-23,33.5506
2020-03-24,33.5506
2020-03-25,33.5506
2020-03-26,33.5506
2020-03-27,33.5506
2020-03-28,33.5506
2020-03-29,33.5506
2020-03-30,33.5506
2020-03-31,27.9316
2020-04-01,27.9316
2020-04-02,27.9316
2020-04-03,27.9316
2020-04-04,27.9316
2020-04-05,27.9316
2020-04-06,27.9316
2020-04-07,27.9316
2020-04-08,27.9316
2020-04-09,27.9316
2020-04-10,27.9316
2020-04-11,27.9316
2020-04-12,27.9316
2020-04-13,27.9316
2020-04-14,27.9316
2020-04-15,27.9316
2020-04-16,27.9316
2020-04-17,27.9316
2020-04-18,27.9316
2020-04-19,27.9316
2020-04-20,27.9316
2020-04-21,27.9316
2020-04-22,27.9316
2020-04-23,27.9316
2020-04-24,27.9316
2020-04-25,27.9316
2020-04-26,27.9316
2020-04-27,27.9316
2020-04-28,27.9316
2020-04-29,27.9316
2020-04-30,27.9316
2020-05-01,27.9316
2020-05-02,27.9316
2020-05-03,27.9316
2020-05-04,27.9316
2020-05-05,27.9316
2020-05-06,27.9316
2020-05-07,27.9316
2020-05-08,27.9316
2020-05-09,27.9316
2020-05-10,27.9316
2020-05-11,27.9316
2020-05-12,27.9316
2020-05-13,27.9316
2020-05-14,27.9316
2020-05-15,27.9316
2020-05-16,27.9316
2020-05-17,27.9316
2020-05-18,27.9316
2020-05-19,27.9316
2020-05-20,27.9316
2020-05-21,27.9316
2020-05-22,27.9316
2020-05-23,27.9316
2020-05-24,27.9316
2020-05-25,27.9316
2020-05-26,27.9316
2020-05-27,27.9316
2020-05-28,27.9316
2020-05-29,27.9316
2020-05-30,27.9316
2020-05-31,27.9316
2020-06-01,27.9316
2020-06-02,27.9316
2020-06-03,27.9316
2020-06-04,27.9316
2020-06-05,27.9316
2020-06-06,27.9316
2020-06-07,27.9316
2020-06-08,27.9316
2020-06-09,27.9316
2020-06-10,27.9316
2020-06-11,27.9316
2020-06-12,27.9316
2020-06-13,27.9316
2020-06-14,27.9316
2020-06-15,27.9316
2020-06-16,27.9316
2020-06-17,27.9316
2020-06-18,27.9316
2020-06-19,27.9316
2020-06-20,27.9316
2020-06-21,27.9316
2020-06-22,27.9316
2020-06-23,27.9316
2020-06-24,27.9316
2020-06-25,27.9316
2020-06-26,27.9316
2020-06-27,27.9316
2020-06-28,27.9316
2020-06-29,27.9316
2020-06-30,30.1148
2020-07-01,30.1148
2020-07-02,30.1148
2020-07-03,30.1148
2020-07-04,30.1148
2020-07-05,30.1148
2020-07-06,30.1148
2020-07-07,30.1148
2020-07-08,30.1148
2020-07-09,30.1148
2020-07-10,30.1148
2020-07-11,30.1148
2020-07-12,30.1148
2020-07-13,30.1148
2020-07-14,30.1148
2020-07-15,30.1148
2020-07-16,30.1148
2020-07-17,30.1148
2020-07-18,30.1148
2020-07-19,30.1148
2020-07-20,30.1148
2020-07-21,30.1148
2020-07-22,30.1148
2020-07-23,30.1148
2020-07-24,30.1148
2020-07-25,30.1148
2020-07-26,30.1148
2020-07-27,30.1148
2020-07-28,30.1148
2020-07-29,30.1148
2020-07-30,30.1148
2020-07-31,30.1148
2020-08-01,30.1148
2020-08-02,30.1148
2020-08-03,30.1148
2020-08-04,30.1148
2020-08-05,30.1148
2020-08-06,30.1148
2020-08-07,30.1148
2020-08-08,30.1148
2020-08-09,30.1148
2020-08-10,30.1148
2020-08-11,30.1148
2020-08-12,30.1148
2020-08-13,30.1148
2020-08-14,30.1148
2020-08-15,30.1148
2020-08-16,30.1148
2020-08-17,30.1148
2020-08-18,30.1148
2020-08-19,30.1148
2020-08-20,30.1148
2020-08-21,30.1148
2020-08-22,30.1148
2020-08-23,30.1148
2020-08-24,30.1148
2020-08-25,30.1148
2020-08-26,30.1148
2020-08-27,30.1148
2020-08-28,30.1148
2020-08-29,30.1148
2020-08-30,30.1148
2020-08-31,30.1148
2020-09-01,30.1148
2020-09-02,30.1148
2020-09-03,30.1148
2020-09-04,30.1148
2020-09-05,30.1148
2020-09-06,30.1148
2020-09-07,30.1148
2020-09-08,30.1148
2020-09-09,30.1148
2020-09-10,30.1148
2020-09-11,30.1148
2020-09-12,30.1148
2020-09-13,30.1148
