,LGND US Equity
,RETURN_COM_EQY
2020-01-01,94.764
2020-01-02,94.764
2020-01-03,94.764
2020-01-04,94.764
2020-01-05,94.764
2020-01-06,94.764
2020-01-07,94.764
2020-01-08,94.764
2020-01-09,94.764
2020-01-10,94.764
2020-01-11,94.764
2020-01-12,94.764
2020-01-13,94.764
2020-01-14,94.764
2020-01-15,94.764
2020-01-16,94.764
2020-01-17,94.764
2020-01-18,94.764
2020-01-19,94.764
2020-01-20,94.764
2020-01-21,94.764
2020-01-22,94.764
2020-01-23,94.764
2020-01-24,94.764
2020-01-25,94.764
2020-01-26,94.764
2020-01-27,94.764
2020-01-28,94.764
2020-01-29,94.764
2020-01-30,94.764
2020-01-31,94.764
2020-02-01,94.764
2020-02-02,94.764
2020-02-03,94.764
2020-02-04,94.764
2020-02-05,94.764
2020-02-06,94.764
2020-02-07,94.764
2020-02-08,94.764
2020-02-09,94.764
2020-02-10,94.764
2020-02-11,94.764
2020-02-12,94.764
2020-02-13,94.764
2020-02-14,94.764
2020-02-15,94.764
2020-02-16,94.764
2020-02-17,94.764
2020-02-18,94.764
2020-02-19,94.764
2020-02-20,94.764
2020-02-21,94.764
2020-02-22,94.764
2020-02-23,94.764
2020-02-24,94.764
2020-02-25,94.764
2020-02-26,94.764
2020-02-27,94.764
2020-02-28,94.764
2020-02-29,94.764
2020-03-01,94.764
2020-03-02,94.764
2020-03-03,94.764
2020-03-04,94.764
2020-03-05,94.764
2020-03-06,94.764
2020-03-07,94.764
2020-03-08,94.764
2020-03-09,94.764
2020-03-10,94.764
2020-03-11,94.764
2020-03-12,94.764
2020-03-13,94.764
2020-03-14,94.764
2020-03-15,94.764
2020-03-16,94.764
2020-03-17,94.764
2020-03-18,94.764
2020-03-19,94.764
2020-03-20,94.764
2020-03-21,94.764
2020-03-22,94.764
2020-03-23,94.764
2020-03-24,94.764
2020-03-25,94.764
2020-03-26,94.764
2020-03-27,94.764
2020-03-28,94.764
2020-03-29,94.764
2020-03-30,94.764
2020-03-31,-7.023
2020-04-01,-7.023
2020-04-02,-7.023
2020-04-03,-7.023
2020-04-04,-7.023
2020-04-05,-7.023
2020-04-06,-7.023
2020-04-07,-7.023
2020-04-08,-7.023
2020-04-09,-7.023
2020-04-10,-7.023
2020-04-11,-7.023
2020-04-12,-7.023
2020-04-13,-7.023
2020-04-14,-7.023
2020-04-15,-7.023
2020-04-16,-7.023
2020-04-17,-7.023
2020-04-18,-7.023
2020-04-19,-7.023
2020-04-20,-7.023
2020-04-21,-7.023
2020-04-22,-7.023
2020-04-23,-7.023
2020-04-24,-7.023
2020-04-25,-7.023
2020-04-26,-7.023
2020-04-27,-7.023
2020-04-28,-7.023
2020-04-29,-7.023
2020-04-30,-7.023
2020-05-01,-7.023
2020-05-02,-7.023
2020-05-03,-7.023
2020-05-04,-7.023
2020-05-05,-7.023
2020-05-06,-7.023
2020-05-07,-7.023
2020-05-08,-7.023
2020-05-09,-7.023
2020-05-10,-7.023
2020-05-11,-7.023
2020-05-12,-7.023
2020-05-13,-7.023
2020-05-14,-7.023
2020-05-15,-7.023
2020-05-16,-7.023
2020-05-17,-7.023
2020-05-18,-7.023
2020-05-19,-7.023
2020-05-20,-7.023
2020-05-21,-7.023
2020-05-22,-7.023
2020-05-23,-7.023
2020-05-24,-7.023
2020-05-25,-7.023
2020-05-26,-7.023
2020-05-27,-7.023
2020-05-28,-7.023
2020-05-29,-7.023
2020-05-30,-7.023
2020-05-31,-7.023
2020-06-01,-7.023
2020-06-02,-7.023
2020-06-03,-7.023
2020-06-04,-7.023
2020-06-05,-7.023
2020-06-06,-7.023
2020-06-07,-7.023
2020-06-08,-7.023
2020-06-09,-7.023
2020-06-10,-7.023
2020-06-11,-7.023
2020-06-12,-7.023
2020-06-13,-7.023
2020-06-14,-7.023
2020-06-15,-7.023
2020-06-16,-7.023
2020-06-17,-7.023
2020-06-18,-7.023
