,DHI US Equity
,RETURN_COM_EQY
2020-01-01,18.2171
2020-01-02,18.2171
2020-01-03,18.2171
2020-01-04,18.2171
2020-01-05,18.2171
2020-01-06,18.2171
2020-01-07,18.2171
2020-01-08,18.2171
2020-01-09,18.2171
2020-01-10,18.2171
2020-01-11,18.2171
2020-01-12,18.2171
2020-01-13,18.2171
2020-01-14,18.2171
2020-01-15,18.2171
2020-01-16,18.2171
2020-01-17,18.2171
2020-01-18,18.2171
2020-01-19,18.2171
2020-01-20,18.2171
2020-01-21,18.2171
2020-01-22,18.2171
2020-01-23,18.2171
2020-01-24,18.2171
2020-01-25,18.2171
2020-01-26,18.2171
2020-01-27,18.2171
2020-01-28,18.2171
2020-01-29,18.2171
2020-01-30,18.2171
2020-01-31,18.2171
2020-02-01,18.2171
2020-02-02,18.2171
2020-02-03,18.2171
2020-02-04,18.2171
2020-02-05,18.2171
2020-02-06,18.2171
2020-02-07,18.2171
2020-02-08,18.2171
2020-02-09,18.2171
2020-02-10,18.2171
2020-02-11,18.2171
2020-02-12,18.2171
2020-02-13,18.2171
2020-02-14,18.2171
2020-02-15,18.2171
2020-02-16,18.2171
2020-02-17,18.2171
2020-02-18,18.2171
2020-02-19,18.2171
2020-02-20,18.2171
2020-02-21,18.2171
2020-02-22,18.2171
2020-02-23,18.2171
2020-02-24,18.2171
2020-02-25,18.2171
2020-02-26,18.2171
2020-02-27,18.2171
2020-02-28,18.2171
2020-02-29,18.2171
2020-03-01,18.2171
2020-03-02,18.2171
2020-03-03,18.2171
2020-03-04,18.2171
2020-03-05,18.2171
2020-03-06,18.2171
2020-03-07,18.2171
2020-03-08,18.2171
2020-03-09,18.2171
2020-03-10,18.2171
2020-03-11,18.2171
2020-03-12,18.2171
2020-03-13,18.2171
2020-03-14,18.2171
2020-03-15,18.2171
2020-03-16,18.2171
2020-03-17,18.2171
2020-03-18,18.2171
2020-03-19,18.2171
2020-03-20,18.2171
2020-03-21,18.2171
2020-03-22,18.2171
2020-03-23,18.2171
2020-03-24,18.2171
2020-03-25,18.2171
2020-03-26,18.2171
2020-03-27,18.2171
2020-03-28,18.2171
2020-03-29,18.2171
2020-03-30,18.2171
2020-03-31,19.1147
2020-04-01,19.1147
2020-04-02,19.1147
2020-04-03,19.1147
2020-04-04,19.1147
2020-04-05,19.1147
2020-04-06,19.1147
2020-04-07,19.1147
2020-04-08,19.1147
2020-04-09,19.1147
2020-04-10,19.1147
2020-04-11,19.1147
2020-04-12,19.1147
2020-04-13,19.1147
2020-04-14,19.1147
2020-04-15,19.1147
2020-04-16,19.1147
2020-04-17,19.1147
2020-04-18,19.1147
2020-04-19,19.1147
2020-04-20,19.1147
2020-04-21,19.1147
2020-04-22,19.1147
2020-04-23,19.1147
2020-04-24,19.1147
2020-04-25,19.1147
2020-04-26,19.1147
2020-04-27,19.1147
2020-04-28,19.1147
2020-04-29,19.1147
2020-04-30,19.1147
2020-05-01,19.1147
2020-05-02,19.1147
2020-05-03,19.1147
2020-05-04,19.1147
2020-05-05,19.1147
2020-05-06,19.1147
2020-05-07,19.1147
2020-05-08,19.1147
2020-05-09,19.1147
2020-05-10,19.1147
2020-05-11,19.1147
2020-05-12,19.1147
2020-05-13,19.1147
2020-05-14,19.1147
2020-05-15,19.1147
2020-05-16,19.1147
2020-05-17,19.1147
2020-05-18,19.1147
2020-05-19,19.1147
2020-05-20,19.1147
2020-05-21,19.1147
2020-05-22,19.1147
2020-05-23,19.1147
2020-05-24,19.1147
2020-05-25,19.1147
2020-05-26,19.1147
2020-05-27,19.1147
2020-05-28,19.1147
2020-05-29,19.1147
2020-05-30,19.1147
2020-05-31,19.1147
2020-06-01,19.1147
2020-06-02,19.1147
2020-06-03,19.1147
2020-06-04,19.1147
2020-06-05,19.1147
2020-06-06,19.1147
2020-06-07,19.1147
2020-06-08,19.1147
2020-06-09,19.1147
2020-06-10,19.1147
2020-06-11,19.1147
2020-06-12,19.1147
2020-06-13,19.1147
2020-06-14,19.1147
2020-06-15,19.1147
2020-06-16,19.1147
2020-06-17,19.1147
2020-06-18,19.1147
2020-06-19,19.1147
2020-06-20,19.1147
2020-06-21,19.1147
2020-06-22,19.1147
2020-06-23,19.1147
2020-06-24,19.1147
2020-06-25,19.1147
2020-06-26,19.1147
2020-06-27,19.1147
2020-06-28,19.1147
2020-06-29,19.1147
2020-06-30,19.816
2020-07-01,19.816
2020-07-02,19.816
2020-07-03,19.816
2020-07-04,19.816
2020-07-05,19.816
2020-07-06,19.816
2020-07-07,19.816
2020-07-08,19.816
2020-07-09,19.816
2020-07-10,19.816
2020-07-11,19.816
2020-07-12,19.816
2020-07-13,19.816
2020-07-14,19.816
2020-07-15,19.816
2020-07-16,19.816
2020-07-17,19.816
2020-07-18,19.816
2020-07-19,19.816
2020-07-20,19.816
2020-07-21,19.816
2020-07-22,19.816
2020-07-23,19.816
2020-07-24,19.816
2020-07-25,19.816
2020-07-26,19.816
2020-07-27,19.816
2020-07-28,19.816
2020-07-29,19.816
2020-07-30,19.816
2020-07-31,19.816
2020-08-01,19.816
2020-08-02,19.816
2020-08-03,19.816
2020-08-04,19.816
2020-08-05,19.816
2020-08-06,19.816
2020-08-07,19.816
2020-08-08,19.816
2020-08-09,19.816
2020-08-10,19.816
2020-08-11,19.816
2020-08-12,19.816
2020-08-13,19.816
2020-08-14,19.816
2020-08-15,19.816
2020-08-16,19.816
2020-08-17,19.816
2020-08-18,19.816
2020-08-19,19.816
2020-08-20,19.816
2020-08-21,19.816
2020-08-22,19.816
2020-08-23,19.816
2020-08-24,19.816
2020-08-25,19.816
2020-08-26,19.816
2020-08-27,19.816
2020-08-28,19.816
2020-08-29,19.816
2020-08-30,19.816
2020-08-31,19.816
2020-09-01,19.816
2020-09-02,19.816
2020-09-03,19.816
2020-09-04,19.816
2020-09-05,19.816
2020-09-06,19.816
2020-09-07,19.816
2020-09-08,19.816
2020-09-09,19.816
2020-09-10,19.816
2020-09-11,19.816
2020-09-12,19.816
2020-09-13,19.816
2020-09-14,19.816
2020-09-15,19.816
2020-09-16,19.816
2020-09-17,19.816
2020-09-18,19.816
2020-09-19,19.816
2020-09-20,19.816
2020-09-21,19.816
2020-09-22,19.816
2020-09-23,19.816
2020-09-24,19.816
2020-09-25,19.816
2020-09-26,19.816
2020-09-27,19.816
2020-09-28,19.816
2020-09-29,19.816
2020-09-30,21.7164
2020-10-01,21.7164
2020-10-02,21.7164
2020-10-03,21.7164
