,WHR US Equity
,RETURN_COM_EQY
2020-01-01,43.1644
2020-01-02,43.1644
2020-01-03,43.1644
2020-01-04,43.1644
2020-01-05,43.1644
2020-01-06,43.1644
2020-01-07,43.1644
2020-01-08,43.1644
2020-01-09,43.1644
2020-01-10,43.1644
2020-01-11,43.1644
2020-01-12,43.1644
2020-01-13,43.1644
2020-01-14,43.1644
2020-01-15,43.1644
2020-01-16,43.1644
2020-01-17,43.1644
2020-01-18,43.1644
2020-01-19,43.1644
2020-01-20,43.1644
2020-01-21,43.1644
2020-01-22,43.1644
2020-01-23,43.1644
2020-01-24,43.1644
2020-01-25,43.1644
2020-01-26,43.1644
2020-01-27,43.1644
2020-01-28,43.1644
2020-01-29,43.1644
2020-01-30,43.1644
2020-01-31,43.1644
2020-02-01,43.1644
2020-02-02,43.1644
2020-02-03,43.1644
2020-02-04,43.1644
2020-02-05,43.1644
2020-02-06,43.1644
2020-02-07,43.1644
2020-02-08,43.1644
2020-02-09,43.1644
2020-02-10,43.1644
2020-02-11,43.1644
2020-02-12,43.1644
2020-02-13,43.1644
2020-02-14,43.1644
2020-02-15,43.1644
2020-02-16,43.1644
2020-02-17,43.1644
2020-02-18,43.1644
2020-02-19,43.1644
2020-02-20,43.1644
2020-02-21,43.1644
2020-02-22,43.1644
2020-02-23,43.1644
2020-02-24,43.1644
2020-02-25,43.1644
2020-02-26,43.1644
2020-02-27,43.1644
2020-02-28,43.1644
2020-02-29,43.1644
2020-03-01,43.1644
2020-03-02,43.1644
2020-03-03,43.1644
2020-03-04,43.1644
2020-03-05,43.1644
2020-03-06,43.1644
2020-03-07,43.1644
2020-03-08,43.1644
2020-03-09,43.1644
2020-03-10,43.1644
2020-03-11,43.1644
2020-03-12,43.1644
2020-03-13,43.1644
2020-03-14,43.1644
2020-03-15,43.1644
2020-03-16,43.1644
2020-03-17,43.1644
2020-03-18,43.1644
2020-03-19,43.1644
2020-03-20,43.1644
2020-03-21,43.1644
2020-03-22,43.1644
2020-03-23,43.1644
2020-03-24,43.1644
2020-03-25,43.1644
2020-03-26,43.1644
2020-03-27,43.1644
2020-03-28,43.1644
2020-03-29,43.1644
2020-03-30,43.1644
2020-03-31,29.5803
2020-04-01,29.5803
2020-04-02,29.5803
2020-04-03,29.5803
2020-04-04,29.5803
2020-04-05,29.5803
2020-04-06,29.5803
2020-04-07,29.5803
2020-04-08,29.5803
2020-04-09,29.5803
2020-04-10,29.5803
2020-04-11,29.5803
2020-04-12,29.5803
2020-04-13,29.5803
2020-04-14,29.5803
2020-04-15,29.5803
2020-04-16,29.5803
2020-04-17,29.5803
2020-04-18,29.5803
2020-04-19,29.5803
2020-04-20,29.5803
2020-04-21,29.5803
2020-04-22,29.5803
2020-04-23,29.5803
2020-04-24,29.5803
2020-04-25,29.5803
2020-04-26,29.5803
2020-04-27,29.5803
2020-04-28,29.5803
2020-04-29,29.5803
2020-04-30,29.5803
2020-05-01,29.5803
2020-05-02,29.5803
2020-05-03,29.5803
2020-05-04,29.5803
2020-05-05,29.5803
2020-05-06,29.5803
2020-05-07,29.5803
2020-05-08,29.5803
2020-05-09,29.5803
2020-05-10,29.5803
2020-05-11,29.5803
2020-05-12,29.5803
2020-05-13,29.5803
2020-05-14,29.5803
2020-05-15,29.5803
2020-05-16,29.5803
2020-05-17,29.5803
2020-05-18,29.5803
2020-05-19,29.5803
2020-05-20,29.5803
2020-05-21,29.5803
2020-05-22,29.5803
2020-05-23,29.5803
2020-05-24,29.5803
2020-05-25,29.5803
2020-05-26,29.5803
2020-05-27,29.5803
2020-05-28,29.5803
2020-05-29,29.5803
2020-05-30,29.5803
2020-05-31,29.5803
2020-06-01,29.5803
