,BSIG US Equity
,RETURN_COM_EQY
2020-01-01,267.0244
2020-01-02,267.0244
2020-01-03,267.0244
2020-01-04,267.0244
2020-01-05,267.0244
2020-01-06,267.0244
2020-01-07,267.0244
2020-01-08,267.0244
2020-01-09,267.0244
2020-01-10,267.0244
2020-01-11,267.0244
2020-01-12,267.0244
2020-01-13,267.0244
2020-01-14,267.0244
2020-01-15,267.0244
2020-01-16,267.0244
2020-01-17,267.0244
2020-01-18,267.0244
2020-01-19,267.0244
2020-01-20,267.0244
2020-01-21,267.0244
2020-01-22,267.0244
2020-01-23,267.0244
2020-01-24,267.0244
2020-01-25,267.0244
2020-01-26,267.0244
2020-01-27,267.0244
2020-01-28,267.0244
2020-01-29,267.0244
2020-01-30,267.0244
2020-01-31,267.0244
2020-02-01,267.0244
2020-02-02,267.0244
2020-02-03,267.0244
2020-02-04,267.0244
2020-02-05,267.0244
2020-02-06,267.0244
2020-02-07,267.0244
2020-02-08,267.0244
2020-02-09,267.0244
2020-02-10,267.0244
2020-02-11,267.0244
2020-02-12,267.0244
2020-02-13,267.0244
2020-02-14,267.0244
2020-02-15,267.0244
2020-02-16,267.0244
2020-02-17,267.0244
2020-02-18,267.0244
2020-02-19,267.0244
2020-02-20,267.0244
2020-02-21,267.0244
2020-02-22,267.0244
2020-02-23,267.0244
2020-02-24,267.0244
2020-02-25,267.0244
2020-02-26,267.0244
2020-02-27,267.0244
2020-02-28,267.0244
2020-02-29,267.0244
2020-03-01,267.0244
2020-03-02,267.0244
2020-03-03,267.0244
2020-03-04,267.0244
2020-03-05,267.0244
2020-03-06,267.0244
2020-03-07,267.0244
2020-03-08,267.0244
2020-03-09,267.0244
2020-03-10,267.0244
2020-03-11,267.0244
2020-03-12,267.0244
2020-03-13,267.0244
2020-03-14,267.0244
2020-03-15,267.0244
2020-03-16,267.0244
2020-03-17,267.0244
2020-03-18,267.0244
2020-03-19,267.0244
2020-03-20,267.0244
2020-03-21,267.0244
2020-03-22,267.0244
2020-03-23,267.0244
2020-03-24,267.0244
2020-03-25,267.0244
2020-03-26,267.0244
2020-03-27,267.0244
2020-03-28,267.0244
2020-03-29,267.0244
2020-03-30,267.0244
2020-03-31,267.0244
2020-04-01,267.0244
2020-04-02,267.0244
2020-04-03,267.0244
2020-04-04,267.0244
2020-04-05,267.0244
2020-04-06,267.0244
2020-04-07,267.0244
2020-04-08,267.0244
2020-04-09,267.0244
2020-04-10,267.0244
2020-04-11,267.0244
2020-04-12,267.0244
2020-04-13,267.0244
2020-04-14,267.0244
2020-04-15,267.0244
2020-04-16,267.0244
2020-04-17,267.0244
2020-04-18,267.0244
2020-04-19,267.0244
2020-04-20,267.0244
2020-04-21,267.0244
2020-04-22,267.0244
2020-04-23,267.0244
2020-04-24,267.0244
2020-04-25,267.0244
2020-04-26,267.0244
2020-04-27,267.0244
2020-04-28,267.0244
2020-04-29,267.0244
2020-04-30,267.0244
2020-05-01,267.0244
2020-05-02,267.0244
2020-05-03,267.0244
2020-05-04,267.0244
2020-05-05,267.0244
2020-05-06,267.0244
2020-05-07,267.0244
2020-05-08,267.0244
2020-05-09,267.0244
2020-05-10,267.0244
2020-05-11,267.0244
2020-05-12,267.0244
2020-05-13,267.0244
2020-05-14,267.0244
2020-05-15,267.0244
2020-05-16,267.0244
2020-05-17,267.0244
2020-05-18,267.0244
2020-05-19,267.0244
2020-05-20,267.0244
2020-05-21,267.0244
2020-05-22,267.0244
2020-05-23,267.0244
2020-05-24,267.0244
2020-05-25,267.0244
2020-05-26,267.0244
2020-05-27,267.0244
2020-05-28,267.0244
2020-05-29,267.0244
2020-05-30,267.0244
2020-05-31,267.0244
2020-06-01,267.0244
2020-06-02,267.0244
2020-06-03,267.0244
2020-06-04,267.0244
2020-06-05,267.0244
2020-06-06,267.0244
2020-06-07,267.0244
2020-06-08,267.0244
2020-06-09,267.0244
2020-06-10,267.0244
2020-06-11,267.0244
2020-06-12,267.0244
2020-06-13,267.0244
2020-06-14,267.0244
2020-06-15,267.0244
2020-06-16,267.0244
2020-06-17,267.0244
2020-06-18,267.0244
2020-06-19,267.0244
2020-06-20,267.0244
2020-06-21,267.0244
2020-06-22,267.0244
2020-06-23,267.0244
2020-06-24,267.0244
2020-06-25,267.0244
2020-06-26,267.0244
2020-06-27,267.0244
2020-06-28,267.0244
2020-06-29,267.0244
2020-06-30,267.0244
2020-07-01,267.0244
2020-07-02,267.0244
2020-07-03,267.0244
2020-07-04,267.0244
2020-07-05,267.0244
2020-07-06,267.0244
2020-07-07,267.0244
2020-07-08,267.0244
2020-07-09,267.0244
2020-07-10,267.0244
2020-07-11,267.0244
2020-07-12,267.0244
2020-07-13,267.0244
2020-07-14,267.0244
2020-07-15,267.0244
2020-07-16,267.0244
2020-07-17,267.0244
2020-07-18,267.0244
2020-07-19,267.0244
2020-07-20,267.0244
2020-07-21,267.0244
2020-07-22,267.0244
2020-07-23,267.0244
2020-07-24,267.0244
2020-07-25,267.0244
2020-07-26,267.0244
2020-07-27,267.0244
2020-07-28,267.0244
2020-07-29,267.0244
2020-07-30,267.0244
2020-07-31,267.0244
2020-08-01,267.0244
2020-08-02,267.0244
2020-08-03,267.0244
2020-08-04,267.0244
2020-08-05,267.0244
2020-08-06,267.0244
2020-08-07,267.0244
2020-08-08,267.0244
2020-08-09,267.0244
2020-08-10,267.0244
2020-08-11,267.0244
2020-08-12,267.0244
2020-08-13,267.0244
2020-08-14,267.0244
2020-08-15,267.0244
2020-08-16,267.0244
2020-08-17,267.0244
2020-08-18,267.0244
2020-08-19,267.0244
2020-08-20,267.0244
2020-08-21,267.0244
2020-08-22,267.0244
2020-08-23,267.0244
2020-08-24,267.0244
2020-08-25,267.0244
2020-08-26,267.0244
2020-08-27,267.0244
2020-08-28,267.0244
2020-08-29,267.0244
2020-08-30,267.0244
