,VNOM US Equity
,RETURN_COM_EQY
2020-01-01,6.2829
2020-01-02,6.2829
2020-01-03,6.2829
2020-01-04,6.2829
2020-01-05,6.2829
2020-01-06,6.2829
2020-01-07,6.2829
2020-01-08,6.2829
2020-01-09,6.2829
2020-01-10,6.2829
2020-01-11,6.2829
2020-01-12,6.2829
2020-01-13,6.2829
2020-01-14,6.2829
2020-01-15,6.2829
2020-01-16,6.2829
2020-01-17,6.2829
2020-01-18,6.2829
2020-01-19,6.2829
2020-01-20,6.2829
2020-01-21,6.2829
2020-01-22,6.2829
2020-01-23,6.2829
2020-01-24,6.2829
2020-01-25,6.2829
2020-01-26,6.2829
2020-01-27,6.2829
2020-01-28,6.2829
2020-01-29,6.2829
2020-01-30,6.2829
2020-01-31,6.2829
2020-02-01,6.2829
2020-02-02,6.2829
2020-02-03,6.2829
2020-02-04,6.2829
2020-02-05,6.2829
2020-02-06,6.2829
2020-02-07,6.2829
2020-02-08,6.2829
2020-02-09,6.2829
2020-02-10,6.2829
2020-02-11,6.2829
2020-02-12,6.2829
2020-02-13,6.2829
2020-02-14,6.2829
2020-02-15,6.2829
2020-02-16,6.2829
2020-02-17,6.2829
2020-02-18,6.2829
2020-02-19,6.2829
2020-02-20,6.2829
2020-02-21,6.2829
2020-02-22,6.2829
2020-02-23,6.2829
2020-02-24,6.2829
2020-02-25,6.2829
2020-02-26,6.2829
2020-02-27,6.2829
2020-02-28,6.2829
2020-02-29,6.2829
2020-03-01,6.2829
2020-03-02,6.2829
2020-03-03,6.2829
2020-03-04,6.2829
2020-03-05,6.2829
2020-03-06,6.2829
2020-03-07,6.2829
2020-03-08,6.2829
2020-03-09,6.2829
2020-03-10,6.2829
2020-03-11,6.2829
2020-03-12,6.2829
2020-03-13,6.2829
2020-03-14,6.2829
2020-03-15,6.2829
2020-03-16,6.2829
2020-03-17,6.2829
2020-03-18,6.2829
2020-03-19,6.2829
2020-03-20,6.2829
2020-03-21,6.2829
2020-03-22,6.2829
2020-03-23,6.2829
2020-03-24,6.2829
2020-03-25,6.2829
2020-03-26,6.2829
2020-03-27,6.2829
2020-03-28,6.2829
2020-03-29,6.2829
2020-03-30,6.2829
2020-03-31,-16.4407
2020-04-01,-16.4407
2020-04-02,-16.4407
2020-04-03,-16.4407
2020-04-04,-16.4407
2020-04-05,-16.4407
2020-04-06,-16.4407
2020-04-07,-16.4407
2020-04-08,-16.4407
2020-04-09,-16.4407
2020-04-10,-16.4407
2020-04-11,-16.4407
2020-04-12,-16.4407
2020-04-13,-16.4407
2020-04-14,-16.4407
2020-04-15,-16.4407
2020-04-16,-16.4407
2020-04-17,-16.4407
2020-04-18,-16.4407
2020-04-19,-16.4407
2020-04-20,-16.4407
2020-04-21,-16.4407
2020-04-22,-16.4407
2020-04-23,-16.4407
2020-04-24,-16.4407
2020-04-25,-16.4407
2020-04-26,-16.4407
2020-04-27,-16.4407
2020-04-28,-16.4407
2020-04-29,-16.4407
2020-04-30,-16.4407
2020-05-01,-16.4407
2020-05-02,-16.4407
2020-05-03,-16.4407
2020-05-04,-16.4407
2020-05-05,-16.4407
2020-05-06,-16.4407
2020-05-07,-16.4407
2020-05-08,-16.4407
2020-05-09,-16.4407
2020-05-10,-16.4407
2020-05-11,-16.4407
2020-05-12,-16.4407
2020-05-13,-16.4407
2020-05-14,-16.4407
2020-05-15,-16.4407
2020-05-16,-16.4407
2020-05-17,-16.4407
2020-05-18,-16.4407
2020-05-19,-16.4407
2020-05-20,-16.4407
2020-05-21,-16.4407
2020-05-22,-16.4407
2020-05-23,-16.4407
2020-05-24,-16.4407
2020-05-25,-16.4407
2020-05-26,-16.4407
2020-05-27,-16.4407
2020-05-28,-16.4407
2020-05-29,-16.4407
2020-05-30,-16.4407
2020-05-31,-16.4407
2020-06-01,-16.4407
2020-06-02,-16.4407
2020-06-03,-16.4407
2020-06-04,-16.4407
2020-06-05,-16.4407
2020-06-06,-16.4407
2020-06-07,-16.4407
2020-06-08,-16.4407
2020-06-09,-16.4407
2020-06-10,-16.4407
2020-06-11,-16.4407
2020-06-12,-16.4407
2020-06-13,-16.4407
2020-06-14,-16.4407
2020-06-15,-16.4407
2020-06-16,-16.4407
2020-06-17,-16.4407
2020-06-18,-16.4407
2020-06-19,-16.4407
2020-06-20,-16.4407
2020-06-21,-16.4407
2020-06-22,-16.4407
2020-06-23,-16.4407
2020-06-24,-16.4407
2020-06-25,-16.4407
2020-06-26,-16.4407
2020-06-27,-16.4407
2020-06-28,-16.4407
2020-06-29,-16.4407
2020-06-30,-20.1161
2020-07-01,-20.1161
2020-07-02,-20.1161
2020-07-03,-20.1161
2020-07-04,-20.1161
2020-07-05,-20.1161
2020-07-06,-20.1161
2020-07-07,-20.1161
2020-07-08,-20.1161
2020-07-09,-20.1161
2020-07-10,-20.1161
2020-07-11,-20.1161
2020-07-12,-20.1161
2020-07-13,-20.1161
2020-07-14,-20.1161
2020-07-15,-20.1161
2020-07-16,-20.1161
2020-07-17,-20.1161
2020-07-18,-20.1161
2020-07-19,-20.1161
2020-07-20,-20.1161
2020-07-21,-20.1161
2020-07-22,-20.1161
2020-07-23,-20.1161
2020-07-24,-20.1161
2020-07-25,-20.1161
2020-07-26,-20.1161
2020-07-27,-20.1161
2020-07-28,-20.1161
2020-07-29,-20.1161
2020-07-30,-20.1161
2020-07-31,-20.1161
2020-08-01,-20.1161
2020-08-02,-20.1161
2020-08-03,-20.1161
2020-08-04,-20.1161
2020-08-05,-20.1161
2020-08-06,-20.1161
2020-08-07,-20.1161
2020-08-08,-20.1161
2020-08-09,-20.1161
2020-08-10,-20.1161
2020-08-11,-20.1161
2020-08-12,-20.1161
2020-08-13,-20.1161
2020-08-14,-20.1161
2020-08-15,-20.1161
2020-08-16,-20.1161
2020-08-17,-20.1161
2020-08-18,-20.1161
2020-08-19,-20.1161
2020-08-20,-20.1161
2020-08-21,-20.1161
2020-08-22,-20.1161
2020-08-23,-20.1161
2020-08-24,-20.1161
2020-08-25,-20.1161
2020-08-26,-20.1161
2020-08-27,-20.1161
2020-08-28,-20.1161
2020-08-29,-20.1161
2020-08-30,-20.1161
2020-08-31,-20.1161
2020-09-01,-20.1161
2020-09-02,-20.1161
2020-09-03,-20.1161
2020-09-04,-20.1161
2020-09-05,-20.1161
2020-09-06,-20.1161
2020-09-07,-20.1161
2020-09-08,-20.1161
2020-09-09,-20.1161
2020-09-10,-20.1161
2020-09-11,-20.1161
2020-09-12,-20.1161
2020-09-13,-20.1161
2020-09-14,-20.1161
2020-09-15,-20.1161
2020-09-16,-20.1161
2020-09-17,-20.1161
2020-09-18,-20.1161
2020-09-19,-20.1161
2020-09-20,-20.1161
2020-09-21,-20.1161
2020-09-22,-20.1161
2020-09-23,-20.1161
2020-09-24,-20.1161
2020-09-25,-20.1161
2020-09-26,-20.1161
2020-09-27,-20.1161
2020-09-28,-20.1161
2020-09-29,-20.1161
2020-09-30,-21.5904
2020-10-01,-21.5904
2020-10-02,-21.5904
2020-10-03,-21.5904
2020-10-04,-21.5904
2020-10-05,-21.5904
2020-10-06,-21.5904
2020-10-07,-21.5904
2020-10-08,-21.5904
2020-10-09,-21.5904
2020-10-10,-21.5904
2020-10-11,-21.5904
2020-10-12,-21.5904
2020-10-13,-21.5904
2020-10-14,-21.5904
2020-10-15,-21.5904
2020-10-16,-21.5904
2020-10-17,-21.5904
2020-10-18,-21.5904
2020-10-19,-21.5904
2020-10-20,-21.5904
2020-10-21,-21.5904
2020-10-22,-21.5904
2020-10-23,-21.5904
2020-10-24,-21.5904
2020-10-25,-21.5904
2020-10-26,-21.5904
2020-10-27,-21.5904
2020-10-28,-21.5904
2020-10-29,-21.5904
2020-10-30,-21.5904
2020-10-31,-21.5904
2020-11-01,-21.5904
2020-11-02,-21.5904
2020-11-03,-21.5904
2020-11-04,-21.5904
2020-11-05,-21.5904
2020-11-06,-21.5904
2020-11-07,-21.5904
2020-11-08,-21.5904
2020-11-09,-21.5904
2020-11-10,-21.5904
2020-11-11,-21.5904
2020-11-12,-21.5904
2020-11-13,-21.5904
2020-11-14,-21.5904
2020-11-15,-21.5904
2020-11-16,-21.5904
2020-11-17,-21.5904
2020-11-18,-21.5904
2020-11-19,-21.5904
2020-11-20,-21.5904
2020-11-21,-21.5904
2020-11-22,-21.5904
2020-11-23,-21.5904
2020-11-24,-21.5904
2020-11-25,-21.5904
2020-11-26,-21.5904
2020-11-27,-21.5904
2020-11-28,-21.5904
2020-11-29,-21.5904
2020-11-30,-21.5904
2020-12-01,-21.5904
2020-12-02,-21.5904
2020-12-03,-21.5904
2020-12-04,-21.5904
2020-12-05,-21.5904
2020-12-06,-21.5904
2020-12-07,-21.5904
2020-12-08,-21.5904
2020-12-09,-21.5904
2020-12-10,-21.5904
2020-12-11,-21.5904
2020-12-12,-21.5904
2020-12-13,-21.5904
2020-12-14,-21.5904
2020-12-15,-21.5904
2020-12-16,-21.5904
2020-12-17,-21.5904
2020-12-18,-21.5904
2020-12-19,-21.5904
2020-12-20,-21.5904
2020-12-21,-21.5904
2020-12-22,-21.5904
2020-12-23,-21.5904
2020-12-24,-21.5904
2020-12-25,-21.5904
2020-12-26,-21.5904
2020-12-27,-21.5904
