,HLIO US Equity
,RETURN_COM_EQY
2020-01-01,10.8747
2020-01-02,10.8747
2020-01-03,10.8747
2020-01-04,10.8747
2020-01-05,10.8747
2020-01-06,10.8747
2020-01-07,10.8747
2020-01-08,10.8747
2020-01-09,10.8747
2020-01-10,10.8747
2020-01-11,10.8747
2020-01-12,10.8747
2020-01-13,10.8747
2020-01-14,10.8747
2020-01-15,10.8747
2020-01-16,10.8747
2020-01-17,10.8747
2020-01-18,10.8747
2020-01-19,10.8747
2020-01-20,10.8747
2020-01-21,10.8747
2020-01-22,10.8747
2020-01-23,10.8747
2020-01-24,10.8747
2020-01-25,10.8747
2020-01-26,10.8747
2020-01-27,10.8747
2020-01-28,10.8747
2020-01-29,10.8747
2020-01-30,10.8747
2020-01-31,10.8747
2020-02-01,10.8747
2020-02-02,10.8747
2020-02-03,10.8747
2020-02-04,10.8747
2020-02-05,10.8747
2020-02-06,10.8747
2020-02-07,10.8747
2020-02-08,10.8747
2020-02-09,10.8747
2020-02-10,10.8747
2020-02-11,10.8747
2020-02-12,10.8747
2020-02-13,10.8747
2020-02-14,10.8747
2020-02-15,10.8747
2020-02-16,10.8747
2020-02-17,10.8747
2020-02-18,10.8747
2020-02-19,10.8747
2020-02-20,10.8747
2020-02-21,10.8747
2020-02-22,10.8747
2020-02-23,10.8747
2020-02-24,10.8747
2020-02-25,10.8747
2020-02-26,10.8747
2020-02-27,10.8747
2020-02-28,10.8747
2020-02-29,10.8747
2020-03-01,10.8747
2020-03-02,10.8747
2020-03-03,10.8747
2020-03-04,10.8747
2020-03-05,10.8747
2020-03-06,10.8747
2020-03-07,10.8747
2020-03-08,10.8747
2020-03-09,10.8747
2020-03-10,10.8747
2020-03-11,10.8747
2020-03-12,10.8747
2020-03-13,10.8747
2020-03-14,10.8747
2020-03-15,10.8747
2020-03-16,10.8747
2020-03-17,10.8747
2020-03-18,10.8747
2020-03-19,10.8747
2020-03-20,10.8747
2020-03-21,10.8747
2020-03-22,10.8747
2020-03-23,10.8747
2020-03-24,10.8747
2020-03-25,10.8747
2020-03-26,10.8747
2020-03-27,10.8747
2020-03-28,4.8787
2020-03-29,4.8787
2020-03-30,4.8787
2020-03-31,4.8787
2020-04-01,4.8787
2020-04-02,4.8787
2020-04-03,4.8787
2020-04-04,4.8787
2020-04-05,4.8787
2020-04-06,4.8787
2020-04-07,4.8787
2020-04-08,4.8787
2020-04-09,4.8787
2020-04-10,4.8787
2020-04-11,4.8787
2020-04-12,4.8787
2020-04-13,4.8787
2020-04-14,4.8787
2020-04-15,4.8787
2020-04-16,4.8787
2020-04-17,4.8787
2020-04-18,4.8787
2020-04-19,4.8787
2020-04-20,4.8787
2020-04-21,4.8787
2020-04-22,4.8787
2020-04-23,4.8787
2020-04-24,4.8787
2020-04-25,4.8787
2020-04-26,4.8787
2020-04-27,4.8787
2020-04-28,4.8787
2020-04-29,4.8787
2020-04-30,4.8787
2020-05-01,4.8787
2020-05-02,4.8787
2020-05-03,4.8787
2020-05-04,4.8787
2020-05-05,4.8787
2020-05-06,4.8787
2020-05-07,4.8787
2020-05-08,4.8787
2020-05-09,4.8787
2020-05-10,4.8787
2020-05-11,4.8787
2020-05-12,4.8787
2020-05-13,4.8787
2020-05-14,4.8787
2020-05-15,4.8787
2020-05-16,4.8787
2020-05-17,4.8787
2020-05-18,4.8787
2020-05-19,4.8787
2020-05-20,4.8787
2020-05-21,4.8787
2020-05-22,4.8787
2020-05-23,4.8787
2020-05-24,4.8787
2020-05-25,4.8787
2020-05-26,4.8787
2020-05-27,4.8787
2020-05-28,4.8787
2020-05-29,4.8787
2020-05-30,4.8787
2020-05-31,4.8787
2020-06-01,4.8787
2020-06-02,4.8787
2020-06-03,4.8787
2020-06-04,4.8787
2020-06-05,4.8787
2020-06-06,4.8787
2020-06-07,4.8787
2020-06-08,4.8787
2020-06-09,4.8787
2020-06-10,4.8787
2020-06-11,4.8787
2020-06-12,4.8787
2020-06-13,4.8787
2020-06-14,4.8787
2020-06-15,4.8787
2020-06-16,4.8787
2020-06-17,4.8787
2020-06-18,4.8787
2020-06-19,4.8787
2020-06-20,4.8787
2020-06-21,4.8787
2020-06-22,4.8787
2020-06-23,4.8787
2020-06-24,4.8787
2020-06-25,4.8787
2020-06-26,4.8787
2020-06-27,3.9615
2020-06-28,3.9615
2020-06-29,3.9615
2020-06-30,3.9615
2020-07-01,3.9615
2020-07-02,3.9615
2020-07-03,3.9615
2020-07-04,3.9615
2020-07-05,3.9615
2020-07-06,3.9615
2020-07-07,3.9615
2020-07-08,3.9615
2020-07-09,3.9615
2020-07-10,3.9615
2020-07-11,3.9615
2020-07-12,3.9615
2020-07-13,3.9615
2020-07-14,3.9615
2020-07-15,3.9615
2020-07-16,3.9615
2020-07-17,3.9615
2020-07-18,3.9615
2020-07-19,3.9615
2020-07-20,3.9615
2020-07-21,3.9615
2020-07-22,3.9615
2020-07-23,3.9615
2020-07-24,3.9615
2020-07-25,3.9615
2020-07-26,3.9615
2020-07-27,3.9615
2020-07-28,3.9615
2020-07-29,3.9615
2020-07-30,3.9615
2020-07-31,3.9615
2020-08-01,3.9615
2020-08-02,3.9615
2020-08-03,3.9615
2020-08-04,3.9615
2020-08-05,3.9615
2020-08-06,3.9615
2020-08-07,3.9615
2020-08-08,3.9615
2020-08-09,3.9615
2020-08-10,3.9615
2020-08-11,3.9615
2020-08-12,3.9615
2020-08-13,3.9615
2020-08-14,3.9615
2020-08-15,3.9615
2020-08-16,3.9615
2020-08-17,3.9615
2020-08-18,3.9615
2020-08-19,3.9615
2020-08-20,3.9615
2020-08-21,3.9615
2020-08-22,3.9615
2020-08-23,3.9615
2020-08-24,3.9615
2020-08-25,3.9615
2020-08-26,3.9615
2020-08-27,3.9615
2020-08-28,3.9615
2020-08-29,3.9615
2020-08-30,3.9615
2020-08-31,3.9615
2020-09-01,3.9615
2020-09-02,3.9615
2020-09-03,3.9615
2020-09-04,3.9615
2020-09-05,3.9615
2020-09-06,3.9615
2020-09-07,3.9615
