,STLD US Equity
,RETURN_COM_EQY
2020-01-01,16.7547
2020-01-02,16.7547
2020-01-03,16.7547
2020-01-04,16.7547
2020-01-05,16.7547
2020-01-06,16.7547
2020-01-07,16.7547
2020-01-08,16.7547
2020-01-09,16.7547
2020-01-10,16.7547
2020-01-11,16.7547
2020-01-12,16.7547
2020-01-13,16.7547
2020-01-14,16.7547
2020-01-15,16.7547
2020-01-16,16.7547
2020-01-17,16.7547
2020-01-18,16.7547
2020-01-19,16.7547
2020-01-20,16.7547
2020-01-21,16.7547
2020-01-22,16.7547
2020-01-23,16.7547
2020-01-24,16.7547
2020-01-25,16.7547
2020-01-26,16.7547
2020-01-27,16.7547
2020-01-28,16.7547
2020-01-29,16.7547
2020-01-30,16.7547
2020-01-31,16.7547
2020-02-01,16.7547
2020-02-02,16.7547
2020-02-03,16.7547
2020-02-04,16.7547
2020-02-05,16.7547
2020-02-06,16.7547
2020-02-07,16.7547
2020-02-08,16.7547
2020-02-09,16.7547
2020-02-10,16.7547
2020-02-11,16.7547
2020-02-12,16.7547
2020-02-13,16.7547
2020-02-14,16.7547
2020-02-15,16.7547
2020-02-16,16.7547
2020-02-17,16.7547
2020-02-18,16.7547
2020-02-19,16.7547
2020-02-20,16.7547
2020-02-21,16.7547
2020-02-22,16.7547
2020-02-23,16.7547
2020-02-24,16.7547
2020-02-25,16.7547
2020-02-26,16.7547
2020-02-27,16.7547
2020-02-28,16.7547
2020-02-29,16.7547
2020-03-01,16.7547
2020-03-02,16.7547
2020-03-03,16.7547
2020-03-04,16.7547
2020-03-05,16.7547
2020-03-06,16.7547
2020-03-07,16.7547
2020-03-08,16.7547
2020-03-09,16.7547
2020-03-10,16.7547
2020-03-11,16.7547
2020-03-12,16.7547
2020-03-13,16.7547
2020-03-14,16.7547
2020-03-15,16.7547
2020-03-16,16.7547
2020-03-17,16.7547
2020-03-18,16.7547
2020-03-19,16.7547
2020-03-20,16.7547
2020-03-21,16.7547
2020-03-22,16.7547
