,BKNG US Equity
,RETURN_COM_EQY
2020-01-01,66.1095
2020-01-02,66.1095
2020-01-03,66.1095
2020-01-04,66.1095
2020-01-05,66.1095
2020-01-06,66.1095
2020-01-07,66.1095
2020-01-08,66.1095
2020-01-09,66.1095
2020-01-10,66.1095
2020-01-11,66.1095
2020-01-12,66.1095
2020-01-13,66.1095
2020-01-14,66.1095
2020-01-15,66.1095
2020-01-16,66.1095
2020-01-17,66.1095
2020-01-18,66.1095
2020-01-19,66.1095
2020-01-20,66.1095
2020-01-21,66.1095
2020-01-22,66.1095
2020-01-23,66.1095
2020-01-24,66.1095
2020-01-25,66.1095
2020-01-26,66.1095
2020-01-27,66.1095
2020-01-28,66.1095
2020-01-29,66.1095
2020-01-30,66.1095
2020-01-31,66.1095
2020-02-01,66.1095
2020-02-02,66.1095
2020-02-03,66.1095
2020-02-04,66.1095
2020-02-05,66.1095
2020-02-06,66.1095
2020-02-07,66.1095
2020-02-08,66.1095
2020-02-09,66.1095
2020-02-10,66.1095
2020-02-11,66.1095
2020-02-12,66.1095
2020-02-13,66.1095
2020-02-14,66.1095
2020-02-15,66.1095
2020-02-16,66.1095
2020-02-17,66.1095
2020-02-18,66.1095
2020-02-19,66.1095
2020-02-20,66.1095
2020-02-21,66.1095
2020-02-22,66.1095
2020-02-23,66.1095
2020-02-24,66.1095
2020-02-25,66.1095
2020-02-26,66.1095
2020-02-27,66.1095
2020-02-28,66.1095
2020-02-29,66.1095
2020-03-01,66.1095
2020-03-02,66.1095
2020-03-03,66.1095
2020-03-04,66.1095
2020-03-05,66.1095
2020-03-06,66.1095
2020-03-07,66.1095
2020-03-08,66.1095
2020-03-09,66.1095
2020-03-10,66.1095
2020-03-11,66.1095
2020-03-12,66.1095
2020-03-13,66.1095
2020-03-14,66.1095
2020-03-15,66.1095
2020-03-16,66.1095
2020-03-17,66.1095
2020-03-18,66.1095
2020-03-19,66.1095
2020-03-20,66.1095
2020-03-21,66.1095
2020-03-22,66.1095
2020-03-23,66.1095
2020-03-24,66.1095
2020-03-25,66.1095
2020-03-26,66.1095
2020-03-27,66.1095
2020-03-28,66.1095
2020-03-29,66.1095
2020-03-30,66.1095
2020-03-31,63.298
2020-04-01,63.298
2020-04-02,63.298
2020-04-03,63.298
2020-04-04,63.298
2020-04-05,63.298
2020-04-06,63.298
2020-04-07,63.298
2020-04-08,63.298
2020-04-09,63.298
2020-04-10,63.298
2020-04-11,63.298
2020-04-12,63.298
2020-04-13,63.298
2020-04-14,63.298
2020-04-15,63.298
2020-04-16,63.298
2020-04-17,63.298
2020-04-18,63.298
2020-04-19,63.298
2020-04-20,63.298
2020-04-21,63.298
2020-04-22,63.298
2020-04-23,63.298
2020-04-24,63.298
2020-04-25,63.298
2020-04-26,63.298
2020-04-27,63.298
2020-04-28,63.298
2020-04-29,63.298
2020-04-30,63.298
2020-05-01,63.298
2020-05-02,63.298
2020-05-03,63.298
2020-05-04,63.298
2020-05-05,63.298
2020-05-06,63.298
2020-05-07,63.298
2020-05-08,63.298
2020-05-09,63.298
2020-05-10,63.298
2020-05-11,63.298
2020-05-12,63.298
2020-05-13,63.298
2020-05-14,63.298
2020-05-15,63.298
2020-05-16,63.298
2020-05-17,63.298
2020-05-18,63.298
2020-05-19,63.298
2020-05-20,63.298
2020-05-21,63.298
2020-05-22,63.298
2020-05-23,63.298
2020-05-24,63.298
2020-05-25,63.298
2020-05-26,63.298
2020-05-27,63.298
2020-05-28,63.298
2020-05-29,63.298
2020-05-30,63.298
2020-05-31,63.298
2020-06-01,63.298
2020-06-02,63.298
2020-06-03,63.298
2020-06-04,63.298
2020-06-05,63.298
2020-06-06,63.298
2020-06-07,63.298
2020-06-08,63.298
2020-06-09,63.298
2020-06-10,63.298
2020-06-11,63.298
2020-06-12,63.298
2020-06-13,63.298
2020-06-14,63.298
2020-06-15,63.298
2020-06-16,63.298
2020-06-17,63.298
2020-06-18,63.298
2020-06-19,63.298
2020-06-20,63.298
2020-06-21,63.298
2020-06-22,63.298
2020-06-23,63.298
2020-06-24,63.298
2020-06-25,63.298
2020-06-26,63.298
2020-06-27,63.298
2020-06-28,63.298
2020-06-29,63.298
2020-06-30,54.6744
2020-07-01,54.6744
2020-07-02,54.6744
2020-07-03,54.6744
2020-07-04,54.6744
2020-07-05,54.6744
2020-07-06,54.6744
2020-07-07,54.6744
2020-07-08,54.6744
2020-07-09,54.6744
2020-07-10,54.6744
2020-07-11,54.6744
2020-07-12,54.6744
2020-07-13,54.6744
2020-07-14,54.6744
2020-07-15,54.6744
2020-07-16,54.6744
2020-07-17,54.6744
2020-07-18,54.6744
2020-07-19,54.6744
2020-07-20,54.6744
2020-07-21,54.6744
2020-07-22,54.6744
2020-07-23,54.6744
2020-07-24,54.6744
2020-07-25,54.6744
2020-07-26,54.6744
2020-07-27,54.6744
2020-07-28,54.6744
2020-07-29,54.6744
2020-07-30,54.6744
2020-07-31,54.6744
2020-08-01,54.6744
2020-08-02,54.6744
2020-08-03,54.6744
2020-08-04,54.6744
2020-08-05,54.6744
2020-08-06,54.6744
2020-08-07,54.6744
2020-08-08,54.6744
2020-08-09,54.6744
2020-08-10,54.6744
2020-08-11,54.6744
2020-08-12,54.6744
2020-08-13,54.6744
2020-08-14,54.6744
2020-08-15,54.6744
2020-08-16,54.6744
2020-08-17,54.6744
2020-08-18,54.6744
2020-08-19,54.6744
2020-08-20,54.6744
2020-08-21,54.6744
2020-08-22,54.6744
2020-08-23,54.6744
2020-08-24,54.6744
2020-08-25,54.6744
2020-08-26,54.6744
2020-08-27,54.6744
2020-08-28,54.6744
2020-08-29,54.6744
2020-08-30,54.6744
2020-08-31,54.6744
2020-09-01,54.6744
2020-09-02,54.6744
2020-09-03,54.6744
2020-09-04,54.6744
2020-09-05,54.6744
2020-09-06,54.6744
2020-09-07,54.6744
2020-09-08,54.6744
2020-09-09,54.6744
2020-09-10,54.6744
2020-09-11,54.6744
2020-09-12,54.6744
2020-09-13,54.6744
2020-09-14,54.6744
2020-09-15,54.6744
2020-09-16,54.6744
2020-09-17,54.6744
2020-09-18,54.6744
2020-09-19,54.6744
2020-09-20,54.6744
2020-09-21,54.6744
2020-09-22,54.6744
2020-09-23,54.6744
2020-09-24,54.6744
2020-09-25,54.6744
2020-09-26,54.6744
2020-09-27,54.6744
2020-09-28,54.6744
2020-09-29,54.6744
2020-09-30,25.6811
2020-10-01,25.6811
2020-10-02,25.6811
2020-10-03,25.6811
2020-10-04,25.6811
2020-10-05,25.6811
2020-10-06,25.6811
2020-10-07,25.6811
2020-10-08,25.6811
2020-10-09,25.6811
2020-10-10,25.6811
2020-10-11,25.6811
2020-10-12,25.6811
2020-10-13,25.6811
2020-10-14,25.6811
2020-10-15,25.6811
2020-10-16,25.6811
2020-10-17,25.6811
