,APAM US Equity
,RETURN_COM_EQY
2020-01-01,80.4238
2020-01-02,80.4238
2020-01-03,80.4238
2020-01-04,80.4238
2020-01-05,80.4238
2020-01-06,80.4238
2020-01-07,80.4238
2020-01-08,80.4238
2020-01-09,80.4238
2020-01-10,80.4238
2020-01-11,80.4238
2020-01-12,80.4238
2020-01-13,80.4238
2020-01-14,80.4238
2020-01-15,80.4238
2020-01-16,80.4238
2020-01-17,80.4238
2020-01-18,80.4238
2020-01-19,80.4238
2020-01-20,80.4238
2020-01-21,80.4238
2020-01-22,80.4238
2020-01-23,80.4238
2020-01-24,80.4238
2020-01-25,80.4238
2020-01-26,80.4238
2020-01-27,80.4238
2020-01-28,80.4238
2020-01-29,80.4238
2020-01-30,80.4238
2020-01-31,80.4238
2020-02-01,80.4238
2020-02-02,80.4238
2020-02-03,80.4238
2020-02-04,80.4238
2020-02-05,80.4238
2020-02-06,80.4238
2020-02-07,80.4238
2020-02-08,80.4238
2020-02-09,80.4238
2020-02-10,80.4238
2020-02-11,80.4238
2020-02-12,80.4238
2020-02-13,80.4238
2020-02-14,80.4238
2020-02-15,80.4238
2020-02-16,80.4238
2020-02-17,80.4238
2020-02-18,80.4238
2020-02-19,80.4238
2020-02-20,80.4238
2020-02-21,80.4238
2020-02-22,80.4238
2020-02-23,80.4238
2020-02-24,80.4238
2020-02-25,80.4238
2020-02-26,80.4238
2020-02-27,80.4238
2020-02-28,80.4238
2020-02-29,80.4238
2020-03-01,80.4238
2020-03-02,80.4238
2020-03-03,80.4238
2020-03-04,80.4238
2020-03-05,80.4238
2020-03-06,80.4238
2020-03-07,80.4238
2020-03-08,80.4238
2020-03-09,80.4238
2020-03-10,80.4238
2020-03-11,80.4238
2020-03-12,80.4238
2020-03-13,80.4238
2020-03-14,80.4238
2020-03-15,80.4238
2020-03-16,80.4238
2020-03-17,80.4238
2020-03-18,80.4238
2020-03-19,80.4238
2020-03-20,80.4238
2020-03-21,80.4238
2020-03-22,80.4238
2020-03-23,80.4238
2020-03-24,80.4238
2020-03-25,80.4238
2020-03-26,80.4238
2020-03-27,80.4238
2020-03-28,80.4238
2020-03-29,80.4238
2020-03-30,80.4238
2020-03-31,106.2436
2020-04-01,106.2436
2020-04-02,106.2436
2020-04-03,106.2436
2020-04-04,106.2436
2020-04-05,106.2436
2020-04-06,106.2436
2020-04-07,106.2436
2020-04-08,106.2436
2020-04-09,106.2436
2020-04-10,106.2436
2020-04-11,106.2436
2020-04-12,106.2436
2020-04-13,106.2436
2020-04-14,106.2436
2020-04-15,106.2436
2020-04-16,106.2436
2020-04-17,106.2436
2020-04-18,106.2436
2020-04-19,106.2436
2020-04-20,106.2436
2020-04-21,106.2436
2020-04-22,106.2436
2020-04-23,106.2436
2020-04-24,106.2436
2020-04-25,106.2436
2020-04-26,106.2436
2020-04-27,106.2436
2020-04-28,106.2436
2020-04-29,106.2436
2020-04-30,106.2436
2020-05-01,106.2436
2020-05-02,106.2436
2020-05-03,106.2436
2020-05-04,106.2436
2020-05-05,106.2436
2020-05-06,106.2436
2020-05-07,106.2436
2020-05-08,106.2436
2020-05-09,106.2436
2020-05-10,106.2436
2020-05-11,106.2436
2020-05-12,106.2436
2020-05-13,106.2436
2020-05-14,106.2436
2020-05-15,106.2436
2020-05-16,106.2436
2020-05-17,106.2436
2020-05-18,106.2436
2020-05-19,106.2436
2020-05-20,106.2436
2020-05-21,106.2436
2020-05-22,106.2436
2020-05-23,106.2436
2020-05-24,106.2436
2020-05-25,106.2436
2020-05-26,106.2436
2020-05-27,106.2436
2020-05-28,106.2436
2020-05-29,106.2436
2020-05-30,106.2436
2020-05-31,106.2436
2020-06-01,106.2436
2020-06-02,106.2436
2020-06-03,106.2436
2020-06-04,106.2436
2020-06-05,106.2436
2020-06-06,106.2436
2020-06-07,106.2436
2020-06-08,106.2436
2020-06-09,106.2436
2020-06-10,106.2436
2020-06-11,106.2436
2020-06-12,106.2436
2020-06-13,106.2436
2020-06-14,106.2436
2020-06-15,106.2436
2020-06-16,106.2436
