,HEES US Equity
,RETURN_COM_EQY
2020-01-01,30.9082
2020-01-02,30.9082
2020-01-03,30.9082
2020-01-04,30.9082
2020-01-05,30.9082
2020-01-06,30.9082
2020-01-07,30.9082
2020-01-08,30.9082
2020-01-09,30.9082
2020-01-10,30.9082
2020-01-11,30.9082
2020-01-12,30.9082
2020-01-13,30.9082
2020-01-14,30.9082
2020-01-15,30.9082
2020-01-16,30.9082
2020-01-17,30.9082
2020-01-18,30.9082
2020-01-19,30.9082
2020-01-20,30.9082
2020-01-21,30.9082
2020-01-22,30.9082
2020-01-23,30.9082
2020-01-24,30.9082
2020-01-25,30.9082
2020-01-26,30.9082
2020-01-27,30.9082
2020-01-28,30.9082
2020-01-29,30.9082
2020-01-30,30.9082
2020-01-31,30.9082
2020-02-01,30.9082
2020-02-02,30.9082
2020-02-03,30.9082
2020-02-04,30.9082
2020-02-05,30.9082
2020-02-06,30.9082
2020-02-07,30.9082
2020-02-08,30.9082
2020-02-09,30.9082
2020-02-10,30.9082
2020-02-11,30.9082
2020-02-12,30.9082
2020-02-13,30.9082
2020-02-14,30.9082
2020-02-15,30.9082
2020-02-16,30.9082
2020-02-17,30.9082
2020-02-18,30.9082
2020-02-19,30.9082
2020-02-20,30.9082
2020-02-21,30.9082
2020-02-22,30.9082
2020-02-23,30.9082
2020-02-24,30.9082
2020-02-25,30.9082
2020-02-26,30.9082
2020-02-27,30.9082
2020-02-28,30.9082
2020-02-29,30.9082
2020-03-01,30.9082
2020-03-02,30.9082
2020-03-03,30.9082
2020-03-04,30.9082
2020-03-05,30.9082
2020-03-06,30.9082
2020-03-07,30.9082
2020-03-08,30.9082
2020-03-09,30.9082
2020-03-10,30.9082
2020-03-11,30.9082
2020-03-12,30.9082
2020-03-13,30.9082
2020-03-14,30.9082
2020-03-15,30.9082
2020-03-16,30.9082
2020-03-17,30.9082
2020-03-18,30.9082
2020-03-19,30.9082
2020-03-20,30.9082
2020-03-21,30.9082
2020-03-22,30.9082
2020-03-23,30.9082
2020-03-24,30.9082
2020-03-25,30.9082
2020-03-26,30.9082
2020-03-27,30.9082
2020-03-28,30.9082
2020-03-29,30.9082
2020-03-30,30.9082
2020-03-31,13.7419
2020-04-01,13.7419
2020-04-02,13.7419
2020-04-03,13.7419
2020-04-04,13.7419
2020-04-05,13.7419
2020-04-06,13.7419
2020-04-07,13.7419
2020-04-08,13.7419
2020-04-09,13.7419
2020-04-10,13.7419
2020-04-11,13.7419
2020-04-12,13.7419
2020-04-13,13.7419
2020-04-14,13.7419
2020-04-15,13.7419
2020-04-16,13.7419
2020-04-17,13.7419
2020-04-18,13.7419
2020-04-19,13.7419
2020-04-20,13.7419
2020-04-21,13.7419
2020-04-22,13.7419
2020-04-23,13.7419
2020-04-24,13.7419
2020-04-25,13.7419
2020-04-26,13.7419
2020-04-27,13.7419
2020-04-28,13.7419
2020-04-29,13.7419
2020-04-30,13.7419
2020-05-01,13.7419
2020-05-02,13.7419
2020-05-03,13.7419
2020-05-04,13.7419
2020-05-05,13.7419
2020-05-06,13.7419
2020-05-07,13.7419
2020-05-08,13.7419
2020-05-09,13.7419
2020-05-10,13.7419
2020-05-11,13.7419
2020-05-12,13.7419
2020-05-13,13.7419
2020-05-14,13.7419
2020-05-15,13.7419
2020-05-16,13.7419
2020-05-17,13.7419
2020-05-18,13.7419
2020-05-19,13.7419
2020-05-20,13.7419
2020-05-21,13.7419
2020-05-22,13.7419
2020-05-23,13.7419
2020-05-24,13.7419
2020-05-25,13.7419
2020-05-26,13.7419
2020-05-27,13.7419
2020-05-28,13.7419
2020-05-29,13.7419
2020-05-30,13.7419
2020-05-31,13.7419
2020-06-01,13.7419
2020-06-02,13.7419
2020-06-03,13.7419
2020-06-04,13.7419
2020-06-05,13.7419
2020-06-06,13.7419
2020-06-07,13.7419
2020-06-08,13.7419
2020-06-09,13.7419
2020-06-10,13.7419
2020-06-11,13.7419
2020-06-12,13.7419
2020-06-13,13.7419
2020-06-14,13.7419
2020-06-15,13.7419
2020-06-16,13.7419
2020-06-17,13.7419
2020-06-18,13.7419
2020-06-19,13.7419
2020-06-20,13.7419
2020-06-21,13.7419
2020-06-22,13.7419
2020-06-23,13.7419
2020-06-24,13.7419
2020-06-25,13.7419
2020-06-26,13.7419
2020-06-27,13.7419
2020-06-28,13.7419
2020-06-29,13.7419
2020-06-30,8.2615
2020-07-01,8.2615
2020-07-02,8.2615
2020-07-03,8.2615
2020-07-04,8.2615
2020-07-05,8.2615
2020-07-06,8.2615
2020-07-07,8.2615
2020-07-08,8.2615
2020-07-09,8.2615
2020-07-10,8.2615
2020-07-11,8.2615
2020-07-12,8.2615
2020-07-13,8.2615
2020-07-14,8.2615
2020-07-15,8.2615
2020-07-16,8.2615
2020-07-17,8.2615
2020-07-18,8.2615
2020-07-19,8.2615
2020-07-20,8.2615
2020-07-21,8.2615
2020-07-22,8.2615
2020-07-23,8.2615
2020-07-24,8.2615
2020-07-25,8.2615
2020-07-26,8.2615
